Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,15.125000,15.125000,15.015625,15.015625,7.440196,199600
2000-01-19,14.968750,15.093750,14.906250,15.000000,7.432456,238400
2000-01-20,15.062500,15.062500,14.906250,14.984375,7.424714,177200
2000-01-21,14.921875,14.921875,14.281250,14.281250,7.076317,260800
2000-01-24,14.218750,14.437500,14.093750,14.140625,7.006636,410800
2000-01-25,14.140625,14.140625,13.937500,13.937500,6.905987,196400
2000-01-26,14.000000,14.265625,14.000000,14.234375,7.053089,162400
2000-01-27,14.296875,14.296875,13.828125,13.843750,6.859536,233600
2000-01-28,13.750000,14.062500,13.515625,13.515625,6.696951,144800
2000-01-31,13.640625,13.671875,13.343750,13.437500,6.658240,161600
2000-02-01,13.500000,13.671875,13.421875,13.640625,6.758888,138000
2000-02-02,13.703125,13.812500,13.656250,13.703125,6.789856,134000
2000-02-03,13.812500,14.781250,13.812500,14.718750,7.293099,538000
2000-02-04,14.875000,14.875000,14.484375,14.671875,7.269867,143600
2000-02-07,14.656250,14.781250,14.000000,14.000000,6.936958,113200
2000-02-08,13.937500,13.953125,13.734375,13.921875,6.898247,226800
2000-02-09,13.937500,14.031250,13.859375,14.031250,6.952444,154400
2000-02-10,14.031250,14.750000,14.031250,14.125000,6.998894,282800
2000-02-11,14.031250,14.171875,13.500000,13.562500,6.720180,130400
2000-02-14,13.562500,13.562500,13.187500,13.359375,6.619531,210800
2000-02-15,13.296875,13.421875,13.031250,13.187500,6.534365,114400
2000-02-16,13.171875,13.250000,13.031250,13.234375,6.557595,85200
2000-02-17,13.093750,13.156250,12.812500,12.921875,6.402749,118800
2000-02-18,12.859375,12.859375,12.406250,12.421875,6.155002,148800
2000-02-22,12.421875,12.421875,12.000000,12.171875,6.031129,454400
2000-02-23,12.234375,12.500000,12.218750,12.500000,6.193710,185600
2000-02-24,12.531250,12.593750,12.250000,12.453125,6.170485,113600
2000-02-25,12.453125,12.453125,12.203125,12.203125,6.046614,94800
2000-02-28,12.375000,12.671875,12.296875,12.578125,6.232424,166000
2000-02-29,12.515625,12.875000,12.515625,12.781250,6.333072,194800
2000-03-01,12.734375,13.000000,12.562500,12.562500,6.224684,153200
2000-03-02,12.625000,12.937500,12.625000,12.765625,6.325328,146800
2000-03-03,12.687500,12.687500,12.453125,12.500000,6.193710,194000
2000-03-06,12.437500,12.500000,11.687500,11.750000,5.822091,228800
2000-03-07,11.875000,11.875000,11.718750,11.843750,5.868545,74000
2000-03-08,11.828125,11.843750,11.531250,11.750000,5.822091,120800
2000-03-09,11.812500,11.906250,11.718750,11.859375,5.876284,293600
2000-03-10,11.828125,12.000000,11.781250,11.921875,5.907255,213600
2000-03-13,11.859375,12.375000,11.843750,12.234375,6.062098,99200
2000-03-14,12.250000,12.968750,12.250000,12.437500,6.162746,575200
2000-03-15,12.406250,13.312500,12.218750,13.312500,6.596304,453200
2000-03-16,13.750000,16.000000,13.750000,16.000000,7.927950,422400
2000-03-17,15.625000,15.625000,14.500000,15.250000,7.556330,1178000
2000-03-20,15.375000,15.500000,14.593750,14.593750,7.231160,392800
2000-03-21,14.500000,14.500000,13.781250,14.406250,7.138251,234800
2000-03-22,14.468750,15.000000,14.468750,15.000000,7.432456,774200
2000-03-23,14.875000,15.468750,14.812500,15.156250,7.509874,547200
2000-03-24,15.125000,15.500000,14.937500,15.250000,7.556330,214600
2000-03-27,15.187500,15.187500,14.750000,15.031250,7.447939,179200
2000-03-28,15.062500,15.187500,14.875000,15.000000,7.432456,530000
2000-03-29,14.906250,14.968750,14.781250,14.968750,7.474276,689600
2000-03-30,14.968750,15.968750,14.875000,15.968750,7.973601,992200
2000-03-31,16.000000,16.437500,15.968750,16.250000,8.114036,1202600
2000-04-03,16.125000,16.375000,15.750000,16.375000,8.176448,198600
2000-04-04,16.250000,16.281250,15.812500,15.968750,7.973601,148800
