Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,9.187500,9.187500,8.937500,9.062500,6.339498,74000
2000-01-19,9.062500,9.218750,9.000000,9.093750,6.361359,106000
2000-01-20,9.125000,9.312500,8.875000,8.968750,6.273917,77400
2000-01-21,9.031250,9.187500,8.875000,9.093750,6.361359,111200
2000-01-24,9.281250,9.281250,8.937500,8.937500,6.252057,120400
2000-01-25,8.968750,8.968750,8.562500,8.562500,5.989732,67200
2000-01-26,8.593750,8.875000,8.562500,8.875000,6.208333,91200
2000-01-27,8.937500,9.093750,8.937500,9.031250,6.317635,83000
2000-01-28,9.031250,9.156250,8.750000,8.812500,6.164615,90800
2000-01-31,8.843750,9.187500,8.843750,9.031250,6.317635,114600
2000-02-01,9.000000,9.000000,8.656250,8.781250,6.142752,59000
2000-02-02,8.718750,8.937500,8.656250,8.812500,6.164615,122200
2000-02-03,8.812500,8.875000,8.687500,8.812500,6.164615,61600
2000-02-04,8.781250,8.781250,8.562500,8.687500,6.077173,101400
2000-02-07,8.562500,8.687500,8.500000,8.687500,6.077173,62200
2000-02-08,8.781250,8.843750,8.500000,8.562500,5.989732,70800
2000-02-09,8.625000,8.812500,8.312500,8.437500,5.902291,98800
2000-02-10,8.406250,8.500000,8.218750,8.437500,5.902291,522200
2000-02-11,8.437500,8.531250,7.968750,8.000000,5.596246,135000
2000-02-14,7.968750,8.250000,7.906250,8.218750,5.749266,56200
2000-02-15,8.312500,8.437500,8.156250,8.437500,5.902291,76200
2000-02-16,8.437500,8.531250,8.125000,8.125000,5.683685,86000
2000-02-17,8.218750,8.468750,8.187500,8.250000,5.771127,82400
2000-02-18,8.281250,8.281250,7.937500,7.968750,5.574386,60400
2000-02-22,7.968750,8.000000,7.812500,7.968750,5.574386,123800
2000-02-23,8.031250,8.093750,7.687500,7.875000,5.508802,95600
2000-02-24,7.875000,7.937500,7.656250,7.687500,5.377643,41400
2000-02-25,7.718750,7.750000,7.625000,7.656250,5.355783,63600
2000-02-28,7.625000,7.781250,7.500000,7.656250,5.355783,110800
2000-02-29,7.656250,8.093750,7.531250,7.531250,5.268341,194800
2000-03-01,7.500000,7.531250,7.281250,7.281250,5.093457,123200
2000-03-02,7.281250,7.500000,7.281250,7.468750,5.224620,156600
2000-03-03,7.437500,7.562500,7.437500,7.500000,5.246479,65000
2000-03-06,7.500000,8.000000,7.500000,7.781250,5.443223,179000
2000-03-07,7.843750,7.953125,7.500000,7.500000,5.246479,222600
2000-03-08,7.875000,7.968750,7.875000,7.875000,5.508802,152400
2000-03-09,7.781250,7.906250,7.687500,7.718750,5.399504,161200
2000-03-10,7.687500,8.078125,7.593750,8.000000,5.596246,167600
2000-03-13,7.812500,8.000000,7.656250,7.843750,5.524927,85600
2000-03-14,7.906250,7.937500,7.843750,7.906250,5.568950,139200
2000-03-15,7.906250,8.656250,7.843750,8.625000,6.075220,141200
2000-03-16,8.656250,9.281250,8.656250,9.281250,6.537462,368600
2000-03-17,9.125000,9.500000,9.125000,9.468750,6.669533,267800
2000-03-20,9.468750,9.812500,9.468750,9.812500,6.911660,275800
2000-03-21,9.750000,9.875000,9.593750,9.875000,6.955685,353400
2000-03-22,9.875000,10.000000,9.406250,9.406250,6.625510,338000
2000-03-23,9.312500,9.406250,9.000000,9.343750,6.581488,399200
2000-03-24,9.250000,9.500000,9.000000,9.437500,6.647523,61600
2000-03-27,9.375000,9.500000,9.093750,9.437500,6.647523,67800
2000-03-28,9.375000,9.406250,8.812500,9.156250,6.449418,63800
2000-03-29,9.093750,9.093750,8.906250,8.968750,6.317348,134400
2000-03-30,9.031250,9.562500,9.031250,9.562500,6.735569,83800
2000-03-31,9.656250,10.562500,9.500000,10.375000,7.307875,418200
2000-04-03,10.187500,10.187500,10.000000,10.000000,7.043733,172000
2000-04-04,10.000000,10.187500,9.750000,10.125000,7.131778,154400
2000-04-05,10.156250,10.156250,9.656250,9.781250,6.889647,86200
2000-04-06,9.843750,10.000000,9.812500,9.937500,6.999711,99400
2000-04-07,9.937500,10.218750,9.937500,10.156250,7.153793,40200
2000-04-10,10.093750,10.187500,9.906250,9.906250,6.977697,71400
2000-04-11,9.906250,10.187500,9.843750,10.000000,7.043733,375200
2000-04-12,10.062500,10.125000,9.968750,9.968750,7.021721,295600
2000-04-13,9.968750,10.000000,9.656250,9.968750,7.021721,219400
2000-04-14,10.000000,10.125000,9.906250,9.937500,6.999711,218800
2000-04-17,9.906250,9.906250,9.656250,9.750000,6.867638,81200
2000-04-18,9.750000,9.750000,9.375000,9.468750,6.669533,173800
2000-04-19,9.531250,9.781250,9.531250,9.750000,6.867638,159000
2000-04-20,9.718750,10.000000,9.687500,9.968750,7.021721,502200
2000-04-24,9.875000,10.312500,9.875000,10.281250,7.241841,157200
2000-04-25,10.468750,11.000000,10.343750,10.562500,7.439943,344200
2000-04-26,10.562500,10.625000,10.000000,10.156250,7.153793,147200
2000-04-27,10.156250,10.812500,10.093750,10.500000,7.395919,178400
2000-04-28,10.437500,10.468750,10.125000,10.468750,7.373907,65600
2000-05-01,10.406250,10.750000,10.406250,10.593750,7.461956,260200
2000-05-02,10.625000,10.750000,10.562500,10.656250,7.505975,71400
2000-05-03,10.718750,11.125000,10.718750,11.093750,7.814143,355200
2000-05-04,11.062500,11.250000,10.687500,10.750000,7.572015,165200
2000-05-05,10.781250,11.250000,10.625000,10.843750,7.638052,237600
2000-05-08,10.875000,11.000000,10.781250,11.000000,7.748107,86800
2000-05-09,10.937500,11.000000,10.687500,11.000000,7.748107,196200
2000-05-10,10.937500,10.937500,10.750000,10.781250,7.594023,70400
2000-05-11,10.843750,11.000000,10.812500,10.968750,7.726093,182400
2000-05-12,10.906250,11.000000,10.781250,10.937500,7.704084,75800
2000-05-15,10.906250,10.968750,10.781250,10.968750,7.726093,72600
2000-05-16,11.000000,11.562500,10.906250,11.406250,8.034260,170600
2000-05-17,11.437500,11.437500,11.125000,11.156250,7.858162,82800
2000-05-18,11.250000,11.468750,11.187500,11.437500,8.056269,152000
2000-05-19,11.312500,11.437500,11.000000,11.375000,8.012245,100000
2000-05-22,11.437500,11.562500,11.406250,11.531250,8.122303,78000
2000-05-23,11.593750,11.750000,11.500000,11.625000,8.188340,231400
2000-05-24,11.593750,11.781250,11.406250,11.718750,8.254372,114600
2000-05-25,11.750000,11.843750,11.562500,11.687500,8.232364,159800
2000-05-26,11.750000,11.750000,11.187500,11.218750,7.902189,99800
2000-05-30,11.125000,11.625000,11.031250,11.468750,8.078279,116400
2000-05-31,11.468750,11.500000,11.000000,11.000000,7.748107,153600
2000-06-01,11.031250,11.031250,10.500000,10.781250,7.594023,229600
2000-06-02,10.687500,11.468750,10.687500,11.343750,7.990233,133400
2000-06-05,11.281250,11.281250,10.843750,10.937500,7.704084,44600
2000-06-06,10.968750,11.000000,10.875000,10.968750,7.726093,36400
2000-06-07,10.968750,11.468750,10.937500,11.406250,8.034260,257800
2000-06-08,11.375000,11.375000,11.000000,11.031250,7.770117,35200
2000-06-09,11.093750,11.156250,11.031250,11.062500,7.792128,21800
2000-06-12,11.062500,11.500000,11.062500,11.312500,7.968224,70000
2000-06-13,11.218750,11.500000,11.156250,11.187500,7.918673,143400
2000-06-14,11.000000,11.218750,10.812500,10.937500,7.741724,140400
2000-06-15,11.000000,11.000000,10.687500,10.875000,7.697482,138000
2000-06-16,10.843750,10.875000,10.687500,10.843750,7.675364,203800
2000-06-19,10.875000,10.875000,10.625000,10.812500,7.653244,45000
2000-06-20,10.812500,10.812500,10.500000,10.593750,7.498409,155000
2000-06-21,10.687500,10.687500,10.468750,10.500000,7.432053,272200
2000-06-22,10.437500,10.437500,10.187500,10.187500,7.210863,202200
2000-06-23,10.187500,10.218750,10.031250,10.156250,7.188746,229400
2000-06-26,10.250000,10.250000,10.156250,10.250000,7.255101,33600
2000-06-27,10.187500,10.218750,10.093750,10.125000,7.166621,141200
2000-06-28,10.187500,10.875000,10.187500,10.875000,7.697482,239200
2000-06-29,10.875000,11.312500,10.718750,11.031250,7.808081,200600
2000-06-30,11.062500,11.250000,9.875000,9.875000,6.989669,633600
2000-07-03,10.000000,10.812500,10.000000,10.781250,7.631128,95200
2000-07-05,10.781250,11.062500,10.750000,10.937500,7.741724,219600
2000-07-06,10.968750,11.062500,10.687500,10.750000,7.609006,113600
2000-07-07,10.750000,11.187500,10.750000,11.156250,7.896556,205000
2000-07-10,11.156250,11.343750,11.062500,11.218750,7.940794,124400
2000-07-11,11.156250,11.406250,10.937500,11.031250,7.808081,99000
2000-07-12,11.093750,11.437500,11.031250,11.343750,8.029272,45400
2000-07-13,11.312500,11.343750,11.000000,11.187500,7.918673,165600
2000-07-14,11.187500,11.187500,11.125000,11.125000,7.874439,50000
2000-07-17,11.125000,11.593750,11.125000,11.156250,7.896556,109400
2000-07-18,11.281250,11.281250,11.093750,11.093750,7.852316,101200
2000-07-19,11.156250,11.187500,11.093750,11.093750,7.852316,111600
2000-07-20,11.156250,11.218750,11.093750,11.156250,7.896556,205000
2000-07-21,11.187500,11.843750,11.156250,11.812500,8.361057,244400
2000-07-24,11.750000,11.750000,11.187500,11.281250,7.985031,98000
2000-07-25,11.312500,12.000000,11.218750,11.906250,8.427413,178200
2000-07-26,11.937500,11.937500,11.625000,11.750000,8.316820,231800
2000-07-27,11.750000,11.968750,11.625000,11.812500,8.361057,135000
2000-07-28,11.687500,12.000000,11.625000,12.000000,8.493773,212000
2000-07-31,12.125000,12.375000,12.125000,12.343750,8.737087,270600
2000-08-01,12.312500,12.375000,12.218750,12.343750,8.737087,74200
2000-08-02,12.375000,12.375000,12.000000,12.218750,8.648610,256800
2000-08-03,12.156250,12.343750,12.093750,12.218750,8.648610,107400
2000-08-04,12.156250,12.218750,11.875000,12.062500,8.538013,128800
2000-08-07,12.093750,12.250000,12.093750,12.250000,8.670732,874200
2000-08-08,12.343750,12.656250,12.250000,12.281250,8.692846,242400
2000-08-09,12.187500,12.625000,12.125000,12.125000,8.582252,189800
2000-08-10,12.062500,12.281250,11.875000,12.062500,8.538013,135800
2000-08-11,12.093750,12.187500,12.000000,12.031250,8.515893,411000
2000-08-14,12.062500,12.625000,12.062500,12.468750,8.825562,125200
2000-08-15,12.500000,12.500000,12.062500,12.312500,8.714965,100600
2000-08-16,12.468750,13.062500,12.468750,12.843750,9.090991,404800
2000-08-17,12.875000,13.031250,12.625000,12.656250,8.958277,472600
2000-08-18,12.625000,12.625000,12.000000,12.437500,8.803443,165800
2000-08-21,12.406250,12.625000,12.375000,12.500000,8.847682,128200
2000-08-22,12.437500,12.812500,12.406250,12.812500,9.068872,138600
2000-08-23,12.812500,12.812500,12.468750,12.593750,8.914042,119200
2000-08-24,12.625000,12.750000,12.375000,12.375000,8.759206,213800
2000-08-25,12.437500,12.781250,12.406250,12.687500,8.980396,236200
