Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,2.814815,2.944444,2.805556,2.944444,2.519405,274600
2000-01-19,2.935185,2.949074,2.870370,2.888889,2.471869,592600
2000-01-20,2.888889,2.916667,2.870370,2.907408,2.487713,235500
2000-01-21,2.888889,2.898148,2.879630,2.898148,2.479791,452200
2000-01-24,2.898148,2.907408,2.787037,2.787037,2.384719,187600
2000-01-25,2.759259,2.759259,2.694444,2.740741,2.345106,248400
2000-01-26,2.759259,2.814815,2.731482,2.814815,2.408487,230100
2000-01-27,2.851852,2.981482,2.833333,2.972222,2.543173,541300
2000-01-28,2.962963,3.027778,2.925926,3.027778,2.590709,469800
2000-01-31,3.074074,3.259259,3.055556,3.259259,2.788775,432600
2000-02-01,3.259259,3.277778,2.925926,2.925926,2.503560,523000
2000-02-02,2.944444,2.944444,2.759259,2.759259,2.360951,839700
2000-02-03,2.759259,2.768518,2.675926,2.712963,2.321338,335400
2000-02-04,2.703704,2.722222,2.666667,2.694444,2.305493,157200
2000-02-07,2.694444,2.694444,2.638889,2.657408,2.273803,124200
2000-02-08,2.666667,2.703704,2.592592,2.648148,2.265880,639100
2000-02-09,2.657408,2.657408,2.546296,2.592592,2.218343,237600
2000-02-10,2.592592,2.592592,2.416667,2.444444,2.091581,433900
2000-02-11,2.444444,2.657408,2.444444,2.657408,2.273803,1080600
2000-02-14,2.648148,2.657408,2.620370,2.657408,2.273803,149100
2000-02-15,2.666667,2.694444,2.638889,2.657408,2.273803,524400
2000-02-16,2.648148,2.666667,2.620370,2.638889,2.257956,301600
2000-02-17,2.611111,2.666667,2.611111,2.657408,2.273803,385300
2000-02-18,2.657408,2.657408,2.611111,2.620370,2.242111,116100
2000-02-22,2.620370,2.685185,2.564815,2.685185,2.297570,197100
2000-02-23,2.685185,2.685185,2.564815,2.592592,2.218343,353700
2000-02-24,2.583333,2.583333,2.537037,2.537037,2.170807,228700
2000-02-25,2.518518,2.620370,2.481482,2.555556,2.186653,351000
2000-02-28,2.537037,2.537037,2.462963,2.490741,2.131194,196300
2000-02-29,2.490741,2.527778,2.472222,2.509259,2.147039,334000
2000-03-01,2.509259,2.740741,2.407408,2.740741,2.345106,739000
2000-03-02,2.722222,2.722222,2.629630,2.638889,2.257956,250300
2000-03-03,2.629630,2.629630,2.555556,2.583333,2.210422,258400
2000-03-06,2.583333,2.601852,2.555556,2.601852,2.226266,308400
2000-03-07,2.601852,2.601852,2.555556,2.583333,2.210422,573000
2000-03-08,2.564815,2.638889,2.564815,2.629630,2.250034,322600
2000-03-09,2.638889,2.638889,2.574074,2.583333,2.210422,416400
2000-03-10,2.546296,2.555556,2.481482,2.481482,2.123271,314500
2000-03-13,2.490741,2.574074,2.481482,2.546296,2.178729,251100
2000-03-14,2.564815,2.564815,2.296296,2.370370,2.028200,1003000
2000-03-15,2.370370,2.388889,2.333333,2.388889,2.051740,540000
2000-03-16,2.388889,2.527778,2.388889,2.527778,2.171028,579700
2000-03-17,2.453704,2.638889,2.453704,2.638889,2.266456,508200
2000-03-20,2.620370,2.657408,2.620370,2.648148,2.274410,166000
2000-03-21,2.629630,2.638889,2.564815,2.601852,2.234647,162600
2000-03-22,2.620370,2.694444,2.620370,2.694444,2.314172,440700
2000-03-23,2.712963,2.805556,2.712963,2.731482,2.345983,431200
2000-03-24,2.787037,2.805556,2.750000,2.777778,2.385745,327300
2000-03-27,2.796296,2.814815,2.759259,2.759259,2.369840,383400
2000-03-28,2.740741,2.740741,2.611111,2.620370,2.250551,171400
2000-03-29,2.638889,2.648148,2.546296,2.583333,2.218742,153100
2000-03-30,2.592592,2.879630,2.592592,2.814815,2.417555,433900
2000-03-31,2.824074,2.962963,2.824074,2.851852,2.449365,644500
2000-04-03,2.824074,2.925926,2.805556,2.916667,2.505031,675600
2000-04-04,2.916667,2.925926,2.888889,2.907408,2.497079,309700
2000-04-05,2.907408,2.953704,2.898148,2.907408,2.497079,256500
2000-04-06,2.907408,2.962963,2.907408,2.962963,2.544794,405600
2000-04-07,2.962963,3.000000,2.962963,2.990741,2.568653,94500
2000-04-10,3.018518,3.148148,2.981482,2.981482,2.560699,398800
2000-04-11,2.962963,2.981482,2.907408,2.953704,2.536839,176800
2000-04-12,2.953704,2.981482,2.925926,2.944444,2.528890,55300
2000-04-13,2.962963,2.981482,2.925926,2.944444,2.528890,101800
2000-04-14,2.944444,2.962963,2.916667,2.962963,2.544794,156600
2000-04-17,2.944444,2.962963,2.833333,2.879630,2.473222,490600
2000-04-18,2.916667,2.981482,2.898148,2.944444,2.528890,172800
2000-04-19,2.962963,3.037037,2.944444,3.027778,2.600462,276000
2000-04-20,3.027778,3.092592,3.009259,3.074074,2.640223,582400
2000-04-24,3.092592,3.092592,2.981482,2.990741,2.568653,213900
2000-04-25,3.027778,3.074074,2.990741,3.055556,2.624318,1278400
2000-04-26,3.064815,3.074074,3.046296,3.046296,2.616367,317200
2000-04-27,3.027778,3.064815,2.981482,3.055556,2.624318,184200
2000-04-28,3.064815,3.074074,3.000000,3.046296,2.616367,294300
2000-05-01,2.990741,3.194444,2.990741,3.083333,2.648177,481200
2000-05-02,3.064815,3.074074,3.018518,3.046296,2.616367,309700
2000-05-03,3.009259,3.027778,2.953704,2.953704,2.536839,203800
2000-05-04,2.972222,3.111111,2.953704,3.064815,2.632272,514300
2000-05-05,3.055556,3.129630,3.055556,3.111111,2.672035,255100
2000-05-08,3.111111,3.111111,3.046296,3.074074,2.640223,259200
2000-05-09,3.092592,3.092592,3.018518,3.064815,2.632272,413700
2000-05-10,3.046296,3.055556,2.962963,3.009259,2.584557,97200
2000-05-11,3.027778,3.055556,2.990741,3.000000,2.576605,157200
2000-05-12,3.009259,3.018518,2.962963,3.000000,2.576605,170100
2000-05-15,3.000000,3.046296,2.981482,3.046296,2.616367,227400
2000-05-16,3.064815,3.138889,3.064815,3.111111,2.672035,363100
2000-05-17,3.101852,3.101852,3.055556,3.074074,2.640223,202500
2000-05-18,3.064815,3.111111,3.027778,3.046296,2.616367,133600
2000-05-19,3.027778,3.027778,2.953704,2.962963,2.544794,83700
2000-05-22,2.944444,2.962963,2.833333,2.962963,2.544794,239500
2000-05-23,2.962963,2.962963,2.861111,2.861111,2.457316,157200
2000-05-24,2.861111,2.907408,2.805556,2.888889,2.481174,236200
2000-05-25,2.888889,2.907408,2.870370,2.888889,2.481174,122800
2000-05-26,2.888889,2.888889,2.833333,2.833333,2.433458,66100
2000-05-30,2.870370,3.000000,2.870370,3.000000,2.576605,226000
