Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,4.925781,5.062500,4.898438,4.921875,4.487978,2561600
2000-01-19,4.906250,5.000000,4.789063,4.875000,4.445234,1918400
2000-01-20,4.953125,5.054688,4.843750,4.847656,4.420302,1563200
2000-01-21,4.847656,4.875000,4.656250,4.660156,4.249329,1180800
2000-01-24,4.675781,4.828125,4.562500,4.625000,4.217272,1500800
2000-01-25,4.625000,4.625000,4.445313,4.496094,4.099730,812800
2000-01-26,4.496094,4.597656,4.375000,4.562500,4.160282,1344000
2000-01-27,4.578125,4.652344,4.480469,4.496094,4.099730,1100800
2000-01-28,4.496094,4.535156,4.273438,4.285156,3.907389,552000
2000-01-31,4.285156,4.343750,4.175781,4.242188,3.868208,1344000
2000-02-01,4.242188,4.261719,4.179688,4.214844,3.843274,812800
2000-02-02,4.214844,4.406250,4.214844,4.304688,3.925199,710400
2000-02-03,4.343750,4.355469,4.308594,4.324219,3.943009,724800
2000-02-04,4.343750,4.386719,4.335938,4.386719,3.999999,462400
2000-02-07,4.343750,4.378906,4.296875,4.316406,3.935884,406400
2000-02-08,4.359375,4.468750,4.359375,4.359375,3.975062,1032000
2000-02-09,4.363281,4.363281,4.218750,4.230469,3.857522,582400
2000-02-10,4.242188,4.250000,4.144531,4.167969,3.800532,465600
2000-02-11,4.171875,4.210938,4.093750,4.140625,3.775598,688000
2000-02-14,4.140625,5.125000,4.121094,5.121094,4.669633,12112000
2000-02-15,5.109375,5.109375,4.601563,4.695313,4.281386,4083200
2000-02-16,4.699219,4.898438,4.699219,4.875000,4.445234,2460800
2000-02-17,4.820313,4.835938,4.695313,4.738281,4.320568,1014400
2000-02-18,4.746094,4.750000,4.492188,4.542969,4.142473,1065600
2000-02-22,4.480469,4.500000,4.324219,4.457031,4.064113,1508800
2000-02-23,4.488281,4.546875,4.281250,4.531250,4.131787,1454400
2000-02-24,4.546875,4.671875,4.539063,4.621094,4.213711,1244800
2000-02-25,4.625000,4.789063,4.589844,4.621094,4.213711,1830400
2000-02-28,4.640625,4.687500,4.566406,4.687500,4.274263,1964800
2000-02-29,4.687500,5.078125,4.687500,4.996094,4.555654,2008000
2000-03-01,5.000000,5.343750,4.972656,5.343750,4.872659,2097600
2000-03-02,5.328125,5.328125,5.085938,5.140625,4.687442,1851200
2000-03-03,5.187500,5.281250,5.125000,5.128906,4.676756,734400
2000-03-06,5.132813,5.242188,5.101563,5.156250,4.701689,1812800
2000-03-07,5.156250,5.195313,4.875000,4.910156,4.477291,769600
2000-03-08,4.843750,4.878906,4.585938,4.757813,4.338378,1464000
2000-03-09,4.742188,4.828125,4.703125,4.804688,4.381121,622400
2000-03-10,5.296875,5.500000,5.226563,5.382813,4.908279,6408000
2000-03-13,5.234375,5.328125,5.148438,5.203125,4.744430,1507200
2000-03-14,5.242188,5.343750,5.019531,5.046875,4.601958,1284800
2000-03-15,5.375000,5.621094,5.203125,5.382813,4.908279,6161600
2000-03-16,5.414063,5.546875,5.324219,5.523438,5.036507,1641600
2000-03-17,5.484375,5.937500,5.437500,5.933594,5.410505,3424000
2000-03-20,5.933594,5.968750,5.796875,5.816406,5.303650,2280000
2000-03-21,5.800781,5.875000,5.707031,5.796875,5.285839,1985600
2000-03-22,5.812500,5.906250,5.812500,5.863281,5.346391,732800
2000-03-23,5.875000,6.148438,5.875000,6.132813,5.592160,1312000
2000-03-24,6.117188,6.484375,6.031250,6.031250,5.499552,3350400
2000-03-27,5.968750,6.515625,5.945313,6.457031,5.887799,2358400
2000-03-28,6.445313,6.445313,6.195313,6.242188,5.691894,1288000
2000-03-29,6.296875,6.410156,6.015625,6.023438,5.492429,1596800
2000-03-30,6.015625,6.097656,5.960938,6.023438,5.492429,2180800
2000-03-31,6.078125,6.417969,6.050781,6.390625,5.827245,2284800
2000-04-03,6.359375,6.359375,6.269531,6.292969,5.738200,2112000
2000-04-04,6.257813,6.375000,5.656250,6.312500,5.756007,3291200
2000-04-05,6.296875,6.500000,6.226563,6.500000,5.926978,1587200
2000-04-06,6.625000,6.937500,6.554688,6.906250,6.297415,2625600
2000-04-07,7.015625,7.515625,6.914063,7.414063,6.760462,3361600
2000-04-10,7.500000,7.500000,7.210938,7.335938,6.689224,2801600
2000-04-11,7.187500,7.335938,6.921875,7.328125,6.682099,1995200
2000-04-12,7.332031,7.468750,7.093750,7.203125,6.568118,3648000
2000-04-13,7.109375,7.171875,6.726563,7.085938,6.461261,3782400
2000-04-14,6.937500,6.937500,5.750000,5.789063,5.278716,2872000
2000-04-17,5.843750,6.250000,5.812500,6.062500,5.528046,4067200
2000-04-18,6.187500,7.125000,6.187500,7.015625,6.397146,3561600
2000-04-19,7.312500,7.343750,7.031250,7.207031,6.571681,1761600
2000-04-20,7.199219,7.253906,6.941406,7.062500,6.439890,1256000
2000-04-24,6.968750,7.011719,6.781250,6.882813,6.276042,1368000
2000-04-25,7.187500,7.566406,7.117188,7.500000,6.838820,3515200
