Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,4.859375,4.859375,4.726563,4.757813,3.839254,904800
2000-01-19,4.750000,4.773438,4.656250,4.703125,3.795124,843200
2000-01-20,4.726563,4.742188,4.671875,4.679688,3.776210,1096000
2000-01-21,4.687500,4.734375,4.671875,4.671875,3.769904,1508000
2000-01-24,4.734375,4.734375,4.562500,4.570313,3.687951,1733600
2000-01-25,4.578125,4.578125,4.398438,4.460938,3.599694,1386400
2000-01-26,4.445313,4.500000,4.406250,4.437500,3.580782,764000
2000-01-27,4.437500,4.468750,4.312500,4.343750,3.505130,1005600
2000-01-28,4.320313,4.320313,4.195313,4.226563,3.425354,1021600
2000-01-31,4.250000,4.328125,4.164063,4.203125,3.406359,1460000
2000-02-01,4.234375,4.234375,3.906250,4.054688,3.286059,3586400
2000-02-02,4.093750,4.140625,4.031250,4.062500,3.292393,2112000
2000-02-03,4.125000,4.250000,4.109375,4.187500,3.393697,1642400
2000-02-04,4.218750,4.281250,4.125000,4.140625,3.355708,574400
2000-02-07,4.125000,4.140625,4.070313,4.085938,3.311386,672800
2000-02-08,4.109375,4.187500,4.062500,4.125000,3.343045,1793600
2000-02-09,4.125000,4.187500,4.125000,4.164063,3.374702,1509600
2000-02-10,4.132813,4.257813,4.132813,4.203125,3.406359,2168800
2000-02-11,4.234375,4.257813,4.164063,4.164063,3.374702,1455200
2000-02-14,4.156250,4.250000,4.132813,4.210938,3.412691,1676000
2000-02-15,4.226563,4.265625,4.164063,4.250000,3.444348,1344800
2000-02-16,4.234375,4.242188,4.117188,4.117188,3.336712,1183200
2000-02-17,4.140625,4.140625,4.015625,4.023438,3.260734,1260000
2000-02-18,4.054688,4.054688,3.929688,3.929688,3.184756,1137600
2000-02-22,3.937500,3.937500,3.882813,3.937500,3.191087,1024000
2000-02-23,3.929688,3.929688,3.843750,3.875000,3.140435,901600
2000-02-24,3.843750,3.855469,3.718750,3.757813,3.045462,931200
2000-02-25,3.789063,3.875000,3.718750,3.875000,3.140435,1556000
2000-02-28,3.867188,3.898438,3.765625,3.882813,3.146766,770400
2000-02-29,3.875000,4.000000,3.820313,4.000000,3.241739,1099200
2000-03-01,3.984375,4.085938,3.937500,4.062500,3.292393,864800
2000-03-02,4.031250,4.148438,4.031250,4.125000,3.343045,984000
2000-03-03,4.156250,4.156250,4.062500,4.078125,3.305054,835200
2000-03-06,4.109375,4.187500,4.062500,4.085938,3.311386,757600
2000-03-07,4.085938,4.101563,3.984375,3.992188,3.235409,1052800
2000-03-08,4.000000,4.023438,3.906250,3.914063,3.172093,1135200
2000-03-09,3.914063,3.914063,3.851563,3.875000,3.140435,1499200
2000-03-10,3.875000,4.046875,3.875000,3.968750,3.216413,895200
2000-03-13,3.875000,4.140625,3.875000,4.054688,3.286059,1528800
2000-03-14,4.062500,4.210938,4.031250,4.070313,3.298723,1523200
2000-03-15,4.070313,4.218750,4.062500,4.156250,3.368371,2005600
2000-03-16,4.203125,4.398438,4.203125,4.343750,3.520326,1399200
2000-03-17,4.320313,4.578125,4.320313,4.562500,3.697608,1548800
2000-03-20,4.468750,4.656250,4.468750,4.523438,3.665951,2226400
2000-03-21,4.531250,4.625000,4.531250,4.593750,3.722934,712800
2000-03-22,4.593750,4.617188,4.562500,4.570313,3.703941,932800
