Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,29.031250,30.250000,29.000000,30.062500,23.643167,1920200
2000-01-19,30.250000,30.500000,29.312500,30.000000,23.594013,1027100
2000-01-20,30.062500,30.250000,29.687500,30.187500,23.741476,1357500
2000-01-21,30.375000,31.312500,30.250000,31.000000,24.380482,2206200
2000-01-24,31.500000,35.625000,31.500000,34.125000,26.838192,2574500
2000-01-25,34.375000,34.375000,33.000000,33.750000,26.543268,1161100
2000-01-26,33.781250,34.250000,33.500000,34.000000,26.739878,1422300
2000-01-27,34.250000,34.375000,32.625000,32.875000,25.855103,1616200
2000-01-28,33.000000,33.937500,32.187500,33.125000,26.051723,1236000
2000-01-31,32.875000,33.250000,30.250000,31.625000,24.872025,970700
2000-02-01,31.437500,32.375000,31.312500,31.875000,25.068636,1085900
2000-02-02,31.937500,33.250000,31.875000,33.250000,26.150028,1175200
2000-02-03,33.437500,33.750000,33.062500,33.062500,26.002569,2666500
2000-02-04,33.250000,33.250000,31.375000,32.093750,25.240679,730500
2000-02-07,32.125000,32.125000,31.250000,31.625000,24.872025,949200
2000-02-08,31.562500,32.375000,31.500000,32.375000,25.461868,1040500
2000-02-09,32.875000,33.875000,32.625000,33.812500,26.592413,2288000
2000-02-10,33.875000,40.125000,33.812500,39.937500,31.409533,2879400
2000-02-11,39.375000,39.500000,35.375000,38.968750,30.647644,2731600
2000-02-14,38.937500,39.000000,35.750000,36.937500,29.050131,1256700
2000-02-15,37.000000,37.000000,34.687500,35.750000,28.116203,1697000
2000-02-16,36.000000,36.000000,34.000000,34.062500,26.789036,755900
2000-02-17,34.375000,35.250000,33.375000,33.687500,26.494110,1919400
2000-02-18,34.125000,34.125000,32.375000,32.750000,25.756800,1610600
2000-02-22,33.062500,34.000000,32.875000,33.562500,26.395807,888900
2000-02-23,33.875000,34.125000,31.500000,31.812500,25.019482,1781000
2000-02-24,32.375000,32.625000,31.750000,32.125000,25.265257,1451000
2000-02-25,33.125000,34.000000,32.500000,33.125000,26.051723,1500000
2000-02-28,33.562500,33.875000,30.250000,31.375000,24.675404,1745600
2000-02-29,31.625000,33.000000,31.000000,32.250000,25.363569,3442800
2000-03-01,33.125000,33.625000,32.375000,33.375000,26.248339,6139900
2000-03-02,34.500000,40.625000,34.500000,40.000000,31.458681,5387300
2000-03-03,39.875000,42.625000,37.875000,42.437500,33.375698,2669800
2000-03-06,42.687500,42.687500,40.250000,40.687500,31.999374,2229000
2000-03-07,40.875000,41.125000,39.875000,40.062500,31.507841,3402000
2000-03-08,40.125000,40.125000,39.125000,39.750000,31.262072,2693000
2000-03-09,39.875000,41.187500,39.500000,40.812500,32.097698,5372400
2000-03-10,41.000000,41.937500,40.875000,41.500000,32.638382,5832800
2000-03-13,40.875000,42.375000,39.875000,41.500000,32.638382,3704300
2000-03-14,41.875000,41.875000,40.750000,41.000000,32.245148,2173900
2000-03-15,40.687500,40.750000,39.375000,40.062500,31.507841,2546400
2000-03-16,39.875000,40.375000,39.812500,40.312500,31.704454,1027000
2000-03-17,40.312500,42.125000,39.000000,40.500000,31.851902,2675200
2000-03-20,42.000000,42.187500,39.750000,40.000000,31.458681,1415200
2000-03-21,40.375000,40.375000,39.500000,39.750000,31.262072,849600
2000-03-22,40.375000,42.187500,40.000000,41.875000,32.933308,869000
2000-03-23,41.812500,44.750000,41.500000,42.250000,33.228237,2041200
2000-03-24,42.500000,43.125000,40.000000,41.625000,32.736698,1149200
2000-03-27,42.000000,42.000000,39.500000,39.937500,31.409533,980200
2000-03-28,39.687500,39.750000,37.750000,38.500000,30.278980,851300
2000-03-29,39.250000,39.875000,37.562500,37.875000,29.787449,686200
2000-03-30,37.875000,37.875000,35.875000,36.000000,28.312819,1376800
2000-03-31,36.562500,38.250000,36.500000,37.875000,29.787449,1088700
2000-04-03,38.250000,38.250000,33.375000,33.500000,26.346649,1629600
2000-04-04,34.187500,35.500000,29.625000,34.250000,26.936497,1524900
2000-04-05,33.375000,36.000000,33.000000,35.375000,27.821270,1024600
2000-04-06,35.875000,40.375000,35.750000,39.375000,30.967140,1550600
2000-04-07,39.125000,40.250000,38.500000,38.500000,30.278980,1226700
2000-04-10,38.687500,39.875000,38.000000,39.812500,31.311226,1294700
2000-04-11,39.875000,39.875000,36.625000,36.750000,28.902666,1151400
2000-04-12,36.500000,37.000000,33.562500,33.562500,26.395807,906000
2000-04-13,34.000000,35.625000,33.625000,35.000000,27.526346,652600
2000-04-14,34.375000,34.437500,32.562500,32.875000,25.855103,1028400
2000-04-17,32.187500,32.781250,29.250000,32.250000,25.363569,1106900
2000-04-18,32.375000,36.625000,32.375000,36.000000,28.312819,673000
2000-04-19,36.375000,36.859375,35.000000,35.562500,27.968731,953700
2000-04-20,35.375000,36.000000,33.000000,33.937500,26.690731,1569600
2000-04-24,33.375000,33.812500,31.750000,33.812500,26.592413,771600
2000-04-25,34.062500,34.875000,33.375000,33.812500,26.592413,168300
2000-04-26,34.000000,39.000000,33.125000,37.750000,29.689131,1458600
2000-04-27,37.125000,39.750000,35.500000,38.125000,29.984066,763000
2000-04-28,38.000000,40.000000,37.750000,38.375000,30.180666,838800
2000-05-01,38.812500,39.000000,37.437500,37.812500,29.738287,705700
2000-05-02,37.812500,38.312500,37.000000,37.125000,29.197594,1001300
2000-05-03,36.750000,37.812500,31.750000,33.000000,25.953417,1702600
2000-05-04,34.875000,37.000000,34.375000,36.750000,28.902666,1046200
2000-05-05,37.000000,37.000000,34.500000,34.875000,27.428038,982700
2000-05-08,35.125000,35.500000,32.500000,33.125000,26.051723,622900
2000-05-09,33.625000,34.375000,30.312500,31.875000,25.068636,826200
2000-05-10,32.125000,32.187500,30.000000,30.125000,23.692326,614100
2000-05-11,30.500000,30.562500,27.750000,29.687500,23.348244,870800
2000-05-12,29.781250,30.312500,29.250000,29.875000,23.495705,1349900
2000-05-15,29.500000,29.875000,28.875000,29.750000,23.397400,966400
2000-05-16,29.750000,32.000000,29.750000,31.250000,24.577099,1631300
2000-05-17,31.000000,31.062500,30.125000,30.625000,24.085558,779300
2000-05-18,30.531250,30.625000,29.500000,29.750000,23.397400,473100
2000-05-19,29.750000,33.000000,27.687500,28.156250,22.143965,668200
2000-05-22,28.375000,28.500000,25.250000,26.562500,20.890533,1373000
2000-05-23,26.250000,26.750000,25.062500,25.125000,19.759983,685400
2000-05-24,24.937500,25.000000,23.062500,24.500000,19.268446,1788500
2000-05-25,24.375000,26.250000,23.812500,24.812500,19.514219,1446500
2000-05-26,24.625000,25.562500,23.875000,25.250000,19.858299,652300
2000-05-30,25.125000,27.250000,25.125000,27.000000,21.234610,1781800
2000-05-31,27.187500,27.500000,26.187500,26.187500,20.595606,306100
