Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,4.489583,4.489583,4.208333,4.364583,3.318475,524800
2000-01-19,4.343750,4.354167,4.250000,4.312500,3.278874,286800
2000-01-20,4.333333,4.354167,4.239583,4.291667,3.263035,280000
2000-01-21,4.302083,4.302083,4.125000,4.135417,3.144235,543600
2000-01-24,4.135417,4.177083,3.989583,4.052083,3.080876,635200
2000-01-25,4.041667,4.083333,3.625000,3.812500,2.898716,1395600
2000-01-26,3.854167,3.895833,3.833333,3.885417,2.954155,417600
2000-01-27,3.958333,3.989583,3.812500,3.822917,2.906636,584800
2000-01-28,3.854167,3.895833,3.687500,3.697917,2.811596,596400
2000-01-31,3.708333,3.770833,3.614583,3.677083,2.795755,627600
2000-02-01,3.697917,3.697917,3.427083,3.427083,2.605676,1187200
2000-02-02,3.458333,3.635417,3.458333,3.541667,2.692797,752800
2000-02-03,3.583333,3.635417,3.406250,3.447917,2.621517,730000
2000-02-04,3.468750,3.479167,3.302083,3.375000,2.566076,650400
2000-02-07,3.333333,3.354167,3.229167,3.229167,2.455197,1246000
2000-02-08,3.166667,3.281250,2.833333,3.041667,2.321026,2329600
2000-02-09,3.000000,3.000000,2.541667,2.739583,2.090512,5316000
2000-02-10,2.750000,2.875000,2.625000,2.729167,2.082563,3192400
2000-02-11,2.729167,2.791667,2.604167,2.656250,2.026923,1444000
2000-02-14,2.718750,2.802083,2.697917,2.802083,2.138203,1560000
2000-02-15,2.843750,3.083333,2.843750,3.083333,2.352819,1463200
2000-02-16,3.062500,3.281250,2.895833,3.031250,2.313076,1447200
2000-02-17,3.031250,3.052083,2.916667,3.010417,2.297179,604800
2000-02-18,2.979167,3.052083,2.833333,2.843750,2.169999,848800
2000-02-22,2.822917,2.927083,2.781250,2.864583,2.185896,640800
2000-02-23,2.937500,2.937500,2.875000,2.885417,2.201794,835600
2000-02-24,2.875000,2.916667,2.802083,2.812500,2.146152,739200
2000-02-25,2.802083,2.833333,2.760417,2.770833,2.114358,520000
2000-02-28,2.791667,2.895833,2.718750,2.864583,2.185896,1020400
2000-02-29,2.854167,2.937500,2.843750,2.843750,2.169999,1450000
2000-03-01,2.843750,2.916667,2.812500,2.843750,2.169999,676800
2000-03-02,2.843750,2.885417,2.802083,2.822917,2.154101,626800
2000-03-03,2.812500,2.937500,2.812500,2.937500,2.241538,1965600
2000-03-06,2.979167,3.020833,2.927083,2.979167,2.273332,1045200
2000-03-07,2.958333,2.968750,2.833333,2.854167,2.177948,1048000
2000-03-08,2.854167,2.937500,2.802083,2.802083,2.138203,1009600
2000-03-09,2.822917,2.906250,2.812500,2.822917,2.154101,849600
2000-03-10,2.739583,2.770833,2.489583,2.489583,1.899744,1910400
2000-03-13,2.500000,2.583333,2.447917,2.500000,1.907692,1639200
2000-03-14,2.500000,2.562500,2.458333,2.468750,1.883845,1620400
2000-03-15,2.489583,2.572917,2.447917,2.531250,1.931537,1756800
2000-03-16,2.552083,2.750000,2.541667,2.625000,2.003076,2422000
2000-03-17,2.562500,2.687500,2.541667,2.552083,1.947435,1550800
2000-03-20,2.541667,2.677083,2.458333,2.666667,2.034870,2748000
2000-03-21,2.645833,2.656250,2.562500,2.656250,2.026923,847200
2000-03-22,2.645833,2.666667,2.604167,2.635417,2.011024,385600
2000-03-23,2.625000,2.770833,2.614583,2.687500,2.050767,746400
2000-03-24,2.697917,2.718750,2.552083,2.562500,1.955383,950800
2000-03-27,2.583333,2.604167,2.541667,2.541667,1.939486,505200
2000-03-28,2.562500,2.562500,2.500000,2.500000,1.907692,1497600
2000-03-29,2.520833,2.562500,2.500000,2.510417,1.915640,610800
2000-03-30,2.531250,2.812500,2.531250,2.739583,2.090512,1255200
2000-03-31,2.750000,2.916667,2.718750,2.864583,2.185896,1840800
2000-04-03,2.864583,2.979167,2.760417,2.979167,2.273332,737200
2000-04-04,2.979167,2.989583,2.739583,2.843750,2.169999,656400
2000-04-05,2.812500,2.895833,2.781250,2.843750,2.169999,464400
2000-04-06,2.833333,2.864583,2.770833,2.781250,2.122307,328800
2000-04-07,2.770833,2.781250,2.729167,2.750000,2.098460,596800
2000-04-10,2.770833,2.875000,2.770833,2.833333,2.162050,512800
2000-04-11,2.875000,2.875000,2.781250,2.802083,2.138203,349200
2000-04-12,2.822917,2.895833,2.750000,2.770833,2.114358,1314400
2000-04-13,2.791667,2.875000,2.770833,2.854167,2.177948,646800
2000-04-14,2.843750,2.843750,2.677083,2.729167,2.082563,1209600
2000-04-17,2.760417,2.854167,2.729167,2.791667,2.130255,1284000
2000-04-18,2.781250,2.781250,2.708333,2.770833,2.114358,506800
2000-04-19,2.760417,2.760417,2.666667,2.729167,2.082563,764800
2000-04-20,2.729167,2.833333,2.708333,2.791667,2.130255,456000
2000-04-24,2.770833,2.843750,2.750000,2.812500,2.146152,514000
2000-04-25,2.802083,2.802083,2.687500,2.687500,2.050767,691600
2000-04-26,2.687500,2.791667,2.666667,2.781250,2.122307,476800
2000-04-27,2.718750,2.802083,2.677083,2.802083,2.138203,439600
2000-04-28,2.843750,3.062500,2.843750,2.979167,2.273332,1341600
2000-05-01,2.989583,3.177083,2.979167,3.145833,2.400512,1021200
2000-05-02,3.104167,3.177083,3.062500,3.166667,2.416409,473200
2000-05-03,3.166667,3.166667,3.093750,3.135417,2.392564,283600
2000-05-04,3.145833,3.250000,3.145833,3.197917,2.440255,522000
2000-05-05,3.187500,3.281250,3.177083,3.270833,2.495896,424800
2000-05-08,3.270833,3.270833,3.156250,3.197917,2.440255,514800
2000-05-09,3.229167,3.229167,3.104167,3.177083,2.424358,744400
2000-05-10,3.166667,3.166667,3.062500,3.156250,2.417339,485200
2000-05-11,3.177083,3.197917,3.135417,3.197917,2.449251,437200
