Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,52.875000,53.750000,52.187500,52.750000,30.552841,733900
2000-01-19,53.250000,53.250000,50.250000,51.937500,30.082237,1142200
2000-01-20,53.500000,53.500000,50.625000,52.000000,30.118437,851000
2000-01-21,52.000000,52.000000,49.875000,50.625000,29.322054,1225200
2000-01-24,50.500000,50.562500,48.500000,48.875000,28.308435,1138800
2000-01-25,48.875000,49.937500,45.937500,47.250000,27.367228,1151600
2000-01-26,47.437500,48.125000,47.375000,47.812500,27.693045,579500
2000-01-27,49.750000,49.750000,46.750000,47.250000,27.482183,1877800
2000-01-28,48.000000,48.000000,45.000000,46.875000,27.264080,1265100
2000-01-31,46.875000,48.375000,46.875000,47.750000,27.773016,1083400
2000-02-01,47.687500,48.187500,47.125000,48.000000,27.918409,1054000
2000-02-02,47.937500,49.937500,47.875000,48.312500,28.100183,1077300
2000-02-03,48.500000,49.187500,45.500000,46.625000,27.118679,1224900
2000-02-04,46.062500,46.750000,43.187500,43.875000,25.519190,1816500
2000-02-07,42.000000,43.375000,41.812500,42.687500,24.828495,1296700
2000-02-08,43.500000,45.562500,42.875000,45.000000,26.173519,1128200
2000-02-09,45.375000,45.500000,44.625000,44.812500,26.064465,1096400
2000-02-10,44.562500,44.562500,41.625000,41.875000,24.355915,853000
2000-02-11,41.812500,41.875000,39.562500,40.500000,23.556168,1540100
2000-02-14,40.562500,41.125000,39.687500,40.937500,23.810633,913600
2000-02-15,41.250000,41.625000,39.687500,41.000000,23.846989,1114000
2000-02-16,40.875000,41.687500,40.250000,40.625000,23.628868,728200
2000-02-17,41.000000,41.500000,40.312500,40.812500,23.737934,890100
2000-02-18,40.000000,40.312500,38.250000,39.000000,22.683708,1267400
2000-02-22,39.125000,39.750000,38.562500,39.312500,22.865482,945100
2000-02-23,39.250000,40.500000,38.937500,39.562500,23.010880,1225400
2000-02-24,40.250000,40.250000,37.750000,38.812500,22.574656,1066500
2000-02-25,38.562500,38.750000,36.437500,37.312500,21.702202,974700
2000-02-28,37.125000,39.500000,37.062500,39.000000,22.683708,967200
2000-02-29,39.062500,42.000000,39.000000,40.437500,23.519825,1423100
2000-03-01,40.937500,41.187500,40.000000,40.125000,23.338066,717000
2000-03-02,40.250000,40.812500,40.000000,40.250000,23.410761,659500
2000-03-03,40.625000,41.500000,40.187500,41.187500,23.956045,851100
2000-03-06,40.687500,40.875000,40.000000,40.062500,23.301706,673400
2000-03-07,38.500000,38.500000,34.562500,36.250000,21.084225,3258600
2000-03-08,36.187500,36.375000,31.500000,33.375000,19.412027,4021000
2000-03-09,33.500000,34.500000,33.000000,33.812500,19.666492,1583200
2000-03-10,32.500000,32.562500,29.062500,29.875000,17.376310,4337100
2000-03-13,29.875000,30.812500,29.500000,30.625000,17.812536,2371300
2000-03-14,31.000000,31.250000,29.875000,29.875000,17.376310,1388100
2000-03-15,30.750000,34.500000,30.125000,33.562500,19.521084,2451600
2000-03-16,34.125000,38.250000,33.812500,36.625000,21.302341,2741100
2000-03-17,36.875000,36.875000,34.000000,35.125000,20.429884,1403400
2000-03-20,34.625000,34.937500,33.000000,33.937500,19.739202,920800
2000-03-21,34.375000,36.500000,33.500000,36.437500,21.193285,1196400
2000-03-22,36.250000,36.375000,34.187500,34.750000,20.211782,1579000
2000-03-23,34.750000,35.562500,33.625000,35.562500,20.684349,1397800
2000-03-24,35.562500,35.875000,31.625000,33.000000,19.193907,2484100
2000-03-27,32.750000,32.875000,29.937500,30.437500,17.703480,3173600
2000-03-28,30.375000,31.375000,30.375000,31.375000,18.248758,1990900
2000-03-29,31.500000,32.625000,31.312500,32.062500,18.648636,1556900
2000-03-30,32.062500,33.000000,31.625000,32.500000,18.903091,1645100
2000-03-31,32.437500,33.812500,32.312500,33.000000,19.193907,1311700
2000-04-03,32.375000,35.187500,32.375000,34.562500,20.102718,1453400
2000-04-04,34.562500,36.375000,33.500000,35.437500,20.611645,1834600
2000-04-05,36.000000,36.562500,34.125000,35.500000,20.647995,1788300
2000-04-06,35.375000,35.437500,34.125000,34.562500,20.102718,1132200
2000-04-07,35.375000,35.750000,34.812500,35.625000,20.720695,844800
2000-04-10,35.625000,36.312500,35.062500,36.000000,20.938820,995500
2000-04-11,36.125000,37.312500,35.625000,37.312500,21.702202,966600
2000-04-12,37.812500,41.500000,37.562500,40.062500,23.301706,2217400
2000-04-13,39.812500,40.812500,38.500000,40.437500,23.519825,1206800
2000-04-14,40.437500,40.437500,35.375000,35.875000,20.866108,1234600
2000-04-17,37.875000,40.750000,37.500000,40.625000,23.628868,1685800
2000-04-18,40.062500,40.125000,37.812500,38.187500,22.211140,1206600
2000-04-19,35.937500,37.500000,35.937500,36.375000,21.156929,953600
2000-04-20,36.375000,37.812500,36.375000,37.125000,21.593147,647000
2000-04-24,37.812500,38.937500,37.625000,38.000000,22.102076,833800
2000-04-25,38.000000,38.062500,36.500000,37.250000,21.665859,896600
2000-04-26,37.062500,37.062500,34.500000,34.812500,20.357424,1148400
2000-04-27,34.250000,38.625000,33.562500,37.562500,21.965553,2592900
