Date,Open,High,Low,Close,Adj Close,Volume
2002-12-06,7.800000,8.640000,7.780000,8.580000,5.180952,27551000
2002-12-09,8.540000,8.560000,8.228000,8.404000,5.074680,3149500
2002-12-10,8.410000,8.660000,8.330000,8.550000,5.162838,1723000
2002-12-11,8.540000,9.100000,8.460000,9.012000,5.441813,2549000
2002-12-12,9.012000,9.012000,8.720000,8.782000,5.302930,1355500
2002-12-13,8.782000,8.794000,8.650000,8.730000,5.271531,987500
2002-12-16,8.700000,8.750000,8.590000,8.620000,5.205109,798000
2002-12-17,8.600000,8.800000,8.560000,8.654000,5.225639,1646000
2002-12-18,8.640000,8.640000,8.510000,8.534000,5.153178,742000
2002-12-19,8.510000,8.540000,8.434000,8.460000,5.108492,684000
2002-12-20,8.480000,8.920000,8.400000,8.890000,5.368147,904500
2002-12-23,8.870000,8.910000,8.670000,8.680000,5.241339,638500
2002-12-24,8.720000,8.720000,8.592000,8.610000,5.199069,218000
2002-12-26,8.620000,8.630000,8.510000,8.520000,5.144725,325000
2002-12-27,8.500000,8.500000,8.350000,8.400000,5.072261,830500
2002-12-30,8.460000,8.570000,8.420000,8.464000,5.110911,1076500
2002-12-31,8.454000,8.760000,8.454000,8.732000,5.272739,1778000
2003-01-02,8.732000,8.790000,8.690000,8.744000,5.279984,315000
2003-01-03,8.744000,9.160000,8.704000,9.160000,5.531182,861500
2003-01-06,9.006000,9.670000,9.006000,9.620000,5.808952,1874500
2003-01-07,9.600000,9.720000,9.450000,9.604000,5.799287,1383000
2003-01-08,9.606000,9.654000,9.534000,9.602000,5.798081,411000
2003-01-09,9.620000,9.840000,9.532000,9.810000,5.923680,649000
2003-01-10,9.770000,9.870000,9.742000,9.798000,5.916432,844000
2003-01-13,9.800000,9.936000,9.774000,9.924000,5.992516,810000
2003-01-14,9.924000,10.000000,9.814000,9.820000,5.929718,554000
2003-01-15,9.680000,9.680000,9.352000,9.410000,5.682144,1459000
2003-01-16,9.400000,9.400000,9.054000,9.076000,5.480460,725000
2003-01-17,9.050000,9.104000,8.960000,9.004000,5.436984,590500
2003-01-21,9.010000,9.040000,8.852000,8.890000,5.368147,468000
2003-01-22,8.860000,8.880000,8.820000,8.830000,5.331915,163500
2003-01-23,8.840000,9.150000,8.826000,9.086000,5.486499,476000
2003-01-24,9.070000,9.420000,9.000000,9.398000,5.674899,685000
2003-01-27,9.358000,9.380000,9.240000,9.250000,5.585526,209000
2003-01-28,9.260000,9.316000,9.200000,9.202000,5.556541,364500
2003-01-29,9.180000,9.400000,9.152000,9.300000,5.615722,401500
2003-01-30,9.300000,9.318000,8.760000,8.840000,5.337952,735000
2003-01-31,8.800000,8.810000,8.402000,8.500000,5.132647,2886000
2003-02-03,8.490000,8.580000,8.432000,8.470000,5.114532,780000
2003-02-04,8.440000,8.440000,8.310000,8.400000,5.072261,740000
2003-02-05,8.390000,8.400000,8.270000,8.348000,5.040864,1159000
2003-02-06,8.340000,8.404000,8.290000,8.300000,5.011878,1077500
2003-02-07,8.320000,8.430000,8.310000,8.422000,5.085548,744500
2003-02-10,8.422000,8.680000,8.410000,8.600000,5.193033,278500
2003-02-11,8.600000,8.706000,8.580000,8.582000,5.182163,222500
2003-02-12,8.550000,8.590000,8.496000,8.582000,5.182163,355500
2003-02-13,8.570000,8.744000,8.564000,8.700000,5.253418,265500
2003-02-14,8.740000,8.960000,8.740000,8.900000,5.374184,958000
2003-02-18,8.950000,8.960000,8.830000,8.904000,5.376601,753500
