Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,16.604208,16.961544,16.604208,16.937721,8.991434,1537400
2000-01-19,17.080656,17.080656,16.628031,16.794786,8.915560,1476200
2000-01-20,16.723320,16.723320,16.151583,16.318338,8.662640,1220700
2000-01-21,16.461273,16.651852,16.103937,16.270695,8.637346,3327200
2000-01-24,16.413628,16.461273,15.818069,15.913358,8.447654,2305000
2000-01-25,16.032471,16.223049,15.698956,16.103937,8.548822,1500100
2000-01-26,16.199226,16.199226,15.532200,15.698956,8.333837,2370600
2000-01-27,15.698956,15.698956,15.222508,15.436911,8.194732,1421700
2000-01-28,15.413088,15.508377,14.960463,15.198687,8.068266,1373900
2000-01-31,15.151042,15.627489,14.960463,15.579844,8.270604,2060500
2000-02-01,15.579844,15.675135,15.222508,15.508377,8.232668,1687200
2000-02-02,15.436911,15.770424,15.174864,15.293976,8.118850,1265800
2000-02-03,15.293976,15.389265,14.984284,15.008107,7.967099,3274400
2000-02-04,14.912818,14.984284,14.650771,14.865173,7.891220,1904400
2000-02-07,15.246331,15.293976,15.079575,15.246331,8.093561,3260000
2000-02-08,15.460732,15.460732,14.722239,14.865173,7.891220,2183300
2000-02-09,15.151042,15.151042,14.436370,14.531659,7.714171,2013500
2000-02-10,14.555482,15.008107,14.412547,14.484015,7.688883,2925200
2000-02-11,14.579304,14.603127,14.126678,14.269613,7.575065,1501200
2000-02-14,14.293435,14.531659,14.079034,14.341081,7.613005,2618500
2000-02-15,14.436370,14.650771,14.388725,14.579304,7.739469,2552700
2000-02-16,14.436370,15.103396,14.364902,15.055752,8.064067,2294500
2000-02-17,14.984284,15.151042,14.912818,15.055752,8.064067,1993300
2000-02-18,15.436911,15.436911,14.507837,14.769883,7.910955,2608600
2000-02-22,14.722239,14.984284,14.626949,14.888995,7.974753,2752600
2000-02-23,14.841351,14.841351,14.198146,14.317258,7.668521,1451800
2000-02-24,14.221969,14.293435,13.745521,13.816988,7.400568,1428000
2000-02-25,14.007566,14.221969,13.697876,14.055211,7.528164,1366000
