Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,6.898411,7.381760,6.895123,7.339015,7.149628,42982700
2000-01-19,7.319287,7.602062,7.207491,7.562605,7.367449,42939000
2000-01-20,7.621791,8.190630,7.572470,8.147885,7.937625,99018300
2000-01-21,8.062395,8.351747,7.845381,7.917719,7.713398,54334300
2000-01-24,7.937448,7.944024,7.016782,7.174611,6.989467,65153700
2000-01-25,7.319287,7.628367,7.036511,7.233796,7.047124,86341900
2000-01-26,7.713857,8.297493,7.470539,8.078835,7.870358,188994600
2000-01-27,7.917719,8.134733,7.805924,8.098564,7.889576,61430000
2000-01-28,7.944024,8.049242,7.628367,7.763179,7.562846,46461200
2000-01-31,7.680976,8.029514,7.628367,7.894702,7.690975,38827600
2000-02-01,7.812500,8.075547,7.799348,7.940735,7.735821,27274500
2000-02-02,7.993345,8.226799,7.848669,7.944024,7.739024,28956700
2000-02-03,8.167614,8.752893,8.101851,8.680555,8.456549,82131600
2000-02-04,8.417508,9.009364,8.391204,8.841672,8.613507,73792800
2000-02-07,8.700284,9.022517,8.618082,8.920586,8.690386,32028400
2000-02-08,9.068550,9.206650,8.812079,8.930450,8.699995,47362200
2000-02-09,8.890993,8.894281,8.483271,8.627946,8.405298,33665000
2000-02-10,8.601642,8.693707,8.325442,8.542456,8.322015,32497900
2000-02-11,8.562184,8.575336,7.983480,8.068971,7.860748,22906500
2000-02-14,8.115005,8.394492,7.980193,8.108428,7.899186,30281600
2000-02-15,8.029514,8.128157,7.579046,7.812500,7.610895,49434100
2000-02-16,7.805924,7.805924,7.365320,7.401489,7.210491,32832500
2000-02-17,7.437658,7.648096,7.398201,7.641520,7.444326,43338200
2000-02-18,7.661248,7.680976,7.207491,7.220644,7.034312,26474300
2000-02-22,7.322575,7.437658,6.977325,7.075968,6.893369,37599700
2000-02-23,7.352168,8.312289,7.325863,8.151174,7.940829,80787800
2000-02-24,8.101851,8.627946,7.911143,8.627946,8.405298,61507900
2000-02-25,8.535880,8.588490,7.891414,7.934159,7.729414,32745000
2000-02-28,7.782907,7.921007,7.516572,7.631655,7.434717,45594400
2000-02-29,7.687552,7.825652,7.286406,7.542877,7.348229,30705500
2000-03-01,7.782907,8.177478,7.654672,7.851957,7.649333,57881200
2000-03-02,7.750026,8.075547,7.618503,7.897990,7.694179,23434900
2000-03-03,7.911143,8.078835,7.575758,7.865109,7.662147,20302400
2000-03-06,7.878262,8.680555,7.858533,8.499711,8.280373,53473300
2000-03-07,8.739741,8.851536,8.450389,8.565473,8.344438,45957500
2000-03-08,8.624658,9.732744,8.364899,9.680135,9.430334,88556300
2000-03-09,9.515730,9.673558,9.206650,9.601220,9.353456,66356900
2000-03-10,9.436816,10.712595,9.351326,10.166772,9.904412,96406600
2000-03-13,9.683423,11.679293,9.515730,11.034827,10.750069,118879800
2000-03-14,11.399805,11.810817,10.995370,11.100589,10.814131,67465000
2000-03-15,11.429399,11.429399,9.759048,9.970308,9.713021,82553600
2000-03-16,10.064841,11.574074,9.693287,11.547770,11.249773,92952900
2000-03-17,11.449126,11.781223,11.100589,11.518177,11.220945,42836400
2000-03-20,11.551058,11.551058,10.258839,10.318024,10.051763,53800200
2000-03-21,10.314736,11.363636,9.995791,11.284722,10.993514,51817700
2000-03-22,11.153198,12.639415,10.995370,12.238268,11.922453,74627300
2000-03-23,12.096880,12.573653,11.745054,11.761496,11.457985,56345400
2000-03-24,12.110033,13.139205,11.958780,12.823548,12.492631,78854600
2000-03-27,12.629551,13.415404,12.405961,12.616399,12.290826,48873300
2000-03-28,12.731482,12.995351,11.731902,11.774648,11.470798,47383100
2000-03-29,11.712173,11.771359,10.416667,10.469276,10.199113,72103000
2000-03-30,10.258839,11.018387,10.101010,10.896728,10.615533,64509300
2000-03-31,10.571207,10.627105,9.200073,9.259259,9.020319,131387000
2000-04-03,9.423664,9.614373,7.483691,7.536301,7.341823,121061900
2000-04-04,7.805924,8.996212,6.904987,8.785774,8.559052,158562800
2000-04-05,8.502998,9.877420,8.203783,8.729877,8.504599,78987700
2000-04-06,9.006077,9.601220,8.910722,9.574916,9.327831,108284700
2000-04-07,9.417088,9.706439,9.219802,9.515730,9.270170,59808600
2000-04-10,9.410511,9.410511,8.154461,8.190630,7.979266,72142900
2000-04-11,8.128157,8.680555,8.049242,8.184054,7.972860,80641400
2000-04-12,8.260502,8.404356,7.490267,7.542877,7.348229,71684800
2000-04-13,7.878262,8.272833,7.260101,7.302846,7.114392,88786300
2000-04-14,7.299558,7.641520,7.029935,7.342303,7.152831,137591300
2000-04-17,6.957597,7.733586,6.944445,7.536301,7.341823,104355800
2000-04-18,7.509174,8.575336,7.503419,8.572048,8.350843,62477300
2000-04-19,8.417508,8.627946,7.891414,7.907855,7.703789,52865000
2000-04-20,8.095276,8.200495,7.490267,7.904566,7.700585,37223300
2000-04-24,7.730298,7.759891,6.612348,7.463963,7.271351,53819200
2000-04-25,7.529724,8.203783,7.398201,8.078835,7.870358,93909000
2000-04-26,8.476694,8.486558,7.786195,7.851957,7.649333,120961200
2000-04-27,7.634943,8.618082,7.529724,8.519439,8.299590,72620000
2000-04-28,8.516151,8.575336,8.223511,8.374763,8.158648,56408100
2000-05-01,8.384627,8.391204,8.075547,8.187343,7.976064,44410200
2000-05-02,8.082124,8.101851,7.536301,7.542877,7.348229,37835400
2000-05-03,7.536301,7.694129,7.095696,7.365320,7.175255,48483700
2000-05-04,7.457386,7.648096,7.010206,7.204204,7.018295,58010500
2000-05-05,7.135154,7.312710,6.924716,7.049663,6.867743,56560200
2000-05-08,6.957597,7.102273,6.734007,6.760312,6.585858,28707700
2000-05-09,6.819497,6.839226,6.165167,6.375605,6.211080,62082000
2000-05-10,6.230929,6.365741,5.790325,5.839646,5.688952,72677000
2000-05-11,6.020492,6.299979,5.918561,6.194760,6.034901,57025900
2000-05-12,6.260522,6.549874,6.227641,6.382181,6.217486,40688500
2000-05-15,6.352588,6.730719,6.069813,6.707702,6.534607,32600600
2000-05-16,6.720854,7.260101,6.681397,7.095696,6.912589,65718200
2000-05-17,6.904987,7.016782,6.641940,6.740583,6.566638,37115000
2000-05-18,6.812921,6.937868,6.523569,6.526857,6.358428,34157300
2000-05-19,6.346012,6.490688,6.096117,6.217777,6.057324,33722000
2000-05-22,6.267098,7.348879,5.760732,7.164746,6.979857,91103400
2000-05-23,6.918140,7.049663,6.096117,6.102694,5.945210,97720100
2000-05-24,6.142151,6.895123,5.971170,6.835938,6.659533,99406100
2000-05-25,6.891835,7.102273,6.365741,6.365741,6.201469,41037300
2000-05-26,6.477536,6.681397,6.155303,6.516993,6.348818,19943100
2000-05-30,6.720854,7.062816,6.681397,7.051307,6.869345,25800500
2000-05-31,6.998698,7.181187,6.576179,6.582755,6.412884,24047000
2000-06-01,6.747159,7.246949,6.687973,7.089120,6.906182,39836900
2000-06-02,7.562605,8.128157,7.431082,8.121580,7.912000,47443900
2000-06-05,7.865109,8.345170,7.746738,7.937448,7.732618,36101800
2000-06-06,7.970328,8.075547,7.556029,7.556029,7.361042,27961700
2000-06-07,7.496843,7.957176,7.154882,7.957176,7.751838,31277600
2000-06-08,7.990057,7.996633,7.470539,7.542877,7.348229,20769000
2000-06-09,7.753314,7.838805,7.503419,7.700705,7.501985,21223300
2000-06-12,7.707281,7.707281,6.997054,7.029935,6.848525,37085500
2000-06-13,7.128577,7.214068,6.773464,7.154882,6.970247,22316300
2000-06-14,7.115425,7.115425,6.576179,6.602483,6.432103,43629000
2000-06-15,6.714278,6.865530,6.589331,6.740583,6.566638,27410400
2000-06-16,6.753735,6.753735,6.313131,6.431502,6.265534,33910200
2000-06-19,6.385469,6.431502,6.207912,6.299979,6.137404,22615700
2000-06-20,6.549874,6.904987,6.470960,6.556450,6.387258,32274600
2000-06-21,6.510417,6.523569,6.392045,6.497264,6.329599,14853800
2000-06-22,6.536721,6.549874,6.056660,6.122422,5.964431,48765900
