Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,24.281250,24.281250,23.593750,23.656250,11.918183,475000
2000-01-19,23.562500,23.593750,22.312500,22.875000,11.524591,901600
2000-01-20,23.000000,23.093750,22.031250,22.437500,11.304170,883200
2000-01-21,22.125000,22.281250,21.687500,21.843750,11.005039,973400
2000-01-24,21.875000,22.125000,21.750000,21.812500,10.989290,767600
2000-01-25,21.875000,21.875000,20.125000,20.531250,10.343791,976000
2000-01-26,20.781250,21.250000,20.718750,21.187500,10.674415,856400
2000-01-27,20.500000,21.718750,20.500000,21.406250,10.784620,1044400
2000-01-28,18.875000,20.500000,18.843750,19.968750,10.060392,1261200
2000-01-31,20.000000,20.000000,19.156250,19.937500,10.044651,1067200
2000-02-01,20.031250,20.125000,19.562500,19.843750,9.997418,1595800
2000-02-02,19.843750,19.937500,19.750000,19.875000,10.013165,700600
2000-02-03,19.875000,20.250000,19.812500,20.062500,10.107628,588000
2000-02-04,20.093750,20.093750,19.937500,20.031250,10.091886,546200
2000-02-07,19.906250,20.093750,19.906250,19.937500,10.044651,564200
2000-02-08,19.875000,20.093750,19.875000,19.968750,10.060392,630800
2000-02-09,20.000000,20.250000,19.968750,20.000000,10.076139,896600
2000-02-10,20.000000,20.000000,19.218750,19.468750,9.808496,625000
2000-02-11,19.468750,19.562500,19.062500,19.281250,9.714031,655000
2000-02-14,19.250000,19.468750,19.062500,19.375000,9.761263,524400
2000-02-15,19.343750,20.031250,19.343750,19.750000,9.950187,595000
2000-02-16,19.687500,19.906250,19.437500,19.562500,9.855728,474800
2000-02-17,19.562500,19.562500,19.312500,19.312500,9.729774,451000
2000-02-18,19.125000,19.250000,18.531250,18.656250,9.399150,511200
2000-02-22,18.500000,20.000000,18.500000,19.812500,9.981676,685600
2000-02-23,19.875000,20.125000,19.187500,19.187500,9.666798,661000
2000-02-24,19.218750,19.218750,17.812500,18.250000,9.194479,811400
2000-02-25,18.218750,18.218750,17.718750,17.906250,9.021296,842000
2000-02-28,18.062500,19.250000,17.937500,18.750000,9.446382,662200
2000-02-29,18.750000,18.781250,17.843750,17.968750,9.052782,880200
2000-03-01,17.968750,17.968750,16.812500,17.343750,8.737903,1506400
2000-03-02,17.343750,17.468750,16.843750,17.218750,8.674927,1033600
2000-03-03,17.187500,18.500000,17.156250,18.375000,9.257456,864800
2000-03-06,18.312500,18.468750,17.968750,18.000000,9.068526,453600
