Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.000000,448.000000,384.000000,420.000000,344.876526,792500
2000-08-14,419.000000,420.000000,384.000000,384.000000,315.315643,80200
2000-08-15,389.000000,396.000000,384.000000,388.000000,318.600220,48400
2000-08-16,386.000000,418.000000,386.000000,396.000000,325.169342,42100
2000-08-17,392.000000,400.000000,382.000000,384.000000,315.315643,47200
2000-08-18,401.000000,460.000000,396.000000,458.000000,376.079559,60400
2000-08-21,482.000000,520.000000,446.000000,486.000000,399.071350,66500
2000-08-22,492.000000,502.000000,432.000000,432.000000,354.730133,33800
2000-08-23,434.000000,440.000000,408.000000,416.000000,341.591980,17900
2000-08-24,414.000000,418.000000,386.000000,386.000000,316.957916,18400
2000-08-25,402.000000,414.000000,388.000000,412.000000,338.307434,20100
2000-08-28,429.000000,433.500000,400.000000,420.000000,344.876526,19400
2000-08-29,430.000000,432.000000,404.000000,428.000000,351.445648,22700
2000-08-30,427.000000,470.000000,424.000000,454.000000,372.795105,19800
2000-08-31,482.000000,528.000000,476.000000,518.000000,425.347748,87300
2000-09-01,516.000000,520.000000,480.000000,504.000000,413.851807,27700
2000-09-05,506.000000,520.000000,496.000000,498.000000,408.924988,23000
2000-09-06,516.000000,520.000000,488.000000,496.000000,407.282715,20500
2000-09-07,512.000000,512.000000,428.000000,460.000000,377.721954,23900
2000-09-08,456.500000,464.000000,440.000000,448.000000,367.868286,15900
2000-09-11,442.000000,448.000000,432.000000,444.000000,364.583771,34500
2000-09-12,435.000000,442.000000,412.000000,416.000000,341.591980,33800
2000-09-13,408.000000,420.000000,396.000000,400.000000,328.453827,10300
2000-09-14,444.000000,444.000000,400.000000,406.000000,333.380676,8100
2000-09-15,402.000000,416.000000,400.000000,402.000000,330.096008,3600
2000-09-18,420.000000,424.000000,382.000000,386.000000,316.957916,18600
2000-09-19,419.000000,420.000000,344.000000,360.000000,295.608459,48000
2000-09-20,368.000000,370.000000,312.000000,332.000000,272.616608,24100
2000-09-21,330.000000,344.000000,326.000000,340.000000,279.185760,25200
2000-09-22,307.000000,346.000000,302.000000,338.000000,277.543457,8400
2000-09-25,340.000000,346.000000,300.000000,302.000000,247.982605,21000
2000-09-26,316.000000,318.000000,288.000000,296.000000,243.055847,19600
