Date,Open,High,Low,Close,Adj Close,Volume
2000-03-27,1.270833,1.385417,1.270833,1.375000,1.375000,11026800
2000-03-28,1.375000,1.375000,1.333333,1.338542,1.338542,3232800
2000-03-29,1.333333,1.343750,1.317708,1.333333,1.333333,1311600
2000-03-30,1.333333,1.333333,1.281250,1.281250,1.281250,5650800
2000-03-31,1.244792,1.244792,1.130208,1.130208,1.130208,23794800
2000-04-03,1.166667,1.234375,1.145833,1.145833,1.145833,34460400
2000-04-04,1.177083,1.192708,1.031250,1.166667,1.166667,39410400
2000-04-05,1.156250,1.187500,1.151042,1.161458,1.161458,19048800
2000-04-06,1.166667,1.197917,1.156250,1.192708,1.192708,21543600
2000-04-07,1.197917,1.270833,1.197917,1.203125,1.203125,41714400
2000-04-10,1.229167,1.250000,1.208333,1.213542,1.213542,15842400
2000-04-11,1.192708,1.218750,1.187500,1.192708,1.192708,19770000
2000-04-12,1.182292,1.213542,1.177083,1.192708,1.192708,25639200
2000-04-13,1.192708,1.218750,1.192708,1.204427,1.204427,20623200
2000-04-14,1.203125,1.208333,1.177083,1.203125,1.203125,7878000
2000-04-17,1.192708,1.203125,1.171875,1.187500,1.187500,8976000
2000-04-18,1.203125,1.208333,1.161458,1.171875,1.171875,8688000
2000-04-19,1.187500,1.218750,1.187500,1.197917,1.197917,13987200
2000-04-20,1.192708,1.229167,1.187500,1.218750,1.218750,13676400
2000-04-24,1.197917,1.218750,1.177083,1.187500,1.187500,11445600
2000-04-25,1.192708,1.260417,1.156250,1.255208,1.255208,13906800
2000-04-26,1.260417,1.375000,1.250000,1.276042,1.276042,15963600
2000-04-27,1.255208,1.255208,1.213542,1.234375,1.234375,12255600
2000-04-28,1.229167,1.250000,1.208333,1.250000,1.250000,10617600
2000-05-01,1.250000,1.250000,1.203125,1.229167,1.229167,12930000
2000-05-02,1.218750,1.229167,1.203125,1.213542,1.213542,8053200
2000-05-03,1.182292,1.213542,1.171875,1.187500,1.187500,12493200
2000-05-04,1.197917,1.229167,1.187500,1.229167,1.229167,10831200
2000-05-05,1.239583,1.281250,1.239583,1.260417,1.260417,5132400
2000-05-08,1.281250,1.302083,1.265625,1.270833,1.270833,4306800
2000-05-09,1.286458,1.291667,1.250000,1.250000,1.250000,4030800
2000-05-10,1.250000,1.281250,1.239583,1.265625,1.265625,2325600
2000-05-11,1.265625,1.291667,1.229167,1.244792,1.244792,6861600
2000-05-12,1.244792,1.307292,1.244792,1.307292,1.307292,2305200
2000-05-15,1.291667,1.406250,1.291667,1.364583,1.364583,3985200
2000-05-16,1.375000,1.411458,1.359375,1.375000,1.375000,3790800
2000-05-17,1.375000,1.375000,1.317708,1.333333,1.333333,7551600
2000-05-18,1.333333,1.343750,1.286458,1.296875,1.296875,6236400
2000-05-19,1.296875,1.302083,1.276042,1.276042,1.276042,1891200
2000-05-22,1.286458,1.307292,1.276042,1.296875,1.296875,1888800
2000-05-23,1.291667,1.333333,1.291667,1.302083,1.302083,2601600
2000-05-24,1.302083,1.395833,1.302083,1.369792,1.369792,6796800
2000-05-25,1.359375,1.468750,1.359375,1.442708,1.442708,9045600
2000-05-26,1.453125,1.510417,1.442708,1.500000,1.500000,6882000
2000-05-30,1.500000,1.651042,1.500000,1.645833,1.645833,11426400
2000-05-31,1.645833,1.718750,1.645833,1.692708,1.692708,9780000
2000-06-01,1.671875,1.687500,1.614583,1.656250,1.656250,4317600
2000-06-02,1.656250,1.677083,1.546875,1.598958,1.598958,3984000
2000-06-05,1.578125,1.578125,1.505208,1.510417,1.510417,6038400
2000-06-06,1.520833,1.520833,1.401042,1.427083,1.427083,11726400
2000-06-07,1.458333,1.552083,1.458333,1.541667,1.541667,7087200
2000-06-08,1.520833,1.541667,1.515625,1.541667,1.541667,4168800
2000-06-09,1.531250,1.583333,1.526042,1.541667,1.541667,3777600
2000-06-12,1.552083,1.578125,1.531250,1.552083,1.552083,2486400
2000-06-13,1.541667,1.546875,1.515625,1.531250,1.531250,2751600
2000-06-14,1.552083,1.552083,1.515625,1.536458,1.536458,4534800
2000-06-15,1.536458,1.552083,1.526042,1.526042,1.526042,2157600
2000-06-16,1.531250,1.536458,1.489583,1.500000,1.500000,3186000
2000-06-19,1.463542,1.531250,1.458333,1.510417,1.510417,4202400
2000-06-20,1.500000,1.505208,1.468750,1.484375,1.484375,5400000
2000-06-21,1.494792,1.583333,1.484375,1.583333,1.583333,3040800
2000-06-22,1.562500,1.718750,1.526042,1.619792,1.619792,4728000
2000-06-23,1.630208,1.692708,1.630208,1.656250,1.656250,9175200
2000-06-26,1.666667,1.687500,1.604167,1.656250,1.656250,6289200
2000-06-27,1.656250,1.669271,1.562500,1.593750,1.593750,6909600
2000-06-28,1.562500,1.708333,1.510417,1.703125,1.703125,5900400
2000-06-29,1.713542,1.750000,1.687500,1.687500,1.687500,4351200
2000-06-30,1.692708,1.708333,1.540365,1.542969,1.542969,11492400
2000-07-03,1.572917,1.729167,1.572917,1.713542,1.713542,3105600
2000-07-05,1.713542,1.729167,1.635417,1.640625,1.640625,1996800
2000-07-06,1.651042,1.703125,1.651042,1.687500,1.687500,1980000
2000-07-07,1.708333,1.718750,1.666667,1.708333,1.708333,3145200
2000-07-10,1.713542,1.781250,1.713542,1.770833,1.770833,5170800
2000-07-11,1.786458,1.859375,1.781250,1.833333,1.833333,6969600
2000-07-12,1.854167,1.937500,1.817708,1.843750,1.843750,3907200
2000-07-13,1.833333,1.979167,1.833333,1.937500,1.937500,6889200
2000-07-14,1.958333,1.963542,1.890625,1.911458,1.911458,4441200
2000-07-17,1.932292,1.937500,1.880208,1.901042,1.901042,3199200
2000-07-18,1.937500,2.000000,1.937500,1.989583,1.989583,5367600
2000-07-19,2.010417,2.125000,2.000000,2.015625,2.015625,5704800
2000-07-20,2.031250,2.041667,1.979167,2.005208,2.005208,2203200
2000-07-21,1.994792,2.083333,1.968750,2.072917,2.072917,4594800
2000-07-24,2.078125,2.078125,2.041667,2.062500,2.062500,2688000
2000-07-25,2.062500,2.083333,2.041667,2.041667,2.041667,2793600
2000-07-26,2.041667,2.041667,1.973958,1.994792,1.994792,2577600
2000-07-27,1.973958,1.994792,1.906250,1.958333,1.958333,2414400
2000-07-28,1.947917,1.958333,1.906250,1.921875,1.921875,1878000
2000-07-31,1.916667,1.937500,1.802083,1.817708,1.817708,3301200
2000-08-01,1.812500,1.890625,1.812500,1.885417,1.885417,2619600
2000-08-02,1.885417,1.921875,1.885417,1.901042,1.901042,5104800
2000-08-03,1.875000,1.932292,1.781250,1.927083,1.927083,5540400
