Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,9.562500,9.750000,9.343750,9.750000,6.046552,1356000
2000-01-19,9.750000,10.000000,9.687500,10.000000,6.201592,1086000
2000-01-20,10.000000,10.000000,9.531250,9.531250,5.910891,1130400
2000-01-21,9.625000,9.625000,9.187500,9.187500,5.697711,1141000
2000-01-24,9.250000,9.250000,8.750000,8.937500,5.542672,711400
2000-01-25,8.875000,8.906250,8.500000,8.812500,5.465152,592200
2000-01-26,8.750000,8.750000,8.156250,8.343750,5.174451,877400
2000-01-27,8.406250,8.906250,8.375000,8.906250,5.523292,1056800
2000-01-28,8.750000,9.125000,8.562500,8.718750,5.407012,1770800
2000-01-31,8.656250,8.843750,8.656250,8.718750,5.407012,859400
2000-02-01,8.593750,8.906250,8.593750,8.718750,5.407012,735600
2000-02-02,8.718750,8.875000,8.687500,8.718750,5.407012,1475200
2000-02-03,8.687500,8.812500,8.656250,8.750000,5.426391,1541000
2000-02-04,9.000000,9.375000,9.000000,9.281250,5.755851,1479400
2000-02-07,9.437500,9.468750,9.187500,9.187500,5.697711,1530800
2000-02-08,9.187500,9.218750,8.968750,9.000000,5.581432,1079800
2000-02-09,9.000000,9.156250,8.906250,8.968750,5.562050,1466600
2000-02-10,9.000000,9.031250,8.875000,8.906250,5.523292,1569000
2000-02-11,8.843750,9.093750,8.812500,9.093750,5.639573,1071400
2000-02-14,9.031250,9.250000,9.031250,9.187500,5.697711,757800
2000-02-15,9.218750,9.343750,9.125000,9.156250,5.678332,1684400
2000-02-16,9.125000,9.187500,8.968750,9.000000,5.581432,616600
2000-02-17,9.000000,9.281250,8.937500,9.062500,5.620191,775800
2000-02-18,9.031250,9.187500,8.968750,9.000000,5.581432,1126400
2000-02-22,8.937500,9.125000,8.687500,8.875000,5.503911,915400
2000-02-23,8.937500,8.937500,8.312500,8.343750,5.174451,771400
2000-02-24,8.343750,8.343750,7.468750,7.468750,4.631814,1482600
2000-02-25,7.437500,7.437500,7.000000,7.000000,4.341113,1446400
2000-02-28,7.187500,7.406250,6.812500,6.875000,4.263594,1726600
2000-02-29,6.906250,7.125000,6.812500,6.875000,4.263594,886400
2000-03-01,6.906250,7.125000,6.625000,7.031250,4.360494,1116600
2000-03-02,7.031250,7.031250,6.500000,6.656250,4.127934,1086800
2000-03-03,6.656250,6.968750,6.500000,6.843750,4.244214,1030400
2000-03-06,6.812500,6.937500,6.625000,6.656250,4.127934,899400
2000-03-07,6.718750,6.968750,6.718750,6.968750,4.321733,925800
2000-03-08,6.812500,6.906250,6.656250,6.781250,4.205453,1219200
2000-03-09,6.718750,6.843750,6.531250,6.625000,4.108553,636600
2000-03-10,6.843750,6.843750,6.531250,6.531250,4.050412,463200
2000-03-13,6.593750,6.656250,6.437500,6.468750,4.011653,453800
2000-03-14,6.406250,6.500000,6.250000,6.312500,3.914753,569000
2000-03-15,6.312500,6.687500,6.312500,6.656250,4.127934,1225600
2000-03-16,6.625000,7.000000,6.625000,6.875000,4.263594,2312000
2000-03-17,6.906250,6.906250,6.531250,6.593750,4.089175,1215200
2000-03-20,6.781250,6.937500,6.718750,6.875000,4.263594,638600
2000-03-21,6.937500,7.000000,6.750000,6.937500,4.302353,887200
2000-03-22,6.875000,6.875000,6.250000,6.312500,3.914753,983400
2000-03-23,6.343750,6.875000,6.312500,6.875000,4.263594,1081200
2000-03-24,6.812500,6.968750,6.718750,6.781250,4.205453,966200
2000-03-27,6.750000,6.781250,6.500000,6.750000,4.186073,539200
2000-03-28,6.750000,6.875000,6.750000,6.843750,4.244214,702800
2000-03-29,6.781250,6.812500,6.125000,6.187500,3.837235,1720800
2000-03-30,6.312500,6.406250,6.031250,6.093750,3.779095,1206200
2000-03-31,6.031250,6.343750,6.031250,6.031250,3.740333,1814400
2000-04-03,6.000000,6.187500,5.937500,6.062500,3.759715,741800
2000-04-04,6.031250,6.375000,5.812500,6.000000,3.720955,1477000
2000-04-05,5.937500,6.125000,5.843750,6.125000,3.798475,930200
2000-04-06,6.156250,6.281250,6.000000,6.093750,3.779095,578200
2000-04-07,6.000000,6.000000,5.250000,5.468750,3.391495,1485200
2000-04-10,5.531250,5.781250,5.500000,5.781250,3.585294,1166400
2000-04-11,5.718750,5.812500,5.218750,5.343750,3.313975,1457600
2000-04-12,5.343750,5.718750,5.343750,5.562500,3.449634,1471600
2000-04-13,5.562500,5.781250,5.531250,5.687500,3.527154,1009400
2000-04-14,5.687500,5.750000,5.375000,5.468750,3.391495,805800
2000-04-17,5.468750,5.468750,5.156250,5.281250,3.275214,1440600
2000-04-18,5.031250,5.187500,5.000000,5.000000,3.100796,993400
2000-04-19,5.031250,5.187500,4.812500,5.187500,3.217075,1879600
2000-04-20,5.156250,5.281250,5.000000,5.000000,3.100796,1186000
2000-04-24,5.062500,5.156250,4.937500,5.000000,3.100796,806000
2000-04-25,5.093750,5.093750,5.000000,5.031250,3.120175,521200
2000-04-26,5.031250,5.093750,4.875000,4.906250,3.042656,800600
2000-04-27,4.937500,5.031250,4.875000,5.000000,3.100796,570200
2000-04-28,4.968750,4.968750,4.781250,4.812500,2.984515,1105800
2000-05-01,4.750000,4.968750,4.687500,4.968750,3.081415,781200
2000-05-02,4.906250,5.406250,4.906250,5.343750,3.313975,1925800
2000-05-03,5.343750,5.343750,5.062500,5.218750,3.236455,1368600
2000-05-04,5.312500,6.250000,5.250000,6.187500,3.837235,3450400
2000-05-05,6.062500,6.093750,5.718750,5.718750,3.546534,2621600
2000-05-08,5.718750,5.750000,5.531250,5.625000,3.488395,1285000
2000-05-09,5.625000,5.718750,5.500000,5.531250,3.430255,1185000
2000-05-10,5.468750,5.562500,5.281250,5.437500,3.372115,1142200
2000-05-11,5.375000,5.406250,5.093750,5.187500,3.217075,2037000
2000-05-12,5.250000,5.468750,5.187500,5.312500,3.294595,1652800
2000-05-15,5.281250,5.500000,5.281250,5.437500,3.372115,1148800
2000-05-16,5.500000,6.000000,5.437500,5.750000,3.565913,2370200
2000-05-17,5.750000,5.750000,5.593750,5.656250,3.507776,1245600
2000-05-18,5.531250,5.593750,5.468750,5.500000,3.410875,995000
2000-05-19,5.531250,5.531250,5.312500,5.312500,3.294595,697200
2000-05-22,5.375000,5.437500,5.062500,5.093750,3.158934,1027600
2000-05-23,5.125000,5.187500,5.000000,5.031250,3.120175,987800
2000-05-24,5.062500,5.093750,4.968750,4.968750,3.081415,571400
2000-05-25,4.968750,5.093750,4.906250,4.937500,3.062037,932000
2000-05-26,4.968750,4.968750,4.625000,4.750000,2.945755,977400
2000-05-30,4.750000,4.843750,4.750000,4.781250,2.965136,861600
2000-05-31,4.750000,4.812500,4.531250,4.593750,2.848855,1048800
2000-06-01,4.562500,4.656250,4.468750,4.500000,2.790716,1102800
2000-06-02,4.625000,4.750000,4.593750,4.687500,2.906996,1331800
2000-06-05,4.656250,4.781250,4.562500,4.750000,2.945755,1075400
2000-06-06,4.750000,4.937500,4.687500,4.687500,2.906996,1716600
2000-06-07,4.687500,4.718750,4.562500,4.593750,2.848855,752600
2000-06-08,4.562500,4.593750,4.468750,4.531250,2.810096,953200
2000-06-09,4.531250,4.593750,4.437500,4.437500,2.751956,535400
2000-06-12,4.437500,4.531250,4.406250,4.406250,2.732576,764200
2000-06-13,4.531250,4.656250,4.468750,4.468750,2.771336,1109600
2000-06-14,4.531250,4.718750,4.531250,4.687500,2.906996,1373400
2000-06-15,4.687500,4.812500,4.531250,4.687500,2.906996,1707800
2000-06-16,4.656250,4.937500,4.656250,4.843750,3.003895,4253600
2000-06-19,4.875000,4.906250,4.781250,4.843750,3.003895,1813800
2000-06-20,4.843750,4.843750,4.531250,4.531250,2.810096,1508400
2000-06-21,4.593750,4.750000,4.500000,4.718750,2.926376,1204200
2000-06-22,4.718750,4.906250,4.625000,4.812500,2.984515,1293400
2000-06-23,4.875000,4.906250,4.812500,4.843750,3.003895,872400
2000-06-26,4.843750,4.875000,4.718750,4.812500,2.984515,1311400
2000-06-27,4.812500,4.906250,4.781250,4.812500,2.984515,2216200
2000-06-28,4.750000,4.937500,4.656250,4.664063,2.892461,2003200
2000-06-29,4.687500,4.781250,4.500000,4.500000,2.790716,1850800
2000-06-30,4.531250,4.812500,4.531250,4.625000,2.868236,3671400
2000-07-03,4.718750,4.875000,4.718750,4.875000,3.023276,977200
2000-07-05,4.875000,4.906250,4.656250,4.656250,2.887616,1756800
2000-07-06,4.687500,4.812500,4.656250,4.687500,2.906996,1343800
2000-07-07,4.718750,4.718750,4.500000,4.531250,2.810096,1097800
2000-07-10,4.562500,4.687500,4.531250,4.656250,2.887616,612000
2000-07-11,4.531250,4.781250,4.531250,4.687500,2.906996,2409800
2000-07-12,4.531250,4.687500,4.500000,4.562500,2.829474,1598200
2000-07-13,4.500000,4.593750,4.406250,4.437500,2.751956,2721800
2000-07-14,4.406250,4.468750,4.343750,4.343750,2.693816,969600
2000-07-17,4.343750,4.406250,4.312500,4.328125,2.684126,784600
2000-07-18,4.343750,4.406250,4.250000,4.312500,2.674436,1477400
2000-07-19,4.312500,4.312500,4.125000,4.156250,2.577536,1277000
2000-07-20,4.156250,4.250000,4.093750,4.218750,2.616296,960400
2000-07-21,4.250000,4.343750,4.156250,4.156250,2.577536,963800
2000-07-24,4.125000,4.250000,4.093750,4.093750,2.538776,611200
2000-07-25,4.093750,4.187500,4.093750,4.156250,2.577536,535400
2000-07-26,4.125000,4.187500,4.093750,4.125000,2.558156,1188600
2000-07-27,4.125000,4.187500,4.093750,4.125000,2.558156,811000
2000-07-28,4.125000,4.500000,4.125000,4.406250,2.732576,1676600
2000-07-31,4.437500,4.562500,4.406250,4.500000,2.790716,890400
2000-08-01,4.531250,4.593750,4.500000,4.500000,2.790716,548400
2000-08-02,4.531250,4.593750,4.500000,4.531250,2.810096,639800
2000-08-03,4.593750,4.593750,4.375000,4.375000,2.713196,1033600
2000-08-04,4.406250,4.468750,4.343750,4.406250,2.732576,314200
2000-08-07,4.437500,4.468750,4.312500,4.343750,2.693816,530600
2000-08-08,4.312500,4.406250,4.281250,4.375000,2.713196,604800
2000-08-09,4.375000,4.406250,4.312500,4.343750,2.693816,402800
2000-08-10,4.312500,4.375000,4.250000,4.250000,2.635676,337000
2000-08-11,4.343750,4.437500,4.281250,4.406250,2.732576,615200
2000-08-14,4.406250,4.593750,4.343750,4.531250,2.810096,703600
2000-08-15,4.531250,4.593750,4.437500,4.562500,2.829474,578200
2000-08-16,4.656250,4.750000,4.593750,4.625000,2.868236,578000
2000-08-17,4.687500,4.687500,4.500000,4.531250,2.810096,506000
2000-08-18,4.468750,4.500000,4.406250,4.406250,2.732576,387600
2000-08-21,4.437500,4.437500,4.343750,4.343750,2.693816,488600
2000-08-22,4.343750,4.406250,4.312500,4.375000,2.713196,331600
2000-08-23,4.312500,4.437500,4.312500,4.437500,2.751956,548400
2000-08-24,4.437500,4.781250,4.437500,4.687500,2.906996,1378000
2000-08-25,4.718750,4.781250,4.593750,4.687500,2.906996,585200
2000-08-28,4.625000,4.656250,4.500000,4.531250,2.810096,1043600
2000-08-29,4.531250,4.562500,4.406250,4.437500,2.751956,719200
2000-08-30,4.468750,4.531250,4.343750,4.437500,2.751956,584400
2000-08-31,4.468750,4.968750,4.437500,4.914063,3.047501,2077600
2000-09-01,4.718750,4.937500,4.718750,4.843750,3.003895,852800
2000-09-05,4.812500,4.937500,4.750000,4.875000,3.023276,1212400
