Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,2.226563,2.281250,2.226563,2.234375,1.962217,145600
2000-01-19,2.242188,2.375000,2.242188,2.304688,2.023965,222400
2000-01-20,2.296875,2.312500,2.234375,2.250000,1.975938,729600
2000-01-21,2.234375,2.265625,2.218750,2.250000,1.975938,106400
2000-01-24,2.250000,2.281250,2.218750,2.250000,1.975938,103200
2000-01-25,2.203125,2.250000,2.187500,2.187500,1.921053,50400
2000-01-26,2.175781,2.187500,2.109375,2.187500,1.921053,56800
2000-01-27,2.125000,2.218750,2.093750,2.093750,1.838721,77600
2000-01-28,2.093750,2.328125,2.046875,2.312500,2.030826,240000
2000-01-31,2.246094,2.375000,2.234375,2.304688,2.023965,152000
2000-02-01,2.265625,2.273438,2.125000,2.125000,1.866164,155200
2000-02-02,2.125000,2.273438,2.125000,2.250000,1.975938,46400
2000-02-03,2.250000,2.328125,2.218750,2.328125,2.044547,170400
2000-02-04,2.281250,2.281250,2.171875,2.171875,1.907330,118400
2000-02-07,2.232422,2.234375,2.078125,2.140625,1.879886,53600
2000-02-08,2.140625,2.187500,2.062500,2.187500,1.921053,170400
2000-02-09,1.687500,1.875000,1.671875,1.796875,1.578007,2757600
2000-02-10,1.785156,1.906250,1.781250,1.898438,1.667198,959200
2000-02-11,1.902344,1.937500,1.828125,1.906250,1.674059,970400
2000-02-14,1.867188,1.890625,1.796875,1.835938,1.612311,682400
2000-02-15,1.812500,1.835938,1.781250,1.781250,1.564285,204800
2000-02-16,1.742188,1.750000,1.695313,1.750000,1.536841,2054400
2000-02-17,1.703125,1.750000,1.703125,1.734375,1.523119,357600
2000-02-18,1.726563,1.804688,1.718750,1.804688,1.584868,191200
2000-02-22,1.812500,1.890625,1.765625,1.843750,1.619172,840800
2000-02-23,1.812500,1.890625,1.765625,1.828125,1.605450,420800
2000-02-24,1.828125,1.968750,1.828125,1.968750,1.728947,336800
2000-02-25,1.953125,1.960938,1.890625,1.921875,1.687781,327200
2000-02-28,1.921875,1.953125,1.875000,1.890625,1.660338,117600
2000-02-29,1.937500,2.000000,1.898438,1.984375,1.742668,257600
2000-03-01,1.960938,2.406250,1.945313,2.218750,1.948495,816800
2000-03-02,2.187500,2.250000,2.125000,2.187500,1.921053,147200
2000-03-03,2.125000,2.140625,2.062500,2.140625,1.879886,152000
2000-03-06,1.625000,1.625000,1.125000,1.250000,1.097744,12396000
2000-03-07,1.250000,1.265625,1.203125,1.203125,1.056578,3324800
2000-03-08,1.234375,1.234375,1.093750,1.156250,1.015413,1811200
2000-03-09,1.156250,1.171875,1.085938,1.125000,0.987969,3557600
2000-03-10,1.156250,1.226563,1.117188,1.226563,1.077161,1449600
2000-03-13,1.230469,1.265625,1.187500,1.250000,1.097744,1082400
2000-03-14,1.230469,1.230469,1.109375,1.183594,1.039426,1439200
2000-03-15,1.189453,1.195313,1.125000,1.125000,0.987969,548000
2000-03-16,1.144531,1.187500,1.125000,1.156250,1.015413,728800
2000-03-17,1.152344,1.179688,1.125000,1.171875,1.029135,370400
2000-03-20,1.187500,1.187500,1.109375,1.125000,0.987969,1475200
2000-03-21,1.144531,1.144531,1.093750,1.125000,0.987969,344000
2000-03-22,1.113281,1.128906,1.093750,1.101563,0.967387,285600
2000-03-23,1.109375,1.148438,1.101563,1.101563,0.967387,414400
2000-03-24,1.101563,1.234375,1.093750,1.136719,0.998261,245600
2000-03-27,1.218750,1.218750,1.093750,1.109375,0.974248,632000
2000-03-28,1.125000,1.171875,1.101563,1.125000,0.987969,559200
2000-03-29,1.195313,1.195313,1.125000,1.169922,1.027419,183200
2000-03-30,1.175781,1.175781,1.109375,1.109375,0.974248,246400
2000-03-31,1.132813,1.218750,1.109375,1.148438,1.008552,442400
2000-04-03,1.187500,1.187500,1.109375,1.125000,0.987969,200000
2000-04-04,1.125000,1.148438,0.937500,1.039063,0.912500,1120000
2000-04-05,1.066406,1.093750,1.000000,1.062500,0.933082,386400
2000-04-06,1.078125,1.078125,1.007813,1.046875,0.919360,1416800
2000-04-07,1.076172,1.125000,1.062500,1.062500,0.933082,176000
2000-04-10,1.091797,1.125000,1.062500,1.062500,0.933082,198400
2000-04-11,1.125000,1.125000,1.046875,1.078125,0.946804,450400
2000-04-12,1.089844,1.148438,1.062500,1.078125,0.946804,322400
2000-04-13,1.085938,1.093750,0.968750,1.000000,0.878195,321600
2000-04-14,0.984375,1.000000,0.921875,0.923828,0.811301,118400
2000-04-17,0.921875,1.015625,0.859375,0.937500,0.823308,599200
2000-04-18,0.945313,0.998047,0.894531,0.937500,0.823308,91200
2000-04-19,0.949219,0.968750,0.906250,0.953125,0.837030,115200
2000-04-20,1.000000,1.007813,0.937500,0.945313,0.830169,133600
2000-04-24,0.929688,1.000000,0.906250,0.937500,0.823308,396000
2000-04-25,0.929688,0.937500,0.875000,0.875000,0.768421,176800
2000-04-26,0.890625,0.960938,0.890625,0.937500,0.823308,152800
2000-04-27,0.937500,0.992188,0.921875,0.921875,0.809586,626400
2000-04-28,0.984375,0.984375,0.921875,0.921875,0.809586,289600
2000-05-01,0.984375,1.046875,0.945313,1.046875,0.919360,262400
2000-05-02,1.062500,1.242188,1.023438,1.140625,1.001691,771200
2000-05-03,1.125000,1.187500,1.113281,1.179688,1.035996,464800
2000-05-04,1.187500,1.210938,1.171875,1.187500,1.042856,272800
2000-05-05,1.187500,1.203125,1.156250,1.187500,1.042856,245600
2000-05-08,1.171875,1.234375,1.125000,1.148438,1.008552,950400
2000-05-09,1.156250,1.250000,1.140625,1.250000,1.097744,467200
2000-05-10,1.218750,1.226563,1.140625,1.187500,1.042856,313600
2000-05-11,1.210938,1.359375,1.210938,1.281250,1.125188,932800
2000-05-12,1.281250,1.359375,1.257813,1.265625,1.111465,668800
2000-05-15,1.250000,1.277344,1.218750,1.250000,1.097744,557600
2000-05-16,1.250000,1.265625,1.125000,1.156250,1.015413,352800
2000-05-17,1.187500,1.203125,1.171875,1.171875,1.029135,233600
2000-05-18,1.171875,1.187500,1.156250,1.156250,1.015413,254400
2000-05-19,1.125000,1.250000,1.125000,1.234375,1.084022,510400
2000-05-22,1.203125,1.203125,1.093750,1.093750,0.960526,92000
2000-05-23,1.097656,1.132813,1.093750,1.132813,0.994830,111200
2000-05-24,1.093750,1.171875,1.093750,1.152344,1.011983,330400
2000-05-25,1.078125,1.078125,0.984375,0.984375,0.864473,134400
2000-05-26,0.968750,1.093750,0.968750,1.000000,0.878195,153600
2000-05-30,0.968750,0.968750,0.937500,0.960938,0.843891,610400
2000-05-31,0.953125,0.968750,0.855469,0.867188,0.761560,452000
2000-06-01,0.873047,0.875000,0.859375,0.859375,0.754699,575200
2000-06-02,0.875000,0.890625,0.843750,0.859375,0.754699,275200
2000-06-05,0.859375,0.859375,0.796875,0.812500,0.713534,671200
2000-06-06,0.806641,0.808594,0.687500,0.718750,0.631203,1343200
2000-06-07,0.734375,0.734375,0.687500,0.718750,0.631203,585600
2000-06-08,0.691406,0.710938,0.656250,0.656250,0.576315,1179200
2000-06-09,0.687500,0.687500,0.656250,0.671875,0.590037,601600
2000-06-12,0.669922,0.781250,0.667969,0.718750,0.631203,1554400
