Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,5.291667,5.395833,5.250000,5.333333,4.429843,148200
2000-01-19,5.333333,5.500000,5.333333,5.458333,4.533667,186000
2000-01-20,5.479167,5.479167,5.291667,5.437500,4.516362,96000
2000-01-21,5.458333,5.479167,5.395833,5.395833,4.481753,202500
2000-01-24,5.375000,5.437500,5.125000,5.125000,4.256800,266100
2000-01-25,5.125000,5.208333,5.125000,5.187500,4.308714,85200
2000-01-26,5.208333,5.229167,5.166667,5.187500,4.308714,40200
2000-01-27,5.229167,5.375000,5.083333,5.104167,4.239498,86400
2000-01-28,5.062500,5.229167,5.062500,5.125000,4.256800,143700
2000-01-31,5.125000,5.166667,5.062500,5.104167,4.239498,139500
2000-02-01,5.145833,5.166667,5.062500,5.062500,4.204891,76200
2000-02-02,5.104167,5.104167,5.020833,5.020833,4.170281,134400
2000-02-03,5.041667,5.062500,4.958333,5.041667,4.187585,116400
2000-02-04,5.041667,5.208333,5.041667,5.187500,4.308714,67800
2000-02-07,5.250000,5.250000,5.125000,5.145833,4.274107,45000
2000-02-08,5.083333,5.229167,5.041667,5.041667,4.187585,136800
2000-02-09,5.062500,5.062500,4.916667,4.937500,4.101064,161400
2000-02-10,5.083333,5.083333,4.500000,4.520833,3.754983,3353400
2000-02-11,4.520833,4.541667,4.291667,4.312500,3.581943,366900
2000-02-14,4.187500,4.187500,4.104167,4.125000,3.426206,594900
2000-02-15,4.125000,4.125000,4.000000,4.020833,3.339685,1380000
2000-02-16,4.000000,4.000000,3.958333,4.000000,3.322382,515400
2000-02-17,4.000000,4.104167,3.958333,4.000000,3.322382,689400
2000-02-18,4.000000,4.000000,3.895833,3.916667,3.253165,355200
2000-02-22,3.958333,4.000000,3.937500,4.000000,3.322382,271800
2000-02-23,4.000000,4.000000,3.937500,3.979167,3.305077,227100
2000-02-24,4.000000,4.000000,3.812500,3.854167,3.201253,294300
2000-02-25,3.854167,3.854167,3.791667,3.833333,3.183949,185400
2000-02-28,3.833333,3.875000,3.812500,3.833333,3.183949,171900
2000-02-29,3.854167,3.854167,3.812500,3.833333,3.183949,148500
2000-03-01,3.833333,3.854167,3.770833,3.833333,3.183949,388200
2000-03-02,3.833333,3.833333,3.729167,3.750000,3.114732,232800
2000-03-03,3.729167,3.770833,3.666667,3.750000,3.114732,238200
2000-03-06,3.833333,3.833333,3.666667,3.687500,3.062820,273000
2000-03-07,3.687500,3.687500,3.520833,3.520833,2.924387,487200
2000-03-08,3.541667,3.750000,3.541667,3.729167,3.097428,419100
2000-03-09,3.750000,3.854167,3.729167,3.854167,3.201253,1980000
2000-03-10,3.895833,3.937500,3.791667,3.791667,3.149340,1604100
2000-03-13,3.791667,3.916667,3.791667,3.833333,3.183949,342600
2000-03-14,3.875000,3.895833,3.791667,3.812500,3.166644,553200
2000-03-15,3.812500,4.020833,3.812500,3.958333,3.287774,900300
2000-03-16,3.958333,4.083333,3.937500,3.979167,3.305077,1669800
2000-03-17,3.958333,4.208333,3.937500,4.187500,3.478118,2163900
2000-03-20,4.208333,4.229167,4.041667,4.187500,3.478118,756300
2000-03-21,4.187500,4.208333,4.104167,4.187500,3.478118,164400
2000-03-22,4.187500,4.270833,4.125000,4.166667,3.460814,733800
2000-03-23,4.125000,4.229167,4.125000,4.229167,3.512727,402600
2000-03-24,4.270833,4.520833,4.166667,4.520833,3.754983,2906700
2000-03-27,4.500000,4.520833,4.291667,4.375000,3.633856,297600
2000-03-28,4.395833,4.437500,4.250000,4.250000,3.530031,130800
2000-03-29,4.291667,4.354167,4.270833,4.354167,3.616551,290100
2000-03-30,4.395833,4.500000,4.395833,4.458333,3.703071,369900
2000-03-31,4.479167,4.541667,4.291667,4.291667,3.564639,1034100
2000-04-03,4.291667,4.437500,4.270833,4.395833,3.651159,602700
2000-04-04,4.395833,4.458333,4.291667,4.458333,3.703071,373500
2000-04-05,4.437500,4.437500,4.333333,4.354167,3.616551,220800
2000-04-06,4.354167,4.395833,4.312500,4.333333,3.599247,221400
2000-04-07,4.333333,4.500000,4.333333,4.500000,3.737678,347400
2000-04-10,4.520833,4.541667,4.354167,4.354167,3.616551,193200
2000-04-11,4.354167,4.354167,4.229167,4.250000,3.530031,276000
2000-04-12,4.270833,4.291667,4.187500,4.270833,3.547335,392700
2000-04-13,4.333333,4.437500,4.312500,4.416667,3.668463,573900
2000-04-14,4.583333,4.583333,4.354167,4.479167,3.720376,661800
2000-04-17,4.479167,4.479167,4.333333,4.416667,3.668463,429600
2000-04-18,4.395833,4.458333,4.375000,4.458333,3.703071,183300
2000-04-19,4.458333,4.458333,4.333333,4.395833,3.651159,157800
2000-04-20,4.395833,4.395833,4.270833,4.375000,3.633856,95100
2000-04-24,4.395833,4.395833,4.000000,4.145833,3.443511,1440000
2000-04-25,4.166667,4.208333,4.041667,4.104167,3.408901,1011600
2000-04-26,4.104167,4.333333,4.104167,4.333333,3.599247,4125600
2000-04-27,4.333333,4.708333,4.312500,4.708333,3.910720,2414400
2000-04-28,4.666667,4.812500,4.604167,4.708333,3.910720,1071900
2000-05-01,4.687500,4.708333,4.645833,4.645833,3.858808,849900
2000-05-02,4.645833,4.708333,4.645833,4.666667,3.876111,607800
2000-05-03,4.666667,4.875000,4.645833,4.875000,4.049153,901200
2000-05-04,4.854167,5.395833,4.854167,5.375000,4.464451,2167500
2000-05-05,5.291667,5.416667,5.250000,5.416667,4.499059,567900
2000-05-08,5.375000,5.416667,5.333333,5.354167,4.447146,349500
2000-05-09,5.354167,5.416667,5.312500,5.333333,4.429843,280200
2000-05-10,5.375000,5.416667,5.270833,5.375000,4.464451,225900
2000-05-11,5.375000,5.645833,5.375000,5.625000,4.672100,699300
2000-05-12,5.666667,5.895833,5.645833,5.770833,4.793229,555600
2000-05-15,5.770833,5.770833,5.500000,5.541667,4.602884,420600
2000-05-16,5.583333,5.750000,5.583333,5.708333,4.741316,338700
2000-05-17,5.687500,5.750000,5.666667,5.729167,4.758618,364500
2000-05-18,5.729167,5.770833,5.729167,5.770833,4.793229,200400
2000-05-19,5.729167,5.729167,5.604167,5.604167,4.654796,146700
2000-05-22,5.562500,5.666667,5.562500,5.625000,4.672100,351900
2000-05-23,5.583333,5.666667,5.583333,5.625000,4.672100,152100
2000-05-24,5.625000,5.625000,5.354167,5.479167,4.550970,216000
2000-05-25,5.500000,5.500000,5.333333,5.333333,4.429843,152100
2000-05-26,5.333333,5.375000,5.250000,5.375000,4.464451,336900
2000-05-30,5.375000,5.479167,5.354167,5.437500,4.516362,214200
2000-05-31,5.458333,5.645833,5.333333,5.333333,4.429843,227100
2000-06-01,5.354167,5.541667,5.354167,5.479167,4.550970,195300
2000-06-02,5.500000,5.854167,5.500000,5.791667,4.810532,359400
2000-06-05,5.854167,5.895833,5.812500,5.875000,4.879747,593400
2000-06-06,5.875000,5.875000,5.729167,5.729167,4.758618,163500
2000-06-07,5.750000,5.750000,5.708333,5.729167,4.758618,214200
2000-06-08,5.770833,5.770833,5.604167,5.604167,4.654796,118200
2000-06-09,5.604167,5.645833,5.562500,5.562500,4.620186,244200
2000-06-12,5.583333,5.604167,5.520833,5.541667,4.602884,151200
2000-06-13,5.541667,5.583333,5.541667,5.562500,4.620186,153000
2000-06-14,5.562500,5.583333,5.500000,5.500000,4.568275,376500
2000-06-15,5.500000,5.500000,5.375000,5.375000,4.464451,448200
2000-06-16,5.333333,5.416667,5.229167,5.229167,4.343322,373200
2000-06-19,5.291667,5.354167,5.270833,5.312500,4.412538,86400
2000-06-20,5.333333,5.395833,5.125000,5.125000,4.256800,124800
2000-06-21,5.125000,5.166667,5.125000,5.166667,4.291410,425100
2000-06-22,5.145833,5.166667,4.958333,4.958333,4.118370,247800
2000-06-23,5.000000,5.000000,4.833333,4.937500,4.101064,432600
2000-06-26,4.895833,5.020833,4.895833,4.937500,4.101064,441300
2000-06-27,4.916667,5.166667,4.916667,5.104167,4.239498,360900
2000-06-28,5.125000,5.312500,5.104167,5.312500,4.412538,144900
2000-06-29,5.312500,5.312500,5.250000,5.250000,4.360625,87900
2000-06-30,5.208333,5.270833,5.020833,5.020833,4.170281,253800
2000-07-03,5.041667,5.145833,5.020833,5.125000,4.256800,77100
2000-07-05,5.166667,5.250000,5.083333,5.104167,4.239498,191400
2000-07-06,5.125000,5.166667,5.062500,5.083333,4.222193,142500
2000-07-07,5.104167,5.166667,5.000000,5.020833,4.170281,315000
2000-07-10,5.041667,5.041667,4.958333,4.979167,4.135673,235200
2000-07-11,4.958333,5.062500,4.916667,5.062500,4.204891,1569300
2000-07-12,5.062500,5.166667,5.062500,5.145833,4.274107,569400
2000-07-13,5.187500,5.291667,5.166667,5.291667,4.395236,226800
2000-07-14,5.270833,5.291667,5.104167,5.125000,4.256800,148500
2000-07-17,5.125000,5.125000,5.062500,5.083333,4.222193,309600
2000-07-18,5.125000,5.125000,4.875000,4.875000,4.049153,286800
2000-07-19,4.895833,5.000000,4.875000,5.000000,4.152977,590100
2000-07-20,5.000000,5.020833,4.979167,5.000000,4.152977,501000
2000-07-21,5.000000,5.000000,4.833333,4.979167,4.135673,221700
2000-07-24,5.000000,5.020833,4.916667,4.979167,4.135673,179100
2000-07-25,5.020833,5.104167,4.937500,5.062500,4.204891,233700
2000-07-26,5.125000,5.125000,5.020833,5.020833,4.170281,288600
2000-07-27,5.104167,5.125000,5.083333,5.104167,4.239498,129900
2000-07-28,5.104167,5.104167,4.958333,5.041667,4.187585,237300
2000-07-31,5.062500,5.229167,5.000000,5.166667,4.291410,691500
2000-08-01,5.208333,5.375000,5.208333,5.312500,4.412538,184200
2000-08-02,5.333333,5.333333,5.187500,5.229167,4.343322,440700
2000-08-03,5.229167,5.291667,5.166667,5.250000,4.360625,612300
2000-08-04,5.229167,5.312500,5.166667,5.208333,4.326019,198300
2000-08-07,5.291667,5.312500,5.229167,5.250000,4.360625,245400
2000-08-08,5.312500,5.479167,5.270833,5.437500,4.516362,265200
2000-08-09,5.437500,5.562500,5.395833,5.562500,4.620186,109800
2000-08-10,5.520833,5.583333,5.437500,5.500000,4.568275,393600
2000-08-11,5.479167,5.583333,5.479167,5.583333,4.637491,112500
2000-08-14,5.604167,5.687500,5.583333,5.604167,4.654796,333600
2000-08-15,5.625000,5.645833,5.562500,5.583333,4.637491,263400
2000-08-16,5.583333,5.625000,5.541667,5.562500,4.620186,543900
2000-08-17,5.604167,5.875000,5.604167,5.833333,4.845142,945300
2000-08-18,5.833333,5.958333,5.770833,5.770833,4.793229,730800
2000-08-21,5.791667,5.833333,5.750000,5.791667,4.810532,519900
2000-08-22,5.791667,5.937500,5.791667,5.937500,4.931661,135600
2000-08-23,5.895833,5.937500,5.770833,5.791667,4.810532,508200
2000-08-24,5.791667,5.875000,5.791667,5.875000,4.879747,153600
2000-08-25,5.916667,5.937500,5.875000,5.895833,4.897051,106200
2000-08-28,5.916667,5.937500,5.770833,5.812500,4.827836,152100
2000-08-29,5.875000,6.291667,5.875000,6.104167,5.070093,589800
2000-08-30,6.208333,6.291667,6.125000,6.166667,5.122005,891600
2000-08-31,6.166667,6.250000,6.125000,6.166667,5.122005,393600
2000-09-01,6.125000,6.166667,6.041667,6.104167,5.070093,164700
2000-09-05,6.125000,6.166667,6.104167,6.145833,5.104701,171900
2000-09-06,6.208333,6.250000,6.145833,6.208333,5.156614,304800
2000-09-07,6.166667,6.208333,6.104167,6.145833,5.104701,74400
2000-09-08,6.145833,6.145833,6.041667,6.062500,5.035485,139500
2000-09-11,6.062500,6.062500,5.916667,5.916667,4.914356,124500
2000-09-12,5.916667,6.020833,5.895833,5.979167,4.966268,593100
2000-09-13,6.020833,6.125000,6.020833,6.083333,5.052789,180600
2000-09-14,6.062500,6.083333,6.020833,6.062500,5.035485,160500
2000-09-15,6.000000,6.020833,5.958333,5.979167,4.966268,362400
2000-09-18,5.979167,5.979167,5.812500,5.812500,4.827836,251700
2000-09-19,5.812500,5.812500,5.604167,5.604167,4.654796,697800
2000-09-20,5.645833,5.812500,5.625000,5.791667,4.810532,188100
2000-09-21,5.812500,5.812500,5.562500,5.583333,4.637491,254400
2000-09-22,5.541667,5.541667,5.333333,5.354167,4.447146,626100
2000-09-25,5.395833,5.500000,5.395833,5.500000,4.568275,177600
2000-09-26,5.500000,5.500000,5.416667,5.437500,4.516362,105900
2000-09-27,5.437500,5.729167,5.437500,5.604167,4.654796,206400
2000-09-28,5.604167,5.625000,5.479167,5.562500,4.620186,457200
2000-09-29,5.562500,5.562500,5.437500,5.479167,4.550970,463500
2000-10-02,5.479167,5.479167,5.395833,5.416667,4.499059,213000
2000-10-03,5.458333,5.500000,5.437500,5.437500,4.516362,357900
2000-10-04,5.458333,5.645833,5.416667,5.604167,4.654796,168000
2000-10-05,5.562500,5.625000,5.562500,5.604167,4.654796,298800
