Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,20.000000,20.062500,19.812500,20.000000,8.203075,64000
2000-01-19,19.875000,20.125000,19.750000,20.125000,8.254347,154100
2000-01-20,20.187500,20.250000,20.125000,20.187500,8.279984,51900
2000-01-21,20.187500,20.187500,20.062500,20.187500,8.279984,29200
2000-01-24,20.125000,20.187500,20.000000,20.000000,8.203075,52600
2000-01-25,20.000000,20.125000,19.875000,20.000000,8.203075,66700
2000-01-26,20.062500,20.062500,20.000000,20.000000,8.203075,34200
2000-01-27,20.062500,20.125000,20.000000,20.062500,8.228710,61000
2000-01-28,20.000000,20.062500,20.000000,20.062500,8.228710,33400
2000-01-31,19.937500,20.062500,19.937500,19.937500,8.177443,57100
2000-02-01,20.062500,20.062500,19.875000,20.062500,8.228710,49100
2000-02-02,20.062500,20.062500,19.625000,19.687500,8.074903,171500
2000-02-03,19.750000,19.812500,19.687500,19.750000,8.100538,34500
2000-02-04,19.625000,19.687500,19.437500,19.437500,7.972365,73000
2000-02-07,19.375000,19.500000,19.187500,19.187500,7.869826,99200
2000-02-08,19.187500,19.250000,19.000000,19.125000,7.844190,73500
2000-02-09,19.187500,19.250000,18.875000,19.125000,7.844190,70600
2000-02-10,19.000000,19.375000,18.937500,19.312500,7.921095,33400
2000-02-11,19.187500,19.250000,18.750000,18.750000,7.690383,77400
2000-02-14,18.750000,18.750000,17.750000,18.000000,7.382766,143600
2000-02-15,18.000000,18.250000,17.875000,18.000000,7.382766,249000
2000-02-16,18.000000,18.125000,17.875000,17.875000,7.331501,97100
2000-02-17,17.937500,18.062500,17.937500,18.062500,7.408403,70100
2000-02-18,18.062500,18.375000,18.062500,18.187500,7.459673,113000
2000-02-22,18.125000,18.500000,18.062500,18.500000,7.587845,83500
2000-02-23,18.375000,18.687500,18.125000,18.625000,7.639116,85000
2000-02-24,18.500000,18.500000,18.062500,18.250000,7.485307,49900
2000-02-25,18.250000,18.500000,18.250000,18.375000,7.536577,37200
2000-02-28,18.375000,18.750000,18.375000,18.625000,7.639116,57300
2000-02-29,18.750000,19.250000,18.625000,19.250000,7.895459,114200
2000-03-01,19.187500,19.250000,18.937500,19.125000,7.844190,109400
2000-03-02,19.062500,19.062500,19.000000,19.000000,7.792926,39600
2000-03-03,19.250000,19.250000,18.937500,19.062500,7.818555,135200
2000-03-06,19.000000,19.187500,18.812500,19.187500,7.869826,184300
2000-03-07,19.187500,19.250000,18.750000,18.750000,7.690383,128000
2000-03-08,18.875000,19.000000,18.875000,19.000000,7.792926,58400
2000-03-09,18.937500,19.000000,18.750000,18.875000,7.741658,31800
2000-03-10,18.812500,18.937500,18.687500,18.750000,7.690383,42500
2000-03-13,18.750000,18.875000,18.687500,18.750000,7.690383,17600
2000-03-14,18.750000,19.000000,18.750000,18.875000,7.741658,49800
2000-03-15,18.937500,18.937500,18.625000,18.750000,7.690383,285500
2000-03-16,18.875000,19.000000,18.875000,19.000000,7.792926,68400
2000-03-17,19.000000,19.250000,19.000000,19.187500,7.869826,61800
2000-03-20,19.062500,19.375000,19.000000,19.312500,7.921095,111500
2000-03-21,19.187500,19.687500,19.000000,19.687500,8.074903,53200
2000-03-22,19.062500,19.125000,18.500000,19.000000,7.975217,66600
2000-03-23,18.875000,19.000000,18.500000,18.812500,7.896509,59800
2000-03-24,18.625000,18.937500,18.562500,18.562500,7.791572,71900
2000-03-27,18.687500,18.937500,18.625000,18.812500,7.896509,80500
2000-03-28,18.750000,19.000000,18.750000,18.875000,7.922749,76200
2000-03-29,18.937500,19.062500,18.875000,19.000000,7.975217,142300
2000-03-30,19.000000,19.125000,19.000000,19.125000,8.027679,39400
2000-03-31,19.062500,19.312500,19.000000,19.312500,8.106384,41400
2000-04-03,19.250000,19.312500,19.062500,19.125000,8.027679,42500
2000-04-04,19.062500,19.375000,18.937500,19.375000,8.132621,71400
2000-04-05,19.250000,19.875000,19.250000,19.750000,8.290025,115800
2000-04-06,19.812500,20.312500,19.750000,20.312500,8.526134,120100
2000-04-07,20.375000,21.000000,20.375000,21.000000,8.814709,111600
2000-04-10,20.875000,20.937500,20.562500,20.687500,8.683539,102800
2000-04-11,20.750000,21.125000,20.437500,20.625000,8.657305,97000
2000-04-12,20.562500,21.125000,20.562500,21.062500,8.840943,141500
2000-04-13,21.062500,21.062500,20.937500,21.062500,8.840943,68400
2000-04-14,21.000000,21.000000,20.625000,20.687500,8.683539,114400
2000-04-17,20.750000,20.750000,20.437500,20.562500,8.631070,120000
2000-04-18,20.437500,20.437500,19.875000,20.312500,8.526134,340800
2000-04-19,20.500000,20.500000,20.187500,20.250000,8.499896,34200
2000-04-20,20.312500,20.750000,20.125000,20.375000,8.552365,99000
2000-04-24,20.250000,20.437500,20.000000,20.312500,8.526134,68500
2000-04-25,20.437500,20.625000,20.125000,20.625000,8.657305,34300
2000-04-26,20.562500,21.125000,20.312500,21.000000,8.814709,97300
2000-04-27,21.750000,21.750000,21.312500,21.312500,8.945881,39500
2000-04-28,21.250000,21.500000,21.125000,21.250000,8.919645,69800
2000-05-01,21.500000,21.625000,21.250000,21.625000,9.077051,58500
2000-05-02,21.625000,22.125000,21.500000,22.000000,9.234456,237600
2000-05-03,22.000000,22.250000,21.875000,22.062500,9.260691,167100
2000-05-04,22.125000,22.187500,22.000000,22.062500,9.260691,52300
2000-05-05,22.062500,22.187500,21.937500,22.000000,9.234456,84400
2000-05-08,22.000000,22.000000,21.750000,21.812500,9.155756,73800
2000-05-09,21.937500,21.937500,21.437500,21.812500,9.155756,34200
2000-05-10,21.687500,21.687500,21.312500,21.500000,9.024582,49800
2000-05-11,21.562500,21.750000,21.500000,21.750000,9.129519,20300
2000-05-12,21.625000,22.000000,21.625000,21.812500,9.155756,32900
2000-05-15,21.812500,21.937500,21.562500,21.937500,9.208226,39700
2000-05-16,21.812500,21.937500,21.625000,21.812500,9.155756,32400
2000-05-17,21.687500,21.812500,21.375000,21.562500,9.050818,65000
2000-05-18,21.687500,22.312500,21.625000,22.312500,9.365628,96400
2000-05-19,22.250000,22.312500,22.000000,22.000000,9.234456,52600
2000-05-22,21.875000,22.062500,21.562500,22.062500,9.260691,41100
2000-05-23,21.937500,22.000000,21.562500,21.750000,9.129519,34000
2000-05-24,21.625000,22.125000,21.312500,22.125000,9.286928,53000
2000-05-25,22.062500,22.125000,21.875000,21.875000,9.181990,74100
2000-05-26,21.750000,22.062500,21.625000,22.062500,9.260691,39300
2000-05-30,22.000000,22.062500,21.687500,22.062500,9.260691,32000
2000-05-31,22.062500,22.062500,21.500000,21.937500,9.208226,152300
2000-06-01,21.812500,21.937500,21.687500,21.937500,9.208226,132500
2000-06-02,21.937500,22.000000,21.687500,22.000000,9.234456,29700
2000-06-05,21.875000,21.937500,21.562500,21.625000,9.077051,26900
2000-06-06,21.562500,22.000000,21.562500,21.750000,9.129519,104500
2000-06-07,21.750000,21.937500,21.625000,21.937500,9.208226,252900
2000-06-08,21.937500,22.000000,21.687500,21.750000,9.129519,36400
2000-06-09,21.812500,21.875000,21.687500,21.875000,9.181990,45400
2000-06-12,21.875000,21.875000,21.562500,21.562500,9.050818,171700
2000-06-13,21.625000,21.812500,21.562500,21.812500,9.155756,91600
2000-06-14,21.750000,21.937500,21.625000,21.812500,9.155756,106400
2000-06-15,21.812500,21.875000,21.500000,21.625000,9.077051,103200
2000-06-16,21.625000,21.625000,21.250000,21.375000,8.972112,111200
2000-06-19,21.437500,21.437500,21.125000,21.250000,8.919645,73900
2000-06-20,21.250000,21.312500,21.125000,21.250000,8.919645,144300
2000-06-21,21.375000,21.375000,21.125000,21.250000,8.919645,137000
2000-06-22,20.750000,20.812500,20.562500,20.625000,8.844603,91900
2000-06-23,20.750000,20.812500,20.500000,20.750000,8.898207,41200
2000-06-26,20.750000,20.750000,20.625000,20.687500,8.871404,142100
2000-06-27,20.625000,20.875000,20.625000,20.750000,8.898207,35000
2000-06-28,20.750000,20.937500,20.750000,20.875000,8.951809,80600
2000-06-29,20.750000,21.000000,20.750000,20.812500,8.925005,39600
2000-06-30,20.875000,21.125000,20.000000,20.015625,8.583286,414100
2000-07-03,20.250000,20.875000,20.250000,20.875000,8.951809,26900
2000-07-05,21.000000,21.312500,20.750000,21.187500,9.085814,103900
2000-07-06,21.062500,21.687500,21.062500,21.625000,9.273428,55600
2000-07-07,21.625000,21.937500,21.500000,21.562500,9.246633,613000
2000-07-10,21.437500,21.625000,21.437500,21.625000,9.273428,29700
2000-07-11,21.687500,21.687500,21.312500,21.375000,9.166224,83600
2000-07-12,21.500000,21.750000,21.375000,21.625000,9.273428,72900
2000-07-13,21.500000,21.750000,21.437500,21.500000,9.219827,80000
2000-07-14,21.625000,21.625000,21.187500,21.187500,9.085814,35900
2000-07-17,21.312500,21.312500,21.000000,21.125000,9.059018,53600
2000-07-18,21.250000,21.250000,20.875000,21.062500,9.032215,37500
2000-07-19,21.000000,21.187500,20.812500,21.000000,9.005415,24200
