Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,19.156250,21.125000,19.125000,20.843750,14.873200,12708400
2000-01-19,20.843750,21.250000,20.531250,21.093750,15.051589,7712000
2000-01-20,21.093750,21.093750,20.406250,20.406250,14.561016,9798000
2000-01-21,20.750000,21.750000,20.656250,21.187500,15.118492,6455600
2000-01-24,21.187500,21.750000,19.656250,19.937500,14.226543,6052200
2000-01-25,19.968750,20.718750,19.562500,20.000000,14.271139,5748000
2000-01-26,20.500000,20.937500,19.218750,19.343750,13.802870,8223000
2000-01-27,19.500000,19.968750,18.312500,18.750000,13.379194,6704000
2000-01-28,18.375000,18.812500,17.625000,17.906250,12.777130,7333400
2000-01-31,17.937500,18.250000,17.750000,18.062500,12.888624,5969400
2000-02-01,18.156250,18.437500,17.781250,18.187500,12.977820,5991200
2000-02-02,18.625000,18.687500,18.125000,18.562500,13.245399,6113400
2000-02-03,18.687500,18.781250,18.281250,18.687500,13.334594,4271800
2000-02-04,18.437500,18.656250,18.156250,18.406250,13.133906,4684200
2000-02-07,18.406250,19.125000,18.281250,18.687500,13.334594,3883400
2000-02-08,19.187500,19.187500,18.218750,18.437500,13.156206,4559600
2000-02-09,18.312500,18.687500,17.312500,17.750000,12.665633,6528800
2000-02-10,17.531250,18.000000,17.468750,17.718750,12.643336,7606400
2000-02-11,17.937500,17.968750,17.000000,17.125000,12.219662,6207200
2000-02-14,17.375000,18.125000,16.843750,17.968750,12.821725,6191200
2000-02-15,18.000000,19.281250,17.968750,19.250000,13.735968,7978600
2000-02-16,19.500000,19.875000,19.312500,19.562500,13.958960,7648400
2000-02-17,19.250000,19.687500,18.593750,19.250000,13.735968,5403000
2000-02-18,19.000000,19.187500,18.281250,18.343750,13.089309,3593800
2000-02-22,18.312500,18.375000,17.625000,17.750000,12.665633,3786200
2000-02-23,17.625000,17.843750,17.156250,17.156250,12.241960,3688800
2000-02-24,17.250000,18.281250,17.187500,17.718750,12.643336,6323200
2000-02-25,17.718750,17.781250,16.718750,16.843750,12.018974,7448000
2000-02-28,16.906250,17.656250,16.750000,17.500000,12.580608,5269400
2000-02-29,17.687500,19.218750,17.562500,19.093750,13.775539,7824200
2000-03-01,19.093750,20.593750,18.781250,20.468750,14.767560,9905200
2000-03-02,20.406250,21.343750,20.218750,21.093750,15.218474,9536200
2000-03-03,21.093750,21.093750,19.625000,20.437500,14.745011,7751400
2000-03-06,21.000000,21.062500,20.593750,20.625000,14.880287,5745400
2000-03-07,20.656250,22.750000,20.656250,22.250000,16.052687,12973200
2000-03-08,21.250000,21.250000,19.875000,19.937500,14.384279,11930000
2000-03-09,20.437500,20.468750,19.437500,20.062500,14.474461,6077000
2000-03-10,19.750000,20.906250,19.656250,19.781250,14.271549,4364800
2000-03-13,19.187500,20.718750,19.125000,19.437500,14.023543,5174800
2000-03-14,19.281250,19.593750,18.531250,19.078125,13.764270,5844800
2000-03-15,19.218750,19.562500,18.500000,18.937500,13.662811,3436600
2000-03-16,18.562500,20.000000,18.375000,19.687500,14.203914,6056800
2000-03-17,19.281250,19.500000,18.906250,19.187500,13.843174,6463000
2000-03-20,18.750000,18.781250,17.937500,18.093750,13.054073,7736200
2000-03-21,18.437500,18.906250,18.281250,18.750000,13.527536,10294200
2000-03-22,19.125000,19.750000,18.875000,19.343750,13.955914,12027000
2000-03-23,19.187500,19.375000,18.625000,18.937500,13.662811,8611200
2000-03-24,19.468750,20.062500,19.125000,19.500000,14.068631,7187200
2000-03-27,19.000000,19.875000,18.625000,19.062500,13.752995,6980600
2000-03-28,18.781250,19.687500,18.500000,18.843750,13.595171,10352000
2000-03-29,18.625000,20.218750,18.375000,20.125000,14.519548,9889400
2000-03-30,20.062500,20.843750,19.781250,20.281250,14.632282,8744600
2000-03-31,20.406250,20.718750,19.812500,20.562500,14.835202,4997600
2000-04-03,20.500000,21.312500,20.312500,21.250000,15.331205,4905200
2000-04-04,21.250000,21.625000,19.562500,20.000000,14.429368,8347600
2000-04-05,20.093750,20.125000,18.875000,19.000000,13.707904,5415000
2000-04-06,19.125000,19.875000,19.062500,19.593750,14.136274,6482600
2000-04-07,20.093750,20.656250,19.656250,19.812500,14.294099,9264800
2000-04-10,19.812500,19.812500,19.093750,19.156250,13.820637,6530400
2000-04-11,19.500000,20.187500,19.156250,20.093750,14.497006,4892200
2000-04-12,20.312500,20.625000,19.937500,20.406250,14.722464,4344000
2000-04-13,20.281250,20.718750,19.625000,19.656250,14.181371,4435600
2000-04-14,19.781250,20.500000,19.187500,19.437500,14.023543,5206400
2000-04-17,19.218750,19.437500,18.750000,19.218750,13.865723,5687600
2000-04-18,19.500000,21.000000,19.187500,20.843750,15.038110,7238800
2000-04-19,20.718750,21.250000,20.031250,20.718750,14.947927,5204000
2000-04-20,20.781250,21.250000,20.562500,21.125000,15.241030,5003000
2000-04-24,21.437500,21.687500,20.218750,20.812500,15.015571,4298200
2000-04-25,21.500000,21.500000,20.093750,20.718750,14.947927,5953400
2000-04-26,20.875000,21.812500,20.218750,21.812500,15.737034,8123800
2000-04-27,21.562500,23.218750,21.250000,22.750000,16.413418,12422400
2000-04-28,22.531250,22.718750,22.093750,22.093750,15.939939,5453600
2000-05-01,22.031250,22.531250,21.531250,22.125000,15.962491,5129200
2000-05-02,22.375000,23.750000,22.312500,23.687500,17.089787,8542000
2000-05-03,23.437500,23.625000,22.281250,22.625000,16.323229,6454200
2000-05-04,22.531250,23.500000,22.531250,23.500000,16.954510,4925800
2000-05-05,23.125000,23.593750,22.718750,23.437500,16.909420,5838800
2000-05-08,23.562500,24.468750,23.562500,24.187500,17.450529,6446000
2000-05-09,24.062500,24.468750,23.937500,24.468750,17.653429,5691800
2000-05-10,24.125000,24.734375,23.906250,24.593750,17.743618,6895000
2000-05-11,24.593750,25.218750,24.468750,25.187500,18.171993,6565400
2000-05-12,24.937500,25.375000,24.437500,25.046875,18.070534,7433600
2000-05-15,24.875000,26.062500,24.656250,25.781250,18.600367,7906600
2000-05-16,25.906250,25.906250,24.781250,25.750000,18.577822,6955200
2000-05-17,25.500000,26.125000,25.125000,25.500000,18.397448,8103400
