Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,0.843750,0.847656,0.843750,0.847656,0.424421,97600
2000-01-19,0.851563,0.851563,0.843750,0.843750,0.422465,580800
2000-01-20,0.835938,0.843750,0.835938,0.839844,0.420509,33600
2000-01-21,0.847656,0.875000,0.847656,0.859375,0.430289,369600
2000-01-24,0.859375,0.867188,0.859375,0.859375,0.430289,630400
2000-01-25,0.867188,0.867188,0.859375,0.859375,0.430289,203200
2000-01-26,0.855469,0.863281,0.855469,0.859375,0.430289,160000
2000-01-27,0.867188,0.867188,0.855469,0.855469,0.428333,88000
2000-01-28,0.855469,0.867188,0.851563,0.859375,0.430289,131200
2000-01-31,0.851563,0.859375,0.843750,0.843750,0.422465,220800
2000-02-01,0.851563,0.851563,0.828125,0.851563,0.426377,105600
2000-02-02,0.843750,0.843750,0.835938,0.835938,0.418553,113600
2000-02-03,0.843750,0.859375,0.843750,0.859375,0.430289,278400
2000-02-04,0.859375,0.859375,0.851563,0.855469,0.428333,64000
2000-02-07,0.851563,0.855469,0.851563,0.855469,0.428333,30400
2000-02-08,0.851563,0.859375,0.851563,0.855469,0.428333,49600
2000-02-09,0.859375,0.859375,0.843750,0.859375,0.430289,123200
2000-02-10,0.867188,0.875000,0.859375,0.867188,0.434201,120000
2000-02-11,0.867188,0.875000,0.859375,0.859375,0.430289,446400
2000-02-14,0.851563,0.855469,0.851563,0.851563,0.426377,35200
2000-02-15,0.859375,0.859375,0.835938,0.843750,0.422465,128000
2000-02-16,0.843750,0.843750,0.828125,0.828125,0.414642,979200
2000-02-17,0.828125,0.835938,0.820313,0.820313,0.410730,244800
2000-02-18,0.828125,0.828125,0.812500,0.812500,0.406819,22400
2000-02-22,0.816406,0.816406,0.808594,0.808594,0.404863,49600
2000-02-23,0.796875,0.812500,0.796875,0.804688,0.402907,48000
2000-02-24,0.789063,0.820313,0.789063,0.820313,0.410730,67200
2000-02-25,0.820313,0.828125,0.789063,0.828125,0.414642,128000
2000-02-28,0.820313,0.828125,0.820313,0.828125,0.414642,28800
2000-02-29,0.820313,0.828125,0.820313,0.828125,0.414642,8000
2000-03-01,0.843750,0.851563,0.832031,0.843750,0.422465,92800
