Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,5.031250,5.101563,5.007813,5.085938,3.435860,570400
2000-01-19,5.046875,5.046875,4.921875,4.937500,3.349993,937600
2000-01-20,4.960938,4.960938,4.898438,4.953125,3.360595,532000
2000-01-21,5.000000,5.000000,4.882813,4.929688,3.344691,1207200
2000-01-24,4.929688,4.953125,4.781250,4.843750,3.286387,1138400
2000-01-25,4.835938,4.851563,4.781250,4.812500,3.265182,1072000
2000-01-26,4.812500,4.960938,4.812500,4.921875,3.339391,1180000
2000-01-27,4.953125,4.992188,4.843750,4.843750,3.286387,658400
2000-01-28,4.843750,4.843750,4.625000,4.796875,3.254582,1668800
2000-01-31,4.796875,5.078125,4.765625,5.078125,3.445404,998400
2000-02-01,5.046875,5.046875,4.750000,4.851563,3.291686,1090400
2000-02-02,4.851563,4.851563,4.726563,4.765625,3.233380,1334400
2000-02-03,4.765625,4.773438,4.656250,4.734375,3.212176,2530400
2000-02-04,4.671875,4.781250,4.671875,4.734375,3.212176,1499200
2000-02-07,4.703125,4.710938,4.625000,4.640625,3.148570,1003200
2000-02-08,4.640625,4.781250,4.625000,4.750000,3.222778,794400
2000-02-09,4.781250,4.828125,4.750000,4.796875,3.254582,724800
2000-02-10,4.851563,4.875000,4.625000,4.679688,3.175074,1532000
2000-02-11,4.671875,4.671875,4.429688,4.484375,3.042557,1668800
2000-02-14,4.484375,4.539063,4.437500,4.445313,3.016055,1120800
2000-02-15,4.437500,4.515625,4.203125,4.460938,3.026655,2621600
2000-02-16,4.500000,4.609375,4.281250,4.500000,3.053159,1272800
2000-02-17,4.406250,4.562500,4.328125,4.546875,3.084963,1171600
2000-02-18,4.484375,4.625000,4.375000,4.500000,3.053159,1122800
2000-02-22,4.593750,4.593750,4.453125,4.484375,3.042557,1144400
2000-02-23,4.437500,4.437500,4.335938,4.421875,3.000153,486800
2000-02-24,4.375000,4.406250,4.250000,4.375000,2.968348,1636400
2000-02-25,4.468750,4.468750,4.312500,4.343750,2.947146,1815600
2000-02-28,4.328125,4.375000,4.203125,4.234375,2.872938,958800
2000-02-29,4.265625,4.343750,4.156250,4.171875,2.830532,1211600
2000-03-01,4.156250,4.312500,4.156250,4.234375,2.872938,1337200
2000-03-02,4.171875,4.187500,4.078125,4.078125,2.766925,1590800
2000-03-03,4.093750,4.093750,3.750000,3.796875,2.576102,3562400
2000-03-06,3.812500,4.000000,3.812500,3.859375,2.618507,1926000
2000-03-07,3.875000,3.906250,3.625000,3.625000,2.459489,2348800
2000-03-08,3.750000,3.828125,3.734375,3.781250,2.565501,1623200
2000-03-09,4.000000,4.000000,3.750000,3.765625,2.554901,1399200
2000-03-10,3.750000,3.812500,3.640625,3.656250,2.480692,901200
2000-03-13,3.625000,3.750000,3.546875,3.578125,2.427685,732400
2000-03-14,3.578125,3.593750,3.406250,3.531250,2.395882,1806800
2000-03-15,3.562500,4.234375,3.468750,3.812500,2.586705,2446400
2000-03-16,3.812500,4.265625,3.812500,4.265625,2.894140,2066000
2000-03-17,3.937500,4.125000,3.750000,3.750000,2.544298,1378400
2000-03-20,3.812500,4.046875,3.812500,3.937500,2.671513,2084800
2000-03-21,4.000000,4.000000,3.812500,3.843750,2.607907,1765200
2000-03-22,3.765625,3.843750,3.562500,3.625000,2.459489,1492000
