Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,8.810573,9.116495,8.749388,8.871758,4.635864,1099300
2000-01-19,9.116495,9.422418,9.055311,9.361234,4.891635,1435600
2000-01-20,9.300049,9.361234,9.116495,9.177680,4.795721,1133300
2000-01-21,9.177680,9.238864,8.932941,8.994126,4.699806,524700
2000-01-24,9.116495,9.300049,8.994126,8.994126,4.699806,1226800
2000-01-25,9.116495,9.300049,8.871758,9.116495,4.763749,711400
2000-01-26,9.055311,9.238864,9.055311,9.116495,4.763749,362100
2000-01-27,9.116495,9.238864,8.932941,9.055311,4.731776,1224800
2000-01-28,9.055311,9.055311,8.749388,8.810573,4.603892,1186900
2000-01-31,8.810573,8.810573,8.565835,8.688204,4.539950,459600
2000-02-01,8.810573,8.994126,8.688204,8.932941,4.667834,266800
2000-02-02,8.932941,8.994126,8.749388,8.932941,4.667834,479500
2000-02-03,8.932941,8.994126,8.871758,8.994126,4.699806,276200
2000-02-04,8.994126,9.055311,8.932941,8.994126,4.699806,843900
2000-02-07,8.994126,9.300049,8.994126,9.116495,4.763749,544400
2000-02-08,9.177680,9.300049,9.116495,9.238864,4.827689,431400
2000-02-09,9.177680,9.300049,9.177680,9.238864,4.827689,678800
2000-02-10,9.177680,9.361234,9.116495,9.177680,4.795721,366200
2000-02-11,9.116495,9.177680,8.871758,8.932941,4.667834,372700
2000-02-14,8.932941,9.055311,8.810573,8.994126,4.699806,964700
2000-02-15,8.932941,9.055311,8.871758,8.994126,4.699806,483400
2000-02-16,8.932941,9.116495,8.871758,9.116495,4.763749,1242500
2000-02-17,9.116495,9.300049,8.994126,9.238864,4.827689,899100
2000-02-18,9.177680,9.238864,9.055311,9.055311,4.731776,900200
2000-02-22,8.932941,9.055311,8.810573,8.871758,4.635864,607000
2000-02-23,8.871758,8.932941,8.810573,8.932941,4.667834,336800
2000-02-24,8.932941,8.932941,8.688204,8.810573,4.603892,711300
2000-02-25,8.810573,8.810573,8.565835,8.749388,4.571920,420300
2000-02-28,8.627019,8.749388,8.627019,8.688204,4.539950,317600
2000-02-29,8.688204,8.810573,8.565835,8.688204,4.539950,469400
2000-03-01,8.688204,8.749388,8.504650,8.504650,4.444033,459900
2000-03-02,8.565835,8.627019,8.321096,8.504650,4.444033,2714100
2000-03-03,8.443465,8.504650,8.382281,8.443465,4.412062,329500
2000-03-06,8.443465,8.688204,8.382281,8.688204,4.539950,1036200
2000-03-07,8.627019,8.749388,8.443465,8.565835,4.476007,537900
2000-03-08,8.504650,8.627019,8.443465,8.627019,4.507978,333300
2000-03-09,8.688204,8.749388,8.565835,8.688204,4.539950,656000
2000-03-10,8.749388,8.994126,8.749388,8.749388,4.571920,763000
2000-03-13,8.810573,8.810573,8.688204,8.749388,4.571920,135300
2000-03-14,8.749388,8.810573,8.565835,8.688204,4.539950,387200
2000-03-15,8.688204,8.749388,8.565835,8.749388,4.571920,267000
2000-03-16,8.810573,9.055311,8.749388,8.749388,4.571920,939500
2000-03-17,8.871758,8.994126,8.749388,8.810573,4.603892,411300
2000-03-20,8.810573,8.932941,8.688204,8.810573,4.603892,354600
2000-03-21,8.749388,8.871758,8.627019,8.688204,4.539950,286400
2000-03-22,8.688204,8.749388,8.627019,8.749388,4.571920,832900
2000-03-23,8.749388,8.810573,8.627019,8.749388,4.571920,292700
2000-03-24,8.688204,8.810573,8.688204,8.688204,4.539950,501000
2000-03-27,8.688204,8.688204,8.443465,8.504650,4.444033,462400
2000-03-28,8.382281,8.688204,8.321096,8.688204,4.539950,531500
2000-03-29,8.443465,8.627019,8.321096,8.504650,4.551738,465700
2000-03-30,8.443465,8.749388,8.443465,8.627019,4.617230,455300
2000-03-31,8.627019,8.810573,8.627019,8.688204,4.649977,328900
