Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,9.000000,9.000000,8.375000,8.625000,7.948046,776600
2000-01-19,8.687500,8.687500,8.000000,8.000000,7.372100,1220100
2000-01-20,8.000000,8.062500,7.687500,7.750000,7.141720,1744500
2000-01-21,7.750000,8.062500,7.687500,7.812500,7.199316,1670100
2000-01-24,7.937500,8.125000,7.625000,7.937500,7.314505,1001400
2000-01-25,7.500000,7.812500,7.500000,7.750000,7.141720,994500
2000-01-26,7.750000,8.062500,7.750000,7.875000,7.256910,821500
2000-01-27,8.000000,8.062500,7.625000,7.625000,7.026531,421200
2000-01-28,7.375000,8.062500,7.125000,7.625000,7.026531,1775700
2000-01-31,7.625000,8.187500,7.625000,8.000000,7.372100,858700
2000-02-01,8.000000,8.375000,8.000000,8.250000,7.602478,783600
2000-02-02,8.312500,8.625000,8.250000,8.312500,7.660070,597300
2000-02-03,8.312500,8.625000,8.312500,8.437500,7.775257,773500
2000-02-04,8.562500,8.750000,8.375000,8.375000,7.717665,481200
2000-02-07,8.500000,8.625000,8.312500,8.437500,7.775257,574300
2000-02-08,8.437500,8.562500,8.062500,8.187500,7.544885,713800
2000-02-09,7.812500,8.125000,7.437500,7.562500,6.968938,1495000
2000-02-10,7.437500,7.500000,7.000000,7.187500,6.623370,1307800
2000-02-11,7.125000,7.125000,6.687500,6.875000,6.335399,983900
2000-02-14,6.937500,7.500000,6.812500,7.437500,6.853749,902200
2000-02-15,7.562500,7.687500,7.375000,7.562500,6.968938,753600
2000-02-16,7.562500,7.687500,7.187500,7.375000,6.796154,535300
2000-02-17,7.437500,7.437500,7.062500,7.125000,6.565775,417200
2000-02-18,7.125000,7.250000,7.000000,7.062500,6.508182,357400
2000-02-22,7.000000,7.062500,6.875000,7.062500,6.508182,517200
2000-02-23,7.000000,7.250000,6.812500,7.125000,6.565775,628800
2000-02-24,7.250000,7.250000,6.875000,6.875000,6.335399,467600
2000-02-25,6.875000,7.062500,6.625000,6.625000,6.105021,457300
2000-02-28,6.812500,6.875000,6.500000,6.625000,6.105021,496300
2000-02-29,6.625000,6.937500,6.562500,6.812500,6.277803,528900
2000-03-01,7.375000,7.750000,6.750000,7.750000,7.141720,1445100
2000-03-02,7.750000,7.875000,6.875000,6.937500,6.392991,1200200
2000-03-03,7.187500,7.375000,7.062500,7.312500,6.738559,904700
2000-03-06,7.062500,7.125000,6.875000,7.000000,6.450585,479500
2000-03-07,7.000000,7.000000,6.125000,6.125000,5.644262,759200
2000-03-08,6.562500,6.750000,6.250000,6.500000,5.989831,1122700
2000-03-09,6.437500,6.687500,6.312500,6.562500,6.047425,523300
2000-03-10,6.500000,6.562500,6.312500,6.437500,5.932236,487000
2000-03-13,6.437500,6.750000,6.437500,6.687500,6.162615,448100
2000-03-14,6.687500,6.812500,6.500000,6.625000,6.105021,464800
2000-03-15,6.750000,7.187500,6.562500,7.187500,6.623370,718100
2000-03-16,7.062500,7.312500,6.875000,7.250000,6.680964,513900
2000-03-17,7.250000,7.312500,6.875000,7.000000,6.450585,527100
2000-03-20,7.187500,7.187500,7.000000,7.125000,6.565775,303000
2000-03-21,7.250000,7.312500,7.062500,7.187500,6.623370,417300
2000-03-22,7.062500,7.375000,7.062500,7.187500,6.623370,316200
2000-03-23,7.125000,7.500000,7.062500,7.500000,6.911341,504200
2000-03-24,7.312500,7.500000,7.250000,7.312500,6.738559,274300
2000-03-27,7.375000,7.375000,7.125000,7.187500,6.623370,303100
2000-03-28,7.062500,7.375000,7.062500,7.312500,6.738559,287000
2000-03-29,7.250000,7.750000,7.250000,7.500000,6.911341,566200
2000-03-30,7.625000,8.000000,7.562500,7.562500,6.968938,768900
2000-03-31,7.437500,7.562500,7.250000,7.312500,6.738559,370500
2000-04-03,7.437500,7.875000,7.375000,7.687500,7.084126,392300
2000-04-04,7.500000,7.750000,7.187500,7.625000,7.026531,437700
2000-04-05,7.625000,7.625000,7.187500,7.500000,6.911341,317200
2000-04-06,7.500000,8.062500,7.500000,7.937500,7.314505,734700
2000-04-07,7.937500,8.250000,7.937500,8.187500,7.544885,709200
2000-04-10,8.062500,8.437500,8.062500,8.312500,7.660070,716600
2000-04-11,8.187500,8.250000,8.000000,8.125000,7.487288,638000
2000-04-12,8.125000,8.187500,8.000000,8.062500,7.429692,673600
2000-04-13,7.562500,7.875000,7.562500,7.812500,7.199316,720100
2000-04-14,7.750000,7.750000,7.125000,7.125000,6.565775,636500
2000-04-17,7.125000,7.375000,7.000000,7.187500,6.623370,580500
2000-04-18,7.187500,7.500000,7.062500,7.312500,6.738559,417300
2000-04-19,7.500000,8.000000,7.500000,7.875000,7.256910,494700
2000-04-20,7.875000,8.000000,7.687500,7.875000,7.256910,280600
2000-04-24,7.812500,8.812500,7.812500,8.687500,8.005641,1399200
2000-04-25,8.375000,8.625000,8.312500,8.437500,7.775257,516600
2000-04-26,8.687500,8.750000,8.125000,8.187500,7.544885,319100
2000-04-27,8.125000,8.437500,8.062500,8.375000,7.717665,1046400
2000-04-28,8.375000,8.437500,7.687500,7.687500,7.084126,729200
2000-05-01,7.687500,7.937500,7.625000,7.750000,7.141720,678300
2000-05-02,7.437500,8.000000,7.437500,8.000000,7.372100,530000
2000-05-03,7.625000,7.687500,6.562500,6.687500,6.162615,1594200
2000-05-04,6.937500,6.937500,6.437500,6.625000,6.105021,1084600
2000-05-05,6.625000,7.000000,6.437500,7.000000,6.450585,459700
2000-05-08,6.687500,6.750000,6.375000,6.500000,5.989831,682100
2000-05-09,6.500000,6.562500,6.250000,6.312500,5.817047,527200
2000-05-10,6.500000,6.500000,6.062500,6.125000,5.644262,837100
2000-05-11,6.250000,6.437500,6.125000,6.312500,5.817047,457400
2000-05-12,6.312500,6.375000,6.125000,6.250000,5.759452,378000
2000-05-15,6.500000,6.687500,6.500000,6.500000,5.989831,617000
2000-05-16,6.687500,6.750000,6.500000,6.562500,6.047425,441400
2000-05-17,6.562500,6.687500,6.500000,6.500000,5.989831,437200
2000-05-18,6.500000,6.750000,6.500000,6.625000,6.105021,526900
2000-05-19,6.500000,6.562500,6.187500,6.375000,5.874640,548600
2000-05-22,6.375000,6.375000,6.125000,6.250000,5.759452,487700
2000-05-23,6.187500,6.250000,6.062500,6.187500,5.701858,883400
2000-05-24,6.250000,6.312500,5.812500,5.875000,5.413885,1400900
2000-05-25,5.937500,6.062500,5.750000,5.750000,5.298697,894100
2000-05-26,5.750000,6.000000,5.750000,5.812500,5.356289,422800
2000-05-30,5.812500,5.937500,5.562500,5.562500,5.125913,621300
2000-05-31,5.875000,5.875000,5.625000,5.625000,5.183507,805500
2000-06-01,5.750000,6.000000,5.750000,5.937500,5.471480,464500
2000-06-02,6.000000,6.062500,5.812500,5.812500,5.356289,767000
2000-06-05,5.937500,6.000000,5.687500,5.687500,5.241102,531300
2000-06-06,5.625000,5.625000,5.250000,5.375000,4.953129,1791200
2000-06-07,5.437500,5.437500,5.187500,5.187500,4.780347,938300
2000-06-08,5.187500,5.187500,4.812500,5.000000,4.607563,1420100
2000-06-09,5.062500,5.250000,4.812500,5.000000,4.607563,1254000
2000-06-12,5.000000,5.250000,4.937500,5.125000,4.722752,732000
2000-06-13,5.250000,5.250000,5.000000,5.187500,4.780347,888400
2000-06-14,5.250000,5.250000,5.125000,5.187500,4.780347,436200
2000-06-15,5.125000,5.250000,4.937500,5.000000,4.607563,860800
2000-06-16,5.000000,5.062500,4.750000,4.750000,4.377183,1032100
2000-06-19,4.812500,5.000000,4.812500,4.812500,4.434779,681300
2000-06-20,4.937500,5.000000,4.812500,4.875000,4.492374,768300
2000-06-21,4.875000,4.937500,4.812500,4.937500,4.549966,672500
2000-06-22,5.000000,5.187500,4.937500,5.000000,4.607563,1158500
2000-06-23,5.000000,5.125000,4.937500,5.000000,4.607563,787300
2000-06-26,5.062500,5.250000,5.000000,5.187500,4.780347,930700
2000-06-27,5.187500,5.250000,5.125000,5.187500,4.780347,483100
2000-06-28,5.250000,5.250000,5.000000,5.125000,4.722752,1767300
2000-06-29,5.187500,5.687500,5.125000,5.500000,5.068317,3368100
2000-06-30,5.562500,5.687500,4.859375,4.875000,4.492374,2230400
2000-07-03,5.187500,5.375000,5.000000,5.250000,4.837940,500000
2000-07-05,5.375000,5.437500,5.187500,5.250000,4.837940,686300
