Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,13.527778,13.694445,13.250000,13.527778,9.834961,76900
2000-01-19,13.527778,13.722222,13.388889,13.694445,9.956125,67600
2000-01-20,13.638889,13.944445,13.638889,13.944445,10.137881,46000
2000-01-21,13.777778,13.777778,13.611111,13.666667,9.935934,55500
2000-01-24,13.861111,13.861111,13.111111,13.111111,9.532036,54100
2000-01-25,13.138889,13.138889,12.361111,12.500000,9.087742,95800
2000-01-26,12.500000,12.583333,12.388889,12.388889,9.006967,66600
2000-01-27,12.277778,12.305555,12.027778,12.027778,8.744431,120700
2000-01-28,12.027778,12.166667,12.000000,12.111111,8.805012,257500
2000-01-31,12.111111,12.166667,11.944445,11.944445,8.683847,114700
2000-02-01,11.972222,11.972222,11.750000,11.805555,8.582874,57100
2000-02-02,11.805555,11.805555,11.111111,11.111111,8.077997,123000
2000-02-03,11.222222,11.222222,10.888889,11.027778,8.017411,147700
2000-02-04,10.833333,11.222222,10.833333,11.194445,8.138579,322600
2000-02-07,11.194445,11.777778,11.194445,11.777778,8.562674,128700
2000-02-08,11.888889,12.055555,11.611111,11.944445,8.683847,154300
2000-02-09,12.000000,12.083333,11.833333,11.888889,8.643456,99100
2000-02-10,11.888889,11.888889,11.555555,11.666667,8.481898,56700
2000-02-11,11.611111,11.611111,11.388889,11.388889,8.279947,53500
2000-02-14,11.166667,11.166667,10.666667,10.750000,7.815463,195400
2000-02-15,10.666667,10.694445,10.111111,10.277778,7.472145,403800
2000-02-16,10.333333,10.777778,10.222222,10.777778,7.835657,81900
2000-02-17,10.722222,10.777778,10.472222,10.638889,7.734683,166500
2000-02-18,10.722222,10.777778,10.611111,10.611111,7.714485,73500
2000-02-22,10.611111,10.694445,10.388889,10.666667,7.754878,79300
2000-02-23,10.583333,11.000000,10.555555,10.944445,7.956827,66600
2000-02-24,10.888889,10.888889,10.277778,10.277778,7.472145,79800
2000-02-25,10.333333,10.333333,10.222222,10.250000,7.451948,74400
2000-02-28,10.305555,10.555555,10.250000,10.555555,7.674091,107700
2000-02-29,10.444445,11.055555,10.444445,11.000000,7.997215,187300
2000-03-01,11.055555,11.611111,11.027778,11.444445,8.320337,175900
2000-03-02,11.333333,11.361111,11.138889,11.166667,8.118391,130500
2000-03-03,11.055555,11.361111,11.055555,11.277778,8.199163,34300
2000-03-06,11.222222,11.333333,11.222222,11.333333,8.239555,92800
2000-03-07,11.305555,11.555555,11.277778,11.472222,8.340530,130900
2000-03-08,11.361111,11.611111,11.361111,11.527778,8.380919,88800
2000-03-09,11.472222,11.527778,11.277778,11.527778,8.380919,39700
2000-03-10,11.527778,11.583333,11.222222,11.361111,8.259750,367200
2000-03-13,11.305555,11.472222,11.250000,11.333333,8.239555,31000
2000-03-14,11.222222,11.333333,11.111111,11.166667,8.118391,276700
