Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,52.625000,54.437500,52.375000,54.000000,38.952690,805500
2000-01-19,54.000000,55.937500,53.500000,55.562500,40.079800,1375700
2000-01-20,55.562500,55.562500,53.187500,53.312500,38.456776,645500
2000-01-21,52.312500,53.125000,51.562500,52.750000,38.051018,1050900
2000-01-24,52.750000,52.750000,50.562500,50.875000,36.698494,465700
2000-01-25,50.687500,51.500000,50.437500,50.937500,36.743568,916900
2000-01-26,50.937500,51.562500,49.750000,50.687500,36.563225,609400
2000-01-27,50.937500,51.187500,47.500000,48.375000,34.895119,1005500
2000-01-28,48.750000,48.750000,46.312500,47.000000,33.903267,753300
2000-01-31,47.000000,47.000000,45.250000,46.000000,33.181931,850900
2000-02-01,46.125000,48.375000,45.750000,48.187500,34.759865,941500
2000-02-02,48.000000,49.312500,47.875000,48.312500,34.850037,682400
2000-02-03,48.250000,49.875000,48.250000,49.000000,35.345959,772000
2000-02-04,49.312500,50.312500,49.187500,50.062500,36.112389,661900
2000-02-07,49.875000,50.000000,49.250000,49.500000,35.706638,750400
2000-02-08,49.937500,50.750000,49.937500,50.375000,36.337803,734200
2000-02-09,49.750000,49.812500,47.375000,47.750000,34.444286,1043400
2000-02-10,48.000000,48.250000,46.687500,46.937500,33.858196,923600
2000-02-11,46.250000,46.750000,45.812500,46.062500,33.227020,1173400
2000-02-14,46.000000,46.125000,45.750000,45.875000,33.091755,545900
2000-02-15,45.937500,46.125000,45.437500,45.937500,33.136841,735400
2000-02-16,46.000000,46.000000,45.500000,45.687500,32.956497,846100
2000-02-17,45.937500,45.937500,44.500000,44.562500,32.144981,803000
2000-02-18,44.687500,45.750000,44.500000,44.875000,32.370411,1430100
2000-02-22,45.500000,45.875000,44.625000,45.000000,32.460583,1046100
2000-02-23,44.750000,45.375000,42.875000,43.000000,31.017889,1360800
2000-02-24,42.000000,42.625000,39.937500,42.125000,30.446890,2390900
2000-02-25,41.875000,41.937500,36.000000,38.312500,27.691313,5279000
2000-02-28,38.000000,39.312500,37.000000,39.187500,28.323746,1546800
2000-02-29,39.875000,41.000000,39.500000,40.187500,29.046520,1960300
2000-03-01,40.187500,41.500000,39.687500,41.500000,29.995155,1644400
2000-03-02,41.000000,41.375000,40.500000,41.375000,29.904810,1151700
2000-03-03,40.875000,42.437500,40.750000,42.187500,30.492073,838200
2000-03-06,42.187500,42.187500,40.875000,41.312500,29.859640,893200
2000-03-07,41.062500,41.125000,40.062500,40.125000,29.001345,1555500
2000-03-08,40.062500,40.187500,38.687500,39.500000,28.549610,938300
2000-03-09,39.250000,39.250000,36.625000,37.625000,27.194407,1907600
2000-03-10,37.437500,37.937500,36.500000,37.000000,26.742661,1581100
2000-03-13,37.000000,37.437500,36.375000,37.062500,26.787844,1133900
2000-03-14,37.500000,38.500000,37.125000,38.000000,27.465437,1351300
2000-03-15,38.125000,38.750000,37.875000,38.000000,27.465437,1539800
2000-03-16,38.625000,40.812500,38.312500,40.812500,29.498257,1311800
2000-03-17,40.812500,42.437500,40.812500,42.125000,30.446890,1454200
2000-03-20,42.375000,43.500000,41.000000,41.562500,30.040319,1171200
2000-03-21,41.562500,41.750000,40.750000,41.312500,29.859640,977500
2000-03-22,40.937500,42.625000,40.875000,42.437500,30.672758,685900
2000-03-23,42.500000,43.750000,42.187500,43.375000,31.350370,1278300
2000-03-24,43.500000,44.000000,43.375000,43.750000,31.621401,1121800
2000-03-27,44.125000,47.500000,44.000000,45.687500,33.021782,1602600
2000-03-28,45.875000,46.562500,45.687500,46.062500,33.292824,917600
2000-03-29,46.125000,48.500000,45.937500,48.250000,34.873898,2002900
2000-03-30,48.062500,48.937500,47.500000,48.062500,34.738361,1088600
2000-03-31,47.812500,48.312500,47.187500,47.250000,34.151119,932000
2000-04-03,47.250000,47.500000,46.750000,47.375000,34.241467,637100
2000-04-04,48.250000,49.187500,46.437500,47.250000,34.151119,1979500
2000-04-05,47.250000,47.375000,45.875000,47.062500,34.015602,882500
2000-04-06,47.000000,48.750000,46.937500,48.250000,34.873898,869900
2000-04-07,48.125000,48.250000,46.500000,47.437500,34.286648,788400
2000-04-10,47.375000,47.375000,46.312500,46.625000,33.699387,1445800
2000-04-11,46.625000,46.750000,45.625000,45.875000,33.157307,926500
2000-04-12,46.000000,46.062500,44.000000,44.875000,32.434525,1037900
2000-04-13,44.375000,44.375000,42.687500,43.562500,31.485882,1147100
2000-04-14,43.000000,43.000000,39.125000,40.937500,29.588596,1364600
2000-04-17,39.125000,39.375000,37.187500,38.000000,27.465437,2191600
2000-04-18,38.625000,39.250000,38.000000,38.437500,27.781662,2573000
2000-04-19,38.687500,39.187500,38.062500,38.500000,27.826830,1287200
2000-04-20,38.687500,39.187500,38.562500,39.125000,28.278564,961500
2000-04-24,39.125000,39.625000,38.250000,38.812500,28.052710,939300
2000-04-25,39.000000,40.062500,39.000000,39.687500,28.685131,1620000
2000-04-26,42.250000,42.750000,41.250000,41.250000,29.814463,2866600
2000-04-27,39.750000,41.125000,39.750000,40.750000,29.453077,1924600
2000-04-28,40.750000,41.625000,40.750000,41.000000,29.633768,808600
2000-05-01,41.125000,41.812500,40.125000,41.000000,29.633768,562500
2000-05-02,41.250000,41.500000,40.250000,40.250000,29.091684,449500
2000-05-03,39.500000,40.312500,39.187500,39.812500,28.775478,813400
2000-05-04,40.250000,41.875000,39.937500,41.562500,30.040319,944700
2000-05-05,41.125000,42.750000,40.750000,42.187500,30.492073,653800
2000-05-08,42.000000,42.125000,40.687500,41.750000,30.175848,470700
