Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,9.225029,9.225029,8.899842,8.951188,4.435587,440200
2000-01-19,9.002533,9.053878,8.934072,8.951188,4.435587,117500
2000-01-20,8.934072,9.207914,8.934072,9.173684,4.545841,207500
2000-01-21,9.173684,9.584446,9.105224,9.447525,4.681538,749200
2000-01-24,9.464641,9.772712,9.464641,9.550216,4.732423,1513300
2000-01-25,9.550216,9.550216,9.207914,9.207914,4.562803,441100
2000-01-26,9.207914,9.567330,9.173684,9.173684,4.545841,471300
2000-01-27,9.207914,9.379065,9.173684,9.173684,4.545841,914300
2000-01-28,9.207914,9.413295,9.036763,9.310604,4.613688,367500
2000-01-31,9.379065,9.515985,9.002533,9.036763,4.477993,466800
2000-02-01,9.002533,9.002533,8.780037,8.934072,4.427106,503400
2000-02-02,8.865612,9.310604,8.728692,9.139454,4.528878,284000
2000-02-03,9.070993,9.379065,9.070993,9.207914,4.562803,398900
2000-02-04,9.105224,9.550216,9.105224,9.533100,4.723943,162000
2000-02-07,9.481755,9.481755,8.968303,9.036763,4.477993,595100
2000-02-08,9.105224,9.413295,9.036763,9.344834,4.630651,520100
2000-02-09,9.310604,9.310604,8.797153,8.797153,4.359259,298600
2000-02-10,8.797153,8.797153,8.369275,8.608886,4.265966,534000
2000-02-11,8.608886,8.899842,8.454850,8.591771,4.257485,657300
2000-02-14,8.574656,8.574656,7.941398,8.215240,4.070901,1189100
2000-02-15,8.283700,8.591771,8.283700,8.506196,4.215081,708300
2000-02-16,8.471966,8.523311,8.471966,8.506196,4.215081,279100
2000-02-17,8.506196,9.293489,8.506196,9.156569,4.537359,445600
2000-02-18,9.156569,9.207914,8.882728,8.968303,4.444069,273000
2000-02-22,8.865612,8.865612,8.762922,8.780037,4.350778,93500
2000-02-23,8.762922,8.762922,7.941398,8.574656,4.249004,767700
2000-02-24,8.574656,8.574656,8.249470,8.352160,4.138750,342400
2000-02-25,8.352160,8.352160,7.599096,8.009858,3.969129,1035500
2000-02-28,7.941398,8.146779,7.667557,7.992743,3.960648,598000
2000-02-29,7.975628,8.591771,7.941398,8.352160,4.138750,1394100
2000-03-01,8.215240,8.489080,8.215240,8.335045,4.130270,523000
2000-03-02,8.369275,8.489080,8.283700,8.420620,4.172675,296600
2000-03-03,8.454850,8.591771,8.437736,8.574656,4.249004,217100
2000-03-06,8.557541,9.105224,8.557541,9.105224,4.511917,774100
2000-03-07,9.105224,9.139454,8.780037,8.780037,4.350778,888200
2000-03-08,8.780037,8.882728,8.626001,8.711576,4.316852,375900
2000-03-09,8.677346,8.899842,8.591771,8.814267,4.367740,189800
2000-03-10,8.677346,8.694462,8.591771,8.591771,4.257485,280500
2000-03-13,8.523311,9.002533,8.523311,8.831382,4.376221,709000
2000-03-14,8.831382,9.242145,8.677346,8.882728,4.401663,1001400
2000-03-15,8.814267,9.190799,8.643116,9.019649,4.469511,514100
2000-03-16,8.985418,9.173684,8.934072,9.036763,4.477993,1146500
2000-03-17,8.951188,9.036763,8.865612,8.865612,4.393182,482600
2000-03-20,8.831382,8.865612,8.454850,8.762922,4.342295,809800
2000-03-21,8.660232,8.951188,8.591771,8.951188,4.435587,445000
2000-03-22,8.916958,9.515985,8.916958,9.259259,4.588247,576100
2000-03-23,9.207914,9.379065,9.139454,9.276375,4.596728,360300
2000-03-24,9.207914,9.447525,9.173684,9.207914,4.562803,717700
2000-03-27,9.173684,9.207914,9.156569,9.190799,4.554323,225000
2000-03-28,9.190799,9.310604,9.105224,9.173684,4.545841,576400
2000-03-29,9.173684,9.344834,9.173684,9.259259,4.588247,503100
2000-03-30,9.310604,9.515985,9.139454,9.225029,4.571283,546400
2000-03-31,9.190799,9.515985,9.190799,9.327720,4.622170,606700
2000-04-03,9.344834,9.396180,9.225029,9.225029,4.571283,325800
2000-04-04,9.225029,9.396180,8.985418,9.122338,4.520397,433900
2000-04-05,9.002533,9.310604,9.002533,9.310604,4.613688,509700
2000-04-06,9.242145,9.310604,9.122338,9.156569,4.537359,393800
