Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,8.156250,8.156250,7.859375,7.906250,7.633274,430800
2000-01-19,7.875000,8.078125,7.875000,7.937500,7.663444,231200
2000-01-20,7.937500,7.984375,7.750000,7.781250,7.512589,434400
2000-01-21,7.718750,7.734375,7.453125,7.500000,7.241050,450000
2000-01-24,7.500000,7.640625,7.453125,7.468750,7.210879,344800
2000-01-25,7.343750,7.406250,7.296875,7.359375,7.105281,349600
2000-01-26,7.359375,7.500000,7.359375,7.406250,7.150537,437200
2000-01-27,7.406250,7.515625,7.375000,7.437500,7.180707,490400
2000-01-28,7.468750,7.500000,7.437500,7.437500,7.180707,620400
2000-01-31,7.468750,7.500000,7.375000,7.375000,7.120366,474800
2000-02-01,7.375000,7.593750,7.265625,7.578125,7.316478,686400
2000-02-02,7.578125,7.796875,7.578125,7.750000,7.482418,586800
2000-02-03,7.734375,7.875000,7.703125,7.734375,7.467333,473200
2000-02-04,7.718750,7.828125,7.656250,7.734375,7.467333,236000
2000-02-07,7.796875,7.796875,7.718750,7.734375,7.467333,336000
2000-02-08,7.718750,7.734375,7.515625,7.546875,7.286306,314800
2000-02-09,7.609375,7.609375,7.484375,7.484375,7.225965,512800
2000-02-10,7.421875,7.484375,7.265625,7.281250,7.029852,480800
2000-02-11,7.281250,7.421875,7.171875,7.171875,6.924254,447600
2000-02-14,7.187500,7.187500,7.000000,7.078125,6.833742,390800
2000-02-15,7.109375,7.140625,6.968750,7.125000,6.878998,292800
2000-02-16,7.125000,7.218750,7.000000,7.140625,6.894083,326800
2000-02-17,7.125000,7.250000,7.093750,7.140625,6.894083,395200
2000-02-18,7.078125,7.078125,6.937500,7.000000,6.758314,168400
2000-02-22,7.062500,7.218750,6.984375,7.203125,6.954425,386000
2000-02-23,7.203125,7.203125,6.875000,6.921875,6.682886,260800
2000-02-24,6.984375,7.046875,6.875000,6.921875,6.682886,152000
2000-02-25,6.921875,6.937500,6.828125,6.859375,6.622543,94800
2000-02-28,6.828125,6.843750,6.750000,6.843750,6.607458,169600
2000-02-29,6.968750,7.062500,6.890625,7.015625,6.773399,452000
2000-03-01,7.015625,7.156250,7.000000,7.109375,6.863912,236800
2000-03-02,7.140625,7.140625,7.062500,7.125000,6.878998,248400
2000-03-03,7.140625,7.140625,6.875000,6.984375,6.743228,326000
2000-03-06,6.953125,7.015625,6.921875,7.000000,6.758314,688800
2000-03-07,7.015625,7.046875,6.781250,6.781250,6.547116,130400
2000-03-08,6.812500,6.859375,6.796875,6.843750,6.607458,318000
2000-03-09,6.906250,7.046875,6.906250,7.000000,6.758314,329600
2000-03-10,6.968750,7.000000,6.937500,6.953125,6.713056,378400
2000-03-13,6.906250,6.953125,6.812500,6.812500,6.577287,238800
2000-03-14,6.812500,6.812500,6.687500,6.734375,6.501860,375600
2000-03-15,6.671875,6.937500,6.546875,6.906250,6.667801,426000
2000-03-16,6.937500,7.625000,6.937500,7.515625,7.256136,706400
2000-03-17,7.515625,7.656250,7.437500,7.484375,7.225965,361200
2000-03-20,7.546875,7.921875,7.531250,7.531250,7.271222,765600
2000-03-21,7.484375,7.484375,7.203125,7.328125,7.075109,323200
2000-03-22,7.343750,7.343750,7.187500,7.312500,7.060023,502800
2000-03-23,7.281250,7.671875,7.265625,7.640625,7.376821,409600
2000-03-24,7.578125,7.687500,7.484375,7.656250,7.391906,346400
2000-03-27,7.625000,7.718750,7.468750,7.625000,7.361734,254000
2000-03-28,7.562500,7.609375,7.421875,7.515625,7.256136,161600
2000-03-29,7.500000,7.593750,7.406250,7.515625,7.256136,256800
2000-03-30,7.546875,7.718750,7.546875,7.625000,7.361734,285600
2000-03-31,7.640625,8.062500,7.531250,7.968750,7.693616,725200
2000-04-03,8.000000,8.078125,7.875000,7.968750,7.693616,226000
2000-04-04,7.906250,7.906250,7.437500,7.593750,7.331563,305200
2000-04-05,7.593750,7.640625,7.500000,7.609375,7.346649,342000
2000-04-06,7.609375,7.656250,7.492188,7.625000,7.361734,487200
2000-04-07,7.656250,7.656250,7.531250,7.609375,7.346649,166800
2000-04-10,7.609375,7.843750,7.578125,7.765625,7.497505,627600
2000-04-11,7.734375,7.765625,7.718750,7.734375,7.467333,254000
2000-04-12,7.734375,7.796875,7.718750,7.734375,7.467333,186800
2000-04-13,7.734375,7.765625,7.703125,7.734375,7.467333,192400
2000-04-14,7.671875,7.671875,7.453125,7.546875,7.286306,252800
2000-04-17,7.546875,7.609375,7.421875,7.468750,7.210879,282800
2000-04-18,7.437500,7.531250,7.390625,7.500000,7.241050,100000
2000-04-19,7.531250,7.703125,7.515625,7.703125,7.437162,165200
2000-04-20,7.703125,7.703125,7.515625,7.687500,7.422077,118000
2000-04-24,7.656250,7.671875,7.453125,7.453125,7.195794,84000
2000-04-25,7.406250,7.453125,7.343750,7.406250,7.150537,354800
2000-04-26,7.437500,7.796875,7.437500,7.750000,7.482418,380400
2000-04-27,7.687500,7.718750,7.625000,7.687500,7.422077,144400
2000-04-28,7.687500,7.843750,7.578125,7.828125,7.557845,348400
2000-05-01,7.812500,7.953125,7.796875,7.828125,7.557845,261200
2000-05-02,7.734375,7.921875,7.718750,7.750000,7.482418,229200
2000-05-03,7.750000,7.796875,7.625000,7.796875,7.527676,477600
2000-05-04,7.828125,8.000000,7.765625,7.937500,7.663444,894400
2000-05-05,7.953125,8.437500,7.953125,8.437500,8.146181,725600
2000-05-08,8.375000,8.468750,8.375000,8.421875,8.131096,566000
2000-05-09,8.390625,8.390625,7.750000,7.921875,7.648359,1351200
2000-05-10,7.750000,7.796875,7.671875,7.781250,7.512589,994000
2000-05-11,7.843750,7.906250,7.843750,7.859375,7.588017,349200
2000-05-12,7.859375,8.359375,7.859375,8.343750,8.055670,945200
2000-05-15,8.312500,8.375000,8.203125,8.343750,8.055670,1074000
2000-05-16,8.406250,8.421875,8.281250,8.328125,8.040584,526000
2000-05-17,8.375000,8.406250,8.312500,8.375000,8.085839,623600
2000-05-18,8.375000,8.406250,8.343750,8.343750,8.055670,232000
2000-05-19,8.281250,8.328125,8.218750,8.328125,8.040584,178000
2000-05-22,8.328125,8.328125,8.140625,8.140625,7.859556,301200
2000-05-23,8.171875,8.296875,8.109375,8.109375,7.829386,352400
2000-05-24,8.125000,8.343750,8.078125,8.343750,8.055670,693600
2000-05-25,8.343750,8.406250,8.343750,8.359375,8.070752,246400
2000-05-26,8.375000,8.406250,8.312500,8.390625,8.100924,212000
2000-05-30,8.437500,8.531250,8.437500,8.500000,8.206525,311600
2000-05-31,8.500000,8.500000,8.312500,8.312500,8.025496,247200
2000-06-01,8.375000,8.437500,8.359375,8.375000,8.085839,398800
2000-06-02,8.437500,8.703125,8.437500,8.703125,8.402636,257600
2000-06-05,8.703125,8.843750,8.656250,8.843750,8.538403,258000
2000-06-06,8.968750,8.968750,8.828125,8.875000,8.568578,419200
2000-06-07,8.843750,8.859375,8.703125,8.750000,8.447892,245600
2000-06-08,8.734375,8.875000,8.718750,8.796875,8.493149,128800
2000-06-09,8.796875,8.968750,8.796875,8.953125,8.644003,147600
2000-06-12,8.937500,8.937500,8.750000,8.750000,8.447892,170000
2000-06-13,8.750000,8.781250,8.656250,8.781250,8.478065,151200
2000-06-14,8.703125,8.812500,8.671875,8.781250,8.478065,142800
2000-06-15,8.718750,9.062500,8.718750,9.062500,8.749603,246400
2000-06-16,9.125000,9.203125,8.921875,9.046875,8.734516,325600
2000-06-19,9.031250,9.031250,8.828125,8.937500,8.628917,162000
2000-06-20,8.937500,8.937500,8.671875,8.796875,8.493149,318400
2000-06-21,8.765625,8.781250,8.500000,8.578125,8.281951,315600
2000-06-22,8.578125,8.734375,8.500000,8.562500,8.266865,310800
2000-06-23,8.531250,8.546875,8.421875,8.437500,8.146181,151600
2000-06-26,8.250000,8.281250,8.187500,8.265625,7.980241,368400
2000-06-27,8.281250,8.359375,8.187500,8.218750,7.934983,417600
2000-06-28,8.234375,8.375000,8.195313,8.328125,8.040584,456000
2000-06-29,8.265625,8.421875,8.218750,8.234375,7.950070,395200
2000-06-30,8.234375,8.234375,8.156250,8.167969,7.885955,362800
2000-07-03,8.234375,8.359375,8.234375,8.359375,8.070752,112800
2000-07-05,8.390625,8.390625,8.250000,8.250000,7.965154,472400
2000-07-06,8.250000,8.265625,8.218750,8.250000,7.965154,690800
2000-07-07,8.312500,8.546875,8.312500,8.453125,8.161266,990400
2000-07-10,8.562500,8.687500,8.562500,8.687500,8.387550,587200
2000-07-11,8.843750,8.875000,8.734375,8.765625,8.462976,419200
2000-07-12,8.750000,8.812500,8.750000,8.796875,8.493149,122800
2000-07-13,8.781250,8.781250,8.750000,8.765625,8.462976,304800
2000-07-14,8.750000,8.765625,8.718750,8.718750,8.417723,190800
2000-07-17,8.703125,8.781250,8.656250,8.703125,8.402636,318800
2000-07-18,8.718750,8.796875,8.687500,8.734375,8.432806,905200
2000-07-19,8.703125,8.734375,8.640625,8.687500,8.387550,720000
2000-07-20,8.687500,9.062500,8.687500,9.031250,8.719431,520400
2000-07-21,9.000000,9.156250,8.968750,9.015625,8.704347,210400
2000-07-24,8.953125,9.171875,8.953125,9.015625,8.704347,400800
2000-07-25,9.046875,9.109375,8.875000,8.906250,8.598747,842000
2000-07-26,8.906250,8.968750,8.875000,8.875000,8.568578,222400
2000-07-27,8.937500,8.953125,8.812500,8.843750,8.538403,538400
2000-07-28,8.812500,8.859375,8.609375,8.640625,8.342294,451600
2000-07-31,8.687500,9.093750,8.687500,8.921875,8.613832,251200
2000-08-01,8.843750,8.968750,8.843750,8.937500,8.628917,155600
2000-08-02,8.875000,9.031250,8.875000,9.000000,8.689260,211600
2000-08-03,9.046875,9.078125,8.875000,8.984375,8.674175,481600
2000-08-04,9.046875,9.226563,8.968750,9.171875,8.855202,479600
2000-08-07,9.156250,9.265625,9.125000,9.265625,8.945715,442800
2000-08-08,9.265625,9.328125,9.250000,9.328125,9.006057,193600
2000-08-09,9.328125,9.359375,9.203125,9.234375,8.915542,394000
2000-08-10,9.218750,9.281250,9.156250,9.171875,8.855202,173200
2000-08-11,9.171875,9.531250,9.171875,9.531250,9.202168,194400
2000-08-14,9.593750,9.640625,9.421875,9.437500,9.111654,245200
2000-08-15,9.437500,9.437500,9.187500,9.203125,8.885374,163600
2000-08-16,9.109375,9.531250,9.109375,9.437500,9.111654,246400
2000-08-17,9.453125,9.453125,9.281250,9.406250,9.081483,147200
2000-08-18,9.390625,9.437500,9.296875,9.390625,9.066396,100800
2000-08-21,9.375000,9.531250,9.375000,9.406250,9.081483,124800
2000-08-22,9.453125,9.453125,9.281250,9.312500,8.990972,92000
2000-08-23,9.250000,9.515625,9.156250,9.218750,8.900456,227600
2000-08-24,9.218750,9.218750,9.109375,9.109375,8.794858,59600
2000-08-25,9.140625,9.281250,9.078125,9.109375,8.794858,236000
2000-08-28,9.093750,9.343750,9.093750,9.109375,8.794858,130800
2000-08-29,9.125000,9.453125,9.125000,9.281250,8.960799,208000
2000-08-30,9.281250,9.343750,9.187500,9.203125,8.885374,249200
2000-08-31,9.328125,9.593750,9.328125,9.500000,9.171996,247600
2000-09-01,9.562500,9.640625,9.468750,9.500000,9.171996,218000
2000-09-05,9.500000,9.500000,9.312500,9.437500,9.111654,215200
2000-09-06,9.421875,9.453125,9.343750,9.406250,9.081483,185600
2000-09-07,9.406250,9.406250,9.250000,9.359375,9.036227,417200
2000-09-08,9.375000,9.750000,9.328125,9.656250,9.322852,259600
2000-09-11,9.640625,9.906250,9.625000,9.781250,9.443535,166400
2000-09-12,9.765625,9.781250,9.656250,9.781250,9.443535,310400
2000-09-13,9.765625,9.875000,9.703125,9.750000,9.413364,188000
2000-09-14,9.750000,9.859375,9.750000,9.781250,9.443535,164000
2000-09-15,9.765625,9.890625,9.750000,9.796875,9.458621,362400
2000-09-18,9.734375,9.750000,9.484375,9.500000,9.171996,315200
2000-09-19,9.453125,9.562500,9.406250,9.546875,9.217255,304800
2000-09-20,9.546875,9.750000,9.546875,9.687500,9.353023,198800
2000-09-21,9.562500,9.578125,9.406250,9.421875,9.096571,284400
2000-09-22,9.375000,9.390625,9.328125,9.375000,9.051313,234400
2000-09-25,9.406250,9.562500,9.406250,9.562500,9.232340,305200
2000-09-26,9.515625,9.593750,9.500000,9.531250,9.202168,307600
2000-09-27,9.531250,9.687500,9.531250,9.593750,9.262510,257600
2000-09-28,9.625000,9.859375,9.625000,9.828125,9.488792,196800
2000-09-29,9.765625,10.093750,9.765625,10.078125,9.730162,381200
2000-10-02,10.078125,10.156250,9.859375,9.937500,9.594393,434800
2000-10-03,9.875000,10.140625,9.875000,10.078125,9.730162,270000
2000-10-04,10.109375,10.218750,9.921875,10.031250,9.684904,237600
2000-10-05,10.031250,10.031250,9.687500,9.734375,9.398279,188400
2000-10-06,9.734375,9.750000,9.671875,9.687500,9.353023,185600
2000-10-09,9.687500,9.750000,9.640625,9.671875,9.337937,236000
2000-10-10,9.671875,9.671875,9.570313,9.578125,9.247423,387600
2000-10-11,9.531250,9.640625,9.531250,9.562500,9.232340,256400
2000-10-12,9.531250,9.593750,9.500000,9.531250,9.202168,590800
2000-10-13,9.546875,9.890625,9.492188,9.890625,9.549133,246400
