Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,3.218750,3.281250,3.171875,3.218750,2.673234,259600
2000-01-19,3.156250,3.187500,3.109375,3.109375,2.582396,179600
2000-01-20,3.109375,3.234375,3.109375,3.218750,2.673234,267600
2000-01-21,3.218750,3.218750,3.078125,3.078125,2.556442,192800
2000-01-24,3.117188,3.140625,3.000000,3.031250,2.517510,211600
2000-01-25,3.093750,3.156250,3.000000,3.000000,2.491557,222400
2000-01-26,3.031250,3.250000,3.031250,3.218750,2.673234,244800
2000-01-27,3.218750,3.296875,3.062500,3.101563,2.575906,382000
2000-01-28,3.109375,3.171875,3.031250,3.171875,2.634302,214000
2000-01-31,3.000000,3.187500,2.937500,3.156250,2.621325,976800
2000-02-01,3.132813,3.140625,3.062500,3.109375,2.592664,166800
2000-02-02,3.109375,3.218750,3.093750,3.171875,2.644777,256000
2000-02-03,3.156250,3.187500,3.125000,3.140625,2.618719,254400
2000-02-04,3.109375,3.187500,3.109375,3.125000,2.605691,103200
2000-02-07,3.132813,3.140625,3.062500,3.078125,2.566607,298400
2000-02-08,3.031250,3.156250,3.031250,3.078125,2.566607,278400
2000-02-09,3.031250,3.125000,3.031250,3.062500,2.553578,713600
2000-02-10,3.062500,3.093750,3.000000,3.015625,2.514492,149600
2000-02-11,3.000000,3.078125,2.968750,3.046875,2.540550,118000
2000-02-14,3.000000,3.093750,2.953125,3.078125,2.566607,224000
2000-02-15,3.062500,3.078125,2.812500,2.914063,2.429807,529600
2000-02-16,2.921875,2.937500,2.843750,2.867188,2.390722,512800
2000-02-17,2.937500,2.937500,2.671875,2.718750,2.266952,570400
2000-02-18,2.781250,2.812500,2.687500,2.718750,2.266952,498400
2000-02-22,2.734375,2.750000,2.687500,2.734375,2.279979,342400
2000-02-23,2.867188,2.867188,2.750000,2.796875,2.332094,530800
2000-02-24,2.765625,2.812500,2.703125,2.765625,2.306037,970800
2000-02-25,2.765625,2.828125,2.718750,2.820313,2.351636,756400
2000-02-28,2.750000,2.765625,2.625000,2.718750,2.266952,293600
2000-02-29,2.734375,2.875000,2.625000,2.875000,2.397236,257600
2000-03-01,2.796875,3.000000,2.781250,2.937500,2.449350,256800
2000-03-02,2.906250,2.937500,2.812500,2.828125,2.358151,382000
2000-03-03,2.812500,2.937500,2.812500,2.875000,2.397236,164800
2000-03-06,2.828125,2.937500,2.812500,2.859375,2.384207,326800
2000-03-07,2.843750,2.859375,2.750000,2.828125,2.358151,429600
2000-03-08,2.765625,2.968750,2.750000,2.875000,2.397236,369600
2000-03-09,2.937500,3.062500,2.875000,3.062500,2.553578,528000
2000-03-10,3.078125,3.218750,3.015625,3.218750,2.683863,280400
2000-03-13,3.234375,3.500000,3.156250,3.398438,2.833690,596400
2000-03-14,3.843750,4.000000,3.562500,3.593750,2.996545,1668000
2000-03-15,3.734375,3.875000,3.625000,3.750000,3.126830,1592400
2000-03-16,3.781250,3.906250,3.656250,3.875000,3.231057,1379600
2000-03-17,3.765625,3.937500,3.687500,3.812500,3.178943,867600
2000-03-20,3.812500,3.906250,3.750000,3.828125,3.191972,382000
2000-03-21,3.781250,3.906250,3.750000,3.875000,3.231057,342400
2000-03-22,3.835938,3.906250,3.812500,3.875000,3.231057,462000
2000-03-23,3.828125,4.000000,3.812500,3.968750,3.309229,337200
2000-03-24,3.937500,4.000000,3.812500,3.812500,3.178943,463200
2000-03-27,3.828125,3.937500,3.781250,3.812500,3.178943,307600
2000-03-28,3.843750,3.890625,3.578125,3.578125,2.983517,1338000
2000-03-29,3.750000,3.906250,3.734375,3.859375,3.218030,538800
2000-03-30,3.781250,3.875000,3.687500,3.843750,3.205001,639600
2000-03-31,3.859375,3.875000,3.250000,3.421875,2.853232,1591600
2000-04-03,3.406250,3.640625,3.343750,3.625000,3.022603,360400
2000-04-04,3.687500,3.687500,3.406250,3.468750,2.892318,279600
2000-04-05,3.531250,3.750000,3.468750,3.656250,3.048659,130800
2000-04-06,3.671875,3.750000,3.593750,3.593750,2.996545,138800
2000-04-07,3.625000,3.640625,3.468750,3.546875,2.957459,224800
2000-04-10,3.539063,3.539063,3.281250,3.375000,2.814147,579200
2000-04-11,3.375000,3.531250,3.343750,3.531250,2.944431,420400
2000-04-12,3.562500,3.562500,3.406250,3.515625,2.931403,190000
2000-04-13,3.562500,3.593750,3.406250,3.562500,2.970488,305600
2000-04-14,3.625000,3.718750,3.468750,3.546875,2.957459,520800
2000-04-17,3.531250,3.859375,3.531250,3.812500,3.178943,820400
2000-04-18,3.796875,3.968750,3.796875,3.968750,3.309229,747200
2000-04-19,3.875000,4.203125,3.859375,4.031250,3.361342,582800
2000-04-20,3.968750,4.257813,3.968750,4.156250,3.465568,754000
2000-04-24,4.187500,4.187500,3.921875,4.000000,3.335285,562800
2000-04-25,3.968750,4.250000,3.968750,4.234375,3.530711,448400
2000-04-26,4.175781,4.312500,4.125000,4.250000,3.543740,488400
2000-04-27,4.156250,4.171875,3.984375,4.031250,3.361342,407600
2000-04-28,4.000000,4.125000,3.968750,4.125000,3.439512,577600
2000-05-01,4.109375,4.156250,3.968750,4.136719,3.449285,299600
2000-05-02,4.062500,4.156250,4.046875,4.062500,3.387399,112400
2000-05-03,3.968750,4.062500,3.937500,4.062500,3.387399,202400
2000-05-04,4.000000,4.375000,3.968750,4.265625,3.556771,794000
2000-05-05,4.328125,4.343750,4.109375,4.156250,3.465568,174800
2000-05-08,4.140625,4.281250,4.062500,4.062500,3.387399,307600
2000-05-09,4.218750,4.250000,4.046875,4.218750,3.517684,187200
2000-05-10,4.187500,4.218750,4.140625,4.171875,3.478599,264400
2000-05-11,4.171875,4.203125,3.921875,4.015625,3.348313,430000
2000-05-12,4.093750,4.250000,4.000000,4.031250,3.361342,246800
2000-05-15,4.140625,4.140625,3.937500,3.953125,3.296201,305200
2000-05-16,3.937500,4.078125,3.937500,4.062500,3.387399,261600
2000-05-17,3.937500,4.125000,3.906250,4.062500,3.387399,426400
2000-05-18,4.015625,4.093750,3.984375,4.031250,3.361342,349200
2000-05-19,3.960938,4.000000,3.921875,3.921875,3.270143,464000
2000-05-22,3.937500,3.953125,3.828125,3.843750,3.205001,169200
2000-05-23,3.906250,3.937500,3.828125,3.828125,3.191972,416400
2000-05-24,3.890625,3.890625,3.781250,3.812500,3.178943,324400
2000-05-25,3.875000,3.968750,3.875000,3.921875,3.270143,369600
2000-05-26,3.890625,4.078125,3.859375,4.046875,3.374370,468800
2000-05-30,3.968750,4.078125,3.968750,4.015625,3.348313,92000
2000-05-31,4.015625,4.125000,3.968750,4.000000,3.335285,277200
2000-06-01,4.000000,4.109375,3.937500,4.093750,3.413456,373600
2000-06-02,4.125000,4.125000,4.000000,4.000000,3.335285,76400
2000-06-05,3.921875,4.125000,3.921875,4.062500,3.387399,232000
2000-06-06,4.000000,4.109375,4.000000,4.000000,3.335285,293600
2000-06-07,4.015625,4.109375,3.953125,4.000000,3.335285,967200
2000-06-08,3.937500,4.000000,3.906250,3.953125,3.296201,196800
2000-06-09,4.000000,4.031250,3.921875,3.968750,3.309229,159600
2000-06-12,4.015625,4.031250,3.953125,4.000000,3.335285,236000
2000-06-13,3.937500,4.015625,3.937500,4.000000,3.335285,416800
2000-06-14,3.937500,4.015625,3.875000,4.015625,3.348313,229200
2000-06-15,4.000000,4.015625,3.953125,4.015625,3.348313,332800
2000-06-16,3.843750,3.953125,3.796875,3.859375,3.218030,758000
2000-06-19,3.890625,3.937500,3.750000,3.921875,3.270143,550800
2000-06-20,3.953125,3.984375,3.812500,3.984375,3.322257,341200
2000-06-21,3.953125,4.000000,3.953125,3.968750,3.309229,146400
2000-06-22,4.000000,4.000000,3.812500,3.812500,3.178943,407600
2000-06-23,3.906250,3.906250,3.718750,3.718750,3.100773,215200
2000-06-26,3.781250,3.781250,3.703125,3.750000,3.126830,76800
2000-06-27,3.750000,3.781250,3.609375,3.625000,3.022603,318800
2000-06-28,3.609375,3.640625,3.343750,3.562500,2.970488,829200
2000-06-29,3.531250,3.625000,3.484375,3.484375,2.905346,301200
2000-06-30,3.539063,3.906250,3.406250,3.859375,3.218030,864800
2000-07-03,3.843750,3.843750,3.578125,3.578125,2.983517,103600
2000-07-05,3.750000,3.875000,3.750000,3.828125,3.191972,290400
2000-07-06,3.812500,3.906250,3.812500,3.875000,3.231057,361600
2000-07-07,3.781250,3.875000,3.703125,3.750000,3.126830,248000
2000-07-10,3.750000,3.796875,3.718750,3.796875,3.165916,86400
2000-07-11,3.750000,3.875000,3.750000,3.812500,3.178943,476000
2000-07-12,3.812500,3.968750,3.750000,3.843750,3.205001,129600
2000-07-13,3.906250,3.984375,3.875000,3.906250,3.257116,164800
2000-07-14,3.812500,3.984375,3.812500,3.859375,3.218030,146000
2000-07-17,3.968750,4.000000,3.812500,3.843750,3.205001,206000
2000-07-18,3.921875,4.000000,3.812500,3.968750,3.309229,76000
2000-07-19,3.859375,3.921875,3.750000,3.765625,3.139858,385600
2000-07-20,3.843750,3.921875,3.765625,3.906250,3.257116,149200
2000-07-21,3.921875,3.937500,3.796875,3.812500,3.178943,242800
2000-07-24,3.835938,3.859375,3.750000,3.750000,3.126830,96000
2000-07-25,3.734375,3.750000,3.656250,3.656250,3.048659,114000
2000-07-26,3.718750,3.906250,3.671875,3.859375,3.218030,344800
2000-07-27,3.781250,3.816406,3.593750,3.625000,3.022603,205200
2000-07-28,3.593750,3.734375,3.593750,3.687500,3.074717,93200
2000-07-31,3.640625,3.703125,3.578125,3.703125,3.087745,110000
2000-08-01,3.734375,3.750000,3.593750,3.750000,3.126830,244400
2000-08-02,3.718750,3.906250,3.656250,3.828125,3.191972,469200
2000-08-03,3.796875,3.843750,3.750000,3.812500,3.178943,237200
2000-08-04,3.734375,3.859375,3.718750,3.843750,3.205001,119600
2000-08-07,3.796875,3.808594,3.546875,3.593750,2.996545,272800
2000-08-08,3.593750,3.734375,3.593750,3.703125,3.087745,83600
2000-08-09,3.703125,3.750000,3.562500,3.687500,3.074717,527600
2000-08-10,3.625000,3.734375,3.625000,3.671875,3.061688,98000
2000-08-11,3.625000,3.750000,3.593750,3.703125,3.087745,209600
