Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,26.312500,27.750000,26.125000,27.625000,14.773483,1148000
2000-01-19,27.000000,27.562500,26.625000,26.812500,14.338966,1211600
2000-01-20,26.687500,26.687500,25.250000,25.812500,13.804176,882500
2000-01-21,26.500000,26.500000,24.875000,25.000000,13.369662,1115800
2000-01-24,24.750000,25.250000,23.875000,24.125000,12.901727,1127400
2000-01-25,24.000000,24.156250,23.750000,23.937500,12.801452,1027100
2000-01-26,23.500000,24.875000,23.375000,24.812500,13.269393,1018400
2000-01-27,26.250000,26.250000,24.125000,24.500000,13.102271,1061800
2000-01-28,24.500000,24.625000,23.625000,23.937500,12.801452,865200
2000-01-31,24.250000,24.750000,23.687500,24.250000,12.968573,887000
2000-02-01,24.500000,25.000000,24.187500,24.562500,13.135696,827300
2000-02-02,24.312500,24.375000,23.812500,23.937500,12.801452,543000
2000-02-03,23.937500,24.125000,23.375000,24.000000,12.834875,716700
2000-02-04,24.125000,24.125000,23.062500,23.375000,12.500635,554900
2000-02-07,23.625000,23.625000,22.562500,22.812500,12.199818,765100
2000-02-08,23.062500,23.437500,22.750000,23.437500,12.534059,804600
2000-02-09,23.250000,23.750000,22.375000,22.812500,12.199818,640000
2000-02-10,22.562500,22.750000,21.812500,21.875000,11.698458,625300
2000-02-11,21.875000,21.875000,20.750000,21.062500,11.263941,1430200
2000-02-14,21.062500,21.312500,20.750000,21.250000,11.364218,1030300
2000-02-15,21.250000,23.250000,21.062500,23.062500,12.333514,1340900
2000-02-16,23.062500,23.250000,22.437500,22.625000,12.099543,969000
2000-02-17,22.375000,23.125000,22.000000,22.937500,12.266665,880100
2000-02-18,22.750000,22.875000,22.000000,22.187500,11.865578,576500
2000-02-22,22.312500,24.000000,22.062500,24.000000,12.834875,1052800
2000-02-23,23.750000,23.812500,22.812500,23.625000,12.634333,1442100
2000-02-24,23.812500,23.812500,21.937500,22.312500,11.932424,1436300
2000-02-25,22.125000,22.375000,20.812500,21.000000,11.355199,1993600
2000-02-28,21.000000,23.250000,20.812500,23.187500,12.538033,2223900
2000-02-29,23.250000,25.625000,23.250000,25.312500,13.687067,2185100
2000-03-01,24.625000,25.000000,23.250000,23.750000,12.842193,1096900
2000-03-02,23.750000,23.812500,22.437500,22.812500,12.335264,694700
2000-03-03,23.000000,24.250000,22.687500,23.812500,12.875983,741700
2000-03-06,23.937500,23.937500,22.375000,22.937500,12.402855,812200
2000-03-07,22.750000,23.125000,22.375000,22.687500,12.267674,1076500
2000-03-08,22.750000,24.062500,22.250000,23.812500,12.875983,1266300
2000-03-09,23.562500,23.875000,22.562500,23.500000,12.707008,857700
2000-03-10,23.375000,23.375000,22.687500,22.937500,12.402855,706700
2000-03-13,22.875000,23.500000,22.312500,23.437500,12.673216,649200
2000-03-14,23.312500,24.125000,22.875000,23.625000,12.774602,1059400
2000-03-15,23.062500,26.312500,23.000000,26.187500,14.160208,1569700
2000-03-16,27.000000,27.875000,26.687500,27.125000,14.667139,1889600
2000-03-17,27.125000,27.125000,25.062500,25.562500,13.822255,1389000
2000-03-20,27.000000,27.000000,25.562500,25.937500,14.025027,810000
2000-03-21,26.125000,26.687500,25.750000,26.562500,14.362980,788400
2000-03-22,26.750000,26.750000,25.062500,25.375000,13.720868,688600
2000-03-23,25.125000,25.187500,24.375000,25.062500,13.551894,1049200
2000-03-24,25.000000,25.062500,24.312500,24.500000,13.247731,729600
2000-03-27,24.500000,24.562500,23.750000,24.125000,13.044961,476900
2000-03-28,24.125000,24.125000,23.250000,23.875000,12.909784,711000
2000-03-29,24.375000,25.500000,24.125000,25.312500,13.687067,736200
2000-03-30,25.187500,26.437500,25.062500,26.000000,14.058821,969100
2000-03-31,26.000000,26.000000,25.250000,25.750000,13.923645,820300
2000-04-03,25.625000,25.625000,24.500000,25.187500,13.619484,705600
2000-04-04,25.437500,26.500000,24.375000,26.250000,14.194005,1409000
2000-04-05,26.875000,27.687500,26.250000,26.500000,14.329181,846400
2000-04-06,26.500000,26.875000,26.187500,26.375000,14.261588,695200
2000-04-07,26.437500,26.687500,24.750000,25.000000,13.518097,762900
2000-04-10,25.187500,25.312500,24.687500,25.312500,13.687067,532700
2000-04-11,25.312500,25.500000,24.875000,25.437500,13.754664,604500
2000-04-12,25.500000,26.187500,25.375000,25.812500,13.957432,883000
