Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,21.437500,21.562500,20.937500,21.125000,10.554723,861500
2000-01-19,21.250000,21.812500,20.500000,20.625000,10.304906,1410600
2000-01-20,20.875000,20.875000,20.250000,20.500000,10.242445,999700
2000-01-21,20.562500,21.437500,20.312500,21.375000,10.679627,2572600
2000-01-24,21.500000,21.562500,20.375000,20.437500,10.211220,1335700
2000-01-25,20.500000,20.687500,19.812500,20.125000,10.055090,1966900
2000-01-26,20.375000,21.625000,20.250000,21.562500,10.773307,1775500
2000-01-27,21.500000,21.625000,20.687500,21.062500,10.523494,1158700
2000-01-28,21.000000,21.000000,20.375000,20.500000,10.242445,1075600
2000-01-31,20.625000,21.000000,20.187500,21.000000,10.492266,1499400
2000-02-01,20.937500,21.062500,20.562500,20.750000,10.367359,1311300
2000-02-02,20.750000,20.750000,20.437500,20.500000,10.242445,1037700
2000-02-03,20.562500,20.750000,20.375000,20.437500,10.211220,1351500
2000-02-04,20.500000,20.625000,20.062500,20.125000,10.055090,1255600
2000-02-07,20.125000,20.312500,19.937500,20.000000,9.992631,1078400
2000-02-08,20.000000,20.375000,19.937500,20.375000,10.179995,1166700
2000-02-09,20.062500,20.062500,19.437500,19.500000,9.742819,1393500
2000-02-10,19.312500,19.500000,18.375000,18.750000,9.368093,2713700
2000-02-11,18.500000,18.937500,18.187500,18.687500,9.336866,2172900
2000-02-14,18.437500,18.500000,18.000000,18.187500,9.087056,1438000
2000-02-15,18.375000,18.750000,17.875000,18.562500,9.274417,2061300
2000-02-16,18.250000,18.437500,17.812500,17.875000,8.930912,1970700
2000-02-17,18.312500,18.437500,17.750000,17.937500,8.962141,993600
2000-02-18,17.687500,17.812500,17.000000,17.250000,8.618645,2011700
2000-02-22,17.437500,17.687500,17.312500,17.437500,8.712323,1760900
2000-02-23,17.437500,17.500000,17.187500,17.187500,8.587419,1511500
2000-02-24,17.375000,17.500000,16.812500,17.437500,8.712323,1818600
2000-02-25,17.437500,17.562500,16.812500,17.000000,8.632353,1988400
2000-02-28,17.000000,17.250000,16.812500,17.000000,8.632353,2103200
2000-02-29,17.000000,17.125000,16.562500,16.937500,8.600613,1340600
2000-03-01,17.000000,17.125000,16.562500,17.125000,8.695827,1556100
2000-03-02,17.000000,17.062500,16.625000,16.937500,8.600613,1080600
2000-03-03,17.500000,17.687500,16.937500,17.437500,8.854506,1646600
2000-03-06,17.437500,17.625000,17.000000,17.375000,8.822771,1088500
2000-03-07,17.250000,17.250000,15.937500,16.000000,8.124565,2859400
2000-03-08,16.250000,16.312500,15.562500,15.687500,7.965883,2702700
2000-03-09,15.687500,15.812500,15.562500,15.812500,8.029362,2084900
2000-03-10,16.000000,16.187500,15.875000,16.062500,8.156301,1970900
2000-03-13,16.250000,16.312500,15.812500,16.250000,8.251513,1596800
2000-03-14,16.250000,16.375000,15.750000,15.875000,8.061095,1714000
2000-03-15,16.250000,17.875000,15.937500,17.687500,8.981458,3508300
2000-03-16,18.500000,19.375000,17.750000,18.875000,9.584454,2780000
2000-03-17,19.500000,19.500000,18.750000,18.812500,9.552716,2093800
2000-03-20,18.687500,18.750000,17.937500,18.187500,9.235353,1425200
2000-03-21,18.562500,18.937500,18.312500,18.937500,9.616188,1464200
2000-03-22,19.000000,19.500000,18.625000,19.437500,9.870083,1369600
2000-03-23,19.437500,19.562500,19.000000,19.500000,9.901818,1810000
2000-03-24,19.562500,19.687500,19.000000,19.125000,9.711394,1733700
2000-03-27,19.125000,19.125000,18.312500,18.687500,9.489242,1037200
2000-03-28,18.750000,19.250000,18.625000,19.187500,9.743128,1705000
2000-03-29,19.187500,19.250000,18.625000,19.000000,9.647923,1324500
2000-03-30,18.812500,19.125000,18.687500,18.750000,9.520973,1231900
2000-03-31,18.875000,19.062500,18.437500,19.000000,9.647923,1564900
2000-04-03,19.250000,19.687500,19.125000,19.500000,9.901818,1783600
2000-04-04,19.312500,19.937500,18.312500,19.187500,9.743128,1856800
2000-04-05,19.187500,19.437500,18.625000,18.750000,9.520973,1173500
2000-04-06,18.750000,19.000000,18.500000,18.812500,9.552716,1511100
2000-04-07,18.812500,18.812500,18.062500,18.125000,9.203611,1065100
2000-04-10,18.062500,18.125000,17.812500,18.000000,9.140139,2302600
2000-04-11,18.000000,18.250000,17.937500,18.187500,9.235353,1259800
2000-04-12,18.562500,19.125000,18.500000,18.750000,9.520973,1864600
2000-04-13,18.750000,18.812500,18.375000,18.375000,9.330557,1250000
2000-04-14,18.187500,18.250000,17.000000,17.187500,8.727559,1753900
2000-04-17,17.187500,17.625000,17.187500,17.625000,8.949718,1333800
2000-04-18,17.375000,17.875000,17.250000,17.812500,9.044928,1575100
2000-04-19,17.812500,17.875000,17.375000,17.750000,9.013188,1040900
2000-04-20,18.250000,18.250000,17.687500,17.875000,9.076661,732100
2000-04-24,18.000000,18.625000,17.937500,18.437500,9.362294,1241800
2000-04-25,18.187500,19.187500,18.187500,19.062500,9.679662,1361000
2000-04-26,19.000000,19.125000,18.750000,18.875000,9.584454,1382000
2000-04-27,18.750000,18.750000,18.375000,18.500000,9.394032,1142100
2000-04-28,18.562500,18.750000,18.312500,18.500000,9.394032,1484400
2000-05-01,18.562500,19.125000,18.375000,18.875000,9.584454,1275500
2000-05-02,18.437500,18.625000,18.437500,18.562500,9.425769,876100
2000-05-03,18.437500,18.562500,18.062500,18.187500,9.235353,1225800
2000-05-04,18.250000,18.250000,17.687500,17.750000,9.013188,854500
2000-05-05,17.687500,17.937500,17.625000,17.750000,9.013188,566800
2000-05-08,17.875000,18.437500,17.687500,18.125000,9.203611,927800
2000-05-09,18.250000,18.625000,18.000000,18.000000,9.140139,854900
2000-05-10,18.187500,18.187500,17.937500,18.125000,9.203611,1167000
2000-05-11,18.125000,18.812500,18.062500,18.500000,9.394032,1470800
2000-05-12,18.750000,19.125000,18.625000,19.000000,9.647923,966200
2000-05-15,19.000000,19.750000,18.875000,19.250000,9.774872,1470500
2000-05-16,19.250000,19.312500,18.375000,18.500000,9.394032,2181900
2000-05-17,18.500000,18.875000,18.250000,18.687500,9.489242,833900
2000-05-18,19.125000,19.437500,19.062500,19.125000,9.711394,733300
2000-05-19,19.000000,19.125000,18.687500,18.812500,9.552716,808800
2000-05-22,19.062500,19.312500,18.937500,19.187500,9.743128,908200
2000-05-23,19.250000,20.562500,19.250000,19.875000,10.092237,1841800
2000-05-24,20.000000,21.000000,19.937500,21.000000,10.663495,1773200
2000-05-25,20.875000,20.875000,19.750000,20.125000,10.357278,1195900
2000-05-26,20.375000,20.750000,20.062500,20.687500,10.646769,1101900
2000-05-30,20.687500,21.187500,20.687500,21.000000,10.807595,1564000
2000-05-31,21.000000,21.125000,20.687500,21.000000,10.807595,1492200
2000-06-01,20.937500,21.875000,20.875000,21.750000,11.193578,1668400
2000-06-02,21.875000,22.937500,21.875000,22.875000,11.772561,2479200
2000-06-05,23.000000,23.000000,21.937500,22.125000,11.386578,1323900
2000-06-06,22.312500,22.312500,20.875000,20.937500,10.775431,1370700
2000-06-07,21.000000,21.500000,20.937500,21.375000,11.000588,1484100
2000-06-08,21.375000,21.375000,20.687500,21.125000,10.871928,1357500
2000-06-09,20.875000,21.062500,20.250000,20.250000,10.421608,1105900
2000-06-12,20.437500,20.812500,20.437500,20.562500,10.582436,793300
2000-06-13,20.562500,20.562500,20.312500,20.500000,10.550274,665300
2000-06-14,20.437500,20.750000,20.375000,20.562500,10.582436,820400
2000-06-15,20.250000,20.312500,19.000000,19.687500,10.132116,2466700
2000-06-16,19.187500,19.437500,18.500000,18.687500,9.617472,2470500
2000-06-19,18.625000,19.500000,18.437500,19.125000,9.842629,1781700
2000-06-20,19.125000,19.187500,18.562500,18.562500,9.553142,1009800
2000-06-21,18.937500,19.125000,18.250000,18.312500,9.424486,2102400
2000-06-22,18.875000,18.875000,18.437500,18.750000,9.649639,2614200
2000-06-23,18.875000,19.125000,18.687500,18.750000,9.649639,1045800
2000-06-26,18.875000,19.250000,18.750000,18.812500,9.681806,837800
2000-06-27,19.000000,19.312500,18.937500,19.125000,9.842629,1050100
2000-06-28,19.062500,19.812500,18.937500,19.203125,9.882840,951100
2000-06-29,19.312500,19.562500,19.000000,19.125000,9.842629,774600
2000-06-30,18.875000,19.000000,17.609375,17.625000,9.070661,1989600
2000-07-03,18.000000,18.875000,18.000000,18.812500,9.681806,497600
2000-07-05,19.125000,19.250000,18.875000,19.000000,9.778303,924200
2000-07-06,18.875000,19.187500,18.250000,19.000000,9.778303,658600
2000-07-07,19.312500,19.750000,19.187500,19.500000,10.035625,852500
2000-07-10,19.500000,19.687500,19.312500,19.500000,10.035625,522100
2000-07-11,19.562500,19.562500,19.187500,19.437500,10.003460,708600
2000-07-12,19.562500,19.875000,19.437500,19.437500,10.003460,526100
2000-07-13,19.375000,19.625000,19.000000,19.125000,9.842629,625500
2000-07-14,18.812500,19.375000,18.812500,19.250000,9.906960,779000
2000-07-17,19.000000,19.187500,18.625000,18.937500,9.746137,1182700
2000-07-18,18.687500,19.000000,18.375000,18.500000,9.520975,965600
2000-07-19,18.875000,18.875000,18.187500,18.250000,9.392311,1286700
2000-07-20,18.437500,18.937500,18.312500,18.937500,9.746137,1263600
2000-07-21,18.812500,19.062500,18.250000,18.312500,9.424486,1018800
2000-07-24,18.250000,18.750000,18.187500,18.625000,9.585309,566000
2000-07-25,18.375000,18.812500,18.250000,18.750000,9.649639,873500
2000-07-26,18.562500,18.687500,18.062500,18.062500,9.295817,1041000
2000-07-27,18.125000,18.437500,17.937500,18.125000,9.327986,796700
2000-07-28,18.000000,18.062500,17.562500,17.625000,9.070661,854300
2000-07-31,17.812500,18.000000,17.500000,17.562500,9.038495,776900
2000-08-01,17.812500,18.187500,17.750000,18.062500,9.295817,711900
2000-08-02,18.000000,18.312500,18.000000,18.125000,9.327986,572100
2000-08-03,18.187500,18.750000,18.125000,18.687500,9.617472,747900
2000-08-04,19.250000,19.750000,19.000000,19.625000,10.099955,1242600
2000-08-07,19.937500,19.937500,19.187500,19.625000,10.099955,1026000
2000-08-08,19.875000,19.875000,19.312500,19.375000,9.971293,875500
2000-08-09,19.375000,19.500000,19.125000,19.250000,9.906960,966900
2000-08-10,19.312500,19.625000,19.312500,19.437500,10.003460,1326100
2000-08-11,19.500000,19.937500,19.437500,19.937500,10.260781,895000
2000-08-14,19.937500,19.937500,19.375000,19.875000,10.228620,961300
2000-08-15,19.500000,20.062500,19.500000,19.812500,10.196448,921500
2000-08-16,20.000000,20.187500,19.750000,19.812500,10.196448,996800
2000-08-17,20.000000,20.125000,19.687500,19.812500,10.196448,893500
2000-08-18,19.875000,19.875000,19.312500,19.500000,10.035625,991300
2000-08-21,19.500000,19.687500,19.312500,19.562500,10.067789,482000
2000-08-22,19.437500,20.375000,19.437500,20.312500,10.453772,841100
2000-08-23,19.937500,20.250000,19.812500,19.875000,10.228620,541900
2000-08-24,19.875000,20.062500,19.750000,19.750000,10.164288,452700
2000-08-25,19.562500,19.812500,19.125000,19.250000,10.049433,569500
2000-08-28,19.312500,19.750000,19.062500,19.625000,10.245206,603600
2000-08-29,19.625000,19.687500,19.375000,19.375000,10.114690,713600
2000-08-30,19.375000,19.875000,19.375000,19.625000,10.245206,518900
2000-08-31,19.687500,20.562500,19.687500,20.203125,10.547007,1385600
2000-09-01,20.187500,20.375000,20.000000,20.125000,10.506227,1050900
2000-09-05,20.062500,20.687500,20.000000,20.687500,10.799884,1321900
2000-09-06,21.625000,22.062500,21.375000,21.875000,11.419811,2304300
2000-09-07,21.937500,22.687500,21.875000,21.937500,11.452442,1852800
2000-09-08,22.062500,23.375000,22.062500,22.500000,11.746093,2310000
2000-09-11,23.062500,24.312500,23.000000,24.312500,12.692301,2799500
2000-09-12,23.875000,23.937500,23.125000,23.500000,12.268141,1538800
2000-09-13,23.937500,24.062500,23.187500,23.375000,12.202884,1359200
2000-09-14,23.937500,24.062500,23.625000,23.937500,12.496540,1447700
2000-09-15,23.750000,24.500000,23.500000,24.187500,12.627050,2279800
2000-09-18,23.875000,23.937500,23.125000,23.187500,12.105001,1361200
2000-09-19,23.187500,23.375000,22.937500,23.000000,12.007112,1586900
2000-09-20,22.875000,23.437500,22.562500,23.312500,12.170259,1374800
2000-09-21,22.750000,23.437500,22.750000,23.187500,12.105001,1262100
2000-09-22,22.937500,23.625000,22.812500,23.500000,12.268141,938000
2000-09-25,23.500000,24.250000,23.375000,24.250000,12.659680,981800
2000-09-26,23.625000,25.000000,23.625000,24.812500,12.953335,1948500
2000-09-27,24.812500,25.687500,24.562500,25.562500,13.344867,2167700
2000-09-28,25.312500,27.062500,25.062500,26.687500,13.932172,3351100
2000-09-29,26.125000,26.562500,25.312500,25.312500,13.214356,2224100
2000-10-02,25.437500,26.000000,24.625000,25.437500,13.279610,1590600
2000-10-03,25.500000,26.000000,25.500000,25.937500,13.540634,1590300
2000-10-04,25.937500,26.562500,25.562500,25.937500,13.540634,1766400
2000-10-05,26.000000,26.625000,25.312500,25.375000,13.246984,1086900
2000-10-06,25.375000,25.500000,24.250000,24.625000,12.855450,1007200
2000-10-09,24.375000,24.625000,24.000000,24.375000,12.724928,702700
2000-10-10,24.250000,24.312500,23.625000,23.812500,12.431276,1450300
2000-10-11,23.812500,23.812500,22.375000,22.875000,11.941864,3157400
2000-10-12,23.125000,23.125000,21.687500,22.375000,11.680836,1709100
