Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,9.312500,9.312500,8.812500,9.000000,6.136512,9452200
2000-01-19,9.000000,9.093750,8.875000,9.000000,6.136512,5676200
2000-01-20,9.031250,9.031250,8.593750,8.687500,5.923439,7137800
2000-01-21,8.718750,8.718750,8.343750,8.406250,5.731673,8151000
2000-01-24,8.500000,8.562500,8.031250,8.156250,5.561214,11600200
2000-01-25,8.093750,8.125000,7.906250,8.062500,5.497291,7716600
2000-01-26,8.031250,8.406250,8.031250,8.250000,5.625135,13237000
2000-01-27,8.437500,8.843750,8.406250,8.468750,5.774285,14937000
2000-01-28,8.406250,8.562500,8.281250,8.281250,5.646441,8821200
2000-01-31,8.468750,8.812500,8.406250,8.687500,5.923439,8737600
2000-02-01,8.718750,8.875000,8.593750,8.875000,6.051282,6502000
2000-02-02,8.843750,9.125000,8.656250,9.093750,6.200432,7734200
2000-02-03,9.125000,9.250000,8.812500,9.000000,6.136512,11771600
2000-02-04,8.875000,8.906250,8.468750,8.812500,6.008668,8523000
2000-02-07,8.468750,8.750000,8.437500,8.468750,5.774285,5190200
2000-02-08,8.562500,8.906250,8.500000,8.906250,6.072589,6891400
2000-02-09,8.812500,8.812500,8.468750,8.500000,5.795593,5223600
2000-02-10,8.500000,8.687500,7.968750,8.093750,5.518598,10187400
2000-02-11,8.218750,8.468750,8.125000,8.375000,5.710363,8325200
2000-02-14,8.218750,8.250000,7.937500,8.187500,5.582520,7594200
2000-02-15,8.156250,8.625000,8.062500,8.500000,5.795593,7580000
2000-02-16,8.406250,8.500000,8.093750,8.406250,5.731673,5244400
2000-02-17,8.250000,8.312500,7.906250,7.968750,5.433369,7695000
2000-02-18,7.937500,7.968750,7.500000,7.500000,5.113759,8752400
2000-02-22,7.531250,7.750000,7.500000,7.593750,5.177680,7441800
2000-02-23,7.531250,7.687500,7.437500,7.531250,5.135065,9155800
2000-02-24,7.593750,7.625000,7.187500,7.375000,5.028529,8360400
2000-02-25,7.187500,7.312500,7.031250,7.093750,4.836765,13766200
2000-02-28,7.500000,7.687500,7.281250,7.562500,5.156373,9052800
2000-02-29,7.562500,7.656250,7.375000,7.468750,5.092452,9811600
2000-03-01,7.468750,7.531250,7.312500,7.406250,5.049837,6097000
2000-03-02,7.468750,7.468750,7.250000,7.281250,4.964609,6579800
2000-03-03,7.437500,7.531250,7.343750,7.375000,5.028529,9071400
2000-03-06,7.468750,7.625000,7.312500,7.468750,5.092452,6285200
2000-03-07,7.437500,7.468750,7.250000,7.375000,5.028529,7321200
2000-03-08,7.343750,7.750000,7.125000,7.687500,5.241602,11982000
2000-03-09,7.656250,7.656250,7.250000,7.406250,5.049837,9740600
2000-03-10,7.406250,7.562500,7.281250,7.375000,5.028529,8901800
2000-03-13,7.343750,7.500000,7.250000,7.468750,5.092452,8371400
2000-03-14,7.437500,7.468750,7.187500,7.218750,4.921995,17360800
2000-03-15,7.218750,7.500000,7.031250,7.437500,5.071146,16044000
2000-03-16,7.500000,7.843750,7.437500,7.781250,5.305525,19580000
2000-03-17,7.906250,8.750000,7.875000,8.343750,5.689058,24912800
2000-03-20,8.343750,8.468750,7.968750,8.031250,5.475983,6327600
2000-03-21,8.000000,8.500000,7.906250,8.312500,5.667748,6636200
2000-03-22,8.406250,8.718750,8.375000,8.593750,5.859515,6431600
2000-03-23,8.625000,8.781250,8.187500,8.312500,5.667748,6318600
2000-03-24,8.312500,9.125000,8.312500,8.937500,6.093895,10621400
2000-03-27,8.875000,8.906250,8.656250,8.718750,5.944744,4420000
2000-03-28,8.500000,9.093750,8.500000,8.625000,5.880821,6712800
2000-03-29,8.656250,8.875000,8.656250,8.843750,6.029975,6470000
2000-03-30,8.843750,9.062500,8.625000,8.718750,5.944744,7183800
2000-03-31,8.718750,9.031250,8.656250,8.781250,5.987358,6614000
2000-04-03,8.906250,9.625000,8.875000,9.437500,6.434812,11532600
2000-04-04,9.625000,10.187500,9.531250,10.093750,6.882265,21197600
2000-04-05,9.937500,10.250000,9.937500,10.125000,6.903575,9248000
2000-04-06,10.375000,10.437500,9.656250,9.781250,6.669193,6015400
2000-04-07,9.843750,9.875000,9.531250,9.625000,6.562658,5046400
2000-04-10,9.656250,9.718750,9.250000,9.625000,6.562658,4913600
2000-04-11,9.750000,10.562500,9.687500,10.312500,7.031417,10696800
2000-04-12,10.187500,10.968750,10.156250,10.687500,7.287107,14437200
2000-04-13,10.750000,10.781250,10.125000,10.156250,6.924882,7705600
2000-04-14,10.062500,10.062500,9.343750,9.531250,6.498736,8515600
2000-04-17,9.406250,9.437500,8.906250,9.000000,6.136512,9819400
2000-04-18,8.562500,8.968750,8.343750,8.968750,6.115203,12547000
2000-04-19,8.968750,9.093750,8.875000,9.000000,6.136512,9844600
