Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,47.062500,47.937500,45.750000,46.687500,35.018814,194200
2000-01-19,46.937500,47.187500,45.812500,46.375000,34.784405,117800
2000-01-20,46.375000,46.375000,44.062500,44.250000,33.190521,174600
2000-01-21,44.625000,44.937500,43.625000,43.875000,32.909233,74500
2000-01-24,44.250000,44.937500,43.250000,44.875000,33.659313,125700
2000-01-25,43.750000,44.312500,42.625000,42.937500,32.206074,128600
2000-01-26,43.187500,44.562500,42.375000,43.250000,32.440441,265600
2000-01-27,43.312500,44.062500,42.312500,43.750000,32.815475,189100
2000-01-28,43.812500,44.687500,42.750000,44.000000,33.002995,261000
2000-01-31,43.875000,43.875000,41.687500,42.000000,31.502855,153800
2000-02-01,42.125000,42.625000,41.812500,42.125000,31.596621,190500
2000-02-02,42.312500,43.500000,42.312500,43.375000,32.534214,191600
2000-02-03,43.375000,44.500000,43.125000,44.375000,33.284283,191100
2000-02-04,44.187500,44.750000,43.000000,43.812500,32.862373,168800
2000-02-07,43.562500,43.750000,43.000000,43.375000,32.534214,70900
2000-02-08,43.562500,43.750000,42.000000,42.000000,31.502855,134900
2000-02-09,42.500000,42.500000,40.875000,41.000000,30.752794,120000
2000-02-10,41.000000,41.000000,39.500000,40.000000,30.002726,159300
2000-02-11,40.125000,40.375000,39.375000,39.625000,29.721443,97000
2000-02-14,39.375000,39.562500,38.312500,39.000000,29.252657,141400
2000-02-15,39.125000,40.250000,38.687500,39.500000,29.627695,175400
2000-02-16,39.750000,40.625000,39.312500,39.500000,29.627695,121200
2000-02-17,39.375000,40.000000,39.125000,39.812500,29.862085,138700
2000-02-18,39.562500,39.750000,38.375000,38.625000,28.971382,102800
2000-02-22,38.687500,38.687500,38.000000,38.562500,28.924505,184300
2000-02-23,38.437500,38.437500,37.500000,38.000000,28.502586,222000
2000-02-24,37.937500,37.937500,35.875000,36.562500,27.424360,590900
2000-02-25,36.562500,37.750000,36.187500,36.687500,27.518145,157200
2000-02-28,36.250000,36.875000,35.812500,36.750000,27.663019,122800
2000-02-29,36.625000,37.750000,35.500000,35.500000,26.722103,273200
2000-03-01,35.562500,37.000000,35.562500,36.625000,27.568933,160200
2000-03-02,37.500000,38.437500,36.687500,36.812500,27.710079,257200
2000-03-03,37.000000,37.687500,36.875000,37.437500,28.180538,363200
2000-03-06,37.437500,37.500000,37.062500,37.062500,27.898268,84100
2000-03-07,37.125000,37.312500,36.500000,37.125000,27.945299,107400
