Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,7.829062,7.922266,7.735859,7.884984,4.787151,4965200
2000-01-19,7.847703,7.996828,7.829062,7.959547,4.832417,3985500
2000-01-20,7.922266,7.940906,7.605375,7.679937,4.662663,6054600
2000-01-21,7.829062,8.164594,7.829062,7.940906,4.821103,5331400
2000-01-24,7.754500,7.866344,7.549453,7.568094,4.594759,8331900
2000-01-25,7.586734,7.698578,7.195281,7.400328,4.492906,5558400
2000-01-26,7.158000,7.661297,7.158000,7.456250,4.526857,8023100
2000-01-27,7.679937,7.679937,7.232563,7.269844,4.413686,4621200
2000-01-28,7.363047,7.456250,7.232563,7.344406,4.458954,4898900
2000-01-31,7.269844,7.679937,7.195281,7.661297,4.651344,5180800
2000-02-01,7.586734,7.586734,7.344406,7.363047,4.470271,1668000
2000-02-02,7.437609,7.717219,7.400328,7.624016,4.628710,4311100
2000-02-03,7.549453,7.549453,7.363047,7.474891,4.538176,3947600
2000-02-04,7.829062,7.829062,7.158000,7.307125,4.436321,6032800
2000-02-07,7.213922,7.512172,7.139359,7.456250,4.526857,5583200
2000-02-08,7.530812,7.605375,7.269844,7.288485,4.425003,1634100
2000-02-09,7.213922,7.269844,6.915672,6.971594,4.232612,3774300
2000-02-10,6.990234,7.288485,6.971594,7.139359,4.334466,2837200
2000-02-11,7.139359,7.158000,6.729266,6.859750,4.164708,3240200
2000-02-14,6.859750,7.008875,6.785188,6.971594,4.271613,4503600
2000-02-15,7.027515,7.213922,7.027515,7.139359,4.374405,3679700
2000-02-16,7.158000,7.381688,7.139359,7.288485,4.465774,3693800
2000-02-17,7.363047,7.418969,7.046156,7.251203,4.442931,1962100
2000-02-18,7.102078,7.195281,6.747906,6.934312,4.248769,2315100
2000-02-22,7.008875,7.102078,6.766547,6.859750,4.203083,3241900
2000-02-23,6.580141,6.710625,6.505578,6.542860,4.008917,4776800
2000-02-24,6.505578,6.561500,6.337812,6.431015,3.940389,5824900
2000-02-25,6.561500,6.561500,6.170047,6.337812,3.883283,6611200
2000-02-28,6.281890,6.505578,6.263250,6.356453,3.894704,4665800
2000-02-29,6.393734,6.505578,6.319172,6.449656,3.951812,5210000
