Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,5.046875,5.562500,5.046875,5.468750,4.488064,4741600
2000-01-19,5.406250,5.546875,5.343750,5.515625,4.526533,2240800
2000-01-20,5.531250,5.546875,5.453125,5.500000,4.513709,2066400
2000-01-21,5.593750,5.796875,5.593750,5.609375,4.603473,1889200
2000-01-24,5.671875,5.812500,5.359375,5.359375,4.398303,964400
2000-01-25,5.359375,5.421875,5.187500,5.250000,4.308544,1358800
2000-01-26,5.312500,5.375000,5.187500,5.187500,4.257251,1199200
2000-01-27,5.187500,5.234375,5.031250,5.125000,4.205958,1587600
2000-01-28,5.078125,5.171875,4.984375,5.000000,4.103374,1055200
2000-01-31,5.046875,5.187500,5.000000,5.015625,4.116198,1082800
2000-02-01,5.062500,5.359375,5.015625,5.328125,4.372658,2078400
2000-02-02,5.312500,5.593750,5.281250,5.281250,4.334187,2538000
2000-02-03,5.375000,5.656250,5.375000,5.546875,4.552179,2930800
2000-02-04,5.500000,5.750000,5.359375,5.359375,4.398303,1830800
2000-02-07,5.359375,5.656250,5.359375,5.578125,4.577827,1367600
2000-02-08,5.593750,5.671875,5.343750,5.359375,4.398303,1909200
2000-02-09,5.343750,5.406250,5.156250,5.156250,4.231605,1239600
2000-02-10,5.156250,5.531250,5.140625,5.515625,4.526533,1200000
2000-02-11,5.515625,5.609375,5.343750,5.343750,4.393445,1179200
2000-02-14,5.390625,5.515625,5.375000,5.406250,4.444830,738800
2000-02-15,5.437500,5.750000,5.437500,5.687500,4.676065,1274400
2000-02-16,5.656250,5.687500,5.593750,5.656250,4.650373,1619600
2000-02-17,5.703125,5.859375,5.578125,5.734375,4.714605,2508400
2000-02-18,5.703125,5.750000,5.437500,5.546875,4.560448,1489200
2000-02-22,5.546875,5.593750,5.359375,5.437500,4.470525,810000
2000-02-23,5.421875,5.484375,5.203125,5.296875,4.354907,1131200
2000-02-24,5.265625,5.296875,5.203125,5.234375,4.303521,2065200
2000-02-25,5.187500,5.187500,5.093750,5.156250,4.239290,762400
2000-02-28,5.312500,5.593750,5.296875,5.375000,4.419138,1988800
2000-02-29,5.421875,5.703125,5.421875,5.625000,4.624681,1389600
2000-03-01,5.687500,6.093750,5.570313,5.937500,4.881606,2625600
2000-03-02,6.156250,6.750000,6.109375,6.546875,5.382613,2502400
2000-03-03,6.562500,6.593750,6.187500,6.390625,5.254150,1413200
2000-03-06,6.328125,6.500000,6.312500,6.375000,5.241305,961600
2000-03-07,6.437500,7.328125,6.437500,7.250000,5.960699,3309200
2000-03-08,7.156250,7.421875,6.984375,7.203125,5.922158,3350000
2000-03-09,7.343750,7.500000,7.062500,7.125000,5.857927,2909600
2000-03-10,7.062500,7.265625,6.828125,6.843750,5.626693,1709600
2000-03-13,6.843750,7.078125,6.734375,6.765625,5.562461,914400
2000-03-14,6.750000,6.937500,6.500000,6.890625,5.665233,2443600
2000-03-15,6.859375,6.890625,6.640625,6.828125,5.613848,1425200
2000-03-16,6.796875,7.203125,6.796875,7.140625,5.870774,1804400
2000-03-17,7.140625,7.140625,6.859375,7.015625,5.768003,950400
2000-03-20,7.046875,7.125000,6.875000,7.125000,5.857927,1879600
2000-03-21,7.031250,7.281250,6.953125,7.031250,5.780849,1110400
2000-03-22,7.062500,7.125000,6.921875,7.000000,5.755158,1442000
2000-03-23,7.000000,7.000000,6.796875,7.000000,5.755158,1048000
2000-03-24,6.968750,7.359375,6.968750,7.203125,5.922158,2346800
2000-03-27,7.171875,7.171875,6.906250,7.093750,5.832235,1426800
2000-03-28,7.031250,7.234375,7.031250,7.109375,5.845081,1809200
2000-03-29,7.046875,7.640625,7.046875,7.578125,6.230471,3785200
2000-03-30,7.546875,8.156250,7.546875,8.031250,6.603015,3845200
2000-03-31,8.125000,8.406250,8.078125,8.203125,6.744326,4690800
2000-04-03,8.203125,8.562500,8.156250,8.437500,6.937020,1836800
2000-04-04,8.500000,8.718750,7.968750,7.984375,6.564477,1832800
2000-04-05,7.953125,8.062500,7.640625,7.781250,6.397472,1784000
2000-04-06,7.750000,7.859375,7.703125,7.843750,6.448860,1971600
2000-04-07,7.843750,7.906250,7.609375,7.640625,6.281856,1695600
2000-04-10,7.640625,7.656250,7.343750,7.406250,6.089163,1784000
2000-04-11,7.343750,7.531250,7.281250,7.500000,6.166238,2804400
2000-04-12,7.687500,8.093750,7.640625,7.984375,6.564477,2288800
2000-04-13,7.875000,8.109375,7.875000,7.968750,6.551630,3719200
2000-04-14,7.937500,8.109375,7.781250,7.906250,6.500245,1594000
2000-04-17,7.687500,7.796875,7.531250,7.593750,6.243320,1370800
2000-04-18,7.531250,7.984375,7.531250,7.953125,6.538784,2260000
2000-04-19,7.921875,8.343750,7.875000,8.343750,6.859943,2570400
2000-04-20,8.343750,8.406250,8.187500,8.390625,6.898482,992000
2000-04-24,8.390625,8.812500,8.390625,8.812500,7.245333,2050000
2000-04-25,8.828125,9.140625,8.828125,8.968750,7.373794,2248400
2000-04-26,8.968750,8.984375,8.593750,8.656250,7.116868,1874800
2000-04-27,8.671875,9.031250,8.671875,8.906250,7.322410,1781200
2000-04-28,8.968750,9.125000,8.968750,9.015625,7.412332,1614000
2000-05-01,9.078125,9.875000,9.078125,9.765625,8.028959,4446800
2000-05-02,9.765625,9.953125,9.687500,9.890625,8.131727,1914000
2000-05-03,9.953125,9.968750,9.109375,9.312500,7.656411,2758800
2000-05-04,9.296875,9.906250,9.171875,9.859375,8.114748,2299200
2000-05-05,9.921875,9.968750,9.609375,9.734375,8.011870,2117200
2000-05-08,9.671875,9.984375,9.546875,9.718750,7.999004,3163600
2000-05-09,9.750000,9.906250,9.562500,9.859375,8.114748,1344400
2000-05-10,9.796875,9.937500,9.640625,9.921875,8.166186,1255200
2000-05-11,9.937500,10.500000,9.937500,10.468750,8.616295,2169600
2000-05-12,10.468750,10.593750,9.843750,10.390625,8.551994,2562800
2000-05-15,10.265625,10.281250,9.937500,10.000000,8.230492,3549600
2000-05-16,10.109375,10.109375,9.718750,9.906250,8.153327,2456000
2000-05-17,9.828125,10.140625,9.781250,10.109375,8.320512,1746400
2000-05-18,10.125000,10.234375,10.000000,10.046875,8.269073,1200400
2000-05-19,9.750000,9.875000,9.750000,9.875000,8.127612,1418000
2000-05-22,9.937500,10.046875,9.609375,9.687500,7.973283,1150000
2000-05-23,9.687500,9.984375,9.671875,9.671875,7.960427,1262000
2000-05-24,9.718750,9.718750,9.390625,9.468750,7.793248,1217600
2000-05-25,9.515625,9.531250,9.296875,9.421875,7.754665,809200
2000-05-26,9.468750,9.625000,9.375000,9.437500,7.767526,1418000
2000-05-30,9.468750,9.562500,9.453125,9.531250,7.844684,898000
2000-05-31,9.484375,9.828125,9.484375,9.828125,8.089030,3809200
