Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,6.999018,7.023576,6.876228,6.876228,2.775782,907000
2000-01-19,6.851670,7.097250,6.827112,7.072691,2.855091,517100
2000-01-20,7.048133,7.269155,6.974460,7.269155,2.934398,795500
2000-01-21,7.170923,7.833988,7.146366,7.833988,3.162410,1663900
2000-01-24,7.858546,8.521611,7.858546,8.374263,3.380507,2353800
2000-01-25,8.374263,8.497053,7.711198,7.760314,3.132668,1591100
2000-01-26,7.760314,7.784873,7.539293,7.612967,3.073187,1899800
2000-01-27,7.588408,7.637525,7.391945,7.514735,3.076405,1927000
2000-01-28,7.490177,7.612967,7.146366,7.220039,2.955761,4582200
2000-01-31,7.220039,7.293713,7.195481,7.220039,2.955761,1388800
2000-02-01,7.293713,7.391945,7.220039,7.391945,3.026136,2404500
2000-02-02,7.391945,7.490177,7.269155,7.293713,2.985923,468500
2000-02-03,7.318271,7.833988,7.318271,7.465619,3.056298,823500
2000-02-04,7.563851,7.662083,7.318271,7.391945,3.026136,806000
2000-02-07,7.465619,7.465619,7.048133,7.072691,2.895440,381400
2000-02-08,7.146366,7.220039,6.974460,6.999018,2.865278,587600
2000-02-09,7.072691,7.269155,6.999018,6.999018,2.865278,427000
2000-02-10,6.925344,7.146366,6.827112,6.900786,2.825065,453700
2000-02-11,6.949902,6.949902,6.827112,6.851670,2.804957,432100
2000-02-14,6.851670,7.048133,6.802554,6.851670,2.804957,383200
2000-02-15,6.949902,6.999018,6.851670,6.900786,2.825065,544100
2000-02-16,6.851670,6.925344,6.827112,6.876228,2.815010,318300
2000-02-17,6.802554,6.851670,6.606091,6.704322,2.744635,748200
2000-02-18,6.802554,6.802554,6.556974,6.581532,2.694367,1678900
2000-02-22,6.728880,6.728880,6.483301,6.581532,2.694367,911800
2000-02-23,6.606091,6.606091,6.409626,6.458743,2.644100,609000
2000-02-24,6.483301,6.483301,6.164047,6.311395,2.583777,818900
2000-02-25,6.262279,6.286837,6.090374,6.114931,2.503348,400500
2000-02-28,5.697446,5.722004,5.009823,5.108055,2.091151,7257000
2000-02-29,5.353634,5.451867,5.009823,5.083497,2.081097,3340800
2000-03-01,5.108055,5.132613,5.034381,5.058939,2.071043,1337900
2000-03-02,5.157171,5.157171,5.034381,5.108055,2.091151,1819600
2000-03-03,5.108055,5.304519,5.083497,5.230845,2.141420,7889500
2000-03-06,5.500982,5.525540,5.230845,5.255403,2.151473,2863800
2000-03-07,5.255403,5.378192,5.255403,5.378192,2.201741,2221700
2000-03-08,5.500982,5.599214,5.451867,5.500982,2.252009,1765400
2000-03-09,5.550098,5.672888,5.500982,5.648330,2.312331,2834800
2000-03-10,5.672888,5.795678,5.648330,5.771120,2.362599,3997900
2000-03-13,5.722004,5.820236,5.697446,5.795678,2.372652,1957800
2000-03-14,5.795678,6.090374,5.771120,5.869352,2.402812,2977900
2000-03-15,5.893909,6.286837,5.893909,6.188605,2.533510,1661800
2000-03-16,6.139489,6.532416,6.139489,6.360511,2.603886,1575800
2000-03-17,6.237721,6.385069,6.188605,6.286837,2.573725,1198400
2000-03-20,6.360511,6.385069,6.188605,6.262279,2.563670,857600
2000-03-21,6.360511,6.385069,6.237721,6.237721,2.553616,801400
2000-03-22,6.188605,6.262279,6.139489,6.213163,2.543564,747900
2000-03-23,6.188605,6.385069,6.139489,6.188605,2.533510,1432300
2000-03-24,6.139489,6.335953,6.139489,6.286837,2.573725,736000
2000-03-27,6.335953,6.385069,6.286837,6.286837,2.573725,508400
2000-03-28,6.286837,6.311395,6.164047,6.188605,2.533510,668800
2000-03-29,6.164047,6.458743,6.164047,6.409626,2.623993,2040000
2000-03-30,6.458743,6.581532,6.434185,6.483301,2.654152,654300
2000-03-31,6.483301,6.630648,6.458743,6.630648,2.714474,1062700
2000-04-03,6.679764,6.679764,6.360511,6.458743,2.644100,1685000
2000-04-04,6.385069,6.753438,6.385069,6.458743,2.644100,1204500
2000-04-05,6.434185,6.827112,6.434185,6.679764,2.734581,2283100
2000-04-06,6.728880,6.753438,6.630648,6.655206,2.724528,2536300
2000-04-07,6.655206,6.655206,6.483301,6.556974,2.684314,2238000
2000-04-10,6.556974,6.556974,6.458743,6.532416,2.674260,1873800
2000-04-11,6.532416,6.655206,6.483301,6.556974,2.684314,592400
2000-04-12,6.581532,6.827112,6.556974,6.777996,2.774796,2577300
2000-04-13,6.777996,6.851670,6.728880,6.851670,2.804957,1200900
2000-04-14,6.802554,6.949902,6.753438,6.827112,2.794903,1381600
2000-04-17,6.777996,6.851670,6.630648,6.851670,2.804957,759400
2000-04-18,6.802554,6.925344,6.777996,6.827112,2.794903,1434600
2000-04-19,6.802554,6.802554,6.581532,6.679764,2.734581,878200
2000-04-20,6.679764,6.802554,6.630648,6.753438,2.764742,668800
2000-04-24,6.753438,6.974460,6.728880,6.949902,2.845171,887900
2000-04-25,6.949902,7.146366,6.888507,7.146366,2.925600,1094800
2000-04-26,7.072691,7.391945,7.023576,7.367387,3.061532,2947100
2000-04-27,7.367387,7.490177,7.318271,7.367387,3.061532,1554200
2000-04-28,7.293713,7.318271,7.072691,7.269155,3.020711,652500
2000-05-01,7.318271,7.342829,7.146366,7.220039,3.000301,688900
2000-05-02,7.220039,7.220039,7.023576,7.072691,2.939072,472800
2000-05-03,7.048133,7.048133,6.876228,7.023576,2.918661,664700
2000-05-04,7.048133,7.170923,6.949902,7.146366,2.969686,821000
2000-05-05,7.244597,7.244597,6.851670,6.925344,2.877841,691400
2000-05-08,6.949902,7.367387,6.925344,7.244597,3.010508,593200
2000-05-09,7.318271,7.367387,7.072691,7.170923,2.979891,3532400
2000-05-10,7.121808,7.244597,7.023576,7.023576,2.918661,1027400
2000-05-11,7.048133,7.220039,6.974460,7.220039,3.000301,1460000
2000-05-12,7.220039,7.220039,7.146366,7.146366,2.969686,1004500
2000-05-15,7.097250,7.170923,7.072691,7.170923,2.979891,709200
2000-05-16,7.170923,7.170923,7.048133,7.097250,2.949277,1178000
2000-05-17,7.072691,7.072691,6.827112,6.827112,2.837020,602600
2000-05-18,6.802554,6.999018,6.777996,6.777996,2.816609,782300
2000-05-19,6.728880,6.728880,6.335953,6.655206,2.765584,7006600
2000-05-22,6.606091,6.655206,6.532416,6.630648,2.755378,2064200
2000-05-23,6.777996,7.170923,6.777996,7.121808,2.959482,4980300
2000-05-24,7.121808,7.220039,7.072691,7.146366,2.969686,877500
2000-05-25,7.170923,7.170923,7.023576,7.023576,2.918661,1077000
2000-05-26,7.072691,7.146366,7.023576,7.121808,2.959482,1272200
2000-05-30,7.121808,7.121808,6.999018,7.072691,2.939072,748200
2000-05-31,7.072691,7.220039,7.048133,7.097250,2.949277,2017900
2000-06-01,7.121808,7.170923,7.072691,7.097250,2.949277,821000
2000-06-02,7.121808,7.146366,6.900786,6.974460,2.898252,1581900
2000-06-05,6.999018,6.999018,6.851670,6.974460,2.898252,1660100
2000-06-06,6.999018,7.121808,6.974460,7.048133,2.928866,2067000
2000-06-07,7.023576,7.048133,6.974460,6.999018,2.908456,455800
2000-06-08,6.999018,7.023576,6.949902,6.974460,2.898252,979300
2000-06-09,7.023576,7.097250,7.023576,7.072691,2.939072,450400
2000-06-12,7.023576,7.146366,7.023576,7.097250,2.949277,464400
2000-06-13,7.072691,7.244597,7.072691,7.244597,3.010508,618400
2000-06-14,7.220039,7.244597,7.072691,7.195481,2.990097,956100
2000-06-15,7.170923,7.244597,7.170923,7.195481,2.990097,488100
2000-06-16,7.195481,7.342829,7.195481,7.244597,3.010508,974200
2000-06-19,7.244597,7.293713,7.195481,7.195481,2.990097,589600
2000-06-20,7.195481,7.220039,7.146366,7.146366,2.969686,846200
2000-06-21,7.170923,7.318271,7.146366,7.269155,3.020711,928100
2000-06-22,7.293713,7.293713,7.146366,7.244597,3.010508,909800
2000-06-23,7.269155,7.367387,7.244597,7.318271,3.041122,570000
2000-06-26,7.318271,7.416503,7.318271,7.416503,3.081944,804700
2000-06-27,7.416503,7.490177,7.367387,7.391945,3.071738,1636600
2000-06-28,7.416503,7.539293,7.367387,7.490177,3.112558,1187200
2000-06-29,7.465619,7.563851,7.465619,7.514735,3.122763,859900
2000-06-30,7.490177,7.588408,7.318271,7.324410,3.043674,1307800
2000-07-03,7.170923,7.514735,7.121808,7.391945,3.071738,254500
