Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,10.843750,11.000000,10.750000,11.000000,3.361980,82400
2000-01-19,10.875000,10.968750,10.781250,10.906250,3.333325,119000
2000-01-20,10.937500,10.937500,10.812500,10.875000,3.323777,66400
2000-01-21,10.812500,10.968750,10.750000,10.843750,3.314220,96800
2000-01-24,10.906250,11.000000,10.843750,10.875000,3.323777,93000
2000-01-25,10.875000,10.968750,10.875000,10.968750,3.352427,65400
2000-01-26,11.000000,11.000000,10.656250,10.750000,3.285570,85600
2000-01-27,10.687500,10.937500,10.687500,10.937500,3.342877,78600
2000-01-28,10.781250,10.875000,10.781250,10.843750,3.341720,72200
2000-01-31,10.812500,10.812500,10.625000,10.625000,3.274310,94400
2000-02-01,10.625000,10.812500,10.593750,10.812500,3.332091,51200
2000-02-02,10.750000,10.812500,10.687500,10.781250,3.322462,51600
2000-02-03,10.593750,10.968750,10.593750,10.812500,3.332091,118800
2000-02-04,10.875000,10.875000,10.750000,10.781250,3.322462,66800
2000-02-07,10.750000,10.812500,10.687500,10.750000,3.312829,63400
2000-02-08,10.875000,10.875000,10.625000,10.687500,3.293569,71200
2000-02-09,10.750000,10.812500,10.687500,10.750000,3.312829,71200
2000-02-10,10.687500,10.750000,10.562500,10.656250,3.283939,138800
2000-02-11,10.625000,10.687500,10.531250,10.656250,3.283939,101400
2000-02-14,10.781250,10.781250,10.500000,10.531250,3.245418,117200
2000-02-15,10.593750,10.656250,10.500000,10.625000,3.274310,65200
2000-02-16,10.531250,10.718750,10.531250,10.531250,3.245418,102800
2000-02-17,10.562500,10.750000,10.500000,10.750000,3.312829,86000
2000-02-18,10.687500,10.750000,10.500000,10.687500,3.293569,86600
2000-02-22,10.500000,10.625000,10.437500,10.625000,3.274310,153600
2000-02-23,10.687500,10.687500,10.500000,10.593750,3.264679,42200
2000-02-24,10.562500,10.625000,10.468750,10.562500,3.255049,53000
2000-02-25,10.531250,10.656250,10.468750,10.531250,3.245418,67800
