Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,4.537037,4.576720,4.365079,4.431217,1.787172,217300
2000-01-19,4.391534,4.470900,4.378307,4.431217,1.787172,156200
2000-01-20,4.444445,4.484127,4.338624,4.338624,1.749828,272100
2000-01-21,4.351852,4.417989,4.232804,4.246032,1.712484,255100
2000-01-24,4.232804,4.338624,4.100529,4.100529,1.653800,691900
2000-01-25,4.113757,4.126984,3.994709,4.047619,1.632461,1276500
2000-01-26,4.074074,4.232804,4.054233,4.232804,1.707149,490300
2000-01-27,4.232804,4.259259,4.140212,4.153439,1.675140,225700
2000-01-28,4.219577,4.246032,4.021164,4.179894,1.710210,589000
2000-01-31,4.219577,4.417989,4.179894,4.378307,1.791391,3380100
2000-02-01,4.404762,4.404762,4.312169,4.312169,1.764331,393300
2000-02-02,4.365079,4.365079,4.126984,4.193122,1.715622,304200
2000-02-03,4.160053,4.232804,4.100529,4.232804,1.731858,434700
2000-02-04,4.206349,4.431217,4.206349,4.325397,1.769743,286600
2000-02-07,4.325397,4.338624,4.206349,4.219577,1.726446,382600
2000-02-08,4.219577,4.219577,4.047619,4.100529,1.677737,390100
2000-02-09,4.100529,4.140212,4.047619,4.113757,1.683150,643400
2000-02-10,4.126984,4.179894,4.034391,4.047619,1.656089,324400
2000-02-11,4.034391,4.074074,3.955026,4.021164,1.645265,730300
2000-02-14,3.968254,4.074074,3.941799,3.955026,1.618205,254100
2000-02-15,3.961640,4.047619,3.941799,4.021164,1.645265,963900
2000-02-16,4.021164,4.179894,3.994709,4.126984,1.688561,463200
2000-02-17,4.100529,4.153439,4.047619,4.113757,1.683150,361800
2000-02-18,4.047619,4.126984,3.994709,4.021164,1.645265,212900
2000-02-22,3.994709,4.047619,3.941799,3.955026,1.618205,488800
2000-02-23,3.955026,4.021164,3.928571,3.968254,1.623617,471800
2000-02-24,3.968254,3.981482,3.902116,3.955026,1.618205,471800
2000-02-25,3.941799,4.021164,3.849206,3.968254,1.623617,540700
2000-02-28,4.021164,4.021164,3.888889,3.928571,1.607381,337600
2000-02-29,3.941799,4.232804,3.862434,4.222884,1.727799,1213500
2000-03-01,4.193122,4.206349,3.862434,3.862434,1.580321,788300
2000-03-02,3.902116,3.902116,3.809524,3.809524,1.558673,502900
2000-03-03,3.835979,3.968254,3.822751,3.968254,1.623617,749200
2000-03-06,3.941799,4.047619,3.888889,3.968254,1.623617,359900
2000-03-07,4.007936,4.034391,3.756614,3.759921,1.538378,361800
2000-03-08,3.776455,3.783069,3.703704,3.703704,1.515376,746500
2000-03-09,3.730159,3.730159,3.650794,3.677249,1.504552,559600
2000-03-10,3.690476,3.716931,3.650794,3.677249,1.504552,870600
2000-03-13,3.624339,3.664021,3.465608,3.597884,1.472079,1098900
2000-03-14,3.664021,3.888889,3.624339,3.789683,1.550554,827800
2000-03-15,3.756614,4.153439,3.730159,4.100529,1.677737,398700
2000-03-16,4.179894,4.470900,4.153439,4.470900,1.829276,758700
2000-03-17,4.464286,4.470900,4.338624,4.378307,1.791391,631200
2000-03-20,4.338624,4.391534,4.153439,4.153439,1.699386,169400
2000-03-21,4.219577,4.378307,4.179894,4.365079,1.785978,241900
2000-03-22,4.312169,4.470900,4.312169,4.457672,1.823864,1042600
2000-03-23,4.457672,4.470900,4.404762,4.457672,1.823864,571600
2000-03-24,4.431217,4.497355,4.153439,4.219577,1.726446,534800
2000-03-27,4.206349,4.351852,4.206349,4.232804,1.731858,478100
2000-03-28,4.252645,4.272487,4.193122,4.193122,1.715622,238300
2000-03-29,4.246032,4.272487,4.193122,4.232804,1.731858,1047200
2000-03-30,4.232804,4.312169,4.206349,4.298942,1.758918,556900
2000-03-31,4.298942,4.497355,4.285714,4.431217,1.813039,1049100
2000-04-03,4.424603,4.510582,4.391534,4.510582,1.845511,1489300
2000-04-04,4.497355,4.735450,4.431217,4.484127,1.834687,1245700
2000-04-05,4.484127,4.497355,4.444445,4.484127,1.834687,2801800
2000-04-06,4.470900,4.537037,4.444445,4.470900,1.829276,1844000
2000-04-07,4.470900,4.484127,4.365079,4.417989,1.807627,568200
2000-04-10,4.365079,4.417989,4.259259,4.259259,1.742682,194000
2000-04-11,4.232804,4.246032,4.166667,4.219577,1.726446,355500
2000-04-12,4.166667,4.470900,4.153439,4.431217,1.813039,276700
2000-04-13,4.497355,4.497355,4.179894,4.246032,1.737270,308900
2000-04-14,4.246032,4.285714,4.074074,4.153439,1.699386,660800
2000-04-17,4.179894,4.417989,4.100529,4.365079,1.785978,572000
2000-04-18,4.378307,4.378307,4.113757,4.153439,1.699386,561300
2000-04-19,4.146825,4.391534,4.126984,4.206349,1.721034,486500
2000-04-20,4.272487,4.378307,4.179894,4.232804,1.731858,419700
2000-04-24,4.239418,4.246032,4.021164,4.126984,1.688561,232600
2000-04-25,4.047619,4.338624,4.047619,4.312169,1.764331,156200
2000-04-26,4.318783,4.325397,4.100529,4.166667,1.704798,158900
2000-04-27,4.100529,4.285714,4.100529,4.232804,1.731858,97600
2000-04-28,4.259259,4.325397,4.179894,4.312169,1.764331,367900
2000-05-01,4.338624,4.365079,4.246032,4.365079,1.812667,591700
2000-05-02,4.365079,4.391534,4.285714,4.338624,1.801682,509600
2000-05-03,4.338624,4.365079,4.206349,4.259259,1.768723,319400
2000-05-04,4.265873,4.312169,4.074074,4.087302,1.697316,238100
2000-05-05,4.074074,4.206349,4.074074,4.169973,1.731647,277200
2000-05-08,4.232804,4.338624,4.206349,4.219577,1.752245,196500
2000-05-09,4.232804,4.312169,4.153439,4.232804,1.757738,483200
2000-05-10,4.252645,4.259259,4.206349,4.232804,1.757738,285600
2000-05-11,4.252645,4.338624,4.246032,4.272487,1.774217,176600
2000-05-12,4.279100,4.365079,4.219577,4.325397,1.796189,121100
2000-05-15,4.325397,4.470900,4.312169,4.417989,1.834639,647200
2000-05-16,4.457672,4.457672,4.391534,4.431217,1.840132,405300
2000-05-17,4.411376,4.411376,4.365079,4.365079,1.812667,133500
2000-05-18,4.365079,4.444445,4.312169,4.325397,1.796189,261600
2000-05-19,4.325397,4.365079,4.246032,4.351852,1.807175,126000
2000-05-22,4.298942,4.338624,4.113757,4.325397,1.796189,445400
2000-05-23,4.259259,4.391534,4.259259,4.365079,1.812667,261000
2000-05-24,4.365079,4.510582,4.365079,4.444445,1.845625,1518500
2000-05-25,4.444445,4.470900,4.312169,4.404762,1.829146,147600
2000-05-26,4.338624,4.391534,4.312169,4.378307,1.818160,303200
2000-05-30,4.325397,4.470900,4.298942,4.457672,1.851119,285600
2000-05-31,4.444445,4.484127,4.417989,4.457672,1.851119,764400
2000-06-01,4.470900,4.484127,4.444445,4.467593,1.855238,5666200
2000-06-02,4.470900,4.854497,4.470900,4.854497,2.015907,485900
2000-06-05,4.814815,4.828043,4.708995,4.775132,1.982948,239400
2000-06-06,4.748677,4.781746,4.603175,4.656085,1.933512,312000
2000-06-07,4.616402,4.761905,4.616402,4.642857,1.928018,81400
2000-06-08,4.603175,4.629630,4.550264,4.576720,1.900555,59800
2000-06-09,4.576720,4.576720,4.537037,4.576720,1.900555,167100
2000-06-12,4.629630,4.656085,4.457672,4.484127,1.862105,812900
2000-06-13,4.470900,4.550264,4.470900,4.510582,1.873090,220000
2000-06-14,4.550264,4.550264,4.391534,4.457672,1.851119,195500
2000-06-15,4.417989,4.431217,4.312169,4.431217,1.840132,587700
2000-06-16,4.411376,4.411376,4.246032,4.285714,1.779710,2534700
2000-06-19,4.232804,4.246032,4.087302,4.140212,1.719288,801500
2000-06-20,4.140212,4.219577,4.100529,4.219577,1.752245,540700
2000-06-21,4.179894,4.193122,4.100529,4.153439,1.724781,384900
2000-06-22,4.126984,4.140212,4.100529,4.113757,1.708302,80200
2000-06-23,4.107143,4.153439,4.100529,4.140212,1.719288,1016100
2000-06-26,4.126984,4.193122,4.126984,4.193122,1.741259,899000
2000-06-27,4.193122,4.232804,4.179894,4.232804,1.757738,1111500
2000-06-28,4.219577,4.338624,4.206349,4.312169,1.790696,874400
2000-06-29,4.272487,4.325397,4.232804,4.312169,1.790696,940500
2000-06-30,4.312169,4.325397,3.835979,3.888889,1.614922,2237900
2000-07-03,3.941799,4.126984,3.935185,4.047619,1.680837,290000
2000-07-05,4.034391,4.285714,4.034391,4.193122,1.741259,478300
2000-07-06,4.285714,4.285714,4.126984,4.179894,1.735767,337200
2000-07-07,4.206349,4.365079,4.206349,4.325397,1.796189,367500
2000-07-10,4.285714,4.285714,4.246032,4.259259,1.768723,139800
2000-07-11,4.259259,4.338624,4.140212,4.140212,1.719288,141700
2000-07-12,4.199736,4.232804,4.140212,4.206349,1.746752,474600
2000-07-13,4.179894,4.232804,4.153439,4.206349,1.746752,201100
2000-07-14,4.153439,4.219577,4.140212,4.193122,1.741259,148600
2000-07-17,4.206349,4.298942,4.179894,4.219577,1.752245,251500
2000-07-18,4.219577,4.232804,4.206349,4.219577,1.752245,290400
2000-07-19,4.212963,4.312169,4.126984,4.285714,1.779710,429800
2000-07-20,4.272487,4.404762,4.272487,4.404762,1.829146,318700
2000-07-21,4.338624,4.365079,4.179894,4.246032,1.763231,347100
2000-07-24,4.179894,4.193122,4.087302,4.100529,1.702808,495100
2000-07-25,4.113757,4.232804,4.087302,4.232804,1.757738,295600
2000-07-26,4.206349,4.285714,4.126984,4.272487,1.774217,253400
2000-07-27,4.259259,4.285714,4.153439,4.259259,1.768723,399000
2000-07-28,4.206349,4.206349,4.021164,4.100529,1.728576,139800
2000-07-31,4.074074,4.193122,4.047619,4.179894,1.762031,263900
2000-08-01,4.146825,4.206349,4.100529,4.193122,1.767608,384900
2000-08-02,4.166667,4.193122,4.153439,4.179894,1.762031,177800
2000-08-03,4.126984,4.312169,4.126984,4.312169,1.817793,337600
2000-08-04,4.285714,4.391534,4.285714,4.312169,1.817793,258900
2000-08-07,4.312169,4.431217,4.285714,4.404762,1.856825,395000
2000-08-08,4.384921,4.444445,4.298942,4.351852,1.834520,312000
2000-08-09,4.285714,4.325397,4.219577,4.325397,1.823368,290000
2000-08-10,4.398148,4.417989,4.351852,4.378307,1.845673,383000
2000-08-11,4.371693,4.484127,4.351852,4.484127,1.890281,643400
2000-08-14,4.470900,4.470900,4.404762,4.424603,1.865189,485100
2000-08-15,4.470900,4.470900,4.417989,4.457672,1.879129,1067200
2000-08-16,4.470900,4.484127,4.391534,4.431217,1.867977,531300
2000-08-17,4.444445,4.457672,4.417989,4.417989,1.862401,371200
2000-08-18,4.444445,4.470900,4.351852,4.351852,1.834520,373500
2000-08-21,4.365079,4.391534,4.259259,4.351852,1.834520,120300
2000-08-22,4.318783,4.470900,4.272487,4.470900,1.884705,216300
2000-08-23,4.457672,4.537037,4.431217,4.497355,1.895857,221300
2000-08-24,4.470900,4.523809,4.444445,4.497355,1.895857,114200
2000-08-25,4.484127,4.537037,4.431217,4.431217,1.867977,206000
2000-08-28,4.431217,4.589947,4.431217,4.563492,1.923737,368700
2000-08-29,4.563492,4.563492,4.457672,4.537037,1.912585,197800
2000-08-30,4.576720,4.576720,4.510582,4.537037,1.912585,110800
2000-08-31,4.550264,4.603175,4.444445,4.470900,1.884705,315600
2000-09-01,4.480820,4.576720,4.444445,4.576720,1.929314,315800
2000-09-05,4.537037,4.576720,4.484127,4.510582,1.901434,185400
2000-09-06,4.497355,4.550264,4.484127,4.497355,1.895857,307400
2000-09-07,4.503968,4.523809,4.470900,4.497355,1.895857,170300
2000-09-08,4.470900,4.550264,4.404762,4.537037,1.912585,299800
2000-09-11,4.530423,4.603175,4.530423,4.537037,1.912585,246900
2000-09-12,4.550264,4.603175,4.454365,4.480820,1.888886,459400
2000-09-13,4.444445,4.669312,4.444445,4.616402,1.946041,528500
2000-09-14,4.636243,4.735450,4.563492,4.669312,1.968346,422700
2000-09-15,4.497355,4.550264,4.457672,4.457672,1.879129,210000
