Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,8.592592,8.839506,8.493827,8.765432,4.410373,1471000
2000-01-19,8.901235,8.901235,8.456790,8.703704,4.379313,2015100
2000-01-20,8.783951,8.790123,8.296296,8.493827,4.273714,1255500
2000-01-21,8.839506,8.839506,8.296296,8.493827,4.273714,1930000
2000-01-24,8.518518,8.543210,8.074074,8.160494,4.105995,2617600
2000-01-25,8.135802,8.296296,7.950617,8.246914,4.149477,2735100
2000-01-26,8.370370,8.395061,8.037037,8.098765,4.074936,1181400
2000-01-27,8.080247,8.395061,8.024692,8.271605,4.161900,1944100
2000-01-28,8.000000,8.123457,7.851852,7.925926,3.987972,2157400
2000-01-31,8.024692,8.271605,7.987654,8.185185,4.118418,2354400
2000-02-01,8.444445,8.518518,8.246914,8.370370,4.211594,2317500
2000-02-02,8.395061,8.395061,8.098765,8.222222,4.137054,1709100
2000-02-03,8.308642,8.456790,8.185185,8.395061,4.224019,2065500
2000-02-04,8.469136,8.518518,8.271605,8.296296,4.174324,1908400
2000-02-07,8.271605,8.419753,8.271605,8.358025,4.205384,3388000
2000-02-08,8.444445,8.518518,8.395061,8.506173,4.279925,2185800
2000-02-09,8.493827,8.518518,8.382716,8.407408,4.230231,2533200
2000-02-10,8.444445,8.493827,8.333333,8.469136,4.261289,2244600
2000-02-11,8.469136,8.506173,8.370370,8.373457,4.213149,1700200
2000-02-14,8.358025,8.592592,8.197531,8.567902,4.310982,1763700
2000-02-15,8.567902,8.691358,8.308642,8.580247,4.317195,1655200
2000-02-16,8.641975,8.888889,8.567902,8.851851,4.484829,2623600
2000-02-17,8.851851,8.925926,8.617284,8.876543,4.497341,1923700
2000-02-18,8.814815,8.876543,8.691358,8.839506,4.478576,3719200
2000-02-22,8.814815,9.148149,8.740741,8.938272,4.528615,3736300
2000-02-23,8.913580,9.111111,8.679012,8.802469,4.459809,2973600
2000-02-24,8.777778,8.790123,8.345679,8.666667,4.391005,3850800
2000-02-25,8.666667,8.765432,8.407408,8.469136,4.290925,3424200
2000-02-28,8.395061,8.444445,8.172839,8.382716,4.247139,3036300
2000-02-29,8.376543,8.518518,8.246914,8.506173,4.309690,3505500
2000-03-01,8.419753,8.617284,8.370370,8.506173,4.309690,1832800
2000-03-02,8.407408,8.543210,8.222222,8.469136,4.290925,2545300
2000-03-03,8.580247,9.530864,8.518518,9.481482,4.803833,4060000
2000-03-06,9.444445,9.444445,8.481482,8.506173,4.309690,2428800
2000-03-07,8.561728,8.641975,7.888889,8.086420,4.097020,6378000
2000-03-08,8.098765,8.481482,7.901235,8.444445,4.278415,5328600
2000-03-09,8.401235,8.506173,8.123457,8.506173,4.309690,1734700
2000-03-10,8.506173,8.691358,8.395061,8.407408,4.259651,1915600
2000-03-13,8.432098,8.759259,8.234568,8.308642,4.209610,2519100
2000-03-14,8.339506,8.675926,8.308642,8.358025,4.234631,2577100
2000-03-15,8.382716,8.938272,8.333333,8.876543,4.497341,2642800
2000-03-16,8.870370,9.753086,8.802469,9.703704,4.916425,3574300
2000-03-17,9.555555,9.876543,9.308642,9.407408,4.766303,3817000
2000-03-20,9.358025,9.580247,9.148149,9.172839,4.647461,2004900
2000-03-21,9.185185,9.679012,9.172839,9.567902,4.847619,2617200
2000-03-22,9.567902,9.604939,9.160494,9.259259,4.691245,2106900
2000-03-23,9.098765,9.691358,9.086420,9.666667,4.897659,1773100
2000-03-24,9.654321,9.679012,9.271605,9.567902,4.847619,1765000
2000-03-27,9.589506,9.589506,9.283951,9.469136,4.797579,1591600
2000-03-28,9.370370,9.481482,9.160494,9.172839,4.647461,1588900
2000-03-29,9.160494,9.530864,8.975308,9.382716,4.753796,1653300
2000-03-30,9.166667,9.666667,9.160494,9.469136,4.797579,2823700
2000-03-31,9.567902,9.876543,9.271605,9.876543,5.003994,3318900
2000-04-03,9.848765,10.172839,9.728395,9.851851,4.991487,2349100
2000-04-04,9.925926,10.716049,9.777778,10.419753,5.279215,3781500
2000-04-05,10.188272,10.333333,9.962963,10.024692,5.079053,2653600
2000-04-06,10.049383,10.049383,9.691358,9.888889,5.010249,2906700
2000-04-07,10.024692,10.024692,9.111111,9.262345,4.692810,2226700
2000-04-10,9.333333,9.703704,9.086420,9.382716,4.753796,2308500
2000-04-11,9.296296,9.901235,9.185185,9.814815,4.972718,2150500
2000-04-12,9.827161,10.000000,9.669753,9.716049,4.922680,2951700
2000-04-13,9.802469,9.901235,9.283951,9.382716,4.753796,3275700
2000-04-14,9.382716,9.604939,8.839506,8.839506,4.478576,2432200
2000-04-17,8.790123,9.617284,8.790123,9.246914,4.684991,2865600
2000-04-18,9.179012,9.271605,8.839506,9.259259,4.691245,1509400
2000-04-19,9.123457,9.172839,8.666667,8.814815,4.466065,1689700
2000-04-20,8.737655,8.814815,8.444445,8.790123,4.453555,1580800
2000-04-24,8.783951,9.148149,8.740741,8.901235,4.509850,1563400
2000-04-25,9.197531,9.197531,8.777778,9.172839,4.647461,2357100
2000-04-26,9.216049,9.382716,9.000000,9.061728,4.591166,2265300
2000-04-27,8.938272,9.370370,8.604939,9.283951,4.703756,2130400
2000-04-28,9.259259,9.407408,8.913580,9.395061,4.760051,2088600
2000-05-01,9.382716,9.506173,8.864198,9.345679,4.735030,2088000
2000-05-02,9.253086,9.259259,8.592592,8.654321,4.384750,3550600
2000-05-03,8.617284,8.666667,8.296296,8.370370,4.240884,3010500
2000-05-04,8.358025,8.790123,8.222222,8.617284,4.365987,2642800
2000-05-05,8.592592,8.839506,8.407408,8.580247,4.347219,1147000
2000-05-08,8.469136,8.839506,8.296296,8.617284,4.365987,1254700
2000-05-09,8.666667,8.827161,8.246914,8.753086,4.434788,1590900
2000-05-10,8.722222,8.851851,8.432098,8.518518,4.315945,1391400
2000-05-11,8.592592,8.790123,8.370370,8.543210,4.328455,1869900
2000-05-12,8.376543,8.811728,8.311728,8.641975,4.378494,2266200
2000-05-15,8.604939,8.814815,8.444445,8.802469,4.459809,1902700
2000-05-16,8.716049,8.987655,8.691358,8.790123,4.483738,1761700
2000-05-17,8.629630,8.703704,8.493827,8.617284,4.395578,1008400
2000-05-18,8.703704,8.777778,8.469136,8.518518,4.345197,1035600
2000-05-19,8.333333,8.617284,8.320988,8.469136,4.320008,1540300
2000-05-22,8.456790,8.506173,8.209877,8.382716,4.275927,1735600
2000-05-23,8.302469,8.592592,8.185185,8.234568,4.200356,1730200
2000-05-24,8.209877,8.962963,8.209877,8.913580,4.546714,4565200
2000-05-25,8.765432,8.827161,8.259259,8.308642,4.238142,1982700
2000-05-26,8.308642,8.753086,8.197531,8.246914,4.206655,1698300
