Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,35.937500,37.000000,35.562500,36.250000,21.766382,4821600
2000-01-19,36.875000,36.875000,35.937500,36.437500,21.878963,3999700
2000-01-20,36.437500,36.437500,36.000000,36.125000,21.691332,3106100
2000-01-21,36.187500,36.437500,35.750000,36.125000,21.691332,4454400
2000-01-24,36.187500,36.375000,34.812500,35.312500,21.203461,3785000
2000-01-25,35.312500,35.375000,33.875000,34.312500,20.603012,4356500
2000-01-26,34.312500,34.937500,33.750000,33.937500,20.377844,3174100
2000-01-27,34.000000,34.312500,33.250000,33.812500,20.302780,2610100
2000-01-28,33.562500,34.000000,33.187500,33.250000,19.965027,4090800
2000-01-31,33.500000,34.375000,33.250000,34.125000,20.490421,2989600
2000-02-01,34.000000,34.312500,33.687500,34.000000,20.415359,3602600
2000-02-02,33.750000,33.937500,32.937500,33.000000,19.814919,3289100
2000-02-03,33.000000,33.375000,32.625000,33.062500,19.852446,3662900
2000-02-04,33.625000,34.125000,32.625000,32.750000,19.664803,3885600
2000-02-07,32.875000,33.187500,32.250000,32.375000,19.439627,3999700
2000-02-08,33.312500,33.750000,33.000000,33.312500,20.002558,5010500
2000-02-09,35.000000,35.125000,33.750000,34.000000,20.415359,8432500
2000-02-10,34.875000,34.875000,34.062500,34.625000,20.790648,5909500
2000-02-11,35.000000,35.125000,34.000000,34.375000,20.640532,5530400
2000-02-14,34.187500,34.500000,33.937500,34.062500,20.452896,3493300
2000-02-15,34.000000,34.875000,34.000000,34.187500,20.527950,3909600
2000-02-16,34.125000,34.812500,33.937500,34.000000,20.415359,4606800
2000-02-17,34.562500,34.812500,34.250000,34.312500,20.603012,2847700
2000-02-18,34.375000,34.750000,33.937500,34.250000,20.565475,3664500
2000-02-22,34.312500,34.875000,34.125000,34.687500,20.828175,2929400
2000-02-23,34.312500,34.750000,34.000000,34.187500,20.527950,3249300
2000-02-24,34.062500,34.375000,33.187500,34.000000,20.415359,3612800
2000-02-25,34.000000,34.375000,32.687500,32.750000,19.664803,4205500
2000-02-28,33.187500,33.875000,32.750000,33.250000,19.965027,3654700
2000-02-29,32.875000,33.062500,32.125000,32.125000,19.289516,4635500
2000-03-01,32.000000,32.937500,31.875000,32.562500,19.552216,5496400
2000-03-02,32.687500,32.875000,31.562500,31.562500,18.951763,5170400
2000-03-03,32.500000,32.500000,31.312500,31.625000,18.989288,4626600
2000-03-06,31.062500,31.437500,30.687500,31.000000,18.614008,4457900
2000-03-07,31.000000,31.500000,29.687500,30.625000,18.388836,7053200
2000-03-08,31.000000,31.500000,30.062500,30.500000,18.394869,5159800
2000-03-09,30.750000,31.750000,30.625000,31.375000,18.922590,3913200
2000-03-10,31.062500,31.375000,30.500000,30.750000,18.545643,3649100
2000-03-13,30.125000,31.187500,30.125000,31.125000,18.771812,4308000
2000-03-14,30.625000,30.750000,30.125000,30.687500,18.507956,4602900
2000-03-15,30.437500,33.187500,30.312500,33.187500,20.015730,5463800
2000-03-16,33.000000,34.187500,32.250000,34.062500,20.543451,5410300
2000-03-17,33.000000,33.937500,32.812500,33.000000,19.902657,4464500
2000-03-20,32.500000,33.625000,32.250000,33.250000,20.053427,2643800
2000-03-21,33.375000,34.312500,32.625000,34.312500,20.694229,5479700
2000-03-22,34.312500,34.375000,32.750000,33.500000,20.204187,3431700
2000-03-23,32.875000,34.000000,32.750000,33.500000,20.204187,3792400
2000-03-24,33.000000,33.500000,32.562500,32.937500,19.864952,3345700
2000-03-27,32.750000,32.937500,31.562500,32.359375,19.516273,3397100
2000-03-28,31.687500,33.125000,31.562500,32.500000,19.601093,4814300
2000-03-29,32.375000,33.687500,32.375000,33.250000,20.053427,4254400
2000-03-30,33.937500,35.937500,33.812500,35.937500,21.674276,6850900
2000-03-31,36.000000,36.062500,34.562500,34.875000,21.033474,4957600
2000-04-03,34.625000,36.375000,34.625000,36.125000,21.787369,4337100
2000-04-04,36.125000,37.250000,35.437500,36.437500,21.975834,5803400
2000-04-05,37.000000,37.375000,36.500000,36.750000,22.164322,4780500
2000-04-06,36.687500,37.312500,36.125000,36.812500,22.202002,4050000
2000-04-07,36.437500,36.562500,35.312500,36.000000,21.711975,3829600
2000-04-10,36.000000,36.937500,35.875000,36.250000,21.862764,2549500
2000-04-11,36.062500,37.187500,36.062500,37.062500,22.352781,2408600
2000-04-12,36.250000,37.875000,36.250000,37.250000,22.465872,4071700
2000-04-13,36.562500,36.937500,36.250000,36.437500,21.975834,2835500
2000-04-14,36.687500,36.687500,35.500000,36.437500,21.975834,3407300
2000-04-17,35.812500,36.625000,34.625000,36.625000,22.088921,3648700
2000-04-18,36.125000,36.250000,35.000000,35.937500,21.674276,2980300
2000-04-19,35.937500,36.375000,34.812500,35.312500,21.297337,2949900
2000-04-20,36.750000,37.500000,35.937500,37.187500,22.428173,4931800
