Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,5.807292,5.828125,5.765625,5.802083,3.479497,1951200
2000-01-19,5.791667,5.833333,5.687500,5.734375,3.438892,2683200
2000-01-20,5.718750,5.739583,5.531250,5.541667,3.323326,2652000
2000-01-21,5.687500,5.697917,5.442708,5.458333,3.273351,3535200
2000-01-24,5.453125,5.557292,5.416667,5.494792,3.295214,19816800
2000-01-25,5.515625,5.515625,5.328125,5.333333,3.198388,11198400
2000-01-26,5.041667,5.427083,4.968750,5.322917,3.192141,14461200
2000-01-27,5.343750,5.473958,5.322917,5.390625,3.232746,9237600
2000-01-28,5.375000,5.375000,5.104167,5.177083,3.104685,4725600
2000-01-31,5.177083,5.187500,5.072917,5.187500,3.110932,2851200
2000-02-01,5.177083,5.177083,5.031250,5.166667,3.098440,4153200
2000-02-02,5.083333,5.166667,5.046875,5.093750,3.054710,3580800
2000-02-03,5.093750,5.093750,4.984375,5.015625,3.007860,3156000
2000-02-04,5.015625,5.130208,4.963542,5.020833,3.010983,4255200
2000-02-07,5.104167,5.104167,5.010417,5.020833,3.010983,5518800
2000-02-08,4.916667,5.015625,4.916667,4.958333,2.973502,5648400
2000-02-09,4.979167,4.989583,4.750000,4.776042,2.864181,5962800
2000-02-10,4.760417,4.791667,4.640625,4.651042,2.789219,3300000
2000-02-11,4.661458,4.661458,4.468750,4.500000,2.698640,6866400
2000-02-14,4.500000,4.500000,4.312500,4.343750,2.604937,4455600
2000-02-15,4.427083,4.677083,4.416667,4.661458,2.795466,13818000
2000-02-16,4.729167,4.770833,4.546875,4.744792,2.845441,5648400
2000-02-17,4.739583,4.828125,4.739583,4.807292,2.882922,4906800
2000-02-18,4.791667,4.807292,4.557292,4.661458,2.795466,4041600
2000-02-22,4.687500,4.744792,4.630208,4.744792,2.845441,4443600
2000-02-23,4.723958,4.755208,4.656250,4.750000,2.848564,3500400
2000-02-24,4.729167,4.729167,4.572917,4.625000,2.773602,4477200
2000-02-25,4.625000,4.666667,4.541667,4.546875,2.726751,4540800
2000-02-28,4.562500,4.812500,4.557292,4.729167,2.836071,4214400
2000-02-29,4.895833,4.968750,4.859375,4.958333,2.973502,6756000
2000-03-01,4.958333,4.958333,4.739583,4.916667,2.948514,6758400
2000-03-02,4.864583,4.880208,4.614583,4.656250,2.792342,10429200
2000-03-03,4.666667,4.666667,4.562500,4.604167,2.761108,6093600
2000-03-06,4.604167,4.604167,4.416667,4.427083,2.654912,8588400
2000-03-07,4.406250,4.489583,4.322917,4.359375,2.614308,8590800
2000-03-08,4.354167,4.354167,4.104167,4.239583,2.545633,8647200
2000-03-09,4.250000,4.250000,4.156250,4.177083,2.508106,6560400
2000-03-10,4.177083,4.197917,4.109375,4.145833,2.489343,5686800
2000-03-13,3.750000,4.317708,3.750000,4.104167,2.464324,10048800
2000-03-14,4.098958,4.479167,4.093750,4.348958,2.611307,7387200
2000-03-15,4.348958,4.833333,4.348958,4.807292,2.886510,9010800
2000-03-16,4.822917,5.328125,4.802083,5.307292,3.186733,9216000
2000-03-17,5.307292,5.364583,5.161458,5.234375,3.142949,7846800
2000-03-20,5.239583,5.260417,4.958333,5.010417,3.008475,5259600
2000-03-21,5.015625,5.531250,5.015625,5.505208,3.305571,9146400
