Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,32.666668,32.791668,30.375000,31.125000,21.837280,1312800
2000-01-19,30.666666,31.916666,30.500000,31.916666,22.392700,899200
2000-01-20,32.666668,32.666668,31.541666,31.708334,22.246536,862800
2000-01-21,31.708334,32.000000,30.666666,31.166666,21.866493,755200
2000-01-24,31.208334,31.208334,29.416666,29.541666,20.726400,783900
2000-01-25,29.583334,29.666666,28.500000,28.750000,20.170963,556000
2000-01-26,28.875000,29.750000,27.875000,29.375000,20.609470,1097700
2000-01-27,29.333334,30.000000,29.000000,29.250000,20.521767,442500
2000-01-28,29.083334,29.083334,28.000000,28.125000,19.732470,567100
2000-01-31,28.083334,29.083334,27.791666,28.833334,20.229441,387900
2000-02-01,28.750000,29.625000,28.750000,29.416666,20.638704,705400
2000-02-02,29.416666,29.833334,28.500000,28.708334,20.141745,306100
2000-02-03,28.791666,29.041666,27.916666,28.375000,19.907883,320400
2000-02-04,28.541666,28.666666,27.625000,27.958334,19.615526,404400
2000-02-07,28.000000,28.291666,26.833334,27.291666,19.147800,653200
2000-02-08,27.291666,28.166666,27.291666,27.291666,19.147800,587700
2000-02-09,27.416666,27.458334,25.458334,25.791666,18.095404,1052100
2000-02-10,26.125000,26.166666,25.083334,25.208334,17.686136,828600
2000-02-11,25.208334,25.208334,23.583334,23.666666,16.604506,843300
2000-02-14,23.833334,25.875000,23.750000,25.458334,17.861536,763600
2000-02-15,25.625000,27.958334,25.625000,27.791666,19.498611,1480000
2000-02-16,27.666666,28.916666,27.666666,27.958334,19.615526,1201000
2000-02-17,28.125000,28.125000,26.666666,27.000000,18.943176,483900
2000-02-18,27.500000,28.291666,27.375000,27.458334,19.264742,796900
2000-02-22,27.000000,27.750000,27.000000,27.541666,19.403280,776500
2000-02-23,27.541666,27.583334,27.083334,27.500000,19.373926,603900
2000-02-24,26.833334,26.833334,24.666666,24.958334,17.583319,771900
2000-02-25,25.125000,25.500000,22.750000,22.875000,16.115597,1359900
2000-02-28,23.166666,23.666666,22.750000,23.291666,16.409136,2224000
2000-02-29,23.291666,24.500000,23.000000,24.166666,17.025576,1242700
2000-03-01,23.916666,24.875000,23.875000,24.708334,17.407190,785700
2000-03-02,24.791666,24.791666,23.000000,23.791666,16.761385,760000
2000-03-03,23.791666,25.166666,23.583334,23.958334,16.878803,803700
2000-03-06,24.583334,24.583334,23.312500,23.625000,16.643972,533100
2000-03-07,23.500000,23.500000,22.708334,22.708334,15.998175,629800
2000-03-08,22.875000,23.500000,22.750000,23.500000,16.555904,493800
2000-03-09,23.666666,24.166666,23.625000,24.000000,16.908163,708600
2000-03-10,23.916666,24.125000,23.583334,23.666666,16.673325,440700
2000-03-13,23.083334,23.541666,23.041666,23.333334,16.438492,484800
2000-03-14,23.500000,23.500000,22.625000,22.625000,15.939468,292500
2000-03-15,22.666666,24.916666,22.625000,24.333334,17.142990,1545300
2000-03-16,24.375000,27.083334,24.375000,26.833334,18.904268,803500
2000-03-17,25.666666,26.333334,24.708334,25.333334,17.847500,1132800
2000-03-20,25.333334,26.333334,25.333334,26.166666,18.434587,479800
2000-03-21,26.083334,26.250000,25.333334,25.708334,18.111687,417400
2000-03-22,25.708334,25.708334,24.708334,24.916666,17.553955,560100
2000-03-23,24.833334,25.750000,24.583334,25.708334,18.111687,553800
2000-03-24,25.833334,26.250000,25.666666,26.083334,18.375889,497500
2000-03-27,26.083334,26.291666,25.083334,25.333334,17.847500,218800
2000-03-28,27.666666,27.666666,26.416666,27.000000,19.021688,813300
2000-03-29,27.000000,27.750000,27.000000,27.500000,19.373926,879700
2000-03-30,27.750000,28.625000,27.500000,27.708334,19.520702,413800
2000-03-31,27.666666,28.125000,27.541666,27.541666,19.403280,364900
