Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,4.687500,4.703125,4.640625,4.671875,4.001771,354400
2000-01-19,4.703125,4.703125,4.453125,4.484375,3.841166,973600
2000-01-20,4.500000,4.609375,4.328125,4.531250,3.881316,1896800
2000-01-21,4.812500,4.843750,4.531250,4.593750,3.934854,1245200
2000-01-24,4.625000,4.703125,4.421875,4.468750,3.827782,1358800
2000-01-25,4.531250,4.531250,4.187500,4.250000,3.640409,1631600
2000-01-26,4.296875,4.421875,4.281250,4.359375,3.734096,2785600
2000-01-27,4.375000,4.500000,4.343750,4.484375,3.841166,1858800
2000-01-28,4.515625,4.562500,4.437500,4.437500,3.801016,1246400
2000-01-31,4.484375,4.484375,4.328125,4.359375,3.734096,1228000
2000-02-01,4.406250,4.437500,4.281250,4.296875,3.680561,798800
2000-02-02,4.359375,4.359375,4.234375,4.250000,3.640409,1172400
2000-02-03,4.312500,4.359375,4.250000,4.312500,3.693943,999600
2000-02-04,4.328125,4.390625,4.265625,4.312500,3.693943,4247200
2000-02-07,4.312500,4.328125,4.109375,4.140625,3.546721,1506400
2000-02-08,4.250000,4.515625,4.234375,4.453125,3.814398,1397600
2000-02-09,4.437500,4.468750,4.375000,4.421875,3.787631,860400
2000-02-10,4.421875,4.484375,4.328125,4.359375,3.734096,937200
2000-02-11,4.359375,4.484375,4.343750,4.406250,3.774247,785200
2000-02-14,4.421875,4.453125,4.375000,4.390625,3.760863,664800
2000-02-15,4.359375,4.781250,4.359375,4.625000,3.961622,1352400
2000-02-16,4.625000,4.625000,4.390625,4.421875,3.787631,676000
2000-02-17,4.468750,4.562500,4.390625,4.421875,3.787631,1258400
2000-02-18,4.406250,4.437500,4.218750,4.437500,3.801016,796000
2000-02-22,4.406250,4.500000,4.312500,4.328125,3.707329,324400
2000-02-23,4.406250,4.406250,4.250000,4.265625,3.653795,383600
2000-02-24,4.312500,4.375000,4.140625,4.203125,3.600258,634800
2000-02-25,4.187500,4.234375,4.031250,4.046875,3.466419,810800
2000-02-28,4.000000,4.109375,4.000000,4.093750,3.506570,594400
2000-02-29,4.140625,4.296875,4.078125,4.203125,3.600258,741200
2000-03-01,4.203125,4.328125,4.140625,4.265625,3.653795,714400
2000-03-02,4.265625,4.281250,4.000000,4.156250,3.560106,1325600
2000-03-03,4.203125,4.250000,4.046875,4.125000,3.533339,523600
2000-03-06,4.125000,4.171875,4.031250,4.046875,3.466419,433600
2000-03-07,4.078125,4.093750,3.906250,3.984375,3.412884,606000
2000-03-08,3.937500,4.000000,3.843750,3.921875,3.359349,416800
