Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,24.000000,24.000000,23.750000,23.750000,10.905252,145100
2000-01-19,23.750000,23.750000,23.375000,23.562500,10.819155,127900
2000-01-20,23.375000,23.562500,23.250000,23.375000,10.733066,116300
2000-01-21,23.250000,23.312500,22.875000,22.875000,10.503481,164700
2000-01-24,22.812500,23.250000,22.812500,23.000000,10.560877,117200
2000-01-25,22.937500,23.000000,22.750000,22.875000,10.503481,275500
2000-01-26,22.750000,23.125000,22.750000,23.125000,10.618271,103200
2000-01-27,23.062500,23.062500,22.812500,22.875000,10.503481,119900
2000-01-28,22.937500,22.937500,22.562500,22.625000,10.388686,262300
2000-01-31,22.625000,22.875000,22.625000,22.687500,10.417385,153100
2000-02-01,22.687500,23.125000,22.687500,23.062500,10.589573,366400
2000-02-02,22.937500,23.062500,22.875000,22.937500,10.532176,98300
2000-02-03,22.937500,23.000000,22.750000,22.875000,10.503481,136100
2000-02-04,22.812500,23.062500,22.812500,22.875000,10.503481,136900
2000-02-07,22.750000,22.812500,22.562500,22.625000,10.388686,129100
2000-02-08,22.750000,22.812500,22.625000,22.687500,10.417385,86900
2000-02-09,22.750000,22.812500,22.625000,22.687500,10.417385,347200
2000-02-10,22.562500,22.937500,22.562500,22.625000,10.388686,100900
2000-02-11,22.625000,22.687500,22.437500,22.500000,10.331291,116800
2000-02-14,22.500000,22.625000,22.437500,22.500000,10.331291,186200
2000-02-15,22.500000,22.625000,22.500000,22.625000,10.388686,110500
2000-02-16,22.500000,22.687500,22.437500,22.625000,10.388686,92900
2000-02-17,22.437500,22.937500,22.375000,22.937500,10.532176,144000
2000-02-18,22.937500,22.937500,22.375000,22.500000,10.331291,82900
2000-02-22,22.500000,22.500000,22.312500,22.312500,10.245197,170000
2000-02-23,22.312500,22.437500,22.125000,22.187500,10.187800,337700
2000-02-24,22.187500,22.250000,22.062500,22.187500,10.187800,254200
2000-02-25,22.187500,22.187500,21.937500,22.000000,10.101704,350900
2000-02-28,22.000000,22.062500,21.875000,21.937500,10.073005,364800
2000-02-29,21.937500,22.062500,21.875000,22.062500,10.130404,349200
2000-03-01,21.937500,22.125000,21.750000,21.875000,10.044313,182200
2000-03-02,21.812500,21.875000,21.687500,21.687500,9.958217,117900
2000-03-03,21.687500,22.000000,21.687500,21.875000,10.044313,393600
2000-03-06,21.750000,21.812500,21.687500,21.750000,9.986910,144400
2000-03-07,21.625000,21.750000,21.500000,21.562500,9.900822,189700
2000-03-08,21.500000,21.625000,21.187500,21.250000,9.757326,206200
2000-03-09,21.187500,21.312500,21.000000,21.187500,9.728629,175300
2000-03-10,21.062500,21.125000,20.875000,21.000000,9.642539,235700
2000-03-13,20.937500,21.187500,20.937500,21.125000,9.802628,172300
2000-03-14,21.062500,21.312500,21.000000,21.125000,9.802628,336200
2000-03-15,21.062500,21.312500,21.000000,21.187500,9.831628,175200
2000-03-16,21.250000,21.437500,21.062500,21.375000,9.918636,613100
2000-03-17,21.437500,21.687500,21.437500,21.562500,10.005642,440300
