Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,7.694445,8.222222,7.666667,8.055555,6.014170,323500
2000-01-19,8.111111,8.333333,7.777778,7.805555,5.827526,409000
2000-01-20,7.888889,7.944445,7.555555,7.722222,5.765310,571600
2000-01-21,7.722222,7.777778,7.472222,7.638889,5.703096,908100
2000-01-24,7.555555,7.833333,7.555555,7.777778,5.806787,308700
2000-01-25,7.833333,8.000000,7.694445,8.000000,5.972694,625900
2000-01-26,7.972222,8.750000,7.833333,8.111111,6.055648,886500
2000-01-27,8.222222,9.083333,8.222222,8.694445,6.491159,1553800
2000-01-28,8.611111,8.638889,8.333333,8.333333,6.221559,284800
2000-01-31,8.277778,8.472222,8.222222,8.444445,6.304512,420000
2000-02-01,8.444445,8.444445,8.138889,8.277778,6.180079,200800
2000-02-02,8.250000,8.416667,8.166667,8.361111,6.242295,190300
2000-02-03,8.416667,8.527778,8.416667,8.527778,6.366727,202500
2000-02-04,8.527778,8.861111,8.527778,8.833333,6.594855,373900
2000-02-07,8.805555,8.861111,8.555555,8.750000,6.532637,249300
2000-02-08,8.750000,8.777778,8.527778,8.555555,6.387466,240700
2000-02-09,8.527778,8.611111,8.277778,8.333333,6.221559,231000
2000-02-10,8.388889,8.638889,8.111111,8.388889,6.263035,208500
2000-02-11,8.305555,8.583333,8.083333,8.194445,6.117865,285300
2000-02-14,8.250000,8.444445,8.027778,8.166667,6.097127,172900
2000-02-15,8.222222,8.472222,8.027778,8.388889,6.263035,190900
2000-02-16,8.361111,8.361111,8.166667,8.250000,6.159341,113800
2000-02-17,8.250000,8.666667,8.194445,8.222222,6.138605,261000
2000-02-18,8.250000,8.250000,8.000000,8.000000,5.972694,302800
2000-02-22,8.083333,8.083333,7.861111,8.027778,5.993436,282700
2000-02-23,8.055555,8.361111,8.000000,8.166667,6.097127,410400
2000-02-24,8.222222,8.305555,8.027778,8.222222,6.138605,341100
2000-02-25,8.166667,8.277778,8.000000,8.000000,5.972694,131500
2000-02-28,8.083333,8.416667,8.027778,8.416667,6.283774,245800
2000-02-29,8.444445,8.833333,8.361111,8.777778,6.553374,455800
2000-03-01,8.833333,9.194445,8.805555,8.916667,6.657065,681900
2000-03-02,8.972222,9.027778,8.666667,8.972222,6.698545,134200
2000-03-03,8.888889,9.138889,8.694445,9.138889,6.822975,308400
2000-03-06,9.027778,9.222222,8.750000,9.222222,6.885191,176800
2000-03-07,9.111111,9.111111,8.583333,8.583333,6.408205,140400
2000-03-08,8.583333,8.694445,8.361111,8.416667,6.283774,258400
2000-03-09,8.305555,8.555555,8.222222,8.527778,6.366727,293400
2000-03-10,8.611111,8.722222,8.444445,8.444445,6.304512,438000
2000-03-13,8.472222,8.472222,8.250000,8.388889,6.263035,207000
2000-03-14,8.305555,8.500000,8.222222,8.361111,6.242295,135900
2000-03-15,8.305555,8.416667,8.250000,8.361111,6.242295,122100
2000-03-16,8.500000,8.972222,8.500000,8.916667,6.657065,438400
2000-03-17,8.500000,8.972222,8.500000,8.833333,6.619598,245400
2000-03-20,8.833333,9.166667,8.638889,8.972222,6.723675,511600
2000-03-21,8.805555,8.888889,8.666667,8.888889,6.661229,213000
2000-03-22,8.861111,8.888889,8.777778,8.888889,6.661229,203100
2000-03-23,8.888889,9.055555,8.722222,8.861111,6.640407,416200
2000-03-24,8.888889,9.694445,8.861111,9.666667,7.244083,877900
2000-03-27,9.555555,9.666667,8.944445,9.166667,6.869393,491500
2000-03-28,9.222222,9.222222,8.527778,8.944445,6.702860,782200
2000-03-29,9.055555,9.166667,8.611111,8.972222,6.723675,513400
2000-03-30,8.972222,8.972222,8.750000,8.861111,6.640407,470200
