Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,5.375000,5.609375,5.375000,5.609375,4.873581,903200
2000-01-19,5.625000,5.742188,5.625000,5.734375,4.982186,996800
2000-01-20,5.828125,6.046875,5.796875,6.046875,5.253695,563200
2000-01-21,6.125000,6.890625,6.125000,6.812500,5.918891,1504000
2000-01-24,6.812500,7.125000,6.781250,6.859375,5.959617,1003200
2000-01-25,6.875000,6.875000,6.171875,6.242188,5.423388,2020000
2000-01-26,6.257813,6.257813,5.828125,5.984375,5.199392,1252000
2000-01-27,5.984375,5.984375,5.500000,5.593750,4.860007,848800
2000-01-28,5.593750,5.804688,5.406250,5.500000,4.778553,2183200
2000-01-31,5.500000,5.500000,5.265625,5.375000,4.669950,964800
2000-02-01,5.343750,5.562500,5.312500,5.546875,4.819280,1068800
2000-02-02,5.539063,5.703125,5.312500,5.343750,4.642800,312000
2000-02-03,6.234375,6.500000,6.000000,6.382813,5.545567,2494400
2000-02-04,6.500000,6.968750,6.484375,6.820313,5.925678,2258400
2000-02-07,6.828125,7.468750,6.828125,6.937500,6.027495,1303200
2000-02-08,6.937500,7.093750,6.718750,7.000000,6.081797,1018400
2000-02-09,7.125000,7.468750,7.125000,7.320313,6.360092,1652000
2000-02-10,7.320313,7.625000,7.320313,7.625000,6.624814,823200
2000-02-11,7.625000,7.625000,7.093750,7.187500,6.244701,446400
2000-02-14,7.187500,7.250000,7.187500,7.210938,6.265064,395200
2000-02-15,7.234375,7.234375,7.070313,7.078125,6.149674,536000
2000-02-16,7.109375,7.140625,7.000000,7.070313,6.142885,235200
2000-02-17,7.140625,7.171875,7.062500,7.109375,6.176824,860000
2000-02-18,7.109375,7.195313,7.093750,7.156250,6.217551,677600
2000-02-22,7.234375,7.445313,7.140625,7.421875,6.448332,747200
2000-02-23,7.390625,7.500000,7.265625,7.460938,6.482271,1535200
2000-02-24,7.546875,8.750000,7.546875,8.578125,7.452916,1708800
2000-02-25,8.625000,9.125000,8.296875,8.515625,7.398615,2537600
2000-02-28,8.968750,9.273438,8.843750,9.250000,8.036657,1039200
2000-02-29,9.593750,9.593750,9.226563,9.328125,8.104538,2193600
2000-03-01,9.625000,9.906250,9.500000,9.882813,8.586466,1716000
2000-03-02,10.015625,10.046875,9.664063,9.812500,8.525374,1100000
2000-03-03,9.718750,9.843750,9.687500,9.703125,8.430346,696800
2000-03-06,9.703125,9.867188,9.625000,9.867188,8.572890,707200
2000-03-07,9.875000,9.937500,9.562500,9.648438,8.382834,768000
2000-03-08,9.515625,9.640625,9.132813,9.640625,8.376044,1144000
2000-03-09,9.750000,9.921875,9.750000,9.875000,8.579677,623200
2000-03-10,9.875000,9.875000,9.375000,9.406250,8.172413,586400
2000-03-13,9.281250,9.359375,9.023438,9.093750,7.900906,644000
2000-03-14,8.859375,8.859375,7.250000,7.500000,6.516210,2542400
2000-03-15,7.500000,8.437500,7.468750,8.312500,7.222132,1606400
2000-03-16,8.500000,9.187500,8.500000,9.187500,7.982356,720000
2000-03-17,9.093750,9.156250,9.000000,9.125000,7.928058,553600
2000-03-20,9.062500,9.132813,9.039063,9.093750,7.900906,345600
2000-03-21,9.062500,9.234375,8.968750,9.234375,8.023083,534400
2000-03-22,9.234375,9.921875,9.234375,9.906250,8.606824,686400
2000-03-23,9.906250,10.171875,9.859375,9.875000,8.579677,1524000
2000-03-24,9.843750,9.843750,8.781250,8.882813,7.717635,1370400
