Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,50.000000,50.812500,49.375000,50.750000,11.964893,795200
2000-01-19,52.000000,54.000000,51.500000,51.937500,12.244865,1444400
2000-01-20,52.500000,52.625000,48.625000,49.000000,11.552316,588000
2000-01-21,50.937500,51.000000,49.375000,49.625000,11.699665,597800
2000-01-24,49.125000,49.500000,46.750000,46.875000,11.051319,660700
2000-01-25,48.000000,49.437500,47.750000,48.000000,11.316551,1033200
2000-01-26,48.375000,48.875000,47.875000,48.250000,11.375492,645300
2000-01-27,48.250000,49.750000,48.250000,48.750000,11.493373,567900
2000-01-28,49.000000,49.937500,48.500000,48.500000,11.434429,703900
2000-01-31,48.500000,49.687500,47.562500,49.437500,11.655457,571300
2000-02-01,49.437500,49.750000,48.125000,49.437500,11.655457,338500
2000-02-02,49.312500,49.875000,48.375000,48.500000,11.434429,387800
2000-02-03,49.000000,49.000000,48.062500,48.500000,11.434429,540900
2000-02-04,48.687500,49.000000,47.500000,47.687500,11.242875,739800
2000-02-07,47.687500,47.875000,46.125000,46.312500,10.918701,408400
2000-02-08,47.000000,47.375000,45.625000,46.000000,10.845029,501300
2000-02-09,45.937500,45.937500,43.687500,44.062500,10.388242,594500
2000-02-10,44.375000,45.250000,44.375000,45.187500,10.715490,581100
2000-02-11,45.187500,45.250000,43.750000,44.375000,10.522813,388700
2000-02-14,44.000000,44.437500,43.250000,43.750000,10.374605,270100
2000-02-15,43.625000,46.000000,43.375000,45.812500,10.863691,439500
2000-02-16,45.562500,46.687500,45.437500,46.562500,11.041544,346600
2000-02-17,46.062500,47.250000,45.812500,47.062500,11.160110,370300
2000-02-18,48.375000,48.937500,48.000000,48.562500,11.515811,604700
2000-02-22,48.187500,51.250000,48.187500,51.125000,12.123466,682700
2000-02-23,50.875000,50.875000,49.000000,49.250000,11.678837,988900
2000-02-24,49.000000,49.187500,46.687500,47.625000,11.293499,577800
2000-02-25,48.125000,48.375000,46.000000,46.375000,10.997081,614900
2000-02-28,46.375000,46.437500,44.125000,45.000000,10.671022,403500
2000-02-29,44.750000,46.750000,44.437500,45.250000,10.730308,468200
2000-03-01,45.250000,45.500000,44.375000,45.000000,10.671022,667000
2000-03-02,44.875000,46.500000,44.375000,45.625000,10.819230,1529400
2000-03-03,45.750000,47.187500,45.187500,46.812500,11.100826,282200
2000-03-06,45.875000,46.875000,44.812500,45.562500,10.804410,540400
2000-03-07,45.062500,45.062500,36.812500,40.000000,9.485353,1434500
2000-03-08,40.000000,40.500000,38.875000,39.062500,9.263040,961800
2000-03-09,39.000000,39.500000,38.625000,39.437500,9.351967,562400
2000-03-10,39.375000,40.187500,39.000000,39.250000,9.307505,503600
2000-03-13,38.500000,39.125000,37.812500,38.500000,9.129653,516700
2000-03-14,38.500000,38.937500,37.625000,38.375000,9.100009,1218600
2000-03-15,38.000000,41.375000,38.000000,40.375000,9.574283,508400
2000-03-16,40.125000,43.000000,40.000000,42.750000,10.137472,499400
