Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,1.338820,1.338820,1.322359,1.327846,0.977399,170200
2000-01-19,1.327846,1.338820,1.316872,1.322359,0.973360,227700
2000-01-20,1.322359,1.333333,1.316872,1.333333,0.981438,52800
2000-01-21,1.333333,1.333333,1.316872,1.316872,0.969321,73000
2000-01-24,1.316872,1.322359,1.278464,1.278464,0.941050,65700
2000-01-25,1.305899,1.349794,1.294924,1.294924,0.953166,588100
2000-01-26,1.305899,1.322359,1.294924,1.300412,0.957206,182400
2000-01-27,1.311386,1.316872,1.278464,1.283951,0.945088,168300
2000-01-28,1.289438,1.289438,1.262003,1.262003,0.928933,226000
2000-01-31,1.251029,1.360768,1.240055,1.360768,1.001632,501000
2000-02-01,1.360768,1.360768,1.344307,1.344307,0.989516,120300
2000-02-02,1.349794,1.360768,1.338820,1.360768,1.001632,105300
2000-02-03,1.355281,1.371742,1.349794,1.371742,1.009710,152100
2000-02-04,1.382716,1.382716,1.371742,1.377229,1.013749,36600
2000-02-07,1.371742,1.377229,1.360768,1.377229,1.013749,77100
2000-02-08,1.366255,1.399177,1.366255,1.399177,1.033197,113500
2000-02-09,1.399177,1.399177,1.388203,1.393690,1.029146,77800
2000-02-10,1.393690,1.404664,1.382716,1.404664,1.037249,194400
2000-02-11,1.399177,1.437586,1.399177,1.437586,1.061560,141000
2000-02-14,1.437586,1.437586,1.399177,1.415638,1.045353,182200
2000-02-15,1.410151,1.421125,1.399177,1.421125,1.049405,136900
2000-02-16,1.410151,1.415638,1.399177,1.415638,1.045353,94000
2000-02-17,1.404664,1.426612,1.404664,1.426612,1.053457,54900
2000-02-18,1.421125,1.426612,1.415638,1.415638,1.045353,253300
2000-02-22,1.410151,1.415638,1.399177,1.415638,1.045353,255300
2000-02-23,1.415638,1.421125,1.410151,1.421125,1.049405,64000
2000-02-24,1.415638,1.415638,1.393690,1.393690,1.029146,646800
2000-02-25,1.393690,1.404664,1.360768,1.366255,1.008887,463000
2000-02-28,1.360768,1.360768,1.338820,1.355281,1.000783,86400
2000-02-29,1.349794,1.421125,1.349794,1.421125,1.049405,185100
2000-03-01,1.421125,1.421125,1.399177,1.421125,1.049405,690700
2000-03-02,1.421125,1.421125,1.404664,1.410151,1.041301,150700
