Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,9.000000,9.125000,8.750000,8.833333,5.945042,1297800
2000-01-19,8.750000,8.833333,8.541667,8.666667,5.832871,790800
2000-01-20,8.666667,8.750000,8.583333,8.666667,5.832871,1080300
2000-01-21,8.708333,8.750000,8.500000,8.666667,5.832871,616500
2000-01-24,8.666667,8.666667,8.375000,8.458333,5.692656,526300
2000-01-25,8.500000,8.500000,8.166667,8.333333,5.608529,529000
2000-01-26,8.250000,8.250000,7.708333,7.916667,5.328102,2514700
2000-01-27,8.250000,8.583333,7.958333,8.000000,5.384187,3865300
2000-01-28,8.000000,8.166667,7.666667,7.833333,5.272017,3408700
2000-01-31,7.833333,8.000000,7.750000,7.833333,5.272017,1712200
2000-02-01,7.916667,7.916667,7.416667,7.416667,4.991592,2837400
2000-02-02,7.416667,7.666667,7.416667,7.458333,5.019634,1602600
2000-02-03,7.375000,7.416667,7.083333,7.208333,4.851377,4669900
2000-02-04,7.291667,7.708333,7.250000,7.666667,5.159846,1280500
2000-02-07,7.666667,7.708333,7.583333,7.583333,5.103760,739800
2000-02-08,7.666667,7.708333,7.541667,7.541667,5.075718,980800
2000-02-09,7.500000,7.500000,7.250000,7.333333,4.935505,918000
2000-02-10,7.291667,7.333333,6.541667,6.916667,4.655080,5055300
2000-02-11,6.916667,7.041667,6.666667,6.708333,4.514865,2683200
2000-02-14,6.875000,6.958333,6.708333,6.958333,4.683122,1523700
2000-02-15,6.875000,7.291667,6.708333,7.291667,4.907463,1507500
2000-02-16,7.291667,7.416667,7.041667,7.291667,4.907463,609000
2000-02-17,7.291667,7.666667,7.083333,7.666667,5.159846,1972000
2000-02-18,7.750000,7.750000,6.833333,7.250000,4.879421,1413400
2000-02-22,7.375000,7.541667,7.041667,7.541667,5.075718,471900
2000-02-23,7.458333,7.958333,7.416667,7.708333,5.187890,1312500
2000-02-24,7.791667,7.791667,7.375000,7.541667,5.075718,899700
2000-02-25,7.375000,7.750000,7.333333,7.541667,5.075718,746700
2000-02-28,7.500000,7.541667,7.083333,7.125000,4.795292,900700
2000-02-29,7.125000,7.250000,6.958333,7.166667,4.823335,773800
2000-03-01,7.000000,7.083333,6.708333,7.083333,4.767249,2198400
2000-03-02,7.000000,7.000000,6.750000,6.958333,4.683122,1086400
2000-03-03,7.041667,7.166667,6.916667,7.166667,4.823335,638200
2000-03-06,7.166667,7.250000,7.000000,7.083333,4.767249,778600
2000-03-07,7.166667,7.166667,6.625000,6.875000,4.627037,1148500
2000-03-08,6.791667,7.000000,6.416667,6.916667,4.655080,2219100
2000-03-09,7.000000,7.458333,6.916667,7.416667,4.991592,1218000
2000-03-10,7.375000,7.416667,7.166667,7.291667,4.907463,1098000
2000-03-13,7.208333,7.583333,7.208333,7.416667,4.991592,782700
2000-03-14,7.416667,7.458333,6.791667,6.916667,4.655080,869200
2000-03-15,6.916667,6.958333,6.791667,6.833333,4.598992,917100
2000-03-16,6.833333,7.000000,6.750000,7.000000,4.711165,2507700
2000-03-17,7.000000,7.166667,6.916667,6.958333,4.683122,1267600
2000-03-20,6.958333,7.250000,6.833333,7.166667,4.823335,1592200
2000-03-21,7.083333,7.083333,6.833333,6.916667,4.655080,806800
2000-03-22,6.958333,7.166667,6.916667,7.041667,4.739205,1406500
2000-03-23,7.083333,7.375000,7.041667,7.208333,4.851377,1690800
2000-03-24,7.291667,7.333333,6.750000,6.875000,4.627037,1765300
2000-03-27,6.833333,7.416667,6.791667,7.291667,4.907463,1579000
2000-03-28,7.333333,7.416667,7.166667,7.250000,4.879421,888600
2000-03-29,7.166667,7.166667,7.041667,7.083333,4.767249,1063200
2000-03-30,7.083333,7.125000,6.916667,7.083333,4.767249,394500
2000-03-31,7.083333,7.291667,7.041667,7.291667,4.907463,770200
2000-04-03,7.375000,7.958333,7.125000,7.958333,5.356145,1520100
2000-04-04,7.875000,8.041667,7.250000,7.750000,5.215931,1512000
2000-04-05,7.666667,7.958333,7.583333,7.791667,5.243972,2017600
2000-04-06,8.166667,8.500000,8.000000,8.291667,5.580487,2514000
2000-04-07,8.333333,8.666667,8.333333,8.625000,5.804829,1400200
2000-04-10,8.666667,8.666667,8.500000,8.625000,5.804829,1025400
2000-04-11,8.625000,8.625000,8.416667,8.500000,5.720699,652600
2000-04-12,8.500000,8.500000,8.083333,8.208333,5.524400,1318800
2000-04-13,8.291667,8.416667,8.166667,8.333333,5.608529,554100
2000-04-14,8.083333,8.250000,7.708333,8.125000,5.468316,972000
2000-04-17,7.833333,8.333333,7.833333,8.291667,5.580487,805600
2000-04-18,8.291667,8.875000,8.291667,8.375000,5.636573,1889100
2000-04-19,8.333333,8.375000,8.166667,8.166667,5.496358,617200
2000-04-20,8.250000,8.375000,8.166667,8.291667,5.580487,1010200
2000-04-24,8.250000,8.458333,7.958333,8.416667,5.664616,763200
2000-04-25,8.125000,8.541667,8.083333,8.458333,5.692656,455800
2000-04-26,8.541667,9.125000,8.333333,8.708333,5.860912,1917000
2000-04-27,8.583333,8.916667,8.458333,8.833333,5.945042,1540600
2000-04-28,9.291667,9.291667,8.916667,9.125000,6.141340,1324300
2000-05-01,9.083333,9.541667,9.083333,9.333333,6.281554,1567000
2000-05-02,9.333333,9.375000,9.250000,9.333333,6.281554,441100
2000-05-03,9.166667,9.166667,8.958333,9.041667,6.085256,1849600
2000-05-04,9.125000,9.250000,9.000000,9.125000,6.141340,1298400
2000-05-05,9.083333,9.458333,9.083333,9.333333,6.281554,429000
2000-05-08,9.250000,9.291667,9.083333,9.250000,6.225467,576700
2000-05-09,9.291667,9.291667,9.083333,9.250000,6.225467,531100
2000-05-10,9.166667,9.375000,9.125000,9.333333,6.281554,570000
2000-05-11,9.250000,10.875000,9.250000,10.833333,7.291090,5536000
2000-05-12,11.000000,11.000000,10.333333,10.875000,7.319131,2423100
2000-05-15,10.625000,11.083333,10.375000,10.833333,7.291090,1209400
2000-05-16,10.833333,10.958333,10.500000,10.583333,7.122832,1020100
2000-05-17,10.666667,10.833333,10.583333,10.791667,7.263048,763300
2000-05-18,10.708333,10.791667,10.208333,10.458333,7.038702,720400
2000-05-19,10.000000,10.166667,9.708333,10.166667,6.842405,758200
2000-05-22,10.166667,10.166667,9.708333,9.958333,6.702194,430800
2000-05-23,9.666667,10.000000,9.666667,9.708333,6.533935,836400
2000-05-24,9.708333,9.875000,9.708333,9.791667,6.590020,303600
2000-05-25,9.541667,10.458333,9.541667,10.458333,7.038702,1909800
2000-05-26,10.625000,11.041667,10.416667,11.000000,7.403262,1379800
2000-05-30,10.916667,11.166667,10.916667,11.125000,7.487384,695700
2000-05-31,11.083333,11.104167,10.875000,11.000000,7.403262,823300
2000-06-01,11.000000,11.000000,10.583333,10.708333,7.206956,959200
2000-06-02,10.750000,10.791667,10.583333,10.708333,7.206956,1075300
2000-06-05,10.666667,10.833333,9.916667,10.166667,6.842405,1585300
2000-06-06,10.083333,10.166667,9.541667,9.708333,6.533935,708700
2000-06-07,9.791667,9.791667,9.416667,9.500000,6.393724,1326600
2000-06-08,9.583333,9.833333,9.416667,9.666667,6.505895,337900
2000-06-09,9.541667,9.875000,9.541667,9.875000,6.646109,234300
2000-06-12,9.750000,9.875000,9.500000,9.833333,6.618064,390700
2000-06-13,9.750000,9.750000,9.000000,9.291667,6.253511,1033500
2000-06-14,9.458333,9.708333,9.333333,9.458333,6.365679,693600
2000-06-15,9.583333,9.625000,9.416667,9.583333,6.449810,763200
2000-06-16,9.583333,9.666667,9.250000,9.375000,6.309594,570000
2000-06-19,9.375000,9.666667,8.875000,9.583333,6.449810,829800
2000-06-20,9.541667,9.583333,9.125000,9.541667,6.421765,1345800
2000-06-21,9.583333,9.958333,9.541667,9.583333,6.449810,491100
2000-06-22,9.500000,9.583333,9.333333,9.375000,6.309594,339900
2000-06-23,9.333333,9.500000,9.125000,9.333333,6.281554,422400
2000-06-26,9.416667,9.625000,9.375000,9.500000,6.393724,328500
2000-06-27,9.583333,9.625000,9.333333,9.458333,6.365679,789100
2000-06-28,9.250000,9.666667,9.208333,9.583333,6.449810,1296700
2000-06-29,9.583333,10.666667,9.583333,10.541667,7.094790,867000
2000-06-30,10.541667,11.125000,10.500000,10.604167,7.136853,2494900
2000-07-03,10.666667,10.750000,10.625000,10.750000,7.235002,446700
2000-07-05,10.750000,10.750000,10.583333,10.666667,7.178917,425100
2000-07-06,10.583333,10.750000,10.458333,10.708333,7.206956,1187200
2000-07-07,10.666667,10.958333,10.666667,10.958333,7.375215,530700
2000-07-10,10.958333,10.958333,10.250000,10.500000,7.066745,708100
2000-07-11,10.416667,10.458333,10.291667,10.333333,6.954576,418600
2000-07-12,10.333333,11.125000,10.333333,10.958333,7.375215,1112100
2000-07-13,11.000000,11.041667,10.791667,10.833333,7.291090,478500
2000-07-14,10.833333,11.208333,10.791667,11.041667,7.431301,312000
2000-07-17,10.958333,11.166667,10.833333,11.166667,7.515428,625900
2000-07-18,11.125000,11.458333,11.125000,11.375000,7.655642,1066300
2000-07-19,11.333333,11.333333,10.541667,10.666667,7.178917,714900
2000-07-20,10.708333,10.875000,10.583333,10.625000,7.150875,716200
2000-07-21,10.666667,10.916667,10.583333,10.875000,7.319131,456100
2000-07-24,10.791667,10.833333,10.416667,10.583333,7.122832,101100
2000-07-25,10.666667,11.208333,10.583333,11.166667,7.515428,726900
2000-07-26,11.166667,11.416667,10.833333,11.416667,7.683686,1075800
2000-07-27,11.333333,11.333333,10.916667,11.000000,7.403262,714700
2000-07-28,11.000000,11.166667,10.916667,11.166667,7.515428,498300
2000-07-31,11.208333,11.333333,11.000000,11.166667,7.515428,643900
2000-08-01,11.083333,11.250000,11.083333,11.166667,7.515428,994900
2000-08-02,11.125000,11.291667,11.000000,11.125000,7.487384,1583200
2000-08-03,11.041667,11.041667,10.291667,10.416667,7.010660,844800
2000-08-04,10.500000,10.500000,9.833333,10.333333,6.954576,1723300
2000-08-07,10.666667,11.333333,10.541667,11.250000,7.571513,1520500
2000-08-08,11.166667,11.166667,10.916667,11.000000,7.403262,1042200
2000-08-09,11.000000,11.000000,10.666667,10.916667,7.347173,1511200
2000-08-10,10.958333,11.000000,10.791667,11.000000,7.403262,674800
2000-08-11,11.000000,11.333333,10.875000,11.333333,7.627599,870400
2000-08-14,11.208333,11.541667,11.125000,11.500000,7.739769,571800
2000-08-15,11.416667,11.666667,11.208333,11.208333,7.543470,687400
2000-08-16,11.291667,11.333333,10.750000,11.208333,7.543470,670000
2000-08-17,11.083333,11.333333,10.958333,11.083333,7.459342,188700
2000-08-18,10.958333,11.041667,10.333333,10.333333,6.954576,510700
2000-08-21,10.333333,11.000000,10.333333,11.000000,7.403262,1427800
2000-08-22,11.000000,11.041667,10.750000,10.791667,7.263048,765700
2000-08-23,10.750000,10.791667,10.333333,10.583333,7.122832,633300
2000-08-24,10.583333,10.625000,10.375000,10.583333,7.122832,167800
2000-08-25,10.583333,10.583333,10.458333,10.500000,7.066745,432600
2000-08-28,10.500000,10.583333,10.250000,10.333333,6.954576,505300
