Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,11.562500,11.687500,11.000000,11.125000,8.473812,216600
2000-01-19,11.000000,11.000000,10.625000,10.625000,8.092965,232600
2000-01-20,10.625000,10.750000,10.312500,10.562500,8.045362,233200
2000-01-21,10.562500,10.625000,10.250000,10.312500,7.854936,272200
2000-01-24,10.187500,10.437500,10.000000,10.000000,7.616908,268300
2000-01-25,10.000000,10.187500,9.812500,10.000000,7.616908,274700
2000-01-26,10.125000,10.937500,9.937500,10.750000,8.188179,648500
2000-01-27,10.500000,10.625000,10.250000,10.500000,7.997756,274600
2000-01-28,10.562500,10.562500,10.187500,10.187500,7.759723,321200
2000-01-31,10.062500,10.562500,10.000000,10.500000,7.997756,309100
2000-02-01,10.562500,11.375000,10.562500,11.125000,8.473812,347900
2000-02-02,11.250000,12.125000,11.250000,11.750000,8.949869,908500
2000-02-03,11.812500,12.000000,11.125000,11.250000,8.569022,553600
2000-02-04,11.500000,11.625000,11.000000,11.375000,8.664236,348700
2000-02-07,11.250000,11.312500,10.937500,11.000000,8.378599,292300
2000-02-08,11.125000,11.250000,10.937500,11.187500,8.521418,196500
2000-02-09,11.187500,11.250000,11.062500,11.187500,8.521418,326700
2000-02-10,11.187500,11.500000,10.937500,11.312500,8.616629,943200
2000-02-11,11.375000,11.500000,11.125000,11.125000,8.473812,1692500
2000-02-14,11.000000,11.062500,10.750000,10.875000,8.283389,242400
2000-02-15,10.812500,11.000000,10.625000,10.812500,8.235784,405200
2000-02-16,10.937500,10.937500,10.625000,10.750000,8.188179,277300
2000-02-17,10.750000,10.812500,10.500000,10.500000,7.997756,197600
2000-02-18,10.687500,10.750000,10.375000,10.500000,7.997756,176000
2000-02-22,10.687500,10.812500,10.250000,10.375000,7.902543,355000
2000-02-23,10.375000,10.375000,10.187500,10.312500,7.854936,242400
2000-02-24,10.375000,10.375000,10.000000,10.187500,7.759723,187700
2000-02-25,10.312500,10.375000,10.000000,10.062500,7.664517,187100
2000-02-28,10.062500,10.062500,9.875000,9.875000,7.521698,171700
2000-02-29,10.000000,10.062500,9.687500,9.687500,7.378881,264700
2000-03-01,9.687500,9.812500,9.500000,9.750000,7.426488,273400
2000-03-02,9.750000,10.312500,9.437500,9.687500,7.378881,337300
2000-03-03,9.625000,10.187500,9.625000,10.125000,7.712119,261300
2000-03-06,10.000000,10.125000,9.812500,9.812500,7.474092,170000
2000-03-07,9.812500,10.125000,9.718750,9.750000,7.426488,733100
2000-03-08,9.687500,9.875000,9.312500,9.500000,7.236063,273800
2000-03-09,9.500000,9.625000,9.312500,9.500000,7.236063,242300
2000-03-10,9.437500,10.437500,9.437500,10.437500,7.950146,404800
2000-03-13,10.000000,10.250000,9.687500,10.250000,7.807330,270700
2000-03-14,10.187500,10.250000,9.875000,10.000000,7.616908,242000
2000-03-15,9.937500,10.312500,9.812500,10.000000,7.616908,279600
2000-03-16,10.000000,10.125000,9.875000,10.062500,7.664517,921200
2000-03-17,10.000000,10.000000,9.812500,9.937500,7.569303,451100
2000-03-20,9.937500,10.125000,9.750000,9.937500,7.569303,342200
2000-03-21,10.000000,10.000000,9.375000,9.500000,7.236063,538000
2000-03-22,9.625000,10.437500,9.562500,10.437500,7.950146,2229400
2000-03-23,10.375000,10.375000,9.875000,10.062500,7.664517,1142000
2000-03-24,10.000000,10.062500,9.750000,9.875000,7.521698,421500
2000-03-27,9.937500,10.062500,9.750000,9.875000,7.521698,285800
2000-03-28,9.750000,10.062500,9.750000,9.875000,7.521698,1063800
2000-03-29,9.937500,10.000000,9.750000,9.750000,7.426488,340600
2000-03-30,9.875000,10.062500,9.625000,9.875000,7.521698,622300
2000-03-31,9.812500,10.250000,9.250000,10.250000,7.807330,692300
2000-04-03,10.125000,10.375000,9.750000,10.375000,7.902543,441400
2000-04-04,10.312500,11.375000,10.250000,11.375000,8.664236,842600
2000-04-05,11.187500,11.875000,11.125000,11.562500,8.807055,624700
2000-04-06,11.562500,11.625000,11.000000,11.312500,8.616629,277500
2000-04-07,11.562500,11.562500,10.937500,11.125000,8.473812,346200
2000-04-10,11.750000,12.062500,11.625000,11.812500,8.997472,493100
2000-04-11,11.812500,11.875000,11.125000,11.437500,8.711843,235500
