Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,43.312500,44.062500,42.812500,43.593750,31.997082,619400
2000-01-19,43.375000,43.687500,43.093750,43.250000,31.744768,429600
2000-01-20,43.375000,43.406250,40.750000,41.468750,30.437365,1141800
2000-01-21,41.468750,41.468750,38.750000,39.750000,29.175833,1570400
2000-01-24,39.750000,40.250000,35.500000,37.250000,27.340864,2471800
2000-01-25,37.250000,38.125000,36.375000,37.500000,27.524376,1158200
2000-01-26,37.875000,38.937500,37.875000,38.343750,28.143669,1052200
2000-01-27,38.343750,38.875000,37.031250,37.500000,27.524376,639600
2000-01-28,36.687500,36.718750,35.937500,36.187500,26.561008,829400
2000-01-31,36.250000,37.187500,35.156250,37.000000,27.157387,739200
2000-02-01,36.187500,36.687500,35.718750,36.093750,26.492207,2163400
2000-02-02,35.968750,36.250000,34.562500,34.562500,25.368294,1586800
2000-02-03,34.937500,36.125000,34.750000,35.875000,26.331642,1660800
2000-02-04,36.812500,37.000000,35.500000,35.812500,26.285788,758400
2000-02-07,35.468750,35.468750,33.781250,34.968750,25.666470,908400
2000-02-08,35.375000,35.562500,33.968750,34.375000,25.230675,984800
2000-02-09,34.625000,34.687500,33.031250,33.156250,24.336140,647800
2000-02-10,33.250000,34.312500,33.187500,33.718750,24.748997,1124600
2000-02-11,34.062500,34.218750,32.031250,32.437500,23.808582,1389200
2000-02-14,32.750000,33.875000,31.625000,33.375000,24.496683,890400
2000-02-15,33.375000,33.375000,32.500000,32.906250,24.152634,384600
2000-02-16,32.906250,32.906250,29.968750,30.968750,22.730547,1130200
2000-02-17,31.500000,31.750000,30.468750,30.625000,22.478237,1171200
2000-02-18,30.781250,31.000000,27.531250,28.218750,20.712091,2134600
2000-02-22,29.000000,29.375000,27.250000,28.367188,20.821041,1749400
2000-02-23,30.187500,30.250000,29.062500,29.656250,21.767189,1638200
2000-02-24,30.187500,30.500000,28.531250,29.406250,21.583693,2171000
2000-02-25,29.468750,30.218750,29.468750,29.625000,21.744249,923800
2000-02-28,29.593750,32.093750,28.968750,31.750000,23.303970,1924600
2000-02-29,32.562500,32.750000,31.312500,32.000000,23.487465,2176000
2000-03-01,32.500000,34.500000,31.500000,34.343750,25.207743,2566600
2000-03-02,34.343750,34.343750,33.250000,33.687500,24.726067,1359600
2000-03-03,33.937500,34.468750,33.625000,34.250000,25.138931,784600
2000-03-06,34.250000,34.250000,32.250000,32.718750,24.015024,746600
2000-03-07,33.000000,33.468750,30.312500,30.968750,22.730547,1485000
2000-03-08,30.968750,31.718750,30.718750,31.281250,22.959923,792000
2000-03-09,31.500000,32.968750,31.250000,32.625000,23.946205,1036200
2000-03-10,33.125000,33.968750,32.750000,33.570313,24.640043,1530400
2000-03-13,31.500000,32.875000,31.250000,32.437500,23.808582,764200
2000-03-14,32.843750,32.875000,32.125000,32.187500,23.625082,427600
2000-03-15,32.406250,35.218750,31.718750,34.875000,25.597673,1458000
2000-03-16,36.125000,40.125000,36.093750,39.781250,29.249104,2260600
2000-03-17,39.687500,39.843750,37.750000,39.093750,28.743614,1067400
2000-03-20,38.687500,38.968750,37.625000,38.000000,27.939426,467200
2000-03-21,37.562500,38.000000,36.750000,37.656250,27.686699,838600
2000-03-22,36.000000,36.468750,35.375000,35.937500,26.422976,3716600
2000-03-23,36.000000,37.156250,35.343750,37.031250,27.227158,946600
2000-03-24,37.093750,39.000000,37.093750,39.000000,28.674688,734600
2000-03-27,39.750000,41.000000,39.406250,40.375000,29.685656,1333000
2000-03-28,39.875000,42.500000,39.812500,41.281250,30.351974,1182600
2000-03-29,41.312500,41.687500,38.750000,39.656250,29.157179,1491800
2000-03-30,40.156250,41.500000,39.375000,41.156250,30.260059,1404000
2000-03-31,41.156250,42.750000,40.500000,41.812500,30.742573,1177800
2000-04-03,42.062500,42.500000,41.500000,41.500000,30.512783,872600
2000-04-04,42.500000,42.500000,38.156250,40.500000,29.777540,1720400
2000-04-05,39.937500,39.937500,37.093750,37.937500,27.893478,1362200
2000-04-06,37.937500,38.687500,36.062500,38.593750,28.375977,1495200
2000-04-07,38.250000,38.468750,36.750000,38.343750,28.192173,959200
2000-04-10,38.468750,38.937500,37.656250,38.562500,28.353006,646800
2000-04-11,38.281250,38.312500,37.000000,37.843750,27.824551,432000
2000-04-12,37.875000,39.062500,37.562500,38.593750,28.375977,1119200
2000-04-13,38.718750,38.718750,36.281250,36.500000,26.836561,734000
2000-04-14,32.500000,33.593750,31.281250,31.781250,23.367107,1322600
2000-04-17,31.000000,33.000000,30.281250,32.750000,24.079372,2290000
2000-04-18,34.625000,36.531250,34.500000,35.500000,26.101305,2307400
2000-04-19,35.750000,36.125000,34.656250,35.031250,25.756666,897000
2000-04-20,35.031250,35.875000,34.875000,35.843750,26.354069,482800
2000-04-24,35.562500,36.687500,35.312500,36.156250,26.583822,568800
2000-04-25,37.062500,37.750000,36.500000,37.000000,27.204195,838600
2000-04-26,37.312500,38.500000,37.250000,37.312500,27.433950,565600
2000-04-27,36.500000,37.000000,35.656250,36.781250,27.043348,579000
2000-04-28,37.250000,37.250000,36.250000,36.343750,26.721678,313200
2000-05-01,36.437500,38.312500,36.437500,37.531250,27.594788,888400
2000-05-02,37.531250,37.531250,36.500000,36.500000,26.836561,538600
2000-05-03,35.000000,35.031250,33.250000,34.281250,25.205223,1456800
2000-05-04,34.625000,34.750000,33.375000,33.812500,24.860582,1737800
2000-05-05,33.812500,34.343750,32.687500,33.781250,24.837605,1086000
2000-05-08,34.250000,35.250000,32.656250,35.125000,25.825603,1668400
2000-05-09,35.093750,35.812500,34.062500,35.500000,26.101305,1481000
2000-05-10,35.000000,35.500000,34.750000,35.062500,25.779650,988400
2000-05-11,35.156250,36.500000,34.031250,35.812500,26.331076,594600
2000-05-12,36.062500,37.250000,36.062500,37.156250,27.319063,1242800
2000-05-15,37.500000,38.218750,36.656250,37.593750,27.640724,1363000
2000-05-16,38.062500,38.343750,36.062500,36.468750,26.813578,1894800
2000-05-17,36.468750,36.468750,34.875000,35.218750,25.894518,806800
2000-05-18,35.343750,36.187500,33.656250,33.937500,24.952494,1901000
2000-05-19,33.375000,34.031250,33.250000,33.875000,24.906532,822400
2000-05-22,33.812500,33.812500,32.000000,32.500000,23.895573,819200
2000-05-23,32.000000,32.343750,30.500000,30.750000,22.608883,1552800
2000-05-24,29.875000,29.875000,27.093750,29.406250,21.620901,3267800
2000-05-25,30.000000,30.281250,28.281250,28.468750,20.931599,2111800
2000-05-26,28.593750,28.593750,27.250000,27.531250,20.242298,994800
2000-05-30,28.406250,28.687500,27.531250,27.937500,20.541000,1145800
2000-05-31,28.687500,30.468750,28.687500,30.468750,22.402098,1861800
2000-06-01,30.593750,31.375000,29.531250,31.218750,22.953527,1120000
2000-06-02,33.125000,33.250000,32.500000,32.812500,24.125324,869400
2000-06-05,32.812500,33.250000,31.406250,31.437500,23.114359,687600
