Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,7.531250,7.625000,7.281250,7.375000,6.199507,5514400
2000-01-19,7.312500,7.554688,7.312500,7.437500,6.252044,7730400
2000-01-20,7.437500,7.625000,7.312500,7.625000,6.409659,8457600
2000-01-21,7.625000,7.625000,7.218750,7.296875,6.133832,12880800
2000-01-24,7.171875,7.257813,6.820313,6.898438,5.798903,9503200
2000-01-25,6.937500,7.023438,6.820313,6.898438,5.798903,8416000
2000-01-26,6.812500,7.039063,6.812500,6.882813,5.785765,8797600
2000-01-27,6.882813,6.914063,6.734375,6.773438,5.693827,9053600
2000-01-28,6.531250,6.828125,6.531250,6.578125,5.529644,12754400
2000-01-31,6.578125,6.906250,6.570313,6.625000,5.569046,4790400
2000-02-01,6.687500,6.929688,6.640625,6.804688,5.720095,3984000
2000-02-02,6.859375,7.062500,6.859375,6.984375,5.871140,6660000
2000-02-03,6.921875,7.000000,6.882813,6.921875,5.818604,13720800
2000-02-04,6.953125,7.101563,6.953125,7.093750,5.963083,7199200
2000-02-07,7.000000,7.312500,6.976563,7.273438,6.114131,11616800
2000-02-08,7.000000,7.140625,6.968750,7.000000,5.884277,8325600
2000-02-09,7.062500,7.085938,6.718750,6.742188,5.667557,7526400
2000-02-10,7.234375,7.554688,7.132813,7.234375,6.081295,20888000
2000-02-11,7.140625,7.390625,6.984375,7.000000,5.884277,18896000
2000-02-14,7.078125,7.187500,7.046875,7.109375,5.976220,7276000
2000-02-15,7.296875,7.679688,7.281250,7.421875,6.238911,16885600
2000-02-16,7.460938,7.812500,7.414063,7.664063,6.442494,16412800
2000-02-17,7.750000,8.085938,7.734375,7.859375,6.606676,12419200
2000-02-18,7.765625,7.812500,7.156250,7.234375,6.081295,15170400
2000-02-22,7.250000,7.453125,7.210938,7.351563,6.179806,5828800
2000-02-23,7.281250,7.312500,7.109375,7.156250,6.015623,9806400
2000-02-24,7.078125,7.093750,6.492188,6.578125,5.529644,13012000
2000-02-25,6.578125,6.609375,6.320313,6.406250,5.385165,9658400
2000-02-28,6.375000,6.554688,6.312500,6.429688,5.404868,8533600
2000-02-29,6.398438,6.492188,6.375000,6.390625,5.372029,7711200
2000-03-01,6.390625,6.921875,6.226563,6.828125,5.739797,12564800
2000-03-02,6.843750,6.875000,6.500000,6.562500,5.516510,7538400
2000-03-03,6.554688,6.914063,6.507813,6.804688,5.720095,3794400
2000-03-06,6.789063,6.789063,6.531250,6.562500,5.516510,4090400
2000-03-07,6.437500,6.453125,6.109375,6.125000,5.148742,8610400
2000-03-08,6.109375,6.179688,5.796875,5.953125,5.004261,10363200
2000-03-09,5.953125,6.203125,5.890625,6.132813,5.155309,6700000
2000-03-10,6.125000,6.375000,6.070313,6.359375,5.345761,6710400
2000-03-13,6.125000,6.312500,6.125000,6.257813,5.260387,6282400
2000-03-14,6.234375,6.304688,6.132813,6.257813,5.260387,3949600
2000-03-15,6.210938,6.468750,6.187500,6.429688,5.404868,12876000
2000-03-16,6.328125,6.648438,6.218750,6.515625,5.477107,11164000
2000-03-17,6.625000,6.750000,6.398438,6.453125,5.424567,9671200
2000-03-20,6.484375,6.671875,6.460938,6.625000,5.569046,5468800
2000-03-21,6.625000,6.796875,6.625000,6.750000,5.674125,4168800
2000-03-22,6.718750,6.867188,6.500000,6.617188,5.562480,5897600
2000-03-23,6.562500,6.828125,6.531250,6.828125,5.739797,6003200
2000-03-24,6.820313,7.195313,6.804688,7.179688,6.035325,8687200
2000-03-27,7.101563,7.109375,6.921875,6.968750,5.858006,4664800
2000-03-28,6.875000,7.023438,6.867188,6.921875,5.818604,3800800
2000-03-29,6.929688,6.992188,6.812500,6.960938,5.851440,3594400
2000-03-30,6.953125,7.234375,6.945313,7.156250,6.018865,5237600
2000-03-31,7.156250,7.460938,7.054688,7.453125,6.268555,7032800
2000-04-03,7.421875,7.812500,7.414063,7.757813,6.524817,7430400
2000-04-04,7.750000,7.750000,7.218750,7.593750,6.386831,8253600
2000-04-05,7.492188,7.617188,7.382813,7.500000,6.307980,5006400
2000-04-06,7.492188,7.750000,7.453125,7.710938,6.485392,5516000
2000-04-07,7.695313,7.726563,7.531250,7.718750,6.491963,5463200
2000-04-10,7.828125,8.031250,7.820313,7.984375,6.715370,7511200
2000-04-11,7.875000,8.179688,7.757813,8.179688,6.879642,10399200
2000-04-12,8.125000,8.609375,8.093750,8.484375,7.135903,10133600
2000-04-13,8.523438,8.570313,7.914063,8.296875,6.978203,13784000
2000-04-14,8.218750,8.218750,7.734375,7.992188,6.721942,5155200
2000-04-17,7.921875,8.070313,7.718750,7.968750,6.702230,5120800
2000-04-18,7.875000,8.148438,7.804688,8.109375,6.820506,4708000
2000-04-19,7.937500,8.218750,7.921875,8.085938,6.800790,5062400
2000-04-20,7.929688,8.539063,7.929688,8.390625,7.057053,9542400
2000-04-24,8.437500,8.718750,8.429688,8.679688,7.300171,5580000
2000-04-25,8.671875,8.671875,8.437500,8.531250,7.175329,12896000
2000-04-26,8.562500,8.648438,8.375000,8.414063,7.076766,8431200
2000-04-27,8.468750,8.562500,8.359375,8.382813,7.050481,7212800
2000-04-28,8.500000,8.500000,8.273438,8.335938,7.011055,5775200
2000-05-01,8.257813,8.312500,8.062500,8.070313,6.787648,6320800
2000-05-02,8.125000,8.140625,7.835938,7.875000,6.623381,12139200
2000-05-03,7.812500,7.828125,7.531250,7.656250,6.439397,15127200
2000-05-04,8.054688,8.054688,7.750000,7.804688,6.564241,17708000
2000-05-05,7.929688,7.984375,7.851563,7.882813,6.629952,11467200
2000-05-08,7.882813,8.281250,7.828125,8.250000,6.938778,8276000
2000-05-09,8.156250,8.531250,8.125000,8.484375,7.135903,8402400
2000-05-10,8.531250,8.750000,8.468750,8.546875,7.188470,10783200
2000-05-11,8.632813,8.828125,8.593750,8.648438,7.273892,12660000
2000-05-12,8.757813,8.960938,8.648438,8.921875,7.503864,12364000
2000-05-15,9.000000,9.375000,9.000000,9.328125,7.845553,13902400
2000-05-16,9.687500,9.687500,9.320313,9.453125,7.950682,12806400
2000-05-17,9.359375,9.468750,9.281250,9.328125,7.845553,8849600
2000-05-18,9.343750,9.820313,9.335938,9.687500,8.147808,13567200
2000-05-19,9.609375,9.679688,9.453125,9.546875,8.029532,8583200
2000-05-22,9.609375,9.695313,9.320313,9.539063,8.022960,7230400
2000-05-23,9.500000,9.585938,9.390625,9.429688,7.930972,6759200
2000-05-24,9.562500,9.906250,9.562500,9.734375,8.187234,19460000
2000-05-25,9.750000,9.851563,9.539063,9.570313,8.049248,22335200
2000-05-26,9.500000,9.695313,9.398438,9.484375,7.976966,6431200
2000-05-30,9.578125,9.804688,9.484375,9.492188,7.983541,7100800
2000-05-31,9.507813,9.562500,9.312500,9.320313,7.838979,7738400
2000-06-01,9.304688,9.632813,9.265625,9.500000,7.990107,9206400
2000-06-02,9.468750,9.539063,9.320313,9.359375,7.871832,7372800
2000-06-05,9.359375,9.531250,9.335938,9.367188,7.878406,5560800
2000-06-06,9.343750,9.453125,9.062500,9.171875,7.714136,8763200
2000-06-07,9.171875,9.335938,9.140625,9.203125,7.740417,7371200
2000-06-08,9.242188,9.390625,9.226563,9.250000,7.779843,6693600
2000-06-09,9.265625,9.718750,9.265625,9.617188,8.088668,4442400
2000-06-12,9.617188,10.046875,9.500000,9.988281,8.400784,11328000
2000-06-13,10.000000,10.375000,10.000000,10.093750,8.489491,18617600
2000-06-14,10.093750,10.414063,10.031250,10.250000,8.620909,8972000
2000-06-15,10.257813,10.390625,10.250000,10.250000,8.620909,10037600
2000-06-16,10.234375,10.296875,10.031250,10.093750,8.489491,9452000
2000-06-19,10.195313,10.234375,9.992188,10.000000,8.410642,8903200
2000-06-20,10.031250,10.234375,10.007813,10.023438,8.430356,5228800
2000-06-21,9.984375,10.187500,9.921875,10.132813,8.522346,3891200
2000-06-22,10.101563,10.359375,9.992188,10.046875,8.450069,8808800
2000-06-23,10.062500,10.109375,9.929688,9.984375,8.397501,5790400
2000-06-26,10.000000,10.187500,9.968750,9.968750,8.384357,8347200
2000-06-27,10.062500,10.085938,9.906250,10.023438,8.430356,8472000
2000-06-28,10.046875,10.414063,9.734375,10.314453,8.675118,8736000
2000-06-29,10.375000,11.125000,10.328125,10.750000,9.041439,19946400
2000-06-30,10.750000,11.000000,10.703125,10.718750,9.015158,8524000
2000-07-03,10.679688,11.007813,10.664063,11.007813,9.258275,4158400
2000-07-05,11.039063,11.242188,10.937500,11.125000,9.356836,7004800
2000-07-06,10.906250,11.492188,10.882813,11.468750,9.645957,13102400
2000-07-07,11.375000,11.429688,11.078125,11.218750,9.435689,12748000
2000-07-10,11.125000,11.148438,10.781250,10.921875,9.185997,6252800
2000-07-11,10.921875,11.156250,10.906250,10.960938,9.218851,8452000
2000-07-12,10.960938,11.289063,10.929688,11.156250,9.383121,13590400
2000-07-13,11.031250,11.140625,10.656250,10.718750,9.015158,9004000
2000-07-14,10.718750,10.812500,10.406250,10.562500,8.883742,11498400
