Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,6.738465,6.885593,6.709040,6.797317,3.971299,641800
2000-01-19,6.767891,6.973870,6.767891,6.944445,4.057258,829600
2000-01-20,6.959157,7.018009,6.812029,6.900306,4.031471,1094200
2000-01-21,7.091572,7.091572,6.870881,6.929732,4.048663,1126500
2000-01-24,6.915019,6.929732,6.856168,6.900306,4.031471,958300
2000-01-25,6.915019,6.944445,6.679614,6.767891,3.954107,1961300
2000-01-26,6.782604,6.812029,6.709040,6.797317,3.971299,857600
2000-01-27,6.826742,6.826742,6.385358,6.547199,3.825170,1428100
2000-01-28,6.561912,6.576624,6.120527,6.282368,3.670444,1184700
2000-01-31,6.282368,6.282368,6.032250,6.105814,3.567291,1799000
2000-02-01,6.164666,6.223517,5.885122,6.149953,3.593081,1944300
2000-02-02,6.179379,6.326507,6.120527,6.223517,3.636059,1392000
2000-02-03,6.238230,6.429496,6.238230,6.355932,3.713420,1203800
2000-02-04,6.355932,6.355932,6.061676,6.105814,3.567291,1309200
2000-02-07,6.105814,6.223517,5.870409,6.149953,3.593081,1225500
2000-02-08,6.149953,6.297081,6.002825,6.120527,3.575889,1566200
2000-02-09,6.164666,6.311794,6.061676,6.120527,3.575889,1457900
2000-02-10,6.061676,6.091102,5.752707,6.076389,3.550100,1800300
2000-02-11,6.032250,6.032250,5.679143,5.885122,3.438355,2369100
2000-02-14,5.885122,5.973399,5.855697,5.929261,3.464142,2283300
2000-02-15,5.885122,5.988112,5.796845,5.885122,3.438355,2102700
2000-02-16,5.885122,5.929261,5.782133,5.826271,3.403970,1446000
2000-02-17,5.855697,5.929261,5.855697,5.914548,3.455548,1375900
2000-02-18,5.914548,5.929261,5.870409,5.914548,3.455548,2280700
2000-02-22,5.899835,5.943974,5.826271,5.870409,3.429761,1360200
2000-02-23,5.826271,6.076389,5.752707,5.855697,3.421163,1245000
2000-02-24,5.855697,5.855697,5.487876,5.782133,3.378183,1961700
2000-02-25,5.796845,5.870409,5.237759,5.399600,3.154690,1676200
2000-02-28,5.502589,5.929261,5.384887,5.826271,3.403970,2215300
2000-02-29,5.767420,5.870409,5.576153,5.811558,3.395377,1349100
2000-03-01,5.796845,5.885122,5.532015,5.870409,3.429761,1078900
2000-03-02,5.885122,5.885122,5.635005,5.782133,3.378183,1677500
2000-03-03,5.693856,5.870409,5.576153,5.767420,3.369587,855500
2000-03-06,5.664430,5.664430,5.355462,5.399600,3.154690,1470600
2000-03-07,5.311323,5.443738,5.120057,5.193621,3.034348,1372100
2000-03-08,5.002354,5.296610,4.928790,5.223046,3.082275,1920500
2000-03-09,5.164195,5.620292,5.105344,5.620292,3.316701,2244600
2000-03-10,5.561440,5.576153,5.208333,5.429026,3.203831,1484200
2000-03-13,5.414313,5.473164,5.281898,5.443738,3.212512,1453200
2000-03-14,5.340749,5.495233,5.237759,5.414313,3.195149,1861000
2000-03-15,5.384887,5.620292,5.296610,5.620292,3.316701,3035100
2000-03-16,5.649717,6.503060,5.649717,6.326507,3.733460,1903900
2000-03-17,6.061676,6.091102,5.885122,6.002825,3.542446,2254800
2000-03-20,6.046963,6.105814,5.855697,5.885122,3.472987,1307900
2000-03-21,5.885122,5.973399,5.737994,5.885122,3.472987,1190200
2000-03-22,5.943974,5.943974,5.782133,5.870409,3.464306,2220800
