Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,4.627514,4.884598,4.598949,4.884598,3.172567,936000
2000-01-19,4.856033,4.927445,4.841751,4.884598,3.172567,599500
2000-01-20,4.913163,5.084552,4.884598,5.070270,3.293164,762200
2000-01-21,5.070270,5.227376,5.055987,5.198812,3.376652,3036900
2000-01-24,5.198812,5.198812,4.856033,4.870316,3.163293,1287800
2000-01-25,4.913163,4.956010,4.813186,4.813186,3.126187,1304000
2000-01-26,4.913163,5.284506,4.913163,5.141682,3.339545,2006300
2000-01-27,5.113117,5.127399,4.970293,5.055987,3.283887,1784900
2000-01-28,5.027422,5.113117,4.998857,5.055987,3.283887,1664100
2000-01-31,5.084552,5.227376,5.027422,5.198812,3.376652,2541100
2000-02-01,5.184529,5.241659,5.141682,5.213094,3.385930,1484300
2000-02-02,5.213094,5.370201,5.213094,5.341636,3.469416,2695100
2000-02-03,5.327354,5.398766,5.255941,5.313071,3.450864,1912300
2000-02-04,5.355919,5.413048,5.227376,5.255941,3.413758,1221700
2000-02-07,5.255941,5.455896,5.255941,5.313071,3.450864,1118900
2000-02-08,5.313071,5.327354,5.184529,5.255941,3.413758,3096000
2000-02-09,5.284506,5.284506,5.141682,5.141682,3.339545,1497400
2000-02-10,5.141682,5.355919,5.113117,5.284506,3.432311,2923600
2000-02-11,5.270224,5.313071,5.227376,5.313071,3.450864,1458000
2000-02-14,5.284506,5.284506,5.155964,5.170247,3.369694,2506500
2000-02-15,5.170247,5.370201,5.113117,5.370201,3.500012,2353400
2000-02-16,5.355919,5.712980,5.327354,5.555873,3.621023,6115000
2000-02-17,5.598720,5.613003,5.455896,5.498743,3.583789,2190600
2000-02-18,5.555873,5.598720,5.427331,5.455896,3.555863,778400
2000-02-22,5.513026,5.613003,5.455896,5.541591,3.611714,2392300
2000-02-23,5.541591,5.541591,5.413048,5.484461,3.574480,1008200
2000-02-24,5.484461,5.541591,5.427331,5.527308,3.602404,1937600
2000-02-25,5.598720,5.641568,5.470178,5.484461,3.574480,595100
2000-02-28,5.484461,5.627285,5.455896,5.627285,3.667565,1050200
2000-02-29,5.613003,5.827240,5.613003,5.827240,3.797885,2338900
2000-03-01,5.941499,6.155736,5.941499,6.027194,3.928206,5074800
2000-03-02,6.027194,6.269995,5.998629,6.170018,4.021292,2558200
2000-03-03,6.284278,6.312843,5.998629,6.041476,3.937513,4070900
2000-03-06,6.055758,6.198583,5.998629,6.170018,4.021292,2788300
2000-03-07,6.284278,6.627057,6.269995,6.612774,4.309856,3503800
2000-03-08,6.584209,6.584209,6.327125,6.512797,4.244694,3102500
2000-03-09,6.627057,6.627057,6.255713,6.284278,4.095758,1654100
2000-03-10,6.369973,6.769881,6.369973,6.569927,4.281930,2775600
2000-03-13,6.584209,6.798446,6.569927,6.655622,4.337781,1437900
2000-03-14,6.684186,6.712751,6.412820,6.427103,4.188843,1052800
2000-03-15,6.484232,6.655622,6.427103,6.541362,4.263313,1044500
2000-03-16,6.569927,6.898423,6.569927,6.855576,4.468101,3336700
2000-03-17,6.798446,6.812728,6.627057,6.712751,4.375013,2766900
2000-03-20,6.827011,7.012683,6.727034,6.926988,4.514643,2989600
2000-03-21,7.026965,7.084095,6.855576,6.884141,4.486717,1991000
2000-03-22,6.912706,7.169790,6.898423,7.169790,4.672890,1501800
2000-03-23,7.198355,7.312614,7.184072,7.298332,4.756663,1700900
2000-03-24,7.298332,7.298332,7.069813,7.084095,4.617038,1884300
2000-03-27,7.112660,7.141225,6.855576,6.969835,4.542568,1811600
2000-03-28,6.969835,6.969835,6.855576,6.912706,4.505336,1165300
2000-03-29,6.926988,6.955553,6.769881,6.784163,4.421558,2814200
2000-03-30,6.769881,7.084095,6.755599,7.084095,4.617038,3450400
2000-03-31,7.055530,7.084095,6.912706,7.012683,4.570495,3624200
2000-04-03,7.069813,7.341179,6.969835,7.284050,4.747356,2862700
2000-04-04,7.226920,7.241202,6.898423,6.898423,4.496025,1841400
2000-04-05,6.898423,6.898423,6.484232,6.612774,4.309856,3191400
2000-04-06,6.627057,6.641339,6.541362,6.569927,4.281930,2254000
2000-04-07,6.569927,6.855576,6.512797,6.769881,4.412249,3089000
2000-04-10,6.655622,6.712751,6.598492,6.641339,4.328474,1841400
2000-04-11,6.698469,6.769881,6.627057,6.741316,4.393633,2091200
2000-04-12,6.884141,7.169790,6.855576,7.141225,4.654271,4523000
2000-04-13,7.084095,7.141225,6.969835,7.041248,4.589111,1233100
2000-04-14,7.012683,7.012683,6.512797,6.612774,4.309856,1251500
2000-04-17,6.669904,6.669904,6.269995,6.484232,4.226079,2741100
2000-04-18,6.484232,6.827011,6.455667,6.827011,4.449482,2206800
2000-04-19,6.855576,7.184072,6.798446,7.141225,4.654271,1756000
2000-04-20,7.169790,7.226920,6.784163,6.884141,4.486717,2884200
2000-04-24,6.969835,7.041248,6.898423,6.898423,4.496025,875600
2000-04-25,6.941270,7.026965,6.827011,7.026965,4.579804,866000
2000-04-26,7.026965,7.026965,6.512797,6.512797,4.244694,2414200
2000-04-27,6.569927,6.741316,6.569927,6.727034,4.384325,1139000
2000-04-28,6.741316,6.769881,6.569927,6.627057,4.319163,968800
2000-05-01,6.627057,6.741316,6.598492,6.598492,4.300547,1630400
2000-05-02,6.569927,6.712751,6.527080,6.541362,4.263313,1671600
