Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,6.843750,6.875000,6.687500,6.875000,6.454746,431800
2000-01-19,6.875000,7.093750,6.875000,7.000000,6.572103,261800
2000-01-20,7.031250,7.281250,6.937500,7.000000,6.572103,525800
2000-01-21,6.906250,7.000000,6.875000,6.906250,6.484086,767600
2000-01-24,6.937500,7.000000,6.750000,6.781250,6.366726,258200
2000-01-25,6.687500,6.687500,6.062500,6.218750,5.838609,654000
2000-01-26,6.187500,6.187500,5.781250,5.875000,5.515875,521200
2000-01-27,5.875000,5.968750,5.781250,5.781250,5.427856,272400
2000-01-28,5.781250,5.812500,5.625000,5.656250,5.310493,98400
2000-01-31,5.593750,5.687500,5.531250,5.562500,5.222475,303400
2000-02-01,5.625000,5.656250,5.437500,5.562500,5.222475,290200
2000-02-02,5.656250,5.781250,5.625000,5.718750,5.369174,182600
2000-02-03,5.718750,5.812500,5.718750,5.750000,5.398512,196200
2000-02-04,5.781250,5.843750,5.750000,5.781250,5.427856,411400
2000-02-07,5.812500,6.062500,5.750000,5.875000,5.515875,123000
2000-02-08,6.031250,6.031250,5.781250,5.812500,5.457195,170800
2000-02-09,5.875000,6.093750,5.750000,5.937500,5.574554,276200
2000-02-10,6.000000,6.375000,5.937500,6.312500,5.926630,130400
2000-02-11,6.250000,6.531250,6.093750,6.437500,6.048779,138400
2000-02-14,6.437500,6.437500,6.062500,6.218750,5.843239,194000
2000-02-15,6.000000,6.031250,5.781250,5.781250,5.432159,231400
2000-02-16,5.843750,5.875000,5.562500,5.687500,5.344067,376800
2000-02-17,5.750000,6.062500,5.656250,5.750000,5.402793,296800
2000-02-18,5.750000,5.781250,5.625000,5.625000,5.285343,368000
2000-02-22,5.593750,5.625000,5.562500,5.593750,5.255979,129600
2000-02-23,5.656250,5.687500,5.406250,5.468750,5.138529,168200
2000-02-24,5.437500,5.468750,5.250000,5.250000,4.932986,247800
2000-02-25,5.218750,5.218750,4.500000,4.750000,4.463178,1106800
2000-02-28,4.750000,4.843750,4.593750,4.656250,4.375087,655200
2000-02-29,4.718750,4.750000,4.656250,4.750000,4.463178,607200
2000-03-01,4.812500,4.968750,4.812500,4.875000,4.580629,406200
2000-03-02,4.937500,4.937500,4.812500,4.875000,4.580629,307800
2000-03-03,4.843750,4.875000,4.781250,4.812500,4.521903,229800
2000-03-06,4.750000,4.750000,4.375000,4.406250,4.140185,565000
2000-03-07,4.406250,4.437500,4.218750,4.437500,4.169550,883400
2000-03-08,4.375000,4.531250,4.343750,4.437500,4.169550,538000
2000-03-09,4.437500,4.625000,4.437500,4.625000,4.345726,1103200
2000-03-10,4.500000,4.625000,4.500000,4.562500,4.287000,397800
2000-03-13,4.500000,4.812500,4.500000,4.656250,4.375087,237000
2000-03-14,4.843750,5.250000,4.781250,4.968750,4.668716,501000
2000-03-15,5.187500,5.531250,5.156250,5.468750,5.138529,450400
2000-03-16,5.468750,5.750000,5.343750,5.750000,5.402793,196600
2000-03-17,5.625000,5.750000,5.468750,5.500000,5.167891,112800
2000-03-20,5.500000,5.500000,5.281250,5.343750,5.021075,97800
2000-03-21,5.406250,5.406250,5.125000,5.250000,4.932986,162200
2000-03-22,5.156250,6.000000,5.031250,5.250000,4.932986,682600
2000-03-23,5.250000,5.312500,5.093750,5.093750,4.786170,500000
2000-03-24,5.125000,5.312500,5.093750,5.156250,4.844897,367200
2000-03-27,5.156250,5.250000,5.125000,5.187500,4.874261,110000
2000-03-28,5.187500,5.250000,5.125000,5.125000,4.815534,144000
2000-03-29,5.125000,5.281250,5.125000,5.156250,4.844897,92800
2000-03-30,5.218750,5.437500,5.156250,5.312500,4.991714,150200
2000-03-31,5.375000,5.843750,5.281250,5.312500,4.991714,374400
2000-04-03,5.281250,5.687500,5.281250,5.625000,5.285343,147800
2000-04-04,5.562500,5.562500,5.375000,5.437500,5.109164,195200
2000-04-05,5.468750,5.468750,5.375000,5.468750,5.138529,131600
2000-04-06,5.500000,5.781250,5.500000,5.500000,5.167891,84800
2000-04-07,5.718750,5.718750,5.625000,5.656250,5.314704,155400
2000-04-10,5.593750,5.593750,5.312500,5.312500,4.991714,328000
2000-04-11,5.312500,5.437500,5.312500,5.406250,5.079801,235800
2000-04-12,5.406250,5.875000,5.343750,5.718750,5.373431,280200
2000-04-13,5.593750,5.687500,5.500000,5.531250,5.197254,178800
2000-04-14,5.500000,5.656250,5.406250,5.593750,5.255979,270800
2000-04-17,5.531250,5.781250,5.437500,5.781250,5.432159,128200
2000-04-18,5.750000,6.125000,5.750000,6.125000,5.755151,177000
2000-04-19,6.093750,6.093750,5.875000,6.000000,5.637699,401800
2000-04-20,6.000000,6.000000,5.312500,5.343750,5.021075,350800
2000-04-24,5.312500,5.531250,5.062500,5.437500,5.109164,314600
2000-04-25,5.562500,5.812500,5.562500,5.781250,5.432159,218600
2000-04-26,5.718750,5.718750,5.562500,5.656250,5.314704,49200
2000-04-27,5.312500,5.468750,5.312500,5.468750,5.138529,265400
2000-04-28,5.375000,5.656250,5.312500,5.656250,5.314704,265800
2000-05-01,5.593750,5.937500,5.593750,5.937500,5.578974,74000
2000-05-02,5.875000,5.937500,5.812500,5.843750,5.490882,170800
2000-05-03,5.843750,5.937500,5.843750,5.937500,5.578974,75800
2000-05-04,5.937500,6.250000,5.937500,6.250000,5.872602,147400
2000-05-05,6.281250,6.375000,6.250000,6.281250,5.901962,53200
2000-05-08,6.218750,6.218750,5.875000,6.000000,5.637699,137800
2000-05-09,5.937500,6.062500,5.625000,6.000000,5.637699,103200
2000-05-10,5.937500,6.062500,5.843750,6.031250,5.667061,173400
2000-05-11,6.000000,6.312500,5.968750,6.062500,5.701152,156600
2000-05-12,6.062500,6.093750,5.812500,5.812500,5.466053,129400
2000-05-15,5.812500,6.000000,5.625000,6.000000,5.642377,217200
2000-05-16,6.000000,6.187500,5.937500,5.968750,5.612988,56600
2000-05-17,5.968750,6.000000,5.500000,5.500000,5.172178,141400
2000-05-18,5.562500,5.656250,5.500000,5.562500,5.230952,122000
2000-05-19,5.500000,5.625000,5.500000,5.625000,5.289728,36600
2000-05-22,5.593750,5.625000,5.468750,5.531250,5.201567,128200
2000-05-23,5.531250,5.593750,5.468750,5.468750,5.142792,93800
2000-05-24,5.468750,5.593750,5.468750,5.562500,5.230952,111800
2000-05-25,5.562500,5.562500,5.500000,5.500000,5.172178,73400
2000-05-26,5.500000,5.593750,5.500000,5.593750,5.260340,142200
2000-05-30,5.656250,5.656250,5.531250,5.593750,5.260340,73200
2000-05-31,5.531250,5.625000,5.531250,5.539063,5.208909,95200
2000-06-01,5.687500,5.718750,5.632813,5.632813,5.297075,44600
2000-06-02,5.750000,5.750000,5.679688,5.718750,5.377890,165200
2000-06-05,5.687500,5.718750,5.625000,5.640625,5.304422,524000
2000-06-06,5.593750,5.687500,5.593750,5.625000,5.289728,157800
2000-06-07,5.562500,5.687500,5.562500,5.687500,5.348501,56200
2000-06-08,5.687500,5.687500,5.531250,5.625000,5.289728,95200
2000-06-09,5.656250,5.812500,5.656250,5.781250,5.436666,117400
2000-06-12,5.750000,5.781250,5.710938,5.750000,5.407276,87600
2000-06-13,5.750000,5.781250,5.718750,5.718750,5.377890,103200
2000-06-14,5.687500,5.781250,5.468750,5.500000,5.172178,111600
2000-06-15,5.500000,5.562500,5.375000,5.437500,5.113403,83600
2000-06-16,5.500000,5.625000,5.437500,5.468750,5.142792,163000
2000-06-19,5.468750,5.500000,5.375000,5.468750,5.142792,88400
2000-06-20,5.468750,5.468750,5.250000,5.250000,4.937079,68200
2000-06-21,5.250000,5.343750,5.187500,5.218750,4.907688,59400
2000-06-22,5.218750,5.281250,5.187500,5.281250,4.966464,87800
2000-06-23,5.218750,5.250000,4.875000,4.937500,4.643205,260600
2000-06-26,4.968750,5.000000,4.875000,4.875000,4.584430,95400
2000-06-27,4.843750,5.031250,4.843750,4.875000,4.584430,114800
2000-06-28,4.781250,4.843750,4.750000,4.781250,4.496269,117400
2000-06-29,4.750000,4.781250,4.718750,4.750000,4.466881,153400
2000-06-30,4.718750,5.187500,4.625000,5.187500,4.878305,380800
2000-07-03,5.125000,5.125000,5.015625,5.062500,4.760756,41400
2000-07-05,5.125000,5.156250,4.937500,4.937500,4.643205,59600
2000-07-06,4.937500,5.000000,4.843750,5.000000,4.701978,54800
2000-07-07,5.000000,5.062500,4.953125,5.062500,4.760756,57000
