Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,70.000000,70.125000,68.250000,69.062500,55.430908,8658100
2000-01-19,70.000000,72.937500,69.875000,72.000000,57.788609,12070900
2000-01-20,74.375000,74.500000,69.625000,71.812500,57.638084,9460900
2000-01-21,73.375000,75.000000,72.000000,74.687500,59.945633,8154300
2000-01-24,75.875000,76.500000,69.125000,69.250000,55.581406,9853500
2000-01-25,70.750000,70.812500,66.000000,69.375000,55.681713,11251900
2000-01-26,67.875000,68.875000,64.062500,64.125000,51.467964,16000800
2000-01-27,65.000000,65.062500,59.125000,61.375000,49.260769,14797000
2000-01-28,61.437500,61.437500,59.375000,59.687500,47.906357,10899900
2000-01-31,61.000000,63.875000,59.875000,63.687500,51.116829,12619500
2000-02-01,64.750000,66.000000,62.750000,65.312500,52.421082,9902700
2000-02-02,65.125000,65.125000,61.875000,63.687500,51.116829,9976900
2000-02-03,64.750000,65.000000,62.375000,64.000000,51.367645,7613000
2000-02-04,64.750000,66.500000,64.125000,64.625000,51.869286,8069600
2000-02-07,66.500000,69.562500,65.125000,69.187500,55.531219,9190200
2000-02-08,70.375000,72.187500,69.187500,70.500000,56.584675,11108300
2000-02-09,71.250000,71.500000,66.625000,66.812500,53.625023,7774100
2000-02-10,67.375000,67.500000,64.500000,65.187500,52.320759,8880100
2000-02-11,65.312500,66.312500,61.937500,62.625000,50.264042,8105000
2000-02-14,63.562500,65.875000,61.500000,65.062500,52.220436,8794600
2000-02-15,65.250000,65.750000,64.187500,65.062500,52.220436,8358400
2000-02-16,65.125000,70.000000,64.750000,69.875000,56.083050,11654800
2000-02-17,70.187500,74.000000,69.937500,72.750000,58.390545,14842800
2000-02-18,74.500000,75.000000,69.937500,71.312500,57.236805,14959700
2000-02-22,71.687500,71.937500,66.375000,67.500000,54.176819,8657100
2000-02-23,68.687500,72.125000,67.125000,71.437500,57.337124,9098600
2000-02-24,72.125000,73.187500,68.453125,72.562500,58.240082,9630100
2000-02-25,73.000000,74.000000,70.125000,73.562500,59.042706,8556500
2000-02-28,72.875000,72.875000,66.500000,68.437500,54.929264,13264800
2000-02-29,70.250000,70.500000,67.125000,68.187500,54.728607,8593500
2000-03-01,67.000000,67.250000,64.812500,65.062500,52.220436,10212300
2000-03-02,65.312500,67.875000,63.000000,65.312500,52.421082,12075000
2000-03-03,66.875000,67.875000,65.000000,66.312500,53.223701,10481000
2000-03-06,66.875000,66.875000,63.312500,64.562500,51.819111,12645900
2000-03-07,65.437500,65.500000,60.500000,61.000000,48.959793,12739800
