Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,39.500000,40.000000,38.125000,38.437500,32.888905,2728900
2000-01-19,39.000000,39.375000,38.500000,39.000000,33.370224,469400
2000-01-20,39.500000,41.312500,39.500000,40.500000,34.653698,1205200
2000-01-21,41.437500,43.250000,41.312500,43.125000,36.899757,2353300
2000-01-24,43.125000,44.625000,41.812500,42.000000,35.937157,2161100
2000-01-25,42.750000,42.750000,40.750000,41.312500,35.348900,788000
2000-01-26,41.312500,42.250000,39.500000,39.750000,34.011936,578600
2000-01-27,39.750000,40.437500,38.125000,38.375000,32.835434,975700
2000-01-28,38.750000,39.375000,37.250000,37.812500,32.354130,601300
2000-01-31,37.750000,37.812500,35.687500,35.875000,30.696318,617700
2000-02-01,36.000000,38.875000,34.312500,38.750000,33.156307,1191800
2000-02-02,39.000000,39.750000,38.437500,39.250000,33.584122,1714200
2000-02-03,39.500000,40.375000,38.500000,40.000000,34.225864,433200
2000-02-04,40.250000,42.000000,39.812500,40.437500,34.600201,754100
2000-02-07,39.250000,39.312500,38.000000,38.625000,33.049339,2011700
2000-02-08,38.750000,42.125000,38.750000,42.000000,35.937157,2194900
2000-02-09,42.500000,42.500000,41.218750,41.875000,35.830204,1885100
2000-02-10,41.875000,44.750000,41.750000,43.937500,37.594975,2589300
2000-02-11,44.500000,45.000000,44.062500,44.250000,37.862366,1212700
2000-02-14,44.437500,44.875000,43.812500,44.875000,38.397144,1778700
2000-02-15,45.000000,47.250000,45.000000,45.625000,39.038872,1119500
2000-02-16,45.875000,46.750000,45.000000,46.000000,39.359741,479400
2000-02-17,45.875000,46.125000,43.750000,45.000000,38.504093,1402200
2000-02-18,44.250000,44.750000,42.375000,42.750000,36.578888,749700
2000-02-22,43.250000,43.312500,40.125000,41.000000,35.081509,710700
2000-02-23,41.750000,43.625000,41.562500,43.312500,37.060204,992100
2000-02-24,43.562500,45.625000,42.625000,43.000000,36.792793,764300
2000-02-25,43.062500,43.500000,41.875000,42.500000,36.364979,709800
2000-02-28,42.500000,45.750000,41.062500,45.187500,38.664520,855700
2000-02-29,46.500000,49.750000,46.500000,49.250000,42.140591,1093600
2000-03-01,49.250000,50.500000,47.500000,48.875000,41.819721,1480500
2000-03-02,49.000000,49.062500,47.000000,48.500000,41.498859,1208600
2000-03-03,48.750000,51.125000,48.750000,50.875000,43.531013,1843200
2000-03-06,50.437500,51.000000,49.437500,51.000000,43.637962,1335100
2000-03-07,51.500000,51.750000,47.875000,49.625000,42.461460,1100300
2000-03-08,50.000000,55.500000,49.625000,53.937500,46.151443,2308000
2000-03-09,52.062500,53.625000,50.500000,53.625000,45.884052,3095000
2000-03-10,53.500000,55.500000,53.000000,54.812500,46.900112,1502800
2000-03-13,53.500000,54.375000,52.000000,53.750000,45.991005,466900
2000-03-14,54.062500,54.312500,48.250000,49.500000,42.354500,1008300
2000-03-15,49.312500,49.312500,43.750000,44.625000,38.183228,1186700
2000-03-16,46.000000,46.125000,41.125000,45.000000,38.504093,1505500
2000-03-17,45.500000,51.875000,45.500000,50.750000,43.424065,1159800
2000-03-20,52.875000,52.875000,47.375000,48.000000,41.071033,943700
2000-03-21,48.062500,48.500000,45.750000,47.875000,40.964088,889100
2000-03-22,48.125000,53.000000,48.125000,53.000000,45.349281,1099900
2000-03-23,53.125000,53.750000,50.500000,52.187500,44.654049,440900
2000-03-24,53.500000,54.250000,50.750000,52.000000,44.493607,1646100
2000-03-27,52.000000,52.000000,49.562500,50.312500,43.049702,550500
2000-03-28,50.500000,51.500000,49.500000,50.937500,43.584499,643400
2000-03-29,51.312500,51.937500,49.500000,49.875000,42.675369,487800
2000-03-30,49.750000,50.000000,48.250000,50.000000,42.782333,673700
2000-03-31,50.000000,51.437500,48.375000,49.375000,42.247551,529400
2000-04-03,49.000000,49.000000,44.437500,45.125000,38.611053,1132800
2000-04-04,46.000000,46.625000,40.375000,43.937500,37.594975,1090900
2000-04-05,44.000000,47.000000,42.500000,46.687500,39.947987,519600
2000-04-06,48.750000,50.187500,48.437500,50.000000,42.782333,1355700
2000-04-07,50.000000,50.437500,49.187500,49.812500,42.621895,339700
2000-04-10,49.000000,49.062500,46.375000,46.750000,40.001480,428200
2000-04-11,46.125000,46.250000,44.687500,45.625000,39.038872,448100
2000-04-12,45.500000,45.562500,42.000000,43.250000,37.006729,578800
2000-04-13,42.500000,42.750000,40.625000,41.750000,35.723236,1471400
2000-04-14,40.500000,40.937500,39.500000,40.187500,34.386295,630700
2000-04-17,40.437500,41.750000,38.250000,41.500000,35.509338,966300
2000-04-18,41.750000,44.500000,41.312500,43.750000,37.434540,1459800
2000-04-19,43.812500,45.687500,42.625000,45.062500,38.557579,704500
2000-04-20,45.187500,45.625000,44.000000,45.250000,38.717999,1051000
2000-04-24,44.750000,44.750000,41.250000,42.937500,36.739319,536300
2000-04-25,43.187500,43.625000,42.875000,43.000000,36.792793,429800
2000-04-26,42.937500,45.000000,42.437500,44.750000,38.290176,1088400
2000-04-27,44.250000,44.562500,43.000000,44.312500,37.915840,302500
2000-04-28,45.000000,47.000000,44.500000,46.562500,39.841045,1161900
2000-05-01,46.875000,47.125000,46.125000,46.375000,39.680599,708200
2000-05-02,46.312500,46.312500,45.375000,45.687500,39.092350,464700
2000-05-03,45.500000,45.500000,42.000000,42.687500,36.525414,559000
2000-05-04,44.000000,44.937500,42.687500,43.312500,37.060204,1560500
2000-05-05,43.375000,45.937500,43.375000,45.250000,38.717999,416000
2000-05-08,45.750000,46.125000,44.687500,45.125000,38.611053,360600
2000-05-09,45.000000,45.375000,41.500000,43.750000,37.434540,430800
2000-05-10,43.500000,43.500000,37.500000,40.937500,35.028038,1433100
2000-05-11,41.500000,41.875000,39.750000,40.437500,34.600201,977700
2000-05-12,41.000000,42.000000,40.625000,41.812500,35.776730,731000
2000-05-15,41.562500,41.562500,40.375000,41.000000,35.081509,411800
2000-05-16,42.250000,44.875000,42.250000,43.812500,37.488014,1010700
2000-05-17,43.750000,45.250000,43.125000,44.812500,38.343662,3788400
2000-05-18,44.687500,45.125000,43.750000,44.250000,37.862366,626900
2000-05-19,43.750000,43.875000,42.750000,43.000000,36.792793,705600
2000-05-22,43.250000,43.250000,40.937500,41.062500,35.134983,482400
2000-05-23,41.437500,42.250000,38.687500,39.250000,33.584122,1174500
2000-05-24,38.875000,38.937500,37.250000,38.562500,32.995865,892700
2000-05-25,39.000000,40.500000,39.000000,39.812500,34.065437,796600
2000-05-26,40.062500,40.062500,38.625000,39.187500,33.530651,155800
2000-05-30,39.250000,39.625000,37.000000,37.687500,32.247181,1278800
2000-05-31,38.125000,38.125000,36.312500,37.125000,31.765869,959800
2000-06-01,38.125000,39.375000,37.500000,38.625000,33.049339,779200
2000-06-02,40.000000,41.500000,40.000000,41.375000,35.402382,1217200
2000-06-05,41.500000,44.375000,41.375000,43.562500,37.274109,969400
2000-06-06,43.812500,44.875000,42.625000,43.500000,37.220623,1113900
2000-06-07,43.312500,43.500000,41.500000,42.437500,36.311497,300100
2000-06-08,42.187500,43.000000,41.750000,41.812500,35.776730,107300
2000-06-09,42.062500,42.750000,41.375000,41.750000,35.723236,130600
2000-06-12,41.625000,41.750000,40.500000,41.000000,35.081509,462600
2000-06-13,41.250000,41.250000,39.250000,40.687500,34.814125,488900
2000-06-14,40.875000,41.375000,40.750000,41.187500,35.241943,471400
2000-06-15,41.187500,42.375000,40.125000,42.000000,35.937157,324700
2000-06-16,42.500000,42.500000,41.000000,41.937500,35.883678,454600
2000-06-19,41.687500,41.687500,40.687500,41.312500,35.348900,221200
2000-06-20,41.875000,42.812500,41.500000,41.625000,35.616287,287400
2000-06-21,41.875000,43.875000,41.875000,42.500000,36.364979,280300
2000-06-22,41.250000,41.500000,41.250000,41.250000,35.295414,3335800
2000-06-23,41.437500,41.812500,40.625000,41.000000,35.081509,786000
2000-06-26,40.750000,41.562500,40.000000,41.062500,35.134983,723100
2000-06-27,41.250000,41.375000,40.500000,40.875000,34.974560,876700
2000-06-28,40.625000,41.125000,40.125000,40.875000,34.974560,774500
2000-06-29,41.000000,41.375000,40.750000,41.187500,35.241943,453100
2000-06-30,41.187500,42.375000,41.187500,41.687500,35.669769,987900
2000-07-03,41.875000,42.250000,41.812500,42.000000,35.937157,260900
2000-07-05,42.250000,43.312500,41.375000,42.062500,35.990631,1344600
2000-07-06,42.062500,42.875000,41.687500,42.625000,36.471939,1269800
2000-07-07,42.875000,44.187500,42.875000,43.750000,37.434540,1517600
2000-07-10,43.625000,46.625000,43.625000,46.500000,39.787563,1448800
2000-07-11,46.750000,47.125000,45.750000,46.000000,39.359741,882700
2000-07-12,46.250000,47.625000,46.250000,47.437500,40.589745,962100
2000-07-13,47.312500,47.500000,46.250000,46.500000,39.787563,1340400
2000-07-14,46.375000,46.500000,45.562500,45.750000,39.145817,586700
2000-07-17,45.750000,45.937500,43.750000,44.125000,37.755394,1640900
2000-07-18,44.375000,44.750000,43.250000,44.500000,38.076267,635700
2000-07-19,44.250000,45.250000,44.250000,44.500000,38.076267,444700
2000-07-20,44.500000,45.375000,44.375000,45.125000,38.611053,749700
2000-07-21,45.000000,45.125000,44.500000,44.625000,38.183228,937400
2000-07-24,44.625000,47.000000,44.625000,46.375000,39.680599,711600
2000-07-25,46.625000,46.937500,44.687500,45.375000,38.824955,292900
2000-07-26,45.375000,45.375000,42.375000,44.625000,38.183228,991900
2000-07-27,44.625000,44.625000,42.000000,43.625000,37.327576,664100
2000-07-28,43.500000,43.562500,41.500000,41.812500,35.776730,530300
2000-07-31,42.062500,43.625000,42.062500,42.875000,36.685841,475600
2000-08-01,43.000000,43.625000,42.625000,42.937500,36.739319,251400
2000-08-02,42.937500,43.312500,42.812500,43.125000,36.899757,871000
2000-08-03,42.375000,43.500000,41.750000,43.437500,37.167149,550100
2000-08-04,43.687500,45.125000,43.500000,44.812500,38.343662,528500
2000-08-07,44.687500,44.937500,44.000000,44.375000,37.969315,361500
2000-08-08,43.000000,44.375000,42.625000,43.687500,37.381058,768600
2000-08-09,43.875000,44.000000,43.500000,43.562500,37.274109,1309700
2000-08-10,43.500000,43.500000,41.500000,41.875000,35.830204,661600
2000-08-11,41.875000,42.250000,41.437500,41.875000,35.830204,314700
2000-08-14,42.000000,43.000000,41.875000,42.750000,36.578888,612000
2000-08-15,42.875000,43.062500,42.312500,43.000000,36.792793,492700
2000-08-16,43.062500,43.625000,43.000000,43.250000,37.006729,1253900
2000-08-17,43.250000,43.375000,42.187500,42.562500,36.418449,367000
2000-08-18,42.750000,46.000000,42.750000,45.500000,38.931919,1378200
2000-08-21,45.750000,45.812500,44.437500,44.875000,38.397144,525500
2000-08-22,44.750000,44.812500,42.500000,42.500000,36.364979,689900
2000-08-23,43.000000,44.000000,42.687500,43.562500,37.274109,565400
2000-08-24,43.500000,43.687500,43.187500,43.187500,36.953224,700600
2000-08-25,43.187500,43.875000,43.125000,43.312500,37.060204,579500
2000-08-28,43.250000,43.312500,40.500000,40.750000,34.867596,1913900
2000-08-29,40.750000,41.500000,39.000000,41.000000,35.081509,1881700
2000-08-30,40.562500,40.687500,38.312500,38.312500,32.781963,1757100
2000-08-31,37.875000,38.125000,34.000000,36.375000,31.124132,6530000
2000-09-01,36.562500,38.500000,35.812500,37.875000,32.407612,2217500
2000-09-05,37.500000,37.500000,36.000000,36.625000,31.338043,1234000
2000-09-06,36.375000,38.375000,36.375000,37.812500,32.354130,1317400
2000-09-07,37.500000,38.000000,37.062500,37.687500,32.247181,1804700
2000-09-08,37.687500,37.812500,36.312500,37.375000,31.979794,861700
2000-09-11,37.562500,37.562500,37.000000,37.250000,31.872837,798200
2000-09-12,37.250000,37.500000,36.375000,36.375000,31.124132,1466200
2000-09-13,36.500000,36.625000,35.125000,35.625000,30.482407,661500
2000-09-14,35.625000,36.250000,35.250000,36.000000,30.803280,515600
2000-09-15,36.250000,36.375000,34.562500,35.187500,30.108063,729100
2000-09-18,35.187500,35.187500,33.125000,33.937500,29.038504,620000
2000-09-19,34.000000,34.750000,33.750000,34.000000,29.091976,606600
2000-09-20,33.500000,34.000000,32.250000,33.000000,28.236338,1508500
2000-09-21,33.250000,33.312500,27.625000,30.625000,26.204176,3926400
2000-09-22,30.000000,31.375000,30.000000,31.000000,26.525042,1454200
2000-09-25,31.750000,33.875000,31.750000,33.625000,28.771109,1121200
2000-09-26,33.312500,33.500000,32.500000,33.000000,28.236338,1007400
2000-09-27,33.125000,35.250000,32.750000,35.000000,29.947634,1722400
2000-09-28,35.000000,38.000000,34.625000,36.875000,31.551968,1404600
2000-09-29,36.875000,38.062500,35.437500,37.687500,32.247181,1960700
2000-10-02,37.687500,38.625000,37.000000,37.625000,32.193699,942600
2000-10-03,38.000000,38.250000,37.375000,37.875000,32.407612,620600
2000-10-04,37.625000,37.750000,35.125000,37.750000,32.300663,798500
2000-10-05,37.375000,37.750000,36.000000,36.875000,31.551968,764500
2000-10-06,36.000000,36.125000,34.500000,35.000000,29.947634,601000
2000-10-09,35.000000,35.875000,33.000000,35.625000,30.482407,564200
2000-10-10,35.375000,36.625000,34.875000,36.500000,31.231102,733500
2000-10-11,35.000000,35.750000,34.625000,35.562500,30.428928,632200
2000-10-12,35.750000,37.125000,34.250000,34.812500,29.787193,1402500
2000-10-13,34.875000,37.125000,34.687500,37.125000,31.765869,1106600
2000-10-16,37.125000,38.875000,36.750000,38.500000,32.942398,755100
2000-10-17,38.500000,38.500000,35.750000,36.312500,31.070667,1760600
2000-10-18,35.750000,35.750000,32.000000,34.000000,29.091976,1713100
2000-10-19,35.000000,35.875000,34.687500,35.875000,30.696318,1439700
2000-10-20,35.875000,36.000000,35.187500,35.875000,30.696318,944100
2000-10-23,35.625000,35.687500,35.000000,35.250000,30.161541,680500
2000-10-24,35.000000,35.250000,34.875000,34.937500,29.894152,840900
2000-10-25,34.687500,34.687500,33.250000,33.750000,28.878069,507600
2000-10-26,33.500000,33.875000,31.250000,32.000000,27.380688,1056800
2000-10-27,32.375000,38.000000,32.250000,37.375000,31.979794,2739700
2000-10-30,37.750000,39.000000,37.375000,39.000000,33.370224,1377900
2000-10-31,39.000000,41.375000,39.000000,40.937500,35.028038,1329900
2000-11-01,40.687500,42.187500,40.625000,41.000000,35.081509,1264000
2000-11-02,41.500000,42.437500,41.250000,42.125000,36.044109,1335800
2000-11-03,42.125000,42.125000,40.375000,41.875000,35.830204,383200
2000-11-06,41.812500,41.937500,40.125000,41.062500,35.134983,557500
2000-11-07,41.312500,41.312500,38.875000,39.250000,33.584122,861800
2000-11-08,39.625000,41.000000,39.625000,40.437500,34.600201,472800
2000-11-09,38.750000,39.187500,37.625000,39.125000,33.477165,973700
2000-11-10,38.750000,38.812500,38.000000,38.625000,33.049339,436900
2000-11-13,38.500000,38.625000,36.250000,37.000000,31.658930,1275800
2000-11-14,38.250000,39.375000,37.562500,38.000000,32.514561,406000
2000-11-15,38.000000,40.875000,37.625000,40.812500,34.921078,692500
2000-11-16,40.625000,40.625000,38.125000,38.187500,32.675003,883100
2000-11-17,38.250000,38.250000,35.625000,36.187500,30.963711,562700
2000-11-20,36.187500,36.187500,33.125000,33.812500,28.931545,780300
2000-11-21,34.000000,34.625000,32.125000,33.000000,28.236338,704800
2000-11-22,32.500000,32.750000,30.750000,31.875000,27.273733,1139600
