Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,29.538017,30.224949,29.194553,29.812790,15.608932,7774600
2000-01-19,29.950176,30.156256,29.022820,29.366285,15.375163,4516000
2000-01-20,29.400633,29.503672,28.301542,28.696527,15.024497,6817300
2000-01-21,28.541969,28.576315,27.648958,27.717651,14.511990,9005000
2000-01-24,28.473276,28.541969,27.683306,28.095465,14.709803,7922000
2000-01-25,28.129810,28.164156,26.996374,27.545919,14.422082,6527500
2000-01-26,26.996374,27.065067,26.000326,26.378138,13.810672,14526800
2000-01-27,27.099415,27.477226,26.755949,27.442881,14.368128,10779700
2000-01-28,26.996374,27.408533,26.824642,26.927681,14.240977,6029200
2000-01-31,27.374187,27.580265,26.996374,27.339840,14.458948,4956400
2000-02-01,27.271147,27.477226,26.652910,27.374187,14.477122,7414500
2000-02-02,27.442881,27.786345,26.343790,26.721603,14.131991,9993700
2000-02-03,26.309444,26.858988,26.275097,26.790295,14.168317,6290100
2000-02-04,26.858988,26.927681,26.378138,26.412483,13.968513,4310400
2000-02-07,26.652910,26.652910,25.931633,26.343790,13.932185,3732800
2000-02-08,26.584217,26.858988,26.378138,26.446831,13.986679,5246600
2000-02-09,26.172058,26.240751,25.897285,25.931633,13.714206,4513200
2000-02-10,25.862940,25.965979,25.313395,25.828592,13.659713,5803900
2000-02-11,25.931633,25.931633,24.832542,25.347742,13.405413,5298500
2000-02-14,25.279049,25.897285,24.729504,25.862940,13.677881,5710200
2000-02-15,25.759899,25.759899,24.969929,25.485126,13.478067,4605000
2000-02-16,25.107315,25.519474,24.866890,25.450781,13.459909,5907700
2000-02-17,25.176008,25.622513,24.866890,25.210356,13.332753,6101300
2000-02-18,24.832542,24.969929,23.836494,23.836494,12.606176,9104800
2000-02-22,24.386038,24.660810,23.905188,24.214306,12.805981,7342600
2000-02-23,24.282999,24.317345,23.630415,23.630415,12.497187,3801900
2000-02-24,23.630415,23.767801,22.634365,23.355642,12.351871,8694100
2000-02-25,23.286949,24.317345,23.218256,23.596067,12.479016,8183500
2000-02-28,24.317345,24.317345,23.389988,23.458681,12.406360,9181900
2000-02-29,23.767801,23.802147,22.634365,22.874790,12.097568,7659100
2000-03-01,23.012177,23.183910,22.565672,22.857618,12.088488,9631300
2000-03-02,22.806097,22.977831,22.600019,22.737404,12.024910,5370300
2000-03-03,22.737404,23.733454,22.703058,23.458681,12.406360,8321600
2000-03-06,23.561722,23.973881,22.806097,23.046524,12.188393,7033200
2000-03-07,23.080870,23.321297,22.325247,22.600019,11.952253,6905200
2000-03-08,22.600019,23.424335,22.119167,23.389988,12.370032,7834400
2000-03-09,23.115217,23.183910,22.428286,22.874790,12.097568,5908800
2000-03-10,22.428286,22.977831,22.325247,22.565672,11.934085,6017700
2000-03-13,22.290899,23.424335,22.256554,23.389988,12.370032,5938000
2000-03-14,23.046524,23.046524,22.119167,22.531326,11.915924,9783300
2000-03-15,22.531326,24.214306,22.462633,24.214306,12.805981,14963500
2000-03-16,24.179958,24.386038,23.493029,24.076920,12.733321,14633600
2000-03-17,24.420385,25.279049,24.317345,24.523424,12.969462,12064300
