Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,2.148438,2.150391,1.964844,2.138672,1.820688,38672000
2000-01-19,2.121094,2.121094,1.871094,1.964844,1.672706,81686400
2000-01-20,2.044922,2.046875,1.835938,1.955078,1.664392,39651200
2000-01-21,1.958984,2.021484,1.937500,1.949219,1.659404,25081600
2000-01-24,2.001953,2.001953,1.730469,1.732422,1.474841,51062400
2000-01-25,1.750000,1.779297,1.640625,1.769531,1.506433,38486400
2000-01-26,1.775391,1.775391,1.632813,1.686523,1.435767,29126400
2000-01-27,1.708984,1.720703,1.546875,1.550781,1.320207,23321600
2000-01-28,1.562500,1.597656,1.443359,1.530273,1.302748,44937600
2000-01-31,1.537109,1.632813,1.402344,1.462891,1.245384,23894400
2000-02-01,1.449219,1.523438,1.433594,1.443359,1.228757,31091200
2000-02-02,1.457031,1.531250,1.417969,1.435547,1.222106,40953600
2000-02-03,1.468750,1.472656,1.398438,1.406250,1.197165,39974400
2000-02-04,1.437500,1.468750,1.410156,1.460938,1.243721,34313600
2000-02-07,1.484375,1.748047,1.453125,1.697266,1.444911,55174400
2000-02-08,1.732422,1.867188,1.671875,1.853516,1.577930,42739200
2000-02-09,1.888672,1.906250,1.695313,1.716797,1.461539,36944000
2000-02-10,1.754883,1.832031,1.671875,1.729980,1.472762,31875200
2000-02-11,1.732422,1.769531,1.667969,1.748047,1.488142,35638400
2000-02-14,1.754883,1.890625,1.753906,1.876953,1.597883,34112000
2000-02-15,1.890625,2.000000,1.859375,1.984375,1.689333,52416000
2000-02-16,2.000000,2.125000,1.992188,2.000000,1.702634,65075200
2000-02-17,2.097656,2.371094,2.097656,2.328125,1.981973,72723200
2000-02-18,2.281250,2.515625,2.208984,2.408203,2.050145,75715200
2000-02-22,2.363281,2.390625,2.132813,2.340820,1.992781,44249600
2000-02-23,2.388672,2.414063,2.312500,2.367188,2.015228,25321600
2000-02-24,2.394531,2.433594,2.257813,2.292969,1.952044,22582400
2000-02-25,2.375000,2.390625,2.093750,2.260742,1.924609,35862400
2000-02-28,2.208984,2.289063,2.152344,2.216797,1.887197,28585600
2000-02-29,2.222656,2.398438,2.218750,2.390625,2.035181,23766400
2000-03-01,2.369141,2.541016,2.369141,2.499023,2.127462,36835200
2000-03-02,2.523438,2.562500,2.394531,2.437500,2.075086,16652800
2000-03-03,2.468750,2.589844,2.437500,2.496094,2.124968,16841600
2000-03-06,2.507813,2.640625,2.464844,2.574219,2.191477,22163200
2000-03-07,2.613281,2.656250,2.289063,2.396484,2.040169,19222400
2000-03-08,2.523926,2.531250,2.234375,2.310547,1.967008,15993600
2000-03-09,2.343750,2.375000,2.218750,2.238281,1.905488,14304000
2000-03-10,2.281250,2.316406,2.167969,2.240234,1.907150,18297600
2000-03-13,2.150391,2.214844,2.083984,2.117188,1.802398,18227200
2000-03-14,2.154297,2.304688,2.000000,2.121094,1.805724,43184000
2000-03-15,2.144531,2.191406,1.996094,1.998047,1.700972,23276800
2000-03-16,2.187500,2.193359,2.015625,2.066406,1.759167,17696000
2000-03-17,2.023438,2.179688,1.937500,1.992188,1.695984,18880000
2000-03-20,1.988281,2.156250,1.734375,1.794922,1.528048,29299200
2000-03-21,1.792969,1.910156,1.664063,1.779297,1.514746,48233600
2000-03-22,1.861328,2.015625,1.851563,2.001953,1.704297,17088000
2000-03-23,2.109375,2.238281,2.062500,2.175781,1.852280,43878400
2000-03-24,2.183594,2.273438,2.167969,2.199219,1.872233,18467200
2000-03-27,2.248047,2.253906,2.117188,2.181641,1.857268,17868800
2000-03-28,2.238281,2.335938,2.175781,2.201172,1.873896,13974400
2000-03-29,2.250000,2.343750,2.031250,2.082031,1.772469,21843200
2000-03-30,2.025391,2.025391,1.843750,1.843750,1.569616,29782400
2000-03-31,1.925781,2.007813,1.906250,1.980469,1.686007,32233600
2000-04-03,1.921875,1.984375,1.875000,1.876953,1.597883,19635200
2000-04-04,1.898438,1.919922,1.714844,1.851563,1.576267,23440000
2000-04-05,1.851563,2.031250,1.792969,1.945313,1.656078,35942400
2000-04-06,2.052734,2.101563,1.953125,2.061035,1.754595,28924800
2000-04-07,2.109375,2.109375,1.968750,1.978516,1.684345,24265600
2000-04-10,1.992188,2.039063,1.921875,1.937500,1.649427,15536000
2000-04-11,1.960938,1.966797,1.820313,1.953125,1.662729,18240000
2000-04-12,1.917969,1.921875,1.753906,1.818359,1.548001,20832000
2000-04-13,1.837891,1.941406,1.710938,1.902344,1.619498,24284800
2000-04-14,1.904297,1.906250,1.710938,1.728516,1.471515,18460800
2000-04-17,1.705078,1.718750,1.578125,1.589844,1.353461,32432000
2000-04-18,1.601563,1.734375,1.568359,1.708984,1.454888,31932800
2000-04-19,1.757813,1.757813,1.625000,1.625488,1.383806,14256000
2000-04-20,1.683594,1.683594,1.521484,1.601563,1.363438,20832000
2000-04-24,1.625000,1.625000,1.457031,1.535156,1.306905,8732800
2000-04-25,1.564453,1.578125,1.496094,1.498047,1.275313,17948800
2000-04-26,1.529297,1.531250,1.398438,1.437500,1.223769,23382400
2000-04-27,1.417969,1.417969,1.351563,1.357422,1.155597,20278400
2000-04-28,1.416016,1.699219,1.390625,1.693359,1.441586,31238400
2000-05-01,1.689453,1.769531,1.523438,1.742188,1.483154,24006400
2000-05-02,1.779297,1.875000,1.632813,1.789063,1.523060,22195200
2000-05-03,1.794922,1.796875,1.664063,1.675781,1.426622,12617600
2000-05-04,1.708984,2.023438,1.701172,1.974609,1.681019,32393600
2000-05-05,1.892578,2.210449,1.835938,2.156250,1.835653,41792000
2000-05-08,2.125000,2.140625,2.007813,2.097656,1.785771,22076800
2000-05-09,2.115234,2.148438,2.027344,2.033203,1.730901,28553600
2000-05-10,2.011719,2.015625,1.863281,1.937500,1.649427,14000000
2000-05-11,1.953125,2.052734,1.921875,1.938965,1.650674,7113600
2000-05-12,1.935547,1.960938,1.900391,1.943359,1.654415,11344000
2000-05-15,1.947266,2.015625,1.843750,2.013672,1.714274,7756800
2000-05-16,2.011719,2.156250,2.011719,2.128906,1.812375,15056000
2000-05-17,2.123047,2.125000,2.017578,2.050781,1.745866,22387200
2000-05-18,2.062500,2.062500,1.960938,1.964844,1.672706,16163200
