Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,3.273438,3.328125,3.164063,3.257813,2.735792,10513600
2000-01-19,3.257813,3.328125,3.179688,3.187500,2.676746,15800800
2000-01-20,3.195313,3.218750,3.070313,3.132813,2.630822,18167200
2000-01-21,3.164063,3.171875,3.093750,3.121094,2.620980,11176000
2000-01-24,3.125000,3.195313,2.890625,3.070313,2.578336,31140000
2000-01-25,3.039063,3.375000,2.976563,3.250000,2.729231,47650400
2000-01-26,3.367188,3.671875,3.343750,3.625000,3.044142,75863200
2000-01-27,3.609375,3.640625,3.539063,3.609375,3.031021,37517600
2000-01-28,3.625000,3.773438,3.617188,3.726563,3.129431,60170400
2000-01-31,3.742188,4.000000,3.734375,4.000000,3.359054,51054400
2000-02-01,3.968750,4.046875,3.929688,4.039063,3.391856,30592000
2000-02-02,4.031250,4.062500,3.859375,3.976563,3.339372,20413600
2000-02-03,3.984375,4.000000,3.796875,3.929688,3.300007,20513600
2000-02-04,4.062500,4.343750,3.937500,4.296875,3.608357,51308800
2000-02-07,4.289063,4.312500,4.171875,4.281250,3.595237,19449600
2000-02-08,4.281250,4.375000,4.257813,4.375000,3.673966,21536000
2000-02-09,4.351563,4.359375,4.257813,4.312500,3.621480,17676000
2000-02-10,4.312500,4.335938,3.945313,4.000000,3.359054,24207200
2000-02-11,3.984375,4.187500,3.984375,4.109375,3.450903,19193600
2000-02-14,4.171875,4.351563,4.109375,4.242188,3.562433,20843200
2000-02-15,4.242188,4.359375,4.046875,4.328125,3.634601,16425600
2000-02-16,4.328125,4.335938,4.265625,4.273438,3.588676,16617600
2000-02-17,4.296875,4.343750,4.250000,4.328125,3.634601,11840800
2000-02-18,4.320313,4.375000,4.062500,4.140625,3.477146,17745600
2000-02-22,4.109375,4.210938,4.039063,4.148438,3.483705,13170400
2000-02-23,4.117188,4.382813,4.093750,4.359375,3.660844,18372800
2000-02-24,4.359375,4.523438,4.210938,4.382813,3.680527,24721600
2000-02-25,4.351563,4.375000,4.187500,4.218750,3.542753,9384000
2000-02-28,4.187500,4.265625,4.093750,4.257813,3.575555,13456000
2000-02-29,4.218750,4.429688,4.203125,4.390625,3.687087,13168000
2000-03-01,4.390625,4.476563,4.312500,4.343750,3.647722,10548000
2000-03-02,4.320313,4.320313,4.078125,4.156250,3.490266,13367200
2000-03-03,4.203125,4.718750,4.203125,4.648438,3.903587,28210400
2000-03-06,4.615234,4.617188,4.460938,4.484375,3.765814,11278400
2000-03-07,4.492188,4.515625,4.250000,4.265625,3.582116,12872000
2000-03-08,4.257813,4.343750,4.140625,4.234375,3.555873,15707200
2000-03-09,4.218750,4.531250,4.125000,4.515625,3.792058,13624800
2000-03-10,4.460938,4.500000,4.328125,4.453125,3.739571,9488000
2000-03-13,4.320313,4.437500,4.281250,4.343750,3.647722,14124800
2000-03-14,4.373047,4.429688,4.171875,4.179688,3.509949,9474400
2000-03-15,4.156250,4.492188,4.156250,4.398438,3.693646,14703200
2000-03-16,4.398438,4.867188,4.398438,4.796875,4.028240,35879200
2000-03-17,4.687500,4.773438,4.546875,4.632813,3.890466,19867200
2000-03-20,4.562500,4.593750,4.375000,4.398438,3.693646,10842400
2000-03-21,4.421875,4.878906,4.398438,4.875000,4.093847,21850400
2000-03-22,4.796875,4.976563,4.687500,4.890625,4.106967,24861600
2000-03-23,4.828125,5.000000,4.812500,4.921875,4.133210,18564800
2000-03-24,4.953125,5.000000,4.695313,4.828125,4.054484,13520000
2000-03-27,4.851563,5.054688,4.843750,4.890625,4.106967,17021600
2000-03-28,4.906250,4.984375,4.687500,4.742188,3.982316,9432000
2000-03-29,4.765625,5.000000,4.710938,4.960938,4.166016,12658400
2000-03-30,4.906250,5.210938,4.906250,4.968750,4.172575,25609600
2000-03-31,4.976563,5.656250,4.914063,5.601563,4.703987,36625600
2000-04-03,5.023438,5.281250,4.906250,5.179688,4.349712,35332000
2000-04-04,5.140625,5.437500,4.937500,5.429688,4.559654,39746400
2000-04-05,5.328125,5.328125,4.906250,4.945313,4.152893,25903200
2000-04-06,4.992188,5.031250,4.562500,4.695313,3.942952,19013600
2000-04-07,4.750000,5.015625,4.750000,5.007813,4.205377,18377600
2000-04-10,5.031250,5.039063,4.570313,4.578125,3.844542,13938400
2000-04-11,4.578125,4.875000,4.468750,4.742188,3.982316,10528000
2000-04-12,4.746094,4.820313,4.671875,4.703125,3.949513,11848800
2000-04-13,4.710938,5.015625,4.695313,4.978516,4.180776,27032000
2000-04-14,4.867188,4.875000,4.226563,4.398438,3.693646,20801600
2000-04-17,4.281250,4.570313,4.179688,4.515625,3.792058,19577600
2000-04-18,4.531250,4.703125,4.453125,4.679688,3.929832,12808800
2000-04-19,4.648438,4.867188,4.593750,4.656250,3.910147,16598400
2000-04-20,4.664063,4.750000,4.500000,4.679688,3.929832,8062400
2000-04-24,4.625000,5.078125,4.609375,4.992188,4.192256,15964000
2000-04-25,4.812500,4.921875,4.375000,4.773438,4.008559,29955200
2000-04-26,4.714844,4.726563,4.562500,4.640625,3.897027,18652000
2000-04-27,4.507813,4.640625,4.429688,4.632813,3.890466,22625600
2000-04-28,4.210938,4.257813,3.750000,3.779297,3.173716,131648000
2000-05-01,3.875000,3.914063,3.765625,3.867188,3.247523,59110400
2000-05-02,4.023438,4.187500,3.976563,3.992188,3.352492,32888000
2000-05-03,4.015625,4.015625,3.875000,3.976563,3.339372,19873600
2000-05-04,3.960938,4.234375,3.953125,4.179688,3.509949,24694400
2000-05-05,4.117188,4.218750,3.982422,4.210938,3.536191,17266400
2000-05-08,4.203125,4.203125,4.093750,4.125000,3.464024,13504800
2000-05-09,4.140625,4.187500,4.015625,4.171875,3.503388,12227200
2000-05-10,4.156250,4.203125,4.031250,4.070313,3.418099,10658400
2000-05-11,4.070313,4.187500,3.992188,4.156250,3.490266,10589600
2000-05-12,4.125000,4.140625,4.007813,4.070313,3.418099,6435200
2000-05-15,3.867188,4.078125,3.687500,4.062500,3.411538,32682400
2000-05-16,4.234375,4.250000,4.085938,4.156250,3.490266,18169600
2000-05-17,4.078125,4.218750,4.046875,4.054688,3.404978,12980000
2000-05-18,4.070313,4.093750,3.835938,3.835938,3.221281,7735200
2000-05-19,3.757813,3.843750,3.750000,3.765625,3.162234,10980000
2000-05-22,3.750000,3.750000,3.500000,3.734375,3.135992,15147200
2000-05-23,3.734375,3.804688,3.539063,3.539063,2.971975,11849600
2000-05-24,3.632813,3.906250,3.617188,3.875000,3.254084,20748000
2000-05-25,3.875000,3.984375,3.718750,3.734375,3.135992,10899200
2000-05-26,3.796875,3.875000,3.601563,3.640625,3.057264,7568000
2000-05-30,3.703125,4.132813,3.703125,4.132813,3.470584,15240800
2000-05-31,4.101563,4.375000,4.070313,4.250000,3.568995,25138400
2000-06-01,4.265625,4.367188,4.195313,4.312500,3.621480,14414400
2000-06-02,4.375000,4.613281,4.351563,4.601563,3.864223,18244800
2000-06-05,4.562500,4.781250,4.429688,4.453125,3.739571,15199200
2000-06-06,4.875000,4.937500,4.679688,4.687500,3.936391,80343200
2000-06-07,4.656250,4.671875,4.000000,4.320313,3.628040,295411200
2000-06-08,4.320313,4.462891,4.312500,4.414063,3.706768,40236000
2000-06-09,4.468750,4.562500,4.375000,4.468750,3.752693,12570400
2000-06-12,4.472656,4.476563,4.226563,4.234375,3.555873,16373600
2000-06-13,4.265625,4.601563,4.250000,4.492188,3.772376,13188800
2000-06-14,4.500000,4.505859,4.304688,4.398438,3.693646,8879200
2000-06-15,4.406250,4.453125,4.304688,4.335938,3.641162,7989600
2000-06-16,4.476563,4.484375,4.343750,4.359375,3.660844,9588800
2000-06-19,4.367188,4.406250,4.320313,4.390625,3.687087,7847200
2000-06-20,4.375000,4.468750,4.281250,4.437500,3.726450,9499200
2000-06-21,4.437500,4.593750,4.437500,4.523438,3.798619,11316800
2000-06-22,4.515625,4.609375,4.460938,4.476563,3.759254,10972800
2000-06-23,4.515625,4.531250,4.406250,4.414063,3.706768,8563200
2000-06-26,4.390625,4.531250,4.375000,4.531250,3.805178,8988800
2000-06-27,4.500000,4.773438,4.484375,4.687500,3.936391,21997600
2000-06-28,4.687500,4.820313,4.664063,4.773438,4.008559,15008800
2000-06-29,4.757813,4.765625,4.671875,4.734375,3.975755,14005600
2000-06-30,4.742188,4.867188,4.736328,4.773438,4.008559,19087200
2000-07-03,4.750000,4.851563,4.734375,4.812500,4.041362,4152800
2000-07-05,4.820313,4.875000,4.710938,4.789063,4.021680,9477600
2000-07-06,4.820313,4.843750,4.562500,4.757813,3.995436,24504000
2000-07-07,4.867188,5.250000,4.843750,5.226563,4.389078,43858400
2000-07-10,5.171875,5.343750,4.968750,4.968750,4.172575,27056000
2000-07-11,4.937500,5.101563,4.929688,4.992188,4.192256,10144000
2000-07-12,4.968750,5.140625,4.968750,5.039063,4.231619,11012800
2000-07-13,5.000000,5.015625,4.937500,5.000000,4.198817,9336800
2000-07-14,4.992188,5.015625,4.953125,5.000000,4.198817,7544000
2000-07-17,4.960938,5.015625,4.953125,4.976563,4.179135,6392000
2000-07-18,4.968750,5.101563,4.953125,4.968750,4.172575,12171200
2000-07-19,4.953125,5.031250,4.953125,4.968750,4.172575,8169600
2000-07-20,4.988281,5.109375,4.984375,5.000000,4.198817,11516800
2000-07-21,4.976563,5.054688,4.968750,4.992188,4.192256,14138400
2000-07-24,5.000000,5.046875,4.921875,4.964844,4.169295,11320000
2000-07-25,4.914063,4.937500,4.632813,4.820313,4.047923,42159200
2000-07-26,4.781250,4.789063,4.679688,4.710938,3.956073,20628800
2000-07-27,4.710938,4.757813,4.492188,4.515625,3.792058,29740800
2000-07-28,4.625000,4.984375,4.609375,4.625000,3.883906,21852000
2000-07-31,4.640625,4.890625,4.578125,4.687500,3.936391,11788800
2000-08-01,4.683594,4.796875,4.679688,4.742188,3.982316,9661600
2000-08-02,4.750000,5.007813,4.742188,4.906250,4.120089,11322400
2000-08-03,4.859375,5.031250,4.835938,5.007813,4.205377,12997600
2000-08-04,5.015625,5.242188,5.000000,5.210938,4.375956,19534400
2000-08-07,5.171875,5.375000,5.101563,5.351563,4.494048,24337600
2000-08-08,5.281250,5.414063,5.250000,5.359375,4.500607,17934400
2000-08-09,5.335938,5.453125,5.328125,5.375000,4.513729,16178400
2000-08-10,5.351563,5.515625,5.328125,5.359375,4.500607,22708000
2000-08-11,5.359375,5.363281,5.195313,5.335938,4.480925,15380000
2000-08-14,5.343750,5.351563,5.148438,5.242188,4.402197,12744000
2000-08-15,5.218750,5.226563,5.062500,5.093750,4.277547,10412800
2000-08-16,5.054688,5.179688,4.828125,5.054688,4.244741,22195200
2000-08-17,4.953125,4.960938,4.718750,4.781250,4.015120,27787200
2000-08-18,4.750000,4.753906,4.523438,4.578125,3.844542,31872000
2000-08-21,4.593750,4.703125,4.554688,4.656250,3.910147,12217600
2000-08-22,4.671875,4.804688,4.664063,4.687500,3.936391,11711200
2000-08-23,4.582031,4.585938,4.453125,4.476563,3.759254,41151200
2000-08-24,4.484375,4.515625,4.437500,4.515625,3.792058,12645600
2000-08-25,4.523438,4.632813,4.437500,4.468750,3.752693,10297600
2000-08-28,4.476563,4.562500,4.445313,4.507813,3.785497,9989600
2000-08-29,4.539063,4.546875,4.320313,4.390625,3.687087,15006400
2000-08-30,4.390625,4.671875,4.390625,4.585938,3.851103,19828000
2000-08-31,4.593750,4.695313,4.507813,4.578125,3.844542,9632000
2000-09-01,4.781250,4.937500,4.703125,4.710938,3.956073,14924000
2000-09-05,4.753906,4.851563,4.687500,4.703125,3.949513,7419200
2000-09-06,4.812500,4.812500,4.609375,4.617188,3.877346,12783200
2000-09-07,4.656250,4.718750,4.593750,4.703125,3.949513,6658400
2000-09-08,4.656250,4.671875,4.531250,4.531250,3.805178,6394400
2000-09-11,4.542969,4.648438,4.484375,4.546875,3.818299,8928000
2000-09-12,4.578125,4.718750,4.570313,4.671875,3.923269,7355200
2000-09-13,4.687500,4.921875,4.679688,4.867188,4.087286,14172800
2000-09-14,4.859375,4.859375,4.687500,4.742188,3.982316,12324000
2000-09-15,4.859375,4.890625,4.750000,4.843750,4.067605,19728800
2000-09-18,4.734375,4.804688,4.578125,4.689453,3.938031,8418400
2000-09-19,4.703125,4.796875,4.570313,4.703125,3.949513,9800000
2000-09-20,4.648438,4.765625,4.531250,4.734375,3.975755,10300000
2000-09-21,4.710938,4.859375,4.656250,4.828125,4.054484,10904800
2000-09-22,4.796875,4.960938,4.796875,4.890625,4.106967,9906400
2000-09-25,4.843750,5.023438,4.828125,4.992188,4.192256,11791200
2000-09-26,4.968750,5.046875,4.882813,4.937500,4.146333,8460800
2000-09-27,4.914063,5.015625,4.750000,4.984375,4.185695,12504800
2000-09-28,5.007813,5.210938,5.000000,5.132813,4.310349,13140000
2000-09-29,5.171875,5.218750,4.968750,5.007813,4.205377,10564000
2000-10-02,5.015625,5.062500,4.796875,5.046875,4.238182,13757600
2000-10-03,5.078125,5.140625,4.890625,4.937500,4.146333,10519200
2000-10-04,4.960938,5.109375,4.953125,5.093750,4.277547,10004000
2000-10-05,5.031250,5.296875,5.000000,5.125000,4.303788,16740000
2000-10-06,5.195313,5.296875,4.968750,5.023438,4.218499,10987200
2000-10-09,5.015625,5.148438,4.968750,5.062500,4.251302,8897600
2000-10-10,5.078125,5.179688,4.984375,5.070313,4.257863,9776000
2000-10-11,4.968750,5.164063,4.968750,5.007813,4.205377,9331200
2000-10-12,5.007813,5.007813,4.593750,4.789063,4.021680,14966400
2000-10-13,4.726563,4.937500,4.640625,4.906250,4.120089,12576800
2000-10-16,4.828125,5.125000,4.796875,5.070313,4.257863,11672000
2000-10-17,5.132813,5.156250,4.882813,4.968750,4.172575,8452000
2000-10-18,4.921875,5.132813,4.781250,5.039063,4.231619,13180000
2000-10-19,5.039063,5.218750,4.890625,5.125000,4.303788,15779200
2000-10-20,5.007813,5.117188,5.007813,5.039063,4.231619,8728000
