Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,42.125000,43.062500,40.875000,41.125000,14.945189,9824500
2000-01-19,41.000000,41.000000,40.000000,40.562500,14.740772,10212300
2000-01-20,40.812500,41.562500,40.062500,41.000000,14.899773,10080400
2000-01-21,42.875000,43.375000,42.000000,43.000000,15.626581,15950400
2000-01-24,43.437500,43.500000,40.937500,42.000000,15.263175,9980400
2000-01-25,41.000000,41.125000,38.562500,40.000000,14.536357,15943100
2000-01-26,40.500000,40.500000,39.687500,40.000000,14.536357,7662100
2000-01-27,40.062500,40.312500,39.000000,39.000000,14.172949,6920100
2000-01-28,39.312500,40.437500,39.000000,39.250000,14.263803,8650600
2000-01-31,39.500000,43.500000,39.062500,42.875000,15.581153,11255300
2000-02-01,43.000000,43.000000,41.750000,42.375000,15.399452,8949600
2000-02-02,43.000000,43.125000,42.500000,42.500000,15.444881,6675100
2000-02-03,43.000000,43.187500,41.312500,42.000000,15.263175,7703800
2000-02-04,42.000000,42.375000,41.562500,42.000000,15.263175,6773000
2000-02-07,41.375000,42.312500,41.062500,41.875000,15.217740,5804500
2000-02-08,42.500000,43.000000,42.000000,42.062500,15.285881,5669800
2000-02-09,42.312500,42.812500,42.000000,42.625000,15.490300,6809500
2000-02-10,42.375000,42.437500,41.937500,42.125000,15.308601,5151200
2000-02-11,42.000000,42.062500,39.750000,40.437500,14.695345,5575700
2000-02-14,39.500000,41.500000,39.437500,40.875000,14.854342,8459100
2000-02-15,40.000000,41.000000,39.562500,40.687500,14.786204,8191900
2000-02-16,40.375000,40.687500,38.750000,39.062500,14.195660,8475100
2000-02-17,38.937500,40.000000,38.000000,40.000000,14.536357,9273600
2000-02-18,38.062500,38.250000,36.000000,38.250000,13.900391,13922400
2000-02-22,37.250000,37.312500,35.562500,36.500000,13.264419,14056000
2000-02-23,36.000000,36.500000,34.812500,35.750000,12.991872,12876300
2000-02-24,35.437500,35.875000,34.812500,35.500000,12.901014,12888000
2000-02-25,36.000000,36.687500,34.937500,35.437500,12.878303,11357400
2000-02-28,35.750000,37.500000,35.750000,37.000000,13.446128,11264900
2000-02-29,37.187500,38.125000,37.125000,37.750000,13.718686,8579000
2000-03-01,40.062500,42.000000,39.750000,42.000000,15.263175,15273600
2000-03-02,43.000000,46.000000,42.812500,45.250000,16.444256,14977200
2000-03-03,45.500000,46.000000,44.187500,45.562500,16.557821,8890700
2000-03-06,44.562500,44.562500,42.750000,43.375000,15.762863,6434200
2000-03-07,43.562500,44.500000,41.875000,41.875000,15.217740,6848900
2000-03-08,41.875000,42.062500,41.375000,41.625000,15.126899,6801600
2000-03-09,41.375000,41.625000,40.625000,41.562500,15.104186,5970700
2000-03-10,41.562500,42.500000,41.437500,42.000000,15.263175,7409900
2000-03-13,41.250000,44.000000,41.062500,43.687500,15.876429,6477800
2000-03-14,43.750000,43.750000,42.000000,42.125000,15.308601,6635300
2000-03-15,42.625000,43.000000,42.312500,42.500000,15.444881,7035600
2000-03-16,43.937500,45.500000,42.937500,45.125000,16.398823,9511100
2000-03-17,45.375000,46.812500,45.125000,45.750000,16.625959,9068200
2000-03-20,45.125000,45.750000,44.187500,44.437500,16.148979,4634400
2000-03-21,44.562500,45.375000,43.812500,45.250000,16.444256,4397500
2000-03-22,44.375000,44.937500,43.000000,43.312500,15.740149,5046800
2000-03-23,42.437500,44.000000,42.375000,43.562500,15.831000,5530300
2000-03-24,43.062500,43.687500,42.562500,43.000000,15.626581,5129800
2000-03-27,43.125000,43.625000,42.437500,43.187500,15.694727,5878800
2000-03-28,42.687500,43.375000,42.437500,42.500000,15.444881,6264600
2000-03-29,42.937500,43.875000,41.937500,42.250000,15.354026,6818400
2000-03-30,43.000000,43.375000,41.562500,41.625000,15.126899,8871800
2000-03-31,42.500000,43.000000,42.000000,42.125000,15.308601,7637900
2000-04-03,42.500000,44.875000,42.437500,44.750000,16.262543,7712000
2000-04-04,45.000000,47.187500,44.750000,46.000000,16.716808,10787700
2000-04-05,46.000000,47.125000,45.875000,46.312500,16.830378,8541900
2000-04-06,46.062500,47.312500,46.000000,46.609375,17.031599,5801500
2000-04-07,47.000000,47.187500,45.312500,46.375000,16.945951,5166700
2000-04-10,46.000000,46.437500,45.562500,46.250000,16.900280,4222800
2000-04-11,46.312500,48.250000,46.062500,47.250000,17.265686,6522900
2000-04-12,47.937500,49.000000,47.000000,47.000000,17.174332,7787600
2000-04-13,47.312500,47.312500,46.000000,47.000000,17.174332,5746000
2000-04-14,45.625000,46.625000,42.000000,42.625000,15.575670,7487000
2000-04-17,43.500000,43.562500,40.875000,41.875000,15.301601,7506700
2000-04-18,41.125000,41.937500,40.437500,41.500000,15.164577,6746600
2000-04-19,41.437500,42.625000,41.125000,41.937500,15.324443,7169800
2000-04-20,42.000000,42.375000,40.937500,41.187500,15.050386,3875900
2000-04-24,41.187500,42.437500,41.000000,42.250000,15.438630,4906400
2000-04-25,42.812500,45.437500,42.437500,44.937500,16.420675,9328400
2000-04-26,45.000000,45.187500,43.500000,44.000000,16.078102,7447300
2000-04-27,43.750000,44.250000,43.000000,43.250000,15.804055,7162000
2000-04-28,43.500000,44.312500,43.250000,43.812500,16.009592,7246500
2000-05-01,44.125000,45.125000,43.687500,44.625000,16.306482,7139300
2000-05-02,44.500000,44.500000,41.750000,42.375000,15.484311,7203000
2000-05-03,42.312500,42.687500,41.687500,41.937500,15.324443,4745300
2000-05-04,42.000000,42.000000,40.812500,41.062500,15.004709,4526200
2000-05-05,41.062500,43.187500,41.062500,43.000000,15.712692,4670100
2000-05-08,42.625000,42.937500,41.875000,42.875000,15.667016,3999300
2000-05-09,42.375000,43.500000,41.875000,42.312500,15.461470,4813900
2000-05-10,42.500000,46.000000,42.250000,45.125000,16.489191,8298300
2000-05-11,45.312500,45.937500,45.187500,45.562500,16.649063,5161300
2000-05-12,44.687500,45.000000,44.187500,44.843750,16.386414,3479800
2000-05-15,44.375000,46.750000,44.000000,46.000000,16.808928,4819000
2000-05-16,46.500000,46.937500,45.312500,45.687500,16.694736,4458800
2000-05-17,45.187500,45.437500,44.812500,45.312500,16.557703,3362500
2000-05-18,45.062500,45.562500,43.937500,44.250000,16.169456,3673600
2000-05-19,42.875000,43.687500,42.375000,42.687500,15.598496,5748300
2000-05-22,43.625000,43.625000,41.750000,42.500000,15.529989,4492800
2000-05-23,42.250000,42.437500,41.750000,41.812500,15.278765,4506800
2000-05-24,42.062500,43.312500,42.062500,43.125000,15.758369,4963900
2000-05-25,42.500000,43.187500,41.562500,42.062500,15.370117,4467500
2000-05-26,42.062500,43.062500,42.062500,42.625000,15.575670,3364600
2000-05-30,43.250000,44.250000,42.750000,44.250000,16.169456,4185900
2000-05-31,44.000000,44.312500,43.250000,43.687500,15.963905,4418000
2000-06-01,44.125000,44.875000,44.000000,44.000000,16.078102,4145300
2000-06-02,45.000000,45.437500,44.750000,45.000000,16.443514,5281100
2000-06-05,45.312500,45.312500,44.312500,44.312500,16.192293,3314100
2000-06-06,44.687500,46.375000,44.625000,45.312500,16.557703,5289900
2000-06-07,45.250000,46.750000,45.062500,46.375000,16.945951,4645500
2000-06-08,46.375000,47.312500,46.312500,47.000000,17.174332,4517900
2000-06-09,47.250000,48.125000,47.125000,48.125000,17.585426,5086400
2000-06-12,47.375000,47.687500,46.625000,46.812500,17.105825,3894000
2000-06-13,46.500000,48.062500,46.500000,48.000000,17.539747,4192000
2000-06-14,48.875000,50.312500,48.562500,50.000000,18.270571,8273000
2000-06-15,49.375000,49.937500,48.125000,48.687500,17.790972,6229700
2000-06-16,48.625000,48.875000,47.187500,47.250000,17.265686,8192900
2000-06-19,47.250000,48.687500,47.250000,47.500000,17.357037,5087700
2000-06-20,47.875000,47.937500,47.000000,47.187500,17.242846,3829000
2000-06-21,47.250000,48.812500,47.125000,48.125000,17.585426,4606800
2000-06-22,48.000000,49.125000,47.875000,49.125000,17.950838,4331000
2000-06-23,48.750000,49.125000,48.250000,48.562500,17.745293,2769500
2000-06-26,48.562500,49.312500,47.062500,47.375000,17.311373,4338500
2000-06-27,48.000000,49.000000,46.250000,46.562500,17.014471,8427500
2000-06-28,46.562500,46.875000,44.125000,44.921875,16.414968,6938100
2000-06-29,44.125000,46.250000,44.000000,45.562500,16.649063,7219500
2000-06-30,44.875000,46.000000,43.234375,44.000000,16.078102,15147400
2000-07-03,44.125000,46.625000,44.062500,46.562500,17.014471,3245900
2000-07-05,46.750000,46.812500,45.250000,45.750000,16.717573,5174300
2000-07-06,45.562500,45.687500,43.500000,43.625000,16.029999,4184500
2000-07-07,43.937500,45.437500,43.937500,44.687500,16.420418,4375100
2000-07-10,45.312500,45.812500,44.437500,44.812500,16.466347,3349100
2000-07-11,44.437500,45.125000,44.125000,44.375000,16.305584,3976800
2000-07-12,44.500000,45.250000,44.500000,44.937500,16.512278,2566800
2000-07-13,45.187500,45.875000,45.125000,45.750000,16.810833,4010900
2000-07-14,45.750000,45.875000,44.625000,45.375000,16.673035,4196600
2000-07-17,44.875000,44.875000,43.250000,43.281250,15.903689,5377200
2000-07-18,43.437500,44.062500,42.875000,43.500000,15.984071,5651100
2000-07-19,44.437500,44.437500,43.250000,43.625000,16.029999,4164100
2000-07-20,44.125000,45.562500,43.000000,43.125000,15.846278,5914000
2000-07-21,43.250000,44.000000,42.437500,43.000000,15.800342,4278400
2000-07-24,42.750000,43.687500,42.687500,43.187500,15.869244,4297900
2000-07-25,43.437500,44.312500,43.375000,44.000000,16.167789,4182100
2000-07-26,43.937500,44.125000,43.125000,43.125000,15.846278,5807100
2000-07-27,43.500000,43.687500,42.625000,42.812500,15.731442,4954700
2000-07-28,42.250000,43.187500,42.187500,42.500000,15.616621,4718600
2000-07-31,42.562500,43.437500,42.312500,42.562500,15.639582,4205200
2000-08-01,42.625000,44.000000,42.562500,43.687500,16.052965,4417200
2000-08-02,44.000000,44.750000,43.812500,44.312500,16.282619,5915000
2000-08-03,44.375000,44.500000,43.750000,44.000000,16.167789,5796500
2000-08-04,44.000000,44.125000,43.500000,43.937500,16.144821,5642900
2000-08-07,43.375000,44.562500,43.375000,44.375000,16.305584,4180100
2000-08-08,43.625000,43.875000,42.000000,42.500000,15.616621,8636300
2000-08-09,42.687500,42.875000,41.312500,41.687500,15.318069,6266300
2000-08-10,41.812500,42.500000,41.812500,42.312500,15.547719,4548300
2000-08-11,42.625000,43.500000,42.000000,42.562500,15.639582,3998500
2000-08-14,42.062500,42.625000,41.562500,41.875000,15.386958,3774700
2000-08-15,42.375000,42.687500,42.000000,42.000000,15.432896,3258100
2000-08-16,42.500000,42.625000,41.000000,41.312500,15.180269,4172500
2000-08-17,40.750000,40.875000,38.750000,39.500000,14.514272,12535100
2000-08-18,39.562500,39.937500,38.437500,39.312500,14.445374,8491300
2000-08-21,40.187500,40.250000,39.437500,40.062500,14.720966,6455800
2000-08-22,40.312500,40.375000,39.625000,39.625000,14.560203,5927500
2000-08-23,39.937500,40.625000,39.875000,40.187500,14.766891,4470300
2000-08-24,40.625000,41.125000,40.375000,40.500000,14.881717,5077300
2000-08-25,40.750000,41.187500,40.312500,41.187500,15.134341,4135100
2000-08-28,41.437500,42.625000,41.312500,42.125000,15.478825,6803800
2000-08-29,41.937500,43.062500,41.812500,42.312500,15.547719,5148400
2000-08-30,42.000000,42.312500,41.375000,42.125000,15.478825,3775900
2000-08-31,42.125000,42.937500,41.750000,41.765625,15.346775,5065900
2000-09-01,42.812500,43.125000,41.750000,42.937500,15.777373,5129300
2000-09-05,43.062500,43.312500,42.562500,43.187500,15.869244,3636400
2000-09-06,43.250000,44.000000,42.750000,42.875000,15.754416,4744400
2000-09-07,42.812500,43.125000,42.625000,42.750000,15.708488,3482800
2000-09-08,42.687500,45.437500,42.625000,45.062500,16.558216,9172400
2000-09-11,45.250000,46.000000,45.187500,45.937500,16.879725,7958300
2000-09-12,45.562500,45.875000,45.250000,45.625000,16.764896,5205200
2000-09-13,45.875000,45.875000,45.062500,45.375000,16.673035,4161600
2000-09-14,45.125000,45.187500,44.375000,44.875000,16.489307,4985300
2000-09-15,44.750000,44.875000,44.250000,44.250000,16.259655,7134200
2000-09-18,44.875000,45.000000,44.187500,44.750000,16.443378,4095900
2000-09-19,44.562500,45.937500,44.562500,45.500000,16.718967,3637200
2000-09-20,45.687500,46.000000,44.187500,44.437500,16.328554,6517800
2000-09-21,44.500000,46.812500,44.312500,46.687500,17.155313,7067900
2000-09-22,46.562500,47.937500,46.312500,47.937500,17.614630,6153500
2000-09-25,48.000000,49.000000,47.562500,48.500000,17.821320,6316900
2000-09-26,48.500000,49.250000,48.250000,48.312500,17.752426,7027900
2000-09-27,48.125000,48.687500,47.250000,47.437500,17.430901,5149200
2000-09-28,47.687500,49.875000,47.125000,49.687500,18.257662,6867000
2000-09-29,49.750000,50.187500,49.062500,49.875000,18.326561,8389800
2000-10-02,49.937500,50.125000,49.312500,50.062500,18.395462,5382600
2000-10-03,50.000000,51.125000,49.875000,49.937500,18.349543,5854100
2000-10-04,50.562500,52.875000,50.437500,51.750000,19.015522,9010400
2000-10-05,51.562500,53.812500,51.562500,53.562500,19.778494,8651900
2000-10-06,53.750000,53.812500,52.500000,53.312500,19.686182,6965800
2000-10-09,53.375000,53.875000,52.125000,52.437500,19.363081,9385100
2000-10-10,53.000000,53.000000,50.687500,50.937500,18.809185,7556700
2000-10-11,50.812500,50.937500,48.500000,49.125000,18.139906,7475100
2000-10-12,49.125000,50.562500,48.812500,49.875000,18.416845,5999800
2000-10-13,49.000000,50.437500,48.625000,50.125000,18.509161,7493800
2000-10-16,50.125000,51.312500,50.000000,50.750000,18.739950,5110400
2000-10-17,51.062500,52.625000,50.875000,52.437500,19.363081,5649500
2000-10-18,52.062500,53.875000,51.437500,52.687500,19.455391,7532500
2000-10-19,52.687500,53.625000,51.625000,52.062500,19.224602,7664500
2000-10-20,51.562500,51.875000,50.562500,50.750000,18.739950,6666300
2000-10-23,50.500000,54.187500,50.312500,54.125000,19.986198,8781500
2000-10-24,53.875000,54.500000,53.000000,53.875000,19.893885,8664200
2000-10-25,54.125000,54.875000,53.750000,54.812500,20.240074,6424500
2000-10-26,54.625000,55.000000,54.312500,54.437500,20.101599,8004500
2000-10-27,54.937500,56.625000,54.875000,56.312500,20.793959,11369900
2000-10-30,56.875000,58.437500,56.687500,58.125000,21.463240,11839100
2000-10-31,58.000000,59.000000,57.250000,57.687500,21.301699,13071400
2000-11-01,57.375000,58.125000,55.437500,56.062500,20.701651,10351800
2000-11-02,55.937500,56.750000,54.562500,56.000000,20.678570,7065900
2000-11-03,55.750000,57.250000,55.312500,57.187500,21.117064,7560200
2000-11-06,56.937500,57.250000,56.250000,56.562500,20.886274,6324800
2000-11-07,56.937500,57.187500,56.562500,57.062500,21.070900,3886300
2000-11-08,56.812500,57.625000,56.750000,57.375000,21.186300,4713100
2000-11-09,57.375000,58.500000,57.062500,57.625000,21.278620,8751800
2000-11-10,57.687500,58.250000,56.750000,57.125000,21.093985,5897800
2000-11-13,56.312500,58.500000,56.312500,58.000000,21.417086,7112400
2000-11-14,58.000000,58.062500,56.437500,57.312500,21.163221,6976600
2000-11-15,57.375000,57.453125,55.875000,57.312500,21.163221,5178000
2000-11-16,57.625000,58.875000,57.312500,58.062500,21.440163,4775100
2000-11-17,56.000000,56.500000,54.750000,56.000000,20.678570,11410900
2000-11-20,56.062500,57.250000,55.937500,57.000000,21.047829,7384100
2000-11-21,56.500000,57.750000,56.375000,56.937500,21.024755,5103400
2000-11-22,57.000000,58.500000,56.812500,58.500000,21.601717,5369500
2000-11-24,58.125000,58.250000,56.500000,56.750000,20.955515,2537600
2000-11-27,56.250000,56.937500,55.125000,55.437500,20.470858,4641300
2000-11-28,55.437500,56.562500,55.187500,55.750000,20.586252,4088600
2000-11-29,54.875000,55.750000,54.625000,55.187500,20.378546,5805500
2000-11-30,55.375000,55.937500,53.500000,54.937500,20.286234,7864600
2000-12-01,54.687500,54.687500,51.000000,52.187500,19.270763,11716000
2000-12-04,51.875000,54.000000,51.312500,53.000000,19.570789,7520100
2000-12-05,53.250000,53.750000,52.500000,53.437500,19.732346,6566300
2000-12-06,53.062500,54.437500,52.812500,54.250000,20.032366,6180100
2000-12-07,54.000000,55.000000,53.937500,54.250000,20.032366,4906600
2000-12-08,54.125000,54.250000,50.750000,51.687500,19.086128,7614200
2000-12-11,51.937500,51.937500,50.312500,50.812500,18.763041,5471100
2000-12-12,51.125000,52.750000,51.000000,52.250000,19.293840,4854700
2000-12-13,52.937500,53.687500,52.750000,53.437500,19.732346,4839000
2000-12-14,52.750000,54.875000,52.750000,54.625000,20.170835,5163800
2000-12-15,54.687500,55.000000,53.687500,53.687500,19.824657,12223600
2000-12-18,53.750000,54.375000,52.750000,53.312500,19.686182,5234500
2000-12-19,46.750000,48.000000,45.812500,46.562500,17.193674,23398900
2000-12-20,46.062500,46.250000,43.312500,44.062500,16.270521,15006600
2000-12-21,44.062500,44.937500,42.625000,44.875000,16.570547,10765700
2000-12-22,44.875000,45.875000,44.625000,45.875000,16.939814,7465500
2000-12-26,45.562500,46.875000,45.562500,46.812500,17.285994,4070900
2000-12-27,46.875000,47.750000,46.812500,47.750000,17.632170,4553300
