Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,33.750000,34.250000,33.625000,34.000000,23.126484,1939200
2000-01-19,34.031250,35.906250,33.500000,34.968750,23.785419,3417000
2000-01-20,34.968750,35.093750,33.500000,33.843750,23.020214,3005400
2000-01-21,34.375000,34.500000,32.250000,32.406250,22.042437,5370200
2000-01-24,32.750000,33.125000,31.625000,31.750000,21.596058,5629400
2000-01-25,32.250000,32.718750,31.437500,32.562500,22.148712,4761400
2000-01-26,32.500000,34.250000,32.500000,34.062500,23.168997,5087000
2000-01-27,33.968750,34.000000,32.906250,33.656250,22.892673,4697200
2000-01-28,33.718750,33.718750,31.500000,31.687500,21.553551,4666800
2000-01-31,31.875000,33.125000,31.687500,32.937500,22.403791,3084800
2000-02-01,33.000000,34.062500,32.562500,33.718750,22.935184,2733200
2000-02-02,33.750000,34.562500,33.031250,34.000000,23.126484,3095800
2000-02-03,33.875000,33.875000,32.812500,33.031250,22.467554,4748800
2000-02-04,33.468750,33.750000,31.875000,32.312500,21.978668,4543600
2000-02-07,32.500000,33.250000,32.312500,32.843750,22.340012,2819400
2000-02-08,32.843750,34.375000,32.812500,34.343750,23.360300,3512200
2000-02-09,34.343750,34.343750,33.500000,33.593750,22.850163,2085400
2000-02-10,33.656250,34.125000,33.062500,33.218750,22.595098,1900000
2000-02-11,33.281250,33.437500,33.031250,33.031250,22.467554,2102400
2000-02-14,33.062500,33.062500,32.187500,32.625000,22.191223,1876800
2000-02-15,32.500000,32.500000,31.437500,31.968750,21.744848,2811400
2000-02-16,31.875000,32.625000,30.718750,30.906250,21.055079,3917000
2000-02-17,30.906250,31.125000,29.250000,29.937500,20.395119,5698600
2000-02-18,29.937500,30.375000,29.093750,29.500000,20.097057,5321600
2000-02-22,29.406250,29.906250,27.718750,28.875000,19.671274,5649200
2000-02-23,29.125000,29.156250,28.343750,28.406250,19.351944,3702200
2000-02-24,28.406250,28.406250,26.875000,27.937500,19.032597,4127400
2000-02-25,28.031250,28.375000,27.437500,27.937500,19.032597,4806600
2000-02-28,28.625000,29.531250,28.312500,29.437500,20.054485,3935000
2000-02-29,29.437500,30.250000,29.062500,29.500000,20.097057,3704400
2000-03-01,29.468750,30.000000,29.250000,29.625000,20.182211,4027400
2000-03-02,29.687500,31.187500,29.687500,30.125000,20.522850,4042600
2000-03-03,30.500000,31.375000,29.937500,30.875000,21.033785,2528000
2000-03-06,30.968750,31.093750,29.968750,30.375000,20.693163,2646000
2000-03-07,30.000000,30.031250,28.781250,29.000000,19.756439,3787200
2000-03-08,28.437500,29.093750,28.437500,29.093750,19.820293,5544800
2000-03-09,29.125000,30.250000,28.312500,30.031250,20.458988,2846400
2000-03-10,30.250000,31.000000,30.218750,30.406250,20.714457,2626600
2000-03-13,29.750000,30.875000,29.250000,30.718750,20.927338,3464400
2000-03-14,30.718750,31.468750,30.187500,30.468750,20.757036,2396800
2000-03-15,30.500000,32.312500,30.125000,32.000000,21.800203,3036200
2000-03-16,32.500000,35.625000,32.500000,35.562500,24.227165,5595000
2000-03-17,35.000000,35.625000,34.531250,34.750000,23.673647,6235200
2000-03-20,34.562500,34.625000,33.000000,33.187500,22.609194,5328200
2000-03-21,33.125000,33.937500,32.656250,33.468750,22.800793,4826400
