Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,11.390625,11.468750,11.062500,11.093750,7.491877,2967600
2000-01-19,10.781250,10.921875,10.562500,10.906250,7.365258,5771600
2000-01-20,11.062500,11.203125,10.218750,10.500000,7.090907,8070800
2000-01-21,10.640625,11.046875,10.625000,10.937500,7.386361,5105200
2000-01-24,10.953125,11.062500,10.593750,10.609375,7.164773,3004000
2000-01-25,10.609375,10.671875,10.000000,10.234375,6.911520,5056800
2000-01-26,10.250000,10.453125,9.984375,10.453125,7.059251,3849200
2000-01-27,10.500000,10.500000,10.015625,10.062500,6.795450,3670400
2000-01-28,10.078125,10.328125,9.937500,10.156250,6.858766,3590400
2000-01-31,10.156250,10.281250,9.953125,10.062500,6.795450,3682400
2000-02-01,10.000000,10.093750,9.875000,10.078125,6.806002,2813200
2000-02-02,10.031250,10.062500,9.656250,9.687500,6.542204,4220400
2000-02-03,9.812500,9.890625,9.750000,9.828125,6.637173,3600800
2000-02-04,9.937500,10.218750,9.921875,10.078125,6.806002,4637200
2000-02-07,10.062500,10.125000,9.875000,9.921875,6.700483,2911200
2000-02-08,9.984375,10.000000,9.656250,9.687500,6.542204,3675200
2000-02-09,9.812500,10.156250,9.703125,9.734375,6.573861,4865600
2000-02-10,9.734375,9.734375,8.968750,9.265625,6.257301,8339600
2000-02-11,9.281250,9.343750,9.156250,9.187500,6.204545,3565600
2000-02-14,9.312500,9.500000,9.218750,9.500000,6.415583,4377600
2000-02-15,9.625000,9.703125,9.437500,9.703125,6.552758,7250800
2000-02-16,9.750000,9.843750,9.250000,9.343750,6.310061,5134400
2000-02-17,9.375000,9.500000,9.187500,9.468750,6.394478,3093600
2000-02-18,9.500000,9.562500,9.359375,9.437500,6.373373,3406800
2000-02-22,9.484375,9.843750,9.468750,9.703125,6.552758,3113200
2000-02-23,9.703125,9.859375,9.687500,9.828125,6.637173,4042800
2000-02-24,9.875000,9.890625,9.062500,9.312500,6.288961,7104800
2000-02-25,9.312500,9.375000,9.140625,9.359375,6.320616,3038000
2000-02-28,9.359375,9.687500,9.203125,9.625000,6.499997,3203200
2000-02-29,9.609375,9.703125,9.484375,9.500000,6.415583,3417200
2000-03-01,9.531250,9.656250,9.500000,9.562500,6.457788,6612000
2000-03-02,9.546875,9.546875,9.343750,9.453125,6.383928,3593200
2000-03-03,9.437500,10.000000,9.390625,9.843750,6.647727,5631600
2000-03-06,9.781250,9.781250,9.328125,9.437500,6.373373,3090000
2000-03-07,9.312500,9.375000,8.921875,9.000000,6.077918,5256400
2000-03-08,9.125000,9.265625,9.062500,9.078125,6.130681,4718000
2000-03-09,9.125000,9.125000,8.640625,8.984375,6.067367,6275600
2000-03-10,8.921875,9.062500,8.718750,8.765625,5.919641,6513200
2000-03-13,8.734375,8.812500,8.562500,8.812500,5.985439,3582000
2000-03-14,8.875000,8.875000,8.718750,8.812500,5.985439,3457200
2000-03-15,8.781250,9.343750,8.781250,9.343750,6.346262,3905200
2000-03-16,9.453125,9.953125,9.296875,9.953125,6.760147,7003200
2000-03-17,10.000000,10.156250,9.937500,10.062500,6.834435,4546800
2000-03-20,10.109375,10.171875,9.421875,9.562500,6.494837,4032400
2000-03-21,9.437500,10.031250,9.437500,10.000000,6.791986,4837600
2000-03-22,10.062500,10.109375,9.578125,9.656250,6.558515,3949600
2000-03-23,9.500000,9.687500,9.406250,9.671875,6.569122,2982000
2000-03-24,9.640625,9.718750,9.437500,9.531250,6.473614,2878000
2000-03-27,9.500000,9.718750,9.500000,9.671875,6.569122,2232800
2000-03-28,9.593750,9.671875,9.250000,9.296875,6.314426,3300400
2000-03-29,9.296875,9.468750,9.250000,9.468750,6.431163,3122400
2000-03-30,9.500000,9.500000,9.250000,9.296875,6.314426,2840400
2000-03-31,9.359375,9.781250,9.312500,9.781250,6.643413,3893200
2000-04-03,9.781250,9.781250,9.656250,9.687500,6.579739,4480000
2000-04-04,9.718750,9.828125,9.390625,9.671875,6.569122,3644400
2000-04-05,9.687500,10.250000,9.671875,10.250000,6.961788,4744800
2000-04-06,10.250000,10.593750,10.218750,10.312500,7.004236,5835600
2000-04-07,10.281250,10.281250,9.921875,10.187500,6.919334,3235600
2000-04-10,10.125000,10.578125,10.109375,10.406250,7.067909,3093200
2000-04-11,10.406250,10.812500,10.406250,10.781250,7.322610,3586800
2000-04-12,10.781250,11.015625,10.609375,10.953125,7.439348,5521600
2000-04-13,10.921875,10.937500,10.515625,10.703125,7.269546,3427200
2000-04-14,10.671875,10.671875,10.187500,10.265625,6.972399,3517600
2000-04-17,10.265625,10.406250,9.953125,9.953125,6.760147,4448000
2000-04-18,9.968750,10.156250,9.953125,10.125000,6.876885,2484800
2000-04-19,10.187500,10.390625,10.000000,10.078125,6.845048,3087600
2000-04-20,10.156250,10.328125,10.015625,10.328125,7.014848,3432000
2000-04-24,10.312500,10.718750,10.312500,10.515625,7.142200,2635200
2000-04-25,10.500000,11.218750,10.500000,10.953125,7.439348,5768000
2000-04-26,11.281250,11.578125,11.203125,11.359375,7.715271,6341600
2000-04-27,11.250000,11.312500,10.687500,10.718750,7.280161,4370800
2000-04-28,10.796875,10.796875,10.312500,10.531250,7.152808,3790800
2000-05-01,10.468750,10.843750,10.421875,10.734375,7.290776,4576400
2000-05-02,10.593750,10.718750,10.328125,10.437500,7.089138,3259600
2000-05-03,10.312500,10.640625,10.203125,10.375000,7.046688,2203200
2000-05-04,10.437500,10.437500,10.140625,10.140625,6.887497,2612800
2000-05-05,10.156250,10.625000,10.156250,10.578125,7.184643,1982400
2000-05-08,10.515625,10.656250,10.500000,10.656250,7.237709,1576400
2000-05-09,10.656250,11.000000,10.640625,10.859375,7.375675,2952400
2000-05-10,10.796875,10.953125,10.640625,10.718750,7.280161,1645600
2000-05-11,10.812500,10.890625,10.640625,10.765625,7.311999,1475600
2000-05-12,10.906250,10.953125,10.765625,10.929688,7.423432,2759200
2000-05-15,10.937500,11.046875,10.875000,10.937500,7.428733,1927200
2000-05-16,10.937500,11.218750,10.906250,11.171875,7.587923,2038800
2000-05-17,11.156250,11.359375,11.078125,11.109375,7.545474,2173200
2000-05-18,11.109375,11.359375,11.093750,11.250000,7.640984,2245600
2000-05-19,11.187500,11.390625,11.015625,11.343750,7.704659,2994800
2000-05-22,11.281250,11.375000,11.031250,11.078125,7.524246,3488800
2000-05-23,11.125000,11.312500,11.078125,11.296875,7.672822,1790400
2000-05-24,11.296875,11.484375,11.234375,11.265625,7.651596,2578800
2000-05-25,11.046875,11.140625,10.750000,10.906250,7.407512,3155600
2000-05-26,10.687500,10.781250,10.546875,10.703125,7.269546,3062400
2000-05-30,10.843750,10.968750,10.796875,10.843750,7.365064,2183200
2000-05-31,10.906250,10.906250,10.578125,10.625000,7.216486,2518800
2000-06-01,10.578125,10.875000,10.578125,10.843750,7.365064,2985200
2000-06-02,10.875000,11.437500,10.835938,11.250000,7.640984,2463600
2000-06-05,11.218750,11.218750,10.718750,10.843750,7.365064,2418400
2000-06-06,10.734375,10.781250,10.437500,10.609375,7.205873,2684000
2000-06-07,10.687500,10.828125,10.671875,10.750000,7.301384,2495600
2000-06-08,10.718750,10.750000,10.375000,10.437500,7.089138,1821200
2000-06-09,10.437500,10.593750,10.421875,10.484375,7.120975,1930000
2000-06-12,10.484375,10.687500,10.484375,10.656250,7.272392,2119200
2000-06-13,10.593750,10.734375,10.484375,10.515625,7.176427,2929200
2000-06-14,10.515625,10.515625,10.125000,10.187500,6.952493,2192400
2000-06-15,10.187500,10.359375,10.000000,10.046875,6.856522,4430800
2000-06-16,10.062500,10.140625,9.859375,9.906250,6.760556,3098000
2000-06-19,9.937500,10.046875,9.750000,9.812500,6.696575,2407600
2000-06-20,9.828125,9.890625,9.781250,9.796875,6.685908,2381200
2000-06-21,9.812500,9.984375,9.781250,9.859375,6.728560,4770400
2000-06-22,9.828125,9.828125,9.718750,9.734375,6.643257,4683200
2000-06-23,9.750000,9.796875,9.718750,9.765625,6.664583,4018000
2000-06-26,9.765625,9.828125,9.718750,9.812500,6.696575,3323600
2000-06-27,9.843750,9.890625,9.781250,9.828125,6.707237,4470400
2000-06-28,9.859375,10.140625,9.859375,10.117188,6.904505,4563200
2000-06-29,10.125000,10.218750,9.890625,10.000000,6.824533,6217200
2000-06-30,9.968750,9.968750,9.281250,9.296875,6.344681,6577200
2000-07-03,9.359375,9.656250,9.359375,9.562500,6.525958,2360400
2000-07-05,9.593750,9.890625,9.578125,9.843750,6.717904,2832000
2000-07-06,9.875000,10.203125,9.875000,10.156250,6.931168,4844000
2000-07-07,10.203125,10.437500,10.171875,10.421875,7.112443,5559600
2000-07-10,10.437500,10.531250,10.421875,10.421875,7.112443,3654800
2000-07-11,10.421875,10.578125,10.390625,10.562500,7.208413,2322400
2000-07-12,10.562500,10.609375,10.453125,10.546875,7.197748,2273200
2000-07-13,10.546875,10.546875,10.250000,10.250000,6.995148,2654800
2000-07-14,10.281250,10.875000,10.265625,10.875000,7.421682,3765600
2000-07-17,10.875000,11.093750,10.875000,11.015625,7.517650,3422800
2000-07-18,11.015625,11.046875,10.984375,10.984375,7.496323,3250400
2000-07-19,11.000000,11.078125,10.515625,10.578125,7.219076,3669600
2000-07-20,10.593750,10.781250,10.468750,10.484375,7.155098,5126800
2000-07-21,10.484375,10.515625,10.359375,10.406250,7.101777,7306400
2000-07-24,10.406250,10.500000,10.250000,10.296875,7.027136,3196000
2000-07-25,10.312500,10.328125,9.890625,10.000000,6.824533,2982000
2000-07-26,10.062500,10.140625,9.890625,9.914063,6.765888,4376800
2000-07-27,10.093750,10.421875,10.093750,10.390625,7.091116,3466800
2000-07-28,10.500000,10.781250,10.343750,10.687500,7.293722,3553600
2000-07-31,10.750000,11.000000,10.687500,10.796875,7.368363,2878800
2000-08-01,10.796875,10.906250,10.765625,10.906250,7.443005,2332000
2000-08-02,10.890625,11.187500,10.875000,11.156250,7.613616,3152400
2000-08-03,11.187500,11.500000,11.187500,11.390625,7.773570,4706800
2000-08-04,11.359375,11.375000,10.937500,11.000000,7.506990,4142400
2000-08-07,11.031250,11.250000,10.937500,11.171875,7.624283,1972800
2000-08-08,11.343750,11.375000,10.921875,11.218750,7.656271,2736800
2000-08-09,11.187500,11.187500,10.812500,10.828125,7.389691,2153600
2000-08-10,10.890625,10.890625,10.781250,10.859375,7.411017,2215200
2000-08-11,10.859375,11.062500,10.812500,11.046875,7.538977,2723200
2000-08-14,11.109375,11.140625,11.046875,11.109375,7.581628,1897200
2000-08-15,11.078125,11.078125,10.875000,10.890625,7.432343,1767600
2000-08-16,10.890625,10.906250,10.750000,10.812500,7.379025,1655200
2000-08-17,10.812500,10.828125,10.593750,10.640625,7.261733,1408800
2000-08-18,10.578125,10.796875,10.562500,10.781250,7.357703,2117600
2000-08-21,10.796875,10.812500,10.578125,10.718750,7.315045,1737600
2000-08-22,10.656250,10.718750,10.609375,10.703125,7.304385,1471600
2000-08-23,10.640625,10.656250,10.156250,10.218750,6.973820,3960000
2000-08-24,10.250000,10.500000,10.250000,10.375000,7.080452,2452000
2000-08-25,10.375000,10.406250,10.296875,10.343750,7.059128,1107600
2000-08-28,10.328125,10.343750,10.140625,10.140625,6.920504,2539200
