Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,69.000000,69.000000,67.375000,68.687500,40.970043,980500
2000-01-19,68.500000,68.562500,67.437500,68.250000,40.709084,1087300
2000-01-20,68.125000,69.125000,68.125000,68.875000,41.081875,1972000
2000-01-21,68.875000,68.875000,66.687500,67.250000,40.112602,1270100
2000-01-24,67.875000,68.250000,66.000000,66.000000,39.367004,831400
2000-01-25,65.625000,66.625000,64.750000,65.875000,39.292480,1263000
2000-01-26,65.250000,65.625000,64.500000,65.125000,38.845119,933400
2000-01-27,65.312500,65.375000,64.000000,65.125000,38.845119,1128400
2000-01-28,65.125000,65.875000,64.000000,64.937500,38.733280,1324700
2000-01-31,63.000000,64.000000,59.000000,60.000000,35.788200,5745800
2000-02-01,59.687500,61.500000,58.312500,61.375000,36.608341,4761000
2000-02-02,59.750000,59.937500,57.187500,58.250000,34.744381,4740600
2000-02-03,59.250000,59.500000,57.375000,57.625000,34.371574,1951900
2000-02-04,58.187500,58.187500,56.062500,56.375000,33.626003,1745200
2000-02-07,56.625000,56.812500,55.500000,55.750000,33.253201,1480200
2000-02-08,56.250000,59.375000,55.750000,59.375000,35.415413,2055100
2000-02-09,59.500000,59.625000,58.000000,58.000000,34.595264,1209400
2000-02-10,58.062500,58.500000,56.500000,57.062500,34.036064,995700
2000-02-11,56.812500,57.000000,55.125000,55.125000,32.880409,1013900
2000-02-14,55.312500,55.500000,54.125000,54.375000,32.433071,2052800
2000-02-15,54.437500,55.000000,53.562500,54.937500,32.768574,1182900
2000-02-16,55.187500,56.437500,54.500000,56.000000,33.402332,1530000
2000-02-17,56.500000,58.250000,56.125000,58.000000,34.595264,1036000
2000-02-18,58.000000,59.437500,55.250000,56.937500,33.961521,1529200
2000-02-22,56.937500,56.937500,54.562500,55.000000,32.805847,1226000
2000-02-23,55.062500,56.250000,54.062500,54.937500,32.768574,855700
2000-02-24,55.000000,55.000000,53.812500,54.062500,32.346767,1049300
2000-02-25,54.937500,55.750000,54.062500,55.500000,33.206844,961700
2000-02-28,55.562500,55.625000,54.500000,55.000000,32.907688,565600
2000-02-29,55.000000,55.312500,54.500000,54.625000,32.683315,750900
2000-03-01,54.625000,54.687500,51.875000,52.500000,31.411880,1471000
2000-03-02,52.125000,53.625000,52.062500,53.312500,31.898016,1136600
2000-03-03,53.312500,53.500000,52.562500,52.687500,31.524076,1030700
2000-03-06,54.375000,54.375000,52.500000,52.750000,31.561460,1431500
2000-03-07,52.750000,52.812500,49.000000,50.625000,30.290028,2319100
2000-03-08,52.750000,54.500000,51.312500,54.312500,32.496353,2275300
2000-03-09,54.500000,54.500000,52.437500,53.000000,31.711039,1199700
2000-03-10,53.750000,54.375000,53.062500,53.437500,31.972799,776700
2000-03-13,52.250000,54.187500,52.125000,52.750000,31.561460,671700
2000-03-14,52.500000,53.500000,52.312500,52.562500,31.449295,1072500
2000-03-15,52.937500,55.375000,51.625000,54.937500,32.870285,2274800
2000-03-16,55.875000,57.625000,55.062500,56.250000,33.655586,1635300
2000-03-17,57.062500,57.062500,55.500000,55.500000,33.206844,622400
2000-03-20,56.500000,56.875000,55.250000,56.562500,33.842556,843400
2000-03-21,56.312500,58.375000,55.250000,58.187500,34.814823,889000
2000-03-22,58.187500,59.062500,56.812500,56.875000,34.029549,763100
2000-03-23,56.812500,59.937500,56.000000,59.625000,35.674934,1472900
2000-03-24,60.000000,64.125000,59.812500,63.750000,38.142994,2148200
2000-03-27,63.000000,64.000000,62.625000,63.187500,37.806446,960400
2000-03-28,62.500000,63.000000,60.062500,60.250000,36.048889,639300
2000-03-29,61.250000,61.250000,58.312500,59.062500,35.338352,869700
2000-03-30,58.812500,60.125000,58.312500,58.562500,35.039200,682400
2000-03-31,59.562500,63.000000,58.187500,62.984375,37.684906,727100
2000-04-03,62.000000,62.000000,59.000000,59.375000,35.525349,830000
2000-04-04,59.375000,59.750000,55.375000,57.812500,34.590469,1309000
2000-04-05,56.812500,58.250000,56.812500,58.187500,34.814823,478000
2000-04-06,58.312500,60.187500,58.312500,59.875000,35.824505,800700
2000-04-07,59.875000,61.437500,59.125000,60.875000,36.422821,778200
2000-04-10,61.125000,64.000000,61.000000,64.000000,38.292564,1275600
2000-04-11,63.312500,63.312500,62.125000,63.187500,37.806446,616700
2000-04-12,62.812500,62.875000,61.250000,61.500000,36.796772,608700
2000-04-13,61.500000,61.500000,59.437500,60.250000,36.048889,566300
2000-04-14,58.500000,58.750000,55.000000,55.000000,32.907688,859800
2000-04-17,57.000000,59.500000,55.000000,58.000000,34.702644,1152900
2000-04-18,58.000000,61.187500,58.000000,60.687500,36.310638,714900
2000-04-19,60.187500,60.500000,58.750000,59.062500,35.338352,510200
2000-04-20,61.000000,63.875000,60.625000,63.500000,37.993408,1730600
2000-04-24,63.000000,63.250000,62.000000,62.625000,37.469891,1071000
2000-04-25,64.312500,66.437500,63.812500,66.437500,39.750992,1644600
2000-04-26,66.500000,66.937500,64.937500,66.187500,39.601406,1239300
2000-04-27,65.500000,66.562500,65.187500,65.937500,39.451839,689400
2000-04-28,66.687500,66.750000,65.500000,66.500000,39.788383,1011200
2000-05-01,66.625000,66.937500,64.250000,64.250000,38.442165,904600
2000-05-02,64.062500,64.437500,63.250000,63.812500,38.180397,1565300
2000-05-03,64.062500,64.062500,62.312500,62.375000,37.320293,566400
